"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","25,638.1","24,777.0","25,829.0","24,777.2","207.20K","5.10%"
"07/02/2021","25,064.2","25,638.0","25,638.0","24,872.8","86.90K","-2.24%"
"07/05/2021","24,298.8","24,490.0","24,490.0","23,916.2","113.40K","-3.05%"
"07/06/2021","24,107.5","24,203.0","24,490.0","23,916.2","93.90K","-0.79%"
"07/07/2021","23,820.5","23,629.0","23,916.0","23,342.2","47.40K","-1.19%"
"07/08/2021","24,394.5","23,677.0","24,634.0","23,677.0","90.30K","2.41%"
"07/09/2021","24,155.3","23,725.0","24,681.0","23,629.2","97.50K","-0.98%"
"07/12/2021","22,959.5","23,964.0","24,108.0","22,959.5","133.40K","-4.95%"
"07/13/2021","23,629.2","22,960.0","24,299.0","22,959.5","19.80K","2.92%"
"07/14/2021","23,437.9","23,725.0","23,725.0","23,246.5","10.40K","-0.81%"
"07/15/2021","23,629.2","23,725.0","23,725.0","23,055.2","39.10K","0.82%"
"07/16/2021","23,629.2","23,151.0","23,916.0","23,150.9","34.70K","0.00%"
"07/19/2021","24,298.8","23,534.0","24,873.0","23,055.2","86.90K","2.83%"
"07/20/2021","24,585.8","24,586.0","24,681.0","24,011.8","44.20K","1.18%"
"07/21/2021","24,442.3","24,586.0","24,586.0","24,394.5","43.30K","-0.58%"
"07/22/2021","26,116.5","24,777.0","26,116.0","24,585.8","260.70K","6.85%"
"07/23/2021","27,934.1","27,838.0","27,934.0","27,073.1","558.70K","6.96%"
"07/26/2021","28,125.4","27,551.0","29,752.0","27,551.4","184.70K","0.68%"
"07/27/2021","27,360.1","28,125.0","28,317.0","27,168.8","200.30K","-2.72%"
"07/28/2021","27,360.1","27,121.0","28,221.0","27,120.9","128.70K","0.00%"
"07/29/2021","27,551.4","27,264.0","27,551.0","27,025.3","134.00K","0.70%"
"07/30/2021","27,886.3","28,604.0","28,604.0","27,742.8","287.50K","1.22%"
"08/02/2021","28,699.4","27,886.0","29,752.0","27,742.8","275.10K","2.92%"
"08/03/2021","30,708.4","28,747.0","30,708.0","28,699.4","414.30K","7.00%"
"08/04/2021","30,134.4","31,569.0","31,569.0","29,560.4","246.70K","-1.87%"
"08/05/2021","30,804.0","30,134.0","31,282.0","29,751.7","102.60K","2.22%"
"08/06/2021","30,612.7","29,847.0","31,713.0","29,847.4","263.00K","-0.62%"
"08/09/2021","32,239.0","30,995.0","32,335.0","30,899.7","258.70K","5.31%"
"08/10/2021","33,004.3","33,004.0","33,004.0","32,047.7","262.00K","2.37%"
"08/11/2021","34,104.5","33,004.0","34,918.0","33,004.3","436.00K","3.33%"
"08/12/2021","31,952.0","34,296.0","34,535.0","31,952.0","624.80K","-6.31%"
"08/13/2021","33,004.3","31,569.0","33,004.0","29,943.1","334.40K","3.29%"
"08/16/2021","32,047.7","32,909.0","33,483.0","32,047.7","216.50K","-2.90%"
"08/17/2021","30,612.7","31,952.0","31,952.0","29,847.4","236.50K","-4.48%"
"08/18/2021","30,708.4","30,039.0","31,378.0","29,943.1","172.40K","0.31%"
"08/19/2021","30,660.5","31,378.0","31,378.0","30,612.7","117.60K","-0.16%"
"08/20/2021","30,421.4","31,474.0","31,474.0","29,656.1","312.90K","-0.78%"
"08/23/2021","30,182.2","30,326.0","30,613.0","29,847.4","137.90K","-0.79%"
"08/24/2021","28,986.4","29,752.0","30,039.0","28,077.6","230.60K","-3.96%"
"08/25/2021","29,129.9","28,699.0","29,178.0","28,221.1","162.90K","0.50%"
"08/26/2021","30,325.7","29,226.0","31,139.0","29,225.6","206.80K","4.11%"
"08/27/2021","30,995.4","30,326.0","31,282.0","30,277.9","266.40K","2.21%"
"08/30/2021","31,473.7","31,856.0","31,856.0","31,186.7","205.30K","1.54%"
"08/31/2021","31,665.0","31,474.0","31,665.0","30,660.5","236.10K","0.61%"
"09/01/2021","33,100.0","31,856.0","33,100.0","31,569.4","279.70K","4.53%"
"09/06/2021","33,004.3","33,770.0","33,961.0","33,004.3","256.10K","-0.29%"
"09/07/2021","31,760.7","33,387.0","33,387.0","31,760.7","190.60K","-3.77%"
"09/08/2021","31,378.0","31,187.0","31,522.0","30,804.0","255.50K","-1.20%"
"09/09/2021","31,952.0","32,287.0","32,287.0","31,186.7","104.60K","1.83%"
"09/10/2021","31,569.4","31,952.0","32,048.0","31,378.0","83.10K","-1.20%"
"09/13/2021","31,186.7","31,569.0","31,569.0","31,091.0","127.70K","-1.21%"
"09/14/2021","30,899.7","30,804.0","31,569.0","30,708.4","96.90K","-0.92%"
"09/15/2021","31,282.4","30,804.0","31,569.0","30,612.7","99.20K","1.24%"
"09/16/2021","31,186.7","31,282.0","31,569.0","30,995.4","36.90K","-0.31%"
"09/17/2021","32,621.7","31,378.0","32,909.0","31,282.4","173.50K","4.60%"
"09/20/2021","31,712.8","32,622.0","33,004.0","31,569.4","125.10K","-2.79%"
"09/21/2021","31,091.0","30,613.0","31,713.0","30,612.7","182.50K","-1.96%"
"09/22/2021","31,665.0","30,995.0","31,665.0","30,995.4","33.20K","1.85%"
"09/23/2021","31,665.0","33,004.0","33,004.0","31,569.4","55.80K","0.00%"
"09/24/2021","31,569.4","31,713.0","32,000.0","31,234.5","88.90K","-0.30%"
"09/27/2021","30,612.7","31,569.0","31,904.0","30,612.7","127.90K","-3.03%"
"09/28/2021","30,612.7","30,613.0","30,613.0","29,034.2","75.80K","0.00%"
"09/29/2021","30,421.4","30,613.0","30,613.0","30,134.4","26.40K","-0.62%"
"09/30/2021","31,473.7","30,230.0","31,856.0","30,230.0","76.20K","3.46%"
"10/01/2021","31,043.2","31,282.0","31,378.0","30,708.4","44.60K","-1.37%"
"10/04/2021","31,378.0","31,474.0","31,474.0","30,660.5","53.60K","1.08%"
"10/05/2021","31,378.0","30,804.0","31,474.0","30,804.0","60.60K","0.00%"
"10/06/2021","32,286.8","31,522.0","32,813.0","31,521.5","175.70K","2.90%"
"10/07/2021","32,717.3","32,335.0","32,717.0","32,334.7","246.10K","1.33%"
"10/08/2021","33,769.6","33,483.0","33,865.0","33,291.3","305.50K","3.22%"
"10/11/2021","33,913.1","33,817.0","34,248.0","33,578.3","164.50K","0.42%"
"10/12/2021","34,056.6","33,961.0","34,152.0","33,578.3","167.40K","0.42%"
"10/13/2021","33,387.0","34,009.0","34,057.0","33,387.0","134.90K","-1.97%"
"10/14/2021","33,817.5","33,483.0","33,961.0","33,100.0","88.50K","1.29%"
"10/15/2021","34,535.0","33,817.0","35,013.0","33,674.0","116.20K","2.12%"
"10/18/2021","33,913.1","34,583.0","34,631.0","33,913.1","86.40K","-1.80%"
"10/19/2021","33,004.3","33,722.0","33,722.0","33,004.3","133.70K","-2.68%"
