"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","77,725.0","78,019.0","78,019.0","77,725.0","5.10K","-0.38%"
"07/02/2021","74,792.0","76,259.0","76,259.0","72,348.0","9.40K","-3.77%"
"07/05/2021","70,882.0","74,792.0","74,792.0","70,882.0","40.90K","-5.23%"
"07/06/2021","73,326.0","70,393.0","74,792.0","70,393.0","14.90K","3.45%"
"07/07/2021","73,130.0","73,228.0","73,326.0","73,130.0","13.40K","-0.27%"
"07/08/2021","73,130.0","73,130.0","73,228.0","73,130.0","8.70K","0.00%"
"07/09/2021","73,130.0","74,108.0","74,108.0","73,130.0","8.30K","0.00%"
"07/12/2021","68,633.0","73,130.0","73,130.0","68,633.0","12.50K","-6.15%"
"07/13/2021","68,829.0","71,371.0","71,371.0","68,731.0","6.60K","0.29%"
"07/14/2021","71,371.0","68,829.0","71,371.0","68,829.0","1.60K","3.69%"
"07/15/2021","71,371.0","71,273.0","71,371.0","71,175.0","2.80K","0.00%"
"07/16/2021","70,784.0","74,304.0","74,304.0","70,393.0","5.30K","-0.82%"
"07/19/2021","71,859.0","73,326.0","73,326.0","71,859.0","7.70K","1.52%"
"07/20/2021","71,273.0","69,904.0","71,273.0","68,438.0","3.80K","-0.82%"
"07/21/2021","71,273.0","71,273.0","71,273.0","71,273.0","2.70K","0.00%"
"07/22/2021","70,002.0","70,979.0","70,979.0","68,926.0","8.10K","-1.78%"
"07/23/2021","69,513.0","69,415.0","70,784.0","69,415.0","1.70K","-0.70%"
"07/26/2021","70,784.0","69,513.0","70,784.0","69,415.0","1.30K","1.83%"
"07/27/2021","70,393.0","70,784.0","70,784.0","70,393.0","1.50K","-0.55%"
"07/28/2021","70,393.0","70,393.0","70,393.0","70,393.0","2.30K","0.00%"
"07/29/2021","70,393.0","70,393.0","70,393.0","69,415.0","7.70K","0.00%"
"07/30/2021","70,882.0","70,784.0","70,882.0","69,904.0","7.30K","0.69%"
"08/02/2021","69,415.0","70,686.0","70,686.0","69,415.0","8.00K","-2.07%"
"08/03/2021","69,513.0","69,415.0","69,513.0","69,415.0","10.70K","0.14%"
"08/04/2021","70,100.0","69,513.0","70,393.0","69,415.0","4.50K","0.84%"
"08/05/2021","69,513.0","69,415.0","69,611.0","69,415.0","11.50K","-0.84%"
"08/06/2021","69,317.0","69,513.0","70,393.0","69,317.0","7.40K","-0.28%"
"08/09/2021","69,806.0","69,317.0","69,904.0","69,220.0","5.70K","0.71%"
"08/10/2021","68,926.0","69,806.0","69,806.0","68,438.0","15.20K","-1.26%"
"08/11/2021","68,926.0","68,926.0","69,415.0","68,926.0","4.10K","0.00%"
"08/12/2021","68,144.0","69,415.0","69,806.0","68,144.0","14.80K","-1.13%"
"08/13/2021","67,167.0","68,535.0","68,926.0","66,580.0","13.10K","-1.43%"
"08/16/2021","67,655.0","68,438.0","69,806.0","67,558.0","20.90K","0.73%"
"08/17/2021","67,949.0","70,393.0","70,393.0","67,753.0","18.80K","0.43%"
"08/18/2021","69,024.0","68,926.0","69,317.0","68,438.0","4.00K","1.58%"
"08/19/2021","69,024.0","69,415.0","70,393.0","69,024.0","21.00K","0.00%"
"08/20/2021","67,558.0","69,024.0","69,415.0","67,167.0","23.30K","-2.12%"
"08/23/2021","67,558.0","70,784.0","70,784.0","67,558.0","11.20K","0.00%"
"08/24/2021","66,580.0","67,558.0","69,317.0","66,580.0","16.60K","-1.45%"
"08/25/2021","66,678.0","67,460.0","68,438.0","66,580.0","12.20K","0.15%"
"08/26/2021","67,069.0","66,678.0","67,264.0","66,678.0","6.70K","0.59%"
"08/27/2021","71,664.0","68,144.0","71,664.0","67,069.0","97.70K","6.85%"
"08/30/2021","75,281.0","76,454.0","76,454.0","72,544.0","68.80K","5.05%"
"08/31/2021","72,446.0","76,161.0","76,161.0","72,348.0","29.80K","-3.77%"
"09/01/2021","70,979.0","71,371.0","72,348.0","70,882.0","28.20K","-2.02%"
"09/06/2021","68,633.0","70,882.0","70,882.0","68,046.0","57.70K","-3.31%"
"09/07/2021","69,220.0","69,513.0","70,393.0","67,949.0","32.40K","0.86%"
"09/08/2021","69,024.0","69,806.0","69,806.0","69,024.0","6.80K","-0.28%"
"09/09/2021","69,904.0","68,926.0","69,904.0","68,926.0","20.90K","1.27%"
"09/10/2021","69,122.0","69,904.0","69,904.0","69,024.0","18.40K","-1.12%"
"09/13/2021","68,926.0","68,926.0","69,415.0","68,438.0","18.70K","-0.28%"
"09/14/2021","68,633.0","67,753.0","69,317.0","67,753.0","13.00K","-0.43%"
"09/15/2021","69,220.0","68,633.0","69,904.0","68,633.0","25.30K","0.86%"
"09/16/2021","70,002.0","69,904.0","70,393.0","69,220.0","17.50K","1.13%"
"09/17/2021","70,588.0","70,100.0","70,588.0","70,100.0","12.50K","0.84%"
"09/20/2021","70,393.0","70,686.0","72,348.0","70,393.0","18.80K","-0.28%"
"09/21/2021","70,491.0","70,002.0","70,588.0","70,002.0","12.90K","0.14%"
"09/22/2021","70,686.0","70,588.0","71,371.0","70,588.0","8.40K","0.28%"
"09/23/2021","70,686.0","70,686.0","71,371.0","70,588.0","11.40K","0.00%"
"09/24/2021","70,784.0","70,491.0","70,784.0","70,491.0","4.80K","0.14%"
"09/27/2021","71,371.0","70,784.0","72,348.0","70,784.0","25.60K","0.83%"
"09/28/2021","71,371.0","71,371.0","71,371.0","71,371.0","13.10K","0.00%"
"09/29/2021","71,273.0","71,371.0","72,250.0","71,273.0","9.00K","-0.14%"
"09/30/2021","71,371.0","71,371.0","71,371.0","71,175.0","15.60K","0.14%"
"10/01/2021","71,371.0","71,077.0","71,859.0","71,077.0","3.70K","0.00%"
"10/04/2021","71,371.0","71,175.0","71,371.0","70,882.0","10.20K","0.00%"
"10/05/2021","70,979.0","71,371.0","71,371.0","70,882.0","24.90K","-0.55%"
"10/06/2021","71,859.0","71,371.0","72,348.0","71,077.0","16.30K","1.24%"
"10/07/2021","71,859.0","71,566.0","71,859.0","71,566.0","8.90K","0.00%"
"10/08/2021","72,348.0","71,859.0","72,348.0","71,566.0","12.30K","0.68%"
"10/11/2021","72,348.0","72,153.0","72,348.0","72,153.0","5.30K","0.00%"
"10/12/2021","72,348.0","72,250.0","72,348.0","70,882.0","36.20K","0.00%"
"10/13/2021","72,348.0","72,348.0","72,348.0","71,371.0","25.40K","0.00%"
"10/14/2021","70,979.0","70,979.0","72,348.0","70,979.0","19.50K","-1.89%"
"10/15/2021","71,566.0","73,033.0","73,033.0","71,175.0","12.20K","0.83%"
"10/18/2021","73,228.0","71,859.0","73,228.0","71,859.0","30.30K","2.32%"
"10/19/2021","73,326.0","72,642.0","73,619.0","72,642.0","24.00K","0.13%"
"10/20/2021","72,935.0","73,228.0","73,326.0","72,642.0","8.50K","-0.53%"
"10/21/2021","72,935.0","72,935.0","72,935.0","72,544.0","10.10K","0.00%"
