"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,450.0","7,450.0","7,500.0","7,320.0","11.58M","0.00%"
"07/02/2021","7,460.0","7,470.0","7,670.0","7,450.0","7.10M","0.13%"
"07/05/2021","7,250.0","7,470.0","7,480.0","7,100.0","9.86M","-2.82%"
"07/06/2021","6,750.0","7,260.0","7,350.0","6,750.0","11.93M","-6.90%"
"07/07/2021","6,600.0","6,750.0","6,900.0","6,550.0","11.67M","-2.22%"
"07/08/2021","6,550.0","6,620.0","6,760.0","6,500.0","8.66M","-0.76%"
"07/09/2021","6,110.0","6,550.0","6,590.0","6,100.0","12.60M","-6.72%"
"07/12/2021","5,690.0","6,000.0","6,010.0","5,690.0","13.00M","-6.87%"
"07/13/2021","6,080.0","5,700.0","6,080.0","5,630.0","7.53M","6.85%"
"07/14/2021","6,080.0","6,100.0","6,290.0","5,900.0","6.25M","0.00%"
"07/15/2021","6,210.0","6,090.0","6,260.0","6,030.0","5.19M","2.14%"
"07/16/2021","6,140.0","6,220.0","6,240.0","6,100.0","5.08M","-1.13%"
"07/19/2021","5,720.0","6,000.0","6,000.0","5,720.0","8.56M","-6.84%"
"07/20/2021","5,850.0","5,740.0","6,000.0","5,680.0","6.40M","2.27%"
"07/21/2021","5,840.0","5,950.0","5,980.0","5,810.0","5.40M","-0.17%"
"07/22/2021","6,190.0","5,900.0","6,190.0","5,880.0","6.08M","5.99%"
"07/23/2021","6,040.0","6,120.0","6,200.0","6,030.0","5.14M","-2.42%"
"07/26/2021","6,000.0","5,950.0","6,070.0","5,880.0","5.06M","-0.66%"
"07/27/2021","6,000.0","6,150.0","6,180.0","6,000.0","4.33M","0.00%"
"07/28/2021","6,150.0","6,040.0","6,280.0","6,020.0","6.86M","2.50%"
"07/29/2021","6,210.0","6,170.0","6,270.0","6,150.0","5.29M","0.98%"
"07/30/2021","6,250.0","6,270.0","6,350.0","6,200.0","6.78M","0.64%"
"08/02/2021","6,230.0","6,220.0","6,310.0","6,180.0","5.04M","-0.32%"
"08/03/2021","6,220.0","6,240.0","6,280.0","6,200.0","4.11M","-0.16%"
"08/04/2021","6,400.0","6,220.0","6,490.0","6,210.0","11.13M","2.89%"
"08/05/2021","6,510.0","6,440.0","6,550.0","6,370.0","6.82M","1.72%"
"08/06/2021","6,530.0","6,510.0","6,690.0","6,450.0","7.91M","0.31%"
"08/09/2021","6,570.0","6,510.0","6,600.0","6,450.0","6.80M","0.61%"
"08/10/2021","6,510.0","6,570.0","6,630.0","6,460.0","8.49M","-0.91%"
"08/11/2021","6,430.0","6,500.0","6,510.0","6,430.0","7.71M","-1.23%"
"08/12/2021","6,510.0","6,430.0","6,650.0","6,400.0","9.44M","1.24%"
"08/13/2021","6,530.0","6,520.0","6,640.0","6,430.0","5.11M","0.31%"
"08/16/2021","6,840.0","6,530.0","6,920.0","6,530.0","13.84M","4.75%"
"08/17/2021","6,770.0","6,890.0","6,890.0","6,710.0","8.11M","-1.02%"
"08/18/2021","6,730.0","6,720.0","6,840.0","6,710.0","6.21M","-0.59%"
"08/19/2021","6,730.0","6,730.0","6,800.0","6,680.0","6.87M","0.00%"
"08/20/2021","6,760.0","6,720.0","6,980.0","6,630.0","17.79M","0.45%"
"08/23/2021","6,450.0","6,780.0","6,780.0","6,450.0","9.07M","-4.59%"
"08/24/2021","6,360.0","6,460.0","6,550.0","6,350.0","6.04M","-1.40%"
"08/25/2021","6,340.0","6,350.0","6,370.0","6,180.0","7.67M","-0.31%"
"08/26/2021","6,350.0","6,350.0","6,530.0","6,350.0","4.56M","0.16%"
"08/27/2021","6,520.0","6,400.0","6,520.0","6,300.0","4.08M","2.68%"
"08/30/2021","6,690.0","6,590.0","6,750.0","6,550.0","6.58M","2.61%"
"08/31/2021","7,150.0","6,700.0","7,150.0","6,660.0","21.11M","6.88%"
"09/01/2021","7,300.0","7,330.0","7,600.0","7,250.0","20.21M","2.10%"
"09/06/2021","7,410.0","7,330.0","7,580.0","7,200.0","18.43M","1.51%"
"09/07/2021","7,110.0","7,400.0","7,400.0","7,070.0","15.32M","-4.05%"
"09/08/2021","7,100.0","7,120.0","7,350.0","7,020.0","9.40M","-0.14%"
"09/09/2021","7,100.0","7,110.0","7,150.0","7,080.0","5.64M","0.00%"
"09/10/2021","7,100.0","7,190.0","7,290.0","7,100.0","9.04M","0.00%"
"09/13/2021","6,950.0","7,150.0","7,270.0","6,950.0","11.32M","-2.11%"
"09/14/2021","6,980.0","7,000.0","7,100.0","6,970.0","9.43M","0.43%"
"09/15/2021","7,280.0","7,090.0","7,360.0","7,040.0","13.63M","4.30%"
"09/16/2021","7,120.0","7,390.0","7,390.0","7,120.0","7.60M","-2.20%"
"09/17/2021","7,120.0","7,160.0","7,230.0","7,120.0","7.95M","0.00%"
"09/20/2021","7,610.0","7,150.0","7,610.0","7,090.0","38.11M","6.88%"
"09/21/2021","7,900.0","7,500.0","8,090.0","7,400.0","25.83M","3.81%"
