"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","12,479.3","12,190.1","12,479.3","12,066.1","89.54K","2.37%"
"07/02/2021","12,396.7","12,479.3","12,562.0","12,396.7","98.49K","-0.66%"
"07/05/2021","12,148.8","12,396.7","12,396.7","12,066.1","48.04K","-2.00%"
"07/06/2021","11,611.6","12,148.8","12,190.1","11,570.3","45.50K","-4.42%"
"07/07/2021","11,322.3","11,611.6","11,611.6","11,157.0","96.68K","-2.49%"
"07/08/2021","11,322.3","11,322.3","11,446.3","11,322.3","24.44K","0.00%"
"07/09/2021","11,322.3","11,322.3","11,363.6","11,322.3","7.50K","0.00%"
"07/12/2021","10,909.1","11,157.0","11,198.3","10,909.1","39.20K","-3.65%"
"07/13/2021","11,322.3","10,909.1","11,322.3","10,909.1","9.80K","3.79%"
"07/14/2021","10,991.7","10,950.4","10,991.7","10,950.4","4.11K","-2.92%"
"07/15/2021","11,033.1","11,074.4","11,074.4","10,991.7","11.86K","0.38%"
"07/16/2021","11,239.7","11,033.1","11,239.7","10,909.1","6.78K","1.87%"
"07/19/2021","10,454.5","10,743.8","10,743.8","10,454.5","30.25K","-6.99%"
"07/20/2021","10,578.5","10,454.5","10,578.5","9,917.4","34.12K","1.19%"
"07/21/2021","10,413.2","10,289.3","10,495.9","10,247.9","2.90K","-1.56%"
"07/22/2021","10,743.8","10,413.2","10,743.8","10,413.2","13.43K","3.17%"
"07/23/2021","10,495.9","10,743.8","10,743.8","10,495.9","8.11K","-2.31%"
"07/26/2021","10,537.2","10,661.2","10,661.2","10,082.6","2.66K","0.39%"
"07/27/2021","10,578.5","10,743.8","10,785.1","10,578.5","8.47K","0.39%"
"07/28/2021","10,661.2","10,578.5","10,743.8","10,578.5","0.85K","0.78%"
"07/29/2021","10,413.2","10,661.2","10,661.2","10,330.6","2.66K","-2.33%"
"07/30/2021","10,578.5","10,413.2","10,991.7","10,413.2","21.30K","1.59%"
"08/02/2021","10,826.4","10,743.8","10,826.4","10,619.8","26.14K","2.34%"
"08/03/2021","10,619.8","10,826.4","10,826.4","10,413.2","19.84K","-1.91%"
"08/04/2021","10,743.8","10,619.8","10,743.8","10,578.5","11.86K","1.17%"
"08/05/2021","11,033.1","10,950.4","11,074.4","10,702.5","32.91K","2.69%"
"08/06/2021","11,363.6","11,033.1","11,405.0","11,033.1","86.76K","3.00%"
"08/09/2021","11,528.9","11,363.6","11,652.9","11,239.7","94.26K","1.45%"
"08/10/2021","11,528.9","11,528.9","11,735.5","10,743.8","119.43K","0.00%"
"08/11/2021","11,405.0","11,528.9","11,528.9","11,033.1","42.23K","-1.07%"
"08/12/2021","11,322.3","11,239.7","11,487.6","11,157.0","40.90K","-0.73%"
"08/13/2021","11,405.0","11,157.0","11,405.0","11,115.7","53.84K","0.73%"
"08/16/2021","11,570.3","11,281.0","11,570.3","11,281.0","130.07K","1.45%"
"08/17/2021","11,611.6","11,735.5","12,148.8","11,570.3","110.71K","0.36%"
"08/18/2021","11,694.2","11,818.2","11,818.2","11,570.3","82.52K","0.71%"
"08/19/2021","11,694.2","11,776.9","11,776.9","11,405.0","97.28K","0.00%"
"08/20/2021","11,405.0","11,694.2","11,694.2","11,239.7","123.06K","-2.47%"
"08/23/2021","11,405.0","11,487.6","11,487.6","11,074.4","36.90K","0.00%"
"08/24/2021","11,157.0","11,405.0","11,405.0","11,074.4","33.88K","-2.17%"
"08/25/2021","11,157.0","11,074.4","11,157.0","10,950.4","24.20K","0.00%"
"08/26/2021","11,322.3","11,363.6","11,405.0","11,157.0","9.08K","1.48%"
"08/27/2021","11,239.7","11,074.4","11,405.0","11,074.4","6.78K","-0.73%"
"08/30/2021","11,528.9","11,322.3","11,570.3","11,322.3","45.98K","2.57%"
"08/31/2021","11,570.3","11,528.9","11,735.5","11,446.3","92.44K","0.36%"
"09/01/2021","11,570.3","11,900.8","11,900.8","11,487.6","107.57K","0.00%"
"09/06/2021","12,314.1","11,942.2","12,355.4","11,818.2","620.85K","6.43%"
"09/07/2021","12,231.4","12,727.3","12,727.3","12,148.8","173.27K","-0.67%"
"09/08/2021","12,148.8","12,107.4","12,231.4","12,066.1","49.13K","-0.68%"
"09/09/2021","11,983.5","11,570.3","11,983.5","11,570.3","232.56K","-1.36%"
"09/10/2021","11,942.2","11,735.5","11,983.5","11,652.9","85.91K","-0.34%"
"09/13/2021","12,148.8","12,272.7","12,314.1","11,942.2","154.88K","1.73%"
"09/14/2021","11,942.2","11,983.5","12,231.4","11,942.2","144.23K","-1.70%"
"09/15/2021","11,983.5","12,066.1","12,148.8","11,818.2","154.88K","0.35%"
"09/16/2021","12,148.8","11,983.5","12,148.8","11,900.8","183.44K","1.38%"
"09/17/2021","12,644.6","12,024.8","12,809.9","12,024.8","647.59K","4.08%"
"09/20/2021","13,223.1","12,975.2","13,512.4","12,933.9","935.33K","4.58%"
"09/21/2021","12,975.2","13,057.9","13,099.2","12,562.0","377.16K","-1.87%"
"09/22/2021","13,223.1","12,975.2","13,223.1","12,809.9","2.67M","1.91%"
"09/23/2021","13,966.9","14,049.6","14,132.2","13,636.4","1.95M","5.63%"
"09/24/2021","13,471.1","14,049.6","14,049.6","13,429.8","499.25K","-3.55%"
"09/27/2021","12,809.9","13,264.5","13,388.4","12,809.9","1.30M","-4.91%"
"09/28/2021","12,644.6","12,520.7","12,686.0","12,231.4","748.63K","-1.29%"
"09/29/2021","12,396.7","12,562.0","12,562.0","12,231.4","288.58K","-1.96%"
"09/30/2021","12,686.0","12,396.7","12,892.6","12,396.7","829.33K","2.33%"
"10/01/2021","12,644.6","12,686.0","12,933.9","12,644.6","348.72K","-0.33%"
"10/04/2021","12,562.0","12,479.3","12,727.3","12,396.7","362.15K","-0.65%"
"10/05/2021","12,809.9","12,727.3","12,892.6","12,562.0","879.67K","1.97%"
"10/06/2021","13,099.2","13,099.2","13,429.8","12,975.2","722.25K","2.26%"
"10/07/2021","13,429.8","13,140.5","13,636.4","13,016.5","1.52M","2.52%"
"10/08/2021","13,305.8","13,636.4","13,719.0","13,223.1","826.79K","-0.92%"
"10/11/2021","13,595.0","13,347.1","13,801.7","13,347.1","6.34M","2.17%"
"10/12/2021","13,719.0","13,719.0","13,966.9","13,636.4","4.41M","0.91%"
"10/13/2021","14,380.2","13,760.3","14,669.4","13,760.3","2.18M","4.82%"
"10/14/2021","15,330.6","14,545.5","15,371.9","14,462.8","5.38M","6.61%"
"10/15/2021","14,834.7","15,289.3","15,454.5","14,545.5","3.06M","-3.23%"
"10/18/2021","14,628.1","14,462.8","15,206.6","14,462.8","2.13M","-1.39%"
"10/19/2021","14,958.7","14,462.8","15,124.0","14,297.5","3.45M","2.26%"
"10/20/2021","15,991.7","15,041.3","15,991.7","14,793.4","7.73M","6.91%"
"10/21/2021","17,107.4","17,107.4","17,107.4","16,528.9","2.78M","6.98%"
"10/22/2021","17,520.7","17,603.3","17,975.2","17,107.4","4.79M","2.42%"
"10/25/2021","18,719.0","17,438.0","18,719.0","17,107.4","2.51M","6.84%"
"10/26/2021","18,760.3","19,008.3","19,504.1","18,181.8","4.80M","0.22%"
"10/27/2021","18,801.7","18,760.3","19,421.5","18,347.1","3.36M","0.22%"
"10/28/2021","19,214.9","19,090.9","19,669.4","18,677.7","2.88M","2.20%"
"10/29/2021","20,330.6","19,297.5","20,330.6","19,090.9","3.14M","5.81%"
"11/01/2021","20,413.2","20,165.3","20,991.7","19,834.7","2.51M","0.41%"
"11/02/2021","20,661.2","20,495.9","21,074.4","19,876.0","3.79M","1.21%"
"11/03/2021","19,214.9","20,702.5","20,785.1","19,214.9","5.70M","-7.00%"
"11/04/2021","18,181.8","17,933.9","19,008.3","17,892.6","4.23M","-5.38%"
"11/05/2021","18,140.5","18,099.2","18,595.0","17,396.7","2.36M","-0.23%"
"11/08/2021","18,595.0","18,264.5","18,966.9","18,181.8","1.95M","2.51%"
"11/09/2021","19,008.3","18,512.4","19,338.8","18,223.1","2.34M","2.22%"
"11/10/2021","19,958.7","19,049.6","19,958.7","19,049.6","2.89M","5.00%"
"11/11/2021","20,247.9","20,000.0","20,702.5","19,669.4","3.59M","1.45%"
"11/12/2021","19,710.7","19,917.4","20,247.9","19,338.8","2.89M","-2.65%"
"11/15/2021","19,669.4","20,578.5","20,578.5","19,338.8","3.56M","-0.21%"
"11/16/2021","19,504.1","19,586.8","19,876.0","18,966.9","2.63M","-0.84%"
"11/17/2021","19,669.4","19,421.5","20,165.3","19,256.2","2.61M","0.85%"
"11/18/2021","21,033.1","19,710.7","21,033.1","19,421.5","5.26M","6.93%"
"11/19/2021","20,661.2","21,487.6","21,735.5","19,586.8","3.78M","-1.77%"
"11/22/2021","19,272.7","20,909.1","21,181.8","19,272.7","2.49M","-6.72%"
"11/23/2021","20,545.5","18,181.8","20,590.9","18,181.8","2.37M","6.60%"
"11/24/2021","20,272.7","20,545.5","21,136.4","19,954.5","1.56M","-1.33%"
"11/25/2021","21,090.9","20,181.8","21,545.5","20,090.9","1.92M","4.04%"
"11/26/2021","20,363.6","21,090.9","21,181.8","20,363.6","1.59M","-3.45%"
"11/29/2021","20,545.5","19,318.2","20,818.2","19,318.2","1.31M","0.89%"
"11/30/2021","21,954.5","21,090.9","21,954.5","20,681.8","2.96M","6.86%"
"12/01/2021","22,636.4","23,181.8","23,181.8","22,454.5","1.77M","3.11%"
"12/02/2021","22,454.5","22,545.5","23,545.5","22,318.2","1.62M","-0.80%"
"12/03/2021","21,181.8","22,363.6","22,636.4","20,954.5","2.44M","-5.67%"
"12/06/2021","19,727.3","21,363.6","21,363.6","19,727.3","1.72M","-6.87%"
"12/07/2021","20,181.8","20,090.9","20,545.5","19,545.5","992.97K","2.30%"
"12/08/2021","20,000.0","20,272.7","20,454.5","19,545.5","916.08K","-0.90%"
"12/09/2021","20,772.7","20,000.0","20,772.7","19,863.6","748.44K","3.86%"
"12/10/2021","20,863.6","20,818.2","21,272.7","20,454.5","841.94K","0.44%"
"12/13/2021","21,545.5","21,136.4","22,272.7","20,545.5","1.92M","3.27%"
"12/14/2021","20,818.2","21,545.5","21,636.4","20,636.4","1.29M","-3.38%"
"12/15/2021","20,727.3","20,818.2","21,318.2","20,363.6","1.08M","-0.44%"
"12/16/2021","21,454.5","20,727.3","21,454.5","20,227.3","2.21M","3.51%"
"12/17/2021","21,454.5","21,818.2","22,636.4","21,409.1","3.82M","0.00%"
"12/20/2021","21,181.8","21,545.5","21,590.9","21,000.0","1.06M","-1.27%"
"12/21/2021","21,636.4","21,000.0","21,818.2","20,909.1","1.92M","2.15%"
"12/22/2021","23,136.4","21,909.1","23,136.4","21,636.4","4.86M","6.93%"
"12/23/2021","23,318.2","23,818.2","24,090.9","21,818.2","3.48M","0.79%"
"12/24/2021","24,272.7","23,636.4","24,909.1","23,636.4","2.56M","4.09%"
"12/27/2021","24,363.6","24,000.0","24,545.5","22,727.3","2.39M","0.37%"
"12/28/2021","23,909.1","24,545.5","24,909.1","23,909.1","2.34M","-1.87%"
"12/29/2021","22,909.1","23,636.4","24,090.9","22,909.1","1.77M","-4.18%"
"12/30/2021","22,000.0","22,454.5","22,909.1","21,909.1","2.51M","-3.97%"
"12/31/2021","21,272.7","21,818.2","22,318.2","21,181.8","2.13M","-3.31%"
