"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","4,020.0","4,120.0","4,200.0","3,950.0","3.23M","-5.19%"
"07/02/2021","4,200.0","4,000.0","4,200.0","3,860.0","2.22M","4.48%"
"07/05/2021","3,940.0","4,050.0","4,100.0","3,940.0","600.30K","-6.19%"
"07/06/2021","3,670.0","3,700.0","3,940.0","3,670.0","1.29M","-6.85%"
"07/07/2021","3,420.0","3,670.0","3,670.0","3,420.0","1.71M","-6.81%"
"07/08/2021","3,650.0","3,420.0","3,650.0","3,300.0","458.00K","6.73%"
"07/09/2021","3,700.0","3,700.0","3,900.0","3,680.0","744.80K","1.37%"
"07/12/2021","3,450.0","3,500.0","3,550.0","3,450.0","594.60K","-6.76%"
"07/13/2021","3,500.0","3,450.0","3,600.0","3,410.0","380.10K","1.45%"
"07/14/2021","3,560.0","3,640.0","3,700.0","3,500.0","528.70K","1.71%"
"07/15/2021","3,600.0","3,680.0","3,680.0","3,560.0","395.40K","1.12%"
"07/16/2021","3,520.0","3,590.0","3,640.0","3,500.0","489.20K","-2.22%"
"07/19/2021","3,760.0","3,430.0","3,760.0","3,350.0","2.05M","6.82%"
"07/20/2021","4,020.0","3,950.0","4,020.0","3,880.0","1.77M","6.91%"
"07/21/2021","4,140.0","4,300.0","4,300.0","4,050.0","2.77M","2.99%"
"07/22/2021","4,060.0","3,930.0","4,100.0","3,880.0","1.23M","-1.93%"
"07/23/2021","3,880.0","4,000.0","4,000.0","3,830.0","1.16M","-4.43%"
"07/26/2021","3,730.0","3,700.0","3,860.0","3,650.0","1.01M","-3.87%"
"07/27/2021","3,860.0","3,750.0","3,960.0","3,750.0","952.60K","3.49%"
"07/28/2021","3,890.0","3,890.0","3,900.0","3,780.0","376.60K","0.78%"
"07/29/2021","3,840.0","3,870.0","3,870.0","3,820.0","386.20K","-1.29%"
"07/30/2021","4,100.0","3,830.0","4,100.0","3,790.0","1.91M","6.77%"
"08/02/2021","4,120.0","4,190.0","4,360.0","4,120.0","2.23M","0.49%"
"08/03/2021","4,170.0","4,150.0","4,250.0","4,100.0","886.10K","1.21%"
"08/04/2021","4,140.0","4,170.0","4,200.0","4,050.0","972.20K","-0.72%"
"08/05/2021","4,200.0","4,130.0","4,290.0","4,060.0","1.11M","1.45%"
"08/06/2021","4,110.0","4,200.0","4,270.0","4,100.0","1.06M","-2.14%"
"08/09/2021","4,280.0","4,180.0","4,350.0","4,110.0","2.27M","4.14%"
"08/10/2021","4,200.0","4,280.0","4,360.0","4,190.0","772.40K","-1.87%"
"08/11/2021","4,220.0","4,200.0","4,270.0","4,160.0","1.08M","0.48%"
"08/12/2021","4,210.0","4,220.0","4,260.0","4,170.0","888.10K","-0.24%"
"08/13/2021","4,200.0","4,250.0","4,280.0","4,150.0","766.30K","-0.24%"
"08/16/2021","4,190.0","4,200.0","4,220.0","4,160.0","1.30M","-0.24%"
"08/17/2021","4,480.0","4,200.0","4,480.0","4,200.0","3.98M","6.92%"
"08/18/2021","4,790.0","4,790.0","4,790.0","4,750.0","2.23M","6.92%"
"08/19/2021","5,120.0","5,120.0","5,120.0","5,120.0","2.30M","6.89%"
"08/20/2021","5,470.0","5,470.0","5,470.0","5,000.0","14.87M","6.84%"
"08/23/2021","5,580.0","5,600.0","5,630.0","5,470.0","5.81M","2.01%"
"08/24/2021","5,190.0","5,490.0","5,490.0","5,190.0","3.25M","-6.99%"
"08/25/2021","4,830.0","4,830.0","4,830.0","4,830.0","1.27M","-6.94%"
"08/26/2021","5,000.0","4,700.0","5,150.0","4,700.0","4.93M","3.52%"
"08/27/2021","5,150.0","4,810.0","5,290.0","4,810.0","4.04M","3.00%"
"08/30/2021","5,510.0","5,220.0","5,510.0","5,210.0","7.76M","6.99%"
"08/31/2021","5,450.0","5,700.0","5,800.0","5,400.0","5.61M","-1.09%"
"09/01/2021","5,250.0","5,230.0","5,350.0","5,180.0","4.79M","-3.67%"
"09/06/2021","5,250.0","5,200.0","5,550.0","5,050.0","4.54M","0.00%"
"09/07/2021","5,050.0","5,260.0","5,290.0","4,990.0","4.52M","-3.81%"
"09/08/2021","5,400.0","5,050.0","5,400.0","4,990.0","6.73M","6.93%"
"09/09/2021","5,500.0","5,770.0","5,770.0","5,450.0","7.81M","1.85%"
"09/10/2021","5,470.0","5,460.0","5,700.0","5,400.0","2.82M","-0.55%"
"09/13/2021","5,490.0","5,440.0","5,690.0","5,330.0","6.13M","0.37%"
"09/14/2021","5,490.0","5,450.0","5,680.0","5,450.0","4.56M","0.00%"
"09/15/2021","5,870.0","5,690.0","5,870.0","5,550.0","6.81M","6.92%"
"09/16/2021","6,280.0","6,280.0","6,280.0","6,280.0","1.53M","6.98%"
"09/17/2021","6,710.0","6,710.0","6,710.0","6,280.0","18.05M","6.85%"
