"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","29,625.0","28,800.0","29,625.0","28,125.0","20.57M","2.86%"
"07/02/2021","29,737.5","29,812.5","30,750.0","29,475.0","21.00M","0.38%"
"07/05/2021","28,762.5","29,512.5","29,512.5","28,350.0","18.01M","-3.28%"
"07/06/2021","26,775.0","28,612.5","28,875.0","26,775.0","30.71M","-6.91%"
"07/07/2021","26,400.0","26,625.0","27,300.0","25,500.0","16.60M","-1.40%"
"07/08/2021","25,837.5","26,437.5","27,150.0","25,575.0","10.84M","-2.13%"
"07/09/2021","24,150.0","25,425.0","25,875.0","24,037.5","20.28M","-6.53%"
"07/12/2021","23,250.0","23,475.0","24,150.0","22,462.5","18.17M","-3.73%"
"07/13/2021","24,375.0","24,000.0","24,375.0","23,250.0","8.37M","4.84%"
"07/14/2021","24,000.0","24,525.0","24,712.5","23,587.5","9.93M","-1.54%"
"07/15/2021","24,487.5","23,662.5","24,525.0","23,662.5","6.81M","2.03%"
"07/16/2021","24,525.0","24,675.0","25,125.0","24,037.5","8.96M","0.15%"
"07/19/2021","22,875.0","23,775.0","24,150.0","22,875.0","11.20M","-6.73%"
"07/20/2021","24,375.0","23,250.0","24,375.0","22,800.0","9.44M","6.56%"
"07/21/2021","24,337.5","24,375.0","24,675.0","23,962.5","5.22M","-0.15%"
"07/22/2021","24,825.0","24,300.0","25,162.5","24,075.0","13.22M","2.00%"
"07/23/2021","24,075.0","24,712.5","25,050.0","24,075.0","11.19M","-3.02%"
"07/26/2021","24,375.0","24,000.0","24,525.0","23,625.0","7.83M","1.25%"
"07/27/2021","24,450.0","24,750.0","24,975.0","24,375.0","7.32M","0.31%"
"07/28/2021","25,425.0","24,450.0","26,025.0","24,375.0","17.49M","3.99%"
"07/29/2021","25,575.0","25,725.0","26,062.5","25,425.0","8.98M","0.59%"
"07/30/2021","25,837.5","25,537.5","26,025.0","25,350.0","9.57M","1.03%"
"08/02/2021","25,912.5","25,500.0","26,625.0","25,500.0","10.56M","0.29%"
"08/03/2021","25,950.0","25,912.5","26,175.0","25,500.0","9.17M","0.14%"
"08/04/2021","26,212.5","26,175.0","26,625.0","25,875.0","13.79M","1.01%"
"08/05/2021","26,512.5","26,137.5","26,850.0","25,987.5","10.03M","1.14%"
"08/06/2021","26,625.0","26,512.5","27,712.5","26,325.0","17.22M","0.42%"
"08/09/2021","27,375.0","26,850.0","27,375.0","26,850.0","12.91M","2.82%"
"08/10/2021","26,850.0","27,675.0","27,750.0","26,625.0","19.70M","-1.92%"
"08/11/2021","25,800.0","26,625.0","26,812.5","25,725.0","30.64M","-3.91%"
"08/12/2021","26,175.0","25,687.5","26,925.0","25,687.5","14.44M","1.45%"
"08/13/2021","26,850.0","26,250.0","26,850.0","26,175.0","10.81M","2.58%"
"08/16/2021","27,862.5","26,962.5","28,350.0","26,850.0","26.20M","3.77%"
"08/17/2021","27,375.0","27,862.5","28,275.0","27,375.0","11.97M","-1.75%"
"08/18/2021","27,487.5","27,150.0","27,825.0","27,150.0","10.74M","0.41%"
"08/19/2021","27,900.0","27,450.0","28,125.0","27,375.0","13.30M","1.50%"
"08/20/2021","27,450.0","27,975.0","28,725.0","26,325.0","30.05M","-1.61%"
"08/23/2021","27,000.0","27,375.0","28,050.0","27,000.0","13.10M","-1.64%"
"08/24/2021","26,925.0","27,000.0","27,450.0","26,662.5","10.91M","-0.28%"
"08/25/2021","27,150.0","26,925.0","27,300.0","26,587.5","8.21M","0.84%"
"08/26/2021","27,900.0","27,375.0","28,687.5","27,150.0","24.33M","2.76%"
"08/27/2021","29,550.0","27,750.0","29,625.0","27,750.0","32.65M","5.91%"
