"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","54,684.0","54,684.0","54,684.0","53,802.0","1.80M","0.32%"
"07/02/2021","54,508.0","54,067.0","54,596.0","53,802.0","1.95M","-0.32%"
"07/05/2021","54,331.0","54,420.0","54,420.0","53,449.0","1.90M","-0.32%"
"07/06/2021","53,802.0","54,243.0","54,331.0","53,538.0","1.68M","-0.97%"
"07/07/2021","53,979.0","53,802.0","54,243.0","53,273.0","1.88M","0.33%"
"07/08/2021","54,243.0","54,243.0","54,684.0","51,244.0","1.84M","0.49%"
"07/09/2021","53,802.0","54,155.0","54,684.0","53,361.0","1.85M","-0.81%"
"07/12/2021","53,802.0","53,890.0","53,979.0","51,862.0","1.14M","0.00%"
"07/13/2021","53,714.0","53,802.0","53,802.0","52,567.0","2.60M","-0.16%"
"07/14/2021","53,626.0","53,714.0","54,596.0","52,920.0","1.97M","-0.16%"
"07/15/2021","53,802.0","53,802.0","53,802.0","53,008.0","1.16M","0.33%"
"07/16/2021","53,802.0","54,243.0","54,243.0","53,185.0","2.17M","0.00%"
"07/19/2021","53,802.0","53,714.0","54,243.0","52,920.0","2.04M","0.00%"
"07/20/2021","53,802.0","53,802.0","53,979.0","53,361.0","2.39M","0.00%"
"07/21/2021","53,802.0","53,979.0","53,979.0","53,538.0","2.25M","0.00%"
"07/22/2021","53,802.0","53,802.0","53,802.0","53,449.0","2.64M","0.00%"
"07/23/2021","53,802.0","53,802.0","53,802.0","53,361.0","1.66M","0.00%"
"07/26/2021","53,979.0","53,802.0","53,979.0","53,361.0","2.16M","0.33%"
"07/27/2021","53,714.0","53,802.0","53,802.0","53,361.0","2.93M","-0.49%"
"07/28/2021","54,684.0","53,714.0","57,154.0","53,361.0","2.56M","1.81%"
"07/29/2021","54,949.0","56,448.0","56,448.0","54,684.0","2.56M","0.48%"
"07/30/2021","55,037.0","54,772.0","56,007.0","54,684.0","1.93M","0.16%"
"08/02/2021","54,861.0","55,037.0","55,390.0","54,243.0","2.47M","-0.32%"
"08/03/2021","54,684.0","54,684.0","55,390.0","54,331.0","2.42M","-0.32%"
"08/04/2021","54,596.0","54,684.0","55,037.0","53,802.0","1.91M","-0.16%"
"08/05/2021","54,508.0","54,420.0","54,508.0","53,802.0","1.84M","-0.16%"
"08/06/2021","54,596.0","54,596.0","54,684.0","53,802.0","2.33M","0.16%"
"08/09/2021","54,243.0","54,243.0","54,596.0","53,802.0","2.29M","-0.65%"
"08/10/2021","53,890.0","54,155.0","54,243.0","53,008.0","2.78M","-0.65%"
"08/11/2021","53,626.0","53,802.0","53,802.0","51,950.0","3.00M","-0.49%"
"08/12/2021","54,243.0","53,538.0","54,243.0","52,303.0","2.11M","1.15%"
"08/13/2021","54,067.0","53,802.0","54,067.0","52,303.0","2.93M","-0.32%"
"08/16/2021","53,802.0","53,802.0","54,596.0","52,920.0","2.51M","-0.49%"
"08/17/2021","53,361.0","53,802.0","53,802.0","53,097.0","2.41M","-0.82%"
