"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2021","15,395.70","14,748.20","15,395.70","14,028.80","1.23M","9.74%"
"07/21/2021","16,906.50","16,546.80","16,906.50","15,827.30","1.15M","9.81%"
"07/22/2021","15,251.80","17,050.40","17,050.40","15,251.80","1.46M","-9.79%"
"07/23/2021","13,741.00","13,741.00","13,884.90","13,741.00","270.30K","-9.91%"
"07/26/2021","12,374.10","12,374.10","12,374.10","12,374.10","116.00K","-9.95%"
"07/27/2021","11,726.60","11,151.10","12,374.10","11,151.10","2.91M","-5.23%"
"07/28/2021","11,798.60","12,230.20","12,589.90","11,510.80","907.50K","0.61%"
"07/29/2021","11,582.70","12,877.70","12,877.70","11,510.80","1.26M","-1.83%"
"07/30/2021","11,438.90","11,870.50","11,870.50","11,151.10","1.65M","-1.24%"
"08/02/2021","11,798.60","12,446.00","12,446.00","11,366.90","1.15M","3.14%"
"08/03/2021","11,510.80","11,870.50","11,870.50","11,223.00","1.43M","-2.44%"
"08/04/2021","11,438.90","11,582.70","11,582.70","11,151.10","1.30M","-0.62%"
"08/05/2021","11,438.90","11,223.00","11,510.80","11,151.10","946.50K","0.00%"
"08/06/2021","11,223.00","11,510.80","11,582.70","11,151.10","1.54M","-1.89%"
"08/09/2021","11,295.00","11,223.00","11,438.90","10,935.30","1.27M","0.64%"
"08/10/2021","11,151.10","11,726.60","11,726.60","10,935.30","1.10M","-1.27%"
"08/11/2021","11,079.10","11,438.90","11,438.90","10,863.30","1.09M","-0.65%"
"08/12/2021","10,791.40","11,079.10","11,223.00","10,719.40","1.28M","-2.60%"
"08/13/2021","10,935.30","11,007.20","11,007.20","10,647.50","1.15M","1.33%"
"08/16/2021","10,935.30","11,079.10","11,079.10","10,719.40","1.11M","0.00%"
"08/17/2021","10,719.40","10,935.30","10,935.30","10,575.50","1.20M","-1.97%"
"08/18/2021","10,791.40","10,935.30","11,079.10","10,575.50","882.10K","0.67%"
"08/19/2021","10,575.50","10,791.40","10,935.30","10,359.70","1.16M","-2.00%"
"08/20/2021","9,784.20","10,647.50","10,647.50","9,568.30","2.26M","-7.48%"
"08/23/2021","10,143.90","10,719.40","10,719.40","9,568.30","1.14M","3.68%"
"08/24/2021","10,071.90","10,287.80","10,359.70","9,856.10","902.30K","-0.71%"
"08/25/2021","10,071.90","10,359.70","10,359.70","9,712.20","736.30K","0.00%"
"08/26/2021","10,000.00","10,071.90","10,287.80","9,928.10","1.13M","-0.71%"
"08/27/2021","10,143.90","10,287.80","10,359.70","9,784.20","1.43M","1.44%"
"09/06/2021","10,287.80","10,431.70","10,503.60","10,000.00","1.86M","1.42%"
"09/07/2021","10,107.90","10,287.80","10,395.70","10,000.00","1.65M","-1.75%"
"09/08/2021","10,000.00","10,107.90","10,143.90","9,892.10","1.43M","-1.07%"
"09/09/2021","9,784.20","9,928.10","10,179.90","9,712.20","1.60M","-2.16%"
"09/10/2021","9,568.30","9,748.20","9,784.20","9,460.40","1.52M","-2.21%"
"09/13/2021","10,215.80","9,568.30","10,215.80","9,388.50","1.79M","6.77%"
"09/14/2021","10,899.30","10,863.30","10,899.30","10,791.40","1.87M","6.69%"
"09/15/2021","10,575.50","11,079.10","11,151.10","10,431.70","1.87M","-2.97%"
"09/16/2021","10,611.50","10,503.60","10,791.40","10,251.80","1.47M","0.34%"
"09/17/2021","10,863.30","10,611.50","11,295.00","10,431.70","1.66M","2.37%"
"09/20/2021","10,935.30","10,863.30","11,295.00","10,647.50","1.56M","0.66%"
"09/21/2021","10,791.40","10,575.50","11,007.20","10,395.70","1.50M","-1.32%"
"09/22/2021","10,863.30","11,079.10","11,151.10","10,503.60","1.48M","0.67%"
"09/23/2021","10,683.50","10,935.30","11,007.20","10,539.60","1.74M","-1.66%"
"09/24/2021","10,431.70","10,611.50","10,827.30","10,215.80","1.41M","-2.36%"
"09/27/2021","9,856.10","10,395.70","10,431.70","9,820.10","1.66M","-5.52%"
"09/28/2021","9,892.10","9,784.20","10,000.00","9,712.20","1.41M","0.37%"
"09/29/2021","9,856.10","9,892.10","9,928.10","9,640.30","1.39M","-0.36%"
"09/30/2021","10,143.90","9,892.10","10,503.60","9,784.20","1.41M","2.92%"
"10/01/2021","10,000.00","10,287.80","10,359.70","9,856.10","1.19M","-1.42%"
"10/04/2021","9,928.10","10,000.00","10,071.90","9,640.30","1.41M","-0.72%"
"10/05/2021","10,036.00","9,928.10","10,143.90","9,784.20","1.58M","1.09%"
"10/06/2021","10,107.90","10,071.90","10,287.80","9,964.00","1.49M","0.72%"
"10/07/2021","10,071.90","10,179.90","10,215.80","9,928.10","1.47M","-0.36%"
"10/08/2021","10,000.00","10,107.90","10,107.90","9,892.10","1.61M","-0.71%"
"10/11/2021","9,964.00","9,928.10","10,071.90","9,892.10","1.48M","-0.36%"
"10/12/2021","9,856.10","9,964.00","10,000.00","9,748.20","1.62M","-1.08%"
"10/13/2021","9,856.10","9,820.10","9,928.10","9,748.20","1.27M","0.00%"
"10/14/2021","10,539.60","9,892.10","10,539.60","9,748.20","2.79M","6.93%"
"10/15/2021","10,647.50","10,791.40","11,043.20","10,467.60","2.07M","1.02%"
"10/18/2021","10,287.80","10,575.50","10,575.50","10,179.90","1.50M","-3.38%"
"10/19/2021","10,215.80","10,107.90","10,431.70","9,928.10","1.82M","-0.70%"
"10/20/2021","10,287.80","10,287.80","10,431.70","10,000.00","1.51M","0.70%"
"10/21/2021","10,431.70","10,359.70","10,503.60","10,143.90","1.26M","1.40%"
"10/22/2021","10,611.50","10,359.70","10,791.40","10,215.80","1.85M","1.72%"
"10/25/2021","10,575.50","10,827.30","10,827.30","10,503.60","1.70M","-0.34%"
"10/26/2021","10,539.60","10,575.50","10,647.50","10,287.80","1.22M","-0.34%"
"10/27/2021","11,259.00","10,683.50","11,259.00","10,683.50","5.22M","6.83%"
"10/28/2021","12,014.40","12,014.40","12,014.40","11,510.80","3.00M","6.71%"
"10/29/2021","12,589.90","12,805.80","12,841.70","12,230.20","8.62M","4.79%"
"11/01/2021","12,949.60","12,158.30","13,381.30","12,122.30","3.92M","2.86%"
"11/02/2021","13,057.60","12,949.60","13,669.10","12,554.00","2.18M","0.83%"
"11/03/2021","12,158.30","12,733.80","12,949.60","12,158.30","5.76M","-6.89%"
"11/04/2021","11,834.50","11,798.60","12,230.20","11,330.90","3.60M","-2.66%"
"11/05/2021","12,014.40","11,870.50","12,230.20","11,762.60","1.80M","1.52%"
"11/08/2021","12,086.30","12,194.20","12,446.00","11,870.50","2.11M","0.60%"
"11/09/2021","12,589.90","12,086.30","12,805.80","12,086.30","2.86M","4.17%"
"11/10/2021","12,877.70","12,805.80","12,949.60","12,589.90","2.80M","2.29%"
"11/11/2021","12,733.80","13,129.50","13,165.50","12,625.90","2.40M","-1.12%"
"11/12/2021","12,661.90","12,733.80","12,877.70","12,410.10","1.86M","-0.56%"
"11/15/2021","13,525.20","12,589.90","13,525.20","12,554.00","4.58M","6.82%"
"11/16/2021","13,561.20","13,633.10","14,028.80","13,201.40","3.30M","0.27%"
"11/17/2021","13,813.00","13,525.20","14,028.80","13,237.40","3.04M","1.86%"
"11/18/2021","14,748.20","14,100.70","14,748.20","13,777.00","5.25M","6.77%"
"11/19/2021","14,316.50","15,107.90","15,539.60","13,956.80","4.41M","-2.93%"
"11/22/2021","13,345.30","14,316.50","14,748.20","13,345.30","4.38M","-6.78%"
