"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,260.5","6,168.5","6,361.8","6,168.5","53.06K","0.00%"
"07/02/2021","6,223.7","6,214.5","6,407.8","6,214.5","48.33K","-0.59%"
"07/05/2021","6,159.2","6,223.7","6,242.1","6,150.0","70.29K","-1.04%"
"07/06/2021","6,168.5","6,122.4","6,260.5","6,122.4","44.23K","0.15%"
"07/07/2021","6,150.0","6,186.9","6,186.9","6,058.0","57.47K","-0.30%"
"07/08/2021","6,058.0","6,150.0","6,150.0","5,984.3","54.95K","-1.50%"
"07/09/2021","6,076.4","6,168.5","6,168.5","6,002.7","25.11K","0.30%"
"07/12/2021","5,938.3","6,076.4","6,076.4","5,754.2","201.09K","-2.27%"
"07/13/2021","5,984.3","6,030.4","6,030.4","5,892.3","24.37K","0.77%"
"07/14/2021","5,984.3","6,067.2","6,067.2","5,938.3","5.99K","0.00%"
"07/15/2021","5,975.1","5,938.3","5,984.3","5,901.5","21.85K","-0.15%"
"07/16/2021","6,030.4","5,984.3","6,030.4","5,910.7","27.00K","0.93%"
"07/19/2021","5,846.2","5,827.8","6,021.1","5,827.8","80.06K","-3.05%"
"07/20/2021","5,947.5","5,956.7","5,956.7","5,827.8","54.63K","1.73%"
"07/21/2021","5,938.3","5,827.8","5,984.3","5,827.8","27.74K","-0.15%"
"07/22/2021","5,929.1","5,975.1","5,975.1","5,883.0","2.00K","-0.15%"
"07/23/2021","5,837.0","5,965.9","5,965.9","5,827.8","59.47K","-1.55%"
"07/26/2021","5,901.5","5,809.4","5,929.1","5,800.2","29.42K","1.11%"
"07/27/2021","5,984.3","5,901.5","6,030.4","5,901.5","107.69K","1.40%"
"07/28/2021","5,984.3","5,993.5","6,021.1","5,984.3","77.75K","0.00%"
"07/29/2021","5,984.3","5,984.3","6,067.2","5,984.3","32.15K","0.00%"
"07/30/2021","5,956.7","5,984.3","6,039.6","5,938.3","50.01K","-0.46%"
"08/02/2021","6,048.8","5,855.4","6,058.0","5,855.4","98.13K","1.55%"
"08/03/2021","5,984.3","6,030.4","6,030.4","5,984.3","15.23K","-1.07%"
"08/04/2021","5,993.5","6,021.1","6,030.4","5,993.5","46.65K","0.15%"
"08/05/2021","5,984.3","5,984.3","6,021.1","5,984.3","35.62K","-0.15%"
"08/06/2021","5,993.5","6,011.9","6,030.4","5,993.5","68.92K","0.15%"
"08/09/2021","6,067.2","6,039.6","6,067.2","5,984.3","19.23K","1.23%"
"08/10/2021","6,214.5","6,067.2","6,398.6","5,984.3","265.81K","2.43%"
"08/11/2021","6,168.5","6,214.5","6,242.1","6,122.4","43.08K","-0.74%"
"08/12/2021","6,168.5","6,159.2","6,168.5","6,076.4","24.37K","0.00%"
"08/13/2021","6,076.4","6,150.0","6,150.0","6,058.0","59.99K","-1.49%"
"08/16/2021","6,039.6","6,076.4","6,122.4","6,011.9","45.28K","-0.61%"
"08/17/2021","6,039.6","6,048.8","6,076.4","6,011.9","103.70K","0.00%"
"08/18/2021","6,048.8","6,076.4","6,122.4","6,030.4","78.38K","0.15%"
"08/19/2021","6,058.0","6,048.8","6,058.0","6,030.4","49.70K","0.15%"
"08/20/2021","6,076.4","6,076.4","6,085.6","5,956.7","681.54K","0.30%"
"08/23/2021","6,039.6","6,076.4","6,076.4","5,984.3","21.75K","-0.61%"
"08/24/2021","6,030.4","6,039.6","6,039.6","5,984.3","40.34K","-0.15%"
"08/25/2021","5,984.3","5,984.3","6,030.4","5,938.3","107.48K","-0.76%"
"08/26/2021","5,984.3","6,002.7","6,002.7","5,965.9","38.45K","0.00%"
"08/27/2021","6,021.1","6,021.1","6,076.4","5,965.9","139.94K","0.61%"
"08/30/2021","6,122.4","6,030.4","6,251.3","6,030.4","290.08K","1.68%"
"08/31/2021","6,159.2","6,186.9","6,260.5","6,122.4","282.62K","0.60%"
"09/01/2021","6,094.8","6,159.2","6,159.2","6,039.6","111.16K","-1.05%"
"09/06/2021","6,131.6","6,094.8","6,159.2","6,030.4","188.48K","0.60%"
"09/07/2021","6,094.8","6,159.2","6,168.5","6,085.6","167.36K","-0.60%"
"09/08/2021","6,076.4","6,150.0","6,150.0","6,067.2","76.28K","-0.30%"
"09/09/2021","6,067.2","6,021.1","6,076.4","6,021.1","62.62K","-0.15%"
"09/10/2021","6,076.4","6,067.2","6,159.2","6,048.8","436.96K","0.15%"
"09/13/2021","6,260.5","6,168.5","6,260.5","6,076.4","212.65K","3.03%"
"09/14/2021","6,592.0","6,269.7","6,647.2","6,269.7","673.98K","5.30%"
"09/15/2021","6,481.5","6,444.7","6,582.8","6,444.7","216.53K","-1.68%"
"09/16/2021","6,490.7","6,490.7","6,592.0","6,444.7","321.28K","0.14%"
"09/17/2021","6,555.1","6,490.7","6,582.8","6,490.7","339.56K","0.99%"
"09/20/2021","6,610.4","6,555.1","6,720.9","6,555.1","241.96K","0.84%"
"09/21/2021","6,509.1","6,610.4","6,628.8","6,444.7","268.22K","-1.53%"
"09/22/2021","6,720.9","6,509.1","6,757.7","6,472.3","467.53K","3.25%"
"09/23/2021","6,932.6","6,812.9","6,941.8","6,766.9","301.21K","3.15%"
"09/24/2021","6,822.1","6,822.1","6,905.0","6,748.5","124.39K","-1.59%"
"09/27/2021","6,564.3","6,766.9","6,776.1","6,499.9","199.93K","-3.78%"
"09/28/2021","6,564.3","6,453.9","6,564.3","6,444.7","133.96K","0.00%"
"09/29/2021","6,582.8","6,472.3","6,582.8","6,472.3","78.90K","0.28%"
"09/30/2021","6,711.6","6,619.6","6,730.1","6,536.7","100.76K","1.96%"
"10/01/2021","6,684.0","6,702.4","6,720.9","6,628.8","38.56K","-0.41%"
"10/04/2021","7,144.4","6,684.0","7,144.4","6,684.0","578.79K","6.89%"
"10/05/2021","7,199.6","7,181.2","7,420.6","7,089.1","210.23K","0.77%"
"10/06/2021","7,365.3","7,199.6","7,411.3","7,172.0","158.33K","2.30%"
"10/07/2021","7,356.1","7,365.3","7,457.4","7,181.2","222.73K","-0.12%"
"10/08/2021","7,319.3","7,208.8","7,365.3","7,181.2","169.99K","-0.50%"
"10/11/2021","7,300.9","7,319.3","7,328.5","7,181.2","182.07K","-0.25%"
"10/12/2021","7,181.2","7,273.2","7,273.2","7,153.6","127.23K","-1.64%"
"10/13/2021","7,208.8","7,098.3","7,227.2","7,098.3","92.46K","0.38%"
"10/14/2021","7,218.0","7,181.2","7,227.2","7,144.4","46.02K","0.13%"
"10/15/2021","7,310.1","7,218.0","7,346.9","7,181.2","111.68K","1.28%"
"10/18/2021","7,273.2","7,346.9","7,346.9","7,254.8","175.03K","-0.50%"
"10/19/2021","7,264.0","7,319.3","7,319.3","7,208.8","88.25K","-0.13%"
"10/20/2021","7,227.2","7,273.2","7,337.7","7,227.2","190.90K","-0.51%"
"10/21/2021","7,227.2","7,254.8","7,264.0","7,199.6","67.14K","0.00%"
"10/22/2021","7,227.2","7,227.2","7,264.0","7,181.2","103.07K","0.00%"
"10/25/2021","7,245.6","7,227.2","7,254.8","7,199.6","159.17K","0.25%"
"10/26/2021","7,752.0","7,752.0","7,752.0","7,752.0","174.61K","6.99%"
"10/27/2021","8,286.0","8,286.0","8,286.0","8,286.0","197.94K","6.89%"
"10/28/2021","8,866.0","8,866.0","8,866.0","8,866.0","141.10K","7.00%"
"10/29/2021","9,482.8","9,482.8","9,482.8","9,482.8","135.85K","6.96%"
"11/01/2021","10,127.3","10,127.3","10,127.3","10,127.3","111.05K","6.80%"
"11/02/2021","10,817.8","10,817.8","10,817.8","10,817.8","57.47K","6.82%"
"11/03/2021","11,554.3","11,554.3","11,554.3","11,554.3","181.86K","6.81%"
"11/04/2021","12,336.9","12,336.9","12,336.9","11,968.6","3.08M","6.77%"
"11/05/2021","13,165.5","13,165.5","13,165.5","13,119.5","1.13M","6.72%"
"11/08/2021","13,349.6","14,086.2","14,086.2","12,889.3","1.74M","1.40%"
"11/09/2021","12,843.3","12,521.0","13,257.6","12,429.0","1.62M","-3.79%"
"11/10/2021","12,981.4","12,843.3","13,349.6","12,244.8","914.25K","1.08%"
"11/11/2021","12,705.2","12,889.3","13,211.5","12,429.0","927.60K","-2.13%"
"11/12/2021","13,549.1","13,314.6","13,549.1","13,220.9","1.40M","6.64%"
"11/15/2021","14,486.7","14,486.7","14,486.7","14,486.7","625.12K","6.92%"
"11/16/2021","15,471.2","15,471.2","15,471.2","15,189.9","1.34M","6.80%"
"11/17/2021","16,549.5","16,549.5","16,549.5","16,549.5","769.69K","6.97%"
"11/18/2021","17,674.7","17,674.7","17,674.7","17,674.7","185.33K","6.80%"
"11/19/2021","18,612.4","18,893.7","18,893.7","17,346.5","5.60M","5.31%"
"11/22/2021","17,346.5","19,221.8","19,409.4","17,346.5","2.52M","-6.80%"
"11/23/2021","16,784.0","16,221.4","17,534.1","16,174.5","1.29M","-3.24%"
