"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,180.0","9,180.0","9,410.0","9,150.0","258.80K","0.00%"
"07/02/2021","9,140.0","9,200.0","9,300.0","9,100.0","363.90K","-0.44%"
"07/05/2021","8,770.0","9,140.0","9,140.0","8,700.0","688.60K","-4.05%"
"07/06/2021","8,160.0","8,770.0","9,000.0","8,160.0","364.40K","-6.96%"
"07/07/2021","8,430.0","8,170.0","8,590.0","8,110.0","446.40K","3.31%"
"07/08/2021","8,430.0","8,430.0","8,700.0","8,400.0","203.40K","0.00%"
"07/09/2021","7,850.0","8,430.0","8,430.0","7,850.0","564.00K","-6.88%"
"07/12/2021","7,310.0","7,500.0","8,150.0","7,310.0","680.50K","-6.88%"
"07/13/2021","7,330.0","7,320.0","7,450.0","7,100.0","286.80K","0.27%"
"07/14/2021","7,440.0","7,250.0","7,450.0","7,250.0","204.40K","1.50%"
"07/15/2021","7,450.0","7,490.0","7,490.0","7,000.0","250.20K","0.13%"
"07/16/2021","7,290.0","7,590.0","7,590.0","7,200.0","159.90K","-2.15%"
"07/19/2021","6,890.0","7,270.0","7,270.0","6,850.0","422.60K","-5.49%"
"07/20/2021","7,370.0","6,890.0","7,370.0","6,890.0","314.50K","6.97%"
"07/21/2021","7,500.0","7,530.0","7,800.0","7,370.0","191.80K","1.76%"
"07/22/2021","7,890.0","7,600.0","7,900.0","7,000.0","301.80K","5.20%"
"07/23/2021","7,790.0","7,890.0","7,890.0","7,500.0","249.30K","-1.27%"
"07/26/2021","7,590.0","7,770.0","7,770.0","7,410.0","171.70K","-2.57%"
"07/27/2021","7,630.0","7,600.0","7,700.0","7,600.0","197.60K","0.53%"
"07/28/2021","7,600.0","7,630.0","7,630.0","7,500.0","129.00K","-0.39%"
"07/29/2021","7,560.0","7,600.0","7,640.0","7,420.0","203.40K","-0.53%"
"07/30/2021","7,510.0","7,560.0","7,580.0","7,450.0","289.90K","-0.66%"
"08/02/2021","7,610.0","7,400.0","7,700.0","7,400.0","268.00K","1.33%"
"08/03/2021","7,610.0","7,300.0","7,610.0","7,300.0","235.50K","0.00%"
