"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","28,950","28,550","29,100","28,550","230.00K","0.17%"
"07/02/2021","28,950","28,500","28,950","28,500","258.00K","0.00%"
"07/05/2021","28,950","28,700","29,000","28,500","327.40K","0.00%"
"07/06/2021","28,900","29,000","29,000","28,600","303.70K","-0.17%"
"07/07/2021","29,000","28,500","29,000","28,500","234.10K","0.35%"
"07/08/2021","28,900","28,700","29,100","28,700","223.60K","-0.34%"
"07/09/2021","28,800","29,100","29,500","28,600","235.60K","-0.35%"
"07/12/2021","28,600","28,800","28,900","28,600","370.10K","-0.69%"
"07/13/2021","28,550","28,700","28,750","28,500","201.20K","-0.17%"
"07/14/2021","28,500","28,550","28,800","28,400","222.60K","-0.18%"
"07/15/2021","28,550","28,500","28,650","28,500","245.60K","0.18%"
"07/16/2021","28,400","28,600","28,800","28,400","225.70K","-0.53%"
"07/19/2021","28,350","28,500","28,600","28,350","298.10K","-0.18%"
"07/20/2021","28,400","28,200","28,700","28,200","228.60K","0.18%"
"07/21/2021","28,450","28,350","28,700","28,200","236.50K","0.18%"
"07/22/2021","28,550","28,600","28,900","28,500","211.70K","0.35%"
"07/23/2021","28,600","28,400","28,900","28,200","264.80K","0.18%"
"07/26/2021","28,600","28,700","28,800","28,600","273.90K","0.00%"
"07/27/2021","28,700","28,700","28,900","28,500","341.30K","0.35%"
"07/28/2021","29,100","28,700","30,700","28,700","397.30K","1.39%"
"07/29/2021","28,800","29,500","29,900","28,800","390.50K","-1.03%"
"07/30/2021","28,800","28,800","29,400","28,800","311.50K","0.00%"
"08/02/2021","28,000","28,500","28,800","28,000","332.20K","-2.78%"
"08/03/2021","28,000","27,900","28,100","27,050","456.60K","0.00%"
"08/04/2021","28,300","28,000","28,800","28,000","410.90K","1.07%"
"08/05/2021","28,400","28,700","29,500","28,400","260.00K","0.35%"
"08/06/2021","28,450","28,900","28,950","28,400","262.00K","0.18%"
"08/09/2021","28,450","28,100","28,900","28,100","269.30K","0.00%"
"08/10/2021","28,450","28,600","28,600","28,400","266.80K","0.00%"
"08/11/2021","28,500","28,800","28,800","28,450","302.70K","0.18%"
"08/12/2021","28,400","28,400","28,700","28,300","242.70K","-0.35%"
"08/13/2021","28,400","28,650","28,650","28,400","207.20K","0.00%"
"08/16/2021","28,450","28,000","28,450","27,950","219.50K","0.18%"
"08/17/2021","28,450","28,600","28,800","28,450","220.00K","0.00%"
"08/18/2021","28,500","28,800","29,000","28,500","227.30K","0.18%"
"08/19/2021","28,550","28,800","29,000","28,550","212.70K","0.18%"
"08/20/2021","28,050","28,800","28,800","28,000","215.10K","-1.75%"
"08/23/2021","27,950","27,950","28,050","27,900","220.40K","-0.36%"
"08/24/2021","28,050","28,000","28,900","27,950","232.50K","0.36%"
"08/25/2021","28,350","28,050","28,500","28,000","201.50K","1.07%"
"08/26/2021","28,300","28,300","28,300","28,100","201.60K","-0.18%"
"08/27/2021","28,550","29,000","29,000","28,300","216.80K","0.88%"
"08/30/2021","28,600","28,300","28,600","28,200","221.80K","0.18%"
"08/31/2021","28,700","28,900","28,900","28,400","214.70K","0.35%"
"09/01/2021","28,800","28,300","29,500","28,300","223.30K","0.35%"
"09/06/2021","28,900","28,800","29,000","28,700","302.00K","0.35%"
"09/07/2021","28,800","28,800","29,050","28,800","308.30K","-0.35%"
"09/08/2021","29,000","28,800","29,100","28,700","223.70K","0.69%"
"09/09/2021","29,500","29,000","29,500","28,800","308.70K","1.72%"
"09/10/2021","30,000","29,600","30,000","29,600","213.30K","1.69%"
"09/13/2021","30,150","30,900","30,900","30,050","228.80K","0.50%"
"09/14/2021","30,500","30,100","31,000","30,000","257.50K","1.16%"
"09/15/2021","30,650","30,900","30,900","30,200","302.40K","0.49%"
"09/16/2021","30,700","30,600","30,700","30,200","223.50K","0.16%"
"09/17/2021","31,800","30,700","31,800","30,700","289.40K","3.58%"
"09/20/2021","32,200","31,800","32,400","31,800","249.70K","1.26%"
"09/21/2021","31,900","32,700","32,700","31,900","245.10K","-0.93%"
"09/22/2021","31,800","32,000","32,500","31,800","260.90K","-0.31%"
"09/23/2021","31,800","33,200","33,200","31,000","187.20K","0.00%"
"09/24/2021","31,800","31,400","32,500","31,400","632.90K","0.00%"
"09/27/2021","31,100","31,500","31,800","31,100","185.30K","-2.20%"
"09/28/2021","30,400","30,600","30,800","30,300","211.60K","-2.25%"
"09/29/2021","30,400","30,400","31,000","30,100","189.30K","0.00%"
"09/30/2021","30,450","30,150","31,400","30,150","227.70K","0.16%"
"10/01/2021","30,450","30,400","30,900","30,100","209.30K","0.00%"
"10/04/2021","31,300","31,550","31,800","31,200","226.30K","2.79%"
"10/05/2021","31,400","31,300","31,500","31,200","218.60K","0.32%"
"10/06/2021","31,450","31,100","31,450","31,100","358.10K","0.16%"
"10/07/2021","31,500","31,200","31,600","31,200","560.20K","0.16%"
"10/08/2021","31,500","31,800","31,800","31,500","302.80K","0.00%"
"10/11/2021","31,600","31,500","31,800","31,300","320.10K","0.32%"
"10/12/2021","31,700","31,400","32,000","31,400","369.30K","0.32%"
"10/13/2021","31,750","31,600","32,300","31,600","346.90K","0.16%"
"10/14/2021","31,800","31,750","32,400","31,300","356.60K","0.16%"
"10/15/2021","32,000","31,900","33,500","31,900","494.70K","0.63%"
"10/18/2021","32,200","33,800","33,800","32,200","507.20K","0.63%"
"10/19/2021","31,900","33,400","33,400","31,900","466.70K","-0.93%"
"10/20/2021","32,100","31,700","32,800","31,300","259.00K","0.63%"
"10/21/2021","32,250","31,900","32,700","31,700","300.50K","0.47%"
"10/22/2021","32,300","32,250","32,400","31,800","311.60K","0.16%"
"10/25/2021","32,400","32,600","33,100","32,300","281.70K","0.31%"
"10/26/2021","32,500","32,400","32,500","30,450","346.10K","0.31%"
"10/27/2021","32,500","32,500","32,700","32,300","187.00K","0.00%"
"10/28/2021","32,550","32,500","32,950","32,200","302.10K","0.15%"
"10/29/2021","32,700","32,550","32,700","32,500","339.60K","0.46%"
"11/01/2021","33,000","34,850","34,850","32,600","448.40K","0.92%"
"11/02/2021","33,500","33,000","33,950","32,800","361.90K","1.52%"
"11/03/2021","34,000","34,000","34,500","33,600","385.40K","1.49%"
"11/04/2021","34,450","34,000","34,500","33,900","235.20K","1.32%"
"11/05/2021","34,850","34,450","35,800","34,450","259.90K","1.16%"
"11/08/2021","34,900","34,900","35,500","34,850","316.50K","0.14%"
"11/09/2021","34,400","35,000","35,150","33,500","225.60K","-1.43%"
"11/10/2021","33,050","33,800","33,900","32,800","385.90K","-3.92%"
"11/11/2021","32,350","33,050","33,050","32,200","670.80K","-2.12%"
"11/12/2021","32,250","33,000","33,000","32,000","244.30K","-0.31%"
"11/15/2021","32,150","32,250","32,900","32,000","376.90K","-0.31%"
"11/16/2021","31,250","31,500","31,500","30,800","195.60K","-2.80%"
"11/17/2021","31,400","31,250","31,700","31,150","333.60K","0.48%"
"11/18/2021","31,450","31,500","31,800","31,400","230.20K","0.16%"
"11/19/2021","31,450","31,400","32,000","31,400","214.60K","0.00%"
"11/22/2021","31,450","31,400","31,450","31,050","234.90K","0.00%"
"11/23/2021","31,700","31,500","32,100","31,450","291.30K","0.79%"
"11/24/2021","31,800","31,700","32,400","31,700","298.90K","0.32%"
"11/25/2021","31,300","32,000","32,000","31,150","522.90K","-1.57%"
"11/26/2021","31,550","31,300","31,550","31,200","311.20K","0.80%"
"11/29/2021","31,550","31,300","31,800","31,300","182.80K","0.00%"
"11/30/2021","31,850","33,300","33,300","31,800","251.50K","0.95%"
"12/01/2021","31,900","31,700","32,500","31,550","245.20K","0.16%"
"12/02/2021","32,000","31,700","32,300","31,700","253.90K","0.31%"
"12/03/2021","31,550","31,800","32,000","31,550","242.80K","-1.41%"
"12/06/2021","31,400","31,550","31,800","31,400","420.30K","-0.48%"
"12/07/2021","31,550","31,400","31,800","31,400","328.70K","0.48%"
"12/08/2021","31,600","31,550","31,650","31,550","208.00K","0.16%"
"12/09/2021","31,600","31,700","31,700","31,200","259.70K","0.00%"
"12/10/2021","31,550","31,600","31,800","31,400","218.60K","-0.16%"
"12/13/2021","31,550","31,400","31,650","31,400","232.80K","0.00%"
"12/14/2021","31,600","31,550","31,600","31,500","297.30K","0.16%"
"12/15/2021","31,650","31,600","31,750","31,550","241.30K","0.16%"
"12/16/2021","31,700","31,500","31,800","31,500","283.70K","0.16%"
"12/17/2021","31,750","31,700","31,750","31,600","229.30K","0.16%"
"12/20/2021","31,750","31,850","31,900","31,650","344.30K","0.00%"
"12/21/2021","31,800","31,750","31,800","31,700","199.30K","0.16%"
"12/22/2021","32,100","31,700","32,500","31,700","312.90K","0.94%"
"12/23/2021","32,500","32,100","32,800","32,000","480.80K","1.25%"
"12/24/2021","33,500","33,000","34,500","33,000","253.60K","3.08%"
"12/27/2021","33,600","33,900","34,000","33,500","207.60K","0.30%"
"12/28/2021","33,600","34,000","34,200","33,500","231.10K","0.00%"
"12/29/2021","32,100","33,450","33,450","31,650","199.90K","-4.46%"
"12/30/2021","32,100","31,800","32,300","31,600","201.70K","0.00%"
"12/31/2021","32,150","31,900","32,150","31,700","203.20K","0.16%"
