"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,809.5","9,714.3","9,809.5","9,523.8","12.71K","0.00%"
"07/02/2021","9,904.8","9,809.5","9,904.8","9,761.9","7.98K","0.97%"
"07/05/2021","10,000.0","9,904.8","10,000.0","9,619.0","4.31K","0.96%"
"07/06/2021","9,761.9","9,904.8","9,904.8","9,619.0","9.87K","-2.38%"
"07/07/2021","9,714.3","9,571.4","9,714.3","9,161.9","17.12K","-0.49%"
"07/08/2021","9,523.8","9,238.1","9,714.3","9,238.1","2.00K","-1.96%"
"07/09/2021","9,523.8","9,619.0","9,619.0","9,142.9","9.35K","0.00%"
"07/12/2021","9,523.8","9,523.8","9,714.3","8,857.1","27.20K","0.00%"
"07/13/2021","9,523.8","9,619.0","9,714.3","9,285.7","4.41K","0.00%"
"07/14/2021","9,333.3","9,523.8","9,523.8","9,285.7","1.05K","-2.00%"
"07/15/2021","9,428.6","9,238.1","9,523.8","9,238.1","1.26K","1.02%"
"07/16/2021","9,523.8","9,419.0","9,523.8","9,314.3","8.51K","1.01%"
"07/19/2021","9,333.3","9,523.8","9,523.8","9,057.1","20.16K","-2.00%"
"07/20/2021","9,419.0","9,333.3","9,419.0","9,333.3","1.47K","0.92%"
"07/21/2021","9,523.8","9,238.1","9,523.8","9,238.1","8.51K","1.11%"
"07/22/2021","9,523.8","9,523.8","9,714.3","9,381.0","11.87K","0.00%"
"07/23/2021","9,428.6","9,523.8","9,523.8","9,428.6","1.68K","-1.00%"
"07/26/2021","9,523.8","9,419.0","9,619.0","9,381.0","17.96K","1.01%"
"07/27/2021","9,523.8","9,428.6","9,523.8","9,419.0","3.78K","0.00%"
"07/28/2021","10,190.5","9,428.6","10,190.5","9,352.4","13.44K","7.00%"
"07/29/2021","10,000.0","10,238.1","10,238.1","9,619.0","10.50K","-1.87%"
"07/30/2021","10,000.0","10,000.0","10,047.6","10,000.0","20.37K","0.00%"
"08/02/2021","10,190.5","9,904.8","10,190.5","9,571.4","10.19K","1.91%"
"08/03/2021","10,285.7","10,476.2","10,476.2","9,619.0","13.34K","0.93%"
"08/04/2021","10,476.2","9,714.3","10,476.2","9,714.3","16.91K","1.85%"
"08/05/2021","10,428.6","10,428.6","10,428.6","10,000.0","8.09K","-0.45%"
"08/06/2021","10,238.1","10,000.0","10,428.6","9,761.9","39.27K","-1.83%"
"08/09/2021","10,952.4","10,952.4","10,952.4","10,476.2","142.91K","6.98%"
"08/10/2021","11,714.3","11,714.3","11,714.3","11,714.3","32.24K","6.96%"
"08/11/2021","11,809.5","12,523.8","12,523.8","11,714.3","118.86K","0.81%"
"08/12/2021","11,238.1","11,428.6","11,619.0","11,142.9","117.29K","-4.84%"
"08/13/2021","10,904.8","10,952.4","11,190.5","10,857.1","91.98K","-2.97%"
"08/16/2021","11,666.7","10,666.7","11,666.7","10,285.7","66.15K","6.99%"
"08/17/2021","12,000.0","12,428.6","12,428.6","11,714.3","93.14K","2.86%"
"08/18/2021","12,619.0","12,571.4","12,619.0","12,095.2","301.04K","5.16%"
"08/19/2021","13,476.2","13,238.1","13,476.2","12,952.4","244.02K","6.79%"
"08/20/2021","13,904.8","14,285.7","14,285.7","13,428.6","379.37K","3.18%"
"08/23/2021","13,904.8","13,333.3","14,666.7","12,952.4","236.46K","0.00%"
