"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2021","15,400.0","16,000.0","16,000.0","15,400.0","2.01K","0.00%"
"07/05/2021","15,500.0","16,000.0","16,000.0","15,500.0","6.21K","0.65%"
"07/06/2021","15,000.0","15,000.0","15,000.0","15,000.0","15.90K","-3.23%"
"07/08/2021","15,300.0","16,200.0","16,300.0","15,300.0","0.50K","2.00%"
"07/09/2021","16,200.0","15,400.0","16,200.0","15,400.0","4.51K","5.88%"
"07/12/2021","15,200.0","16,000.0","16,000.0","15,200.0","2.11K","-6.17%"
"07/13/2021","15,200.0","15,200.0","15,200.0","15,200.0","0.10K","0.00%"
"07/16/2021","13,900.0","15,200.0","15,200.0","13,900.0","1.70K","-8.55%"
"07/19/2021","13,900.0","13,900.0","13,900.0","13,900.0","1.30K","0.00%"
"07/21/2021","14,900.0","14,900.0","14,900.0","14,900.0","0.11K","7.19%"
"07/22/2021","14,800.0","14,800.0","14,800.0","14,800.0","1.10K","-0.67%"
"07/26/2021","15,000.0","15,000.0","15,000.0","15,000.0","1.42K","1.35%"
"07/28/2021","16,100.0","16,100.0","16,100.0","16,100.0","0.10K","7.33%"
"07/29/2021","15,000.0","15,000.0","15,000.0","15,000.0","0.32K","-6.83%"
"08/03/2021","15,000.0","15,000.0","15,000.0","15,000.0","0.50K","0.00%"
"08/04/2021","16,000.0","16,100.0","16,100.0","16,000.0","0.50K","6.67%"
"08/06/2021","16,000.0","16,000.0","16,000.0","16,000.0","26.00K","0.00%"
"08/09/2021","15,000.0","15,000.0","15,000.0","15,000.0","2.02K","-6.25%"
"08/10/2021","15,800.0","15,500.0","15,800.0","15,500.0","1.80K","5.33%"
"08/12/2021","15,000.0","15,000.0","15,000.0","15,000.0","2.00K","-5.06%"
"08/13/2021","15,300.0","15,300.0","15,300.0","15,300.0","0.30K","2.00%"
"08/16/2021","15,000.0","15,000.0","15,000.0","15,000.0","2.20K","-1.96%"
"08/18/2021","15,400.0","15,400.0","15,400.0","15,400.0","0.10K","2.67%"
"08/19/2021","15,500.0","15,000.0","15,500.0","15,000.0","2.30K","0.65%"
"08/20/2021","15,200.0","15,400.0","15,600.0","15,000.0","2.64K","-1.94%"
"08/23/2021","15,300.0","15,500.0","15,500.0","15,000.0","1.60K","0.66%"
"08/24/2021","14,900.0","15,000.0","15,000.0","14,900.0","1.60K","-2.61%"
"08/25/2021","14,900.0","14,900.0","14,900.0","14,900.0","0.80K","0.00%"
"08/26/2021","14,900.0","14,900.0","14,900.0","14,900.0","0.40K","0.00%"
"08/27/2021","15,200.0","15,200.0","15,200.0","15,200.0","0.40K","2.01%"
"09/06/2021","15,700.0","15,250.0","16,250.0","15,000.0","10.10K","3.29%"
"09/07/2021","16,750.0","15,000.0","16,750.0","15,000.0","6.10K","6.69%"
"09/08/2021","16,750.0","17,700.0","17,700.0","16,700.0","2.20K","0.00%"
"09/09/2021","16,000.0","15,600.0","16,250.0","15,600.0","3.70K","-4.48%"
"09/10/2021","15,000.0","16,000.0","16,000.0","15,000.0","8.80K","-6.25%"
