"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","28,904.4","28,904.4","28,952.7","28,904.4","2.60K","-0.17%"
"07/02/2021","28,904.4","28,904.4","28,904.4","28,904.4","0.40K","0.00%"
"07/05/2021","28,759.3","27,551.0","28,759.3","27,551.0","2.00K","-0.50%"
"07/06/2021","29,242.7","29,484.4","29,484.4","27,261.0","1.00K","1.68%"
"07/07/2021","29,291.0","28,517.7","29,291.0","28,517.7","33.00K","0.17%"
"07/08/2021","28,807.7","29,967.7","31,321.1","28,517.7","29.20K","-1.65%"
"07/09/2021","30,354.4","29,967.7","30,692.8","29,967.7","3.00K","5.37%"
"07/12/2021","29,871.1","31,417.8","32,384.5","28,276.0","2.00K","-1.59%"
"07/13/2021","29,484.4","29,871.1","31,901.1","28,856.0","11.00K","-1.29%"
"07/14/2021","29,484.4","30,451.1","30,451.1","29,484.4","4.40K","0.00%"
"07/15/2021","29,001.0","29,919.4","29,919.4","29,001.0","6.20K","-1.64%"
"07/16/2021","29,387.7","28,517.7","30,451.1","28,517.7","3.80K","1.33%"
"07/19/2021","28,517.7","30,837.8","30,837.8","28,517.7","1.20K","-2.96%"
"07/20/2021","30,451.1","29,967.7","30,451.1","29,967.7","0.40K","6.78%"
"07/21/2021","29,967.7","30,354.4","30,886.1","29,967.7","4.60K","-1.59%"
"07/22/2021","29,484.4","28,131.0","30,402.7","28,131.0","6.00K","-1.61%"
"07/23/2021","29,677.7","30,837.8","30,837.8","28,614.3","2.00K","0.66%"
"07/26/2021","30,161.1","30,161.1","30,161.1","30,161.1","0.20K","1.63%"
"07/27/2021","29,822.7","28,517.7","29,822.7","28,517.7","1.80K","-1.12%"
"07/29/2021","30,354.4","30,354.4","30,354.4","30,354.4","0.20K","1.78%"
"07/30/2021","29,967.7","29,726.1","29,967.7","29,726.1","30.20K","-1.27%"
"08/02/2021","29,919.4","28,517.7","29,919.4","28,517.7","6.60K","-0.16%"
"08/03/2021","30,354.4","29,967.7","30,354.4","29,967.7","0.40K","1.45%"
"08/04/2021","29,871.1","29,871.1","29,871.1","29,871.1","0.40K","-1.59%"
"08/05/2021","28,614.3","28,614.3","28,614.3","28,614.3","0.20K","-4.21%"
