"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,799.3","11,009.4","11,093.5","10,757.3","2.94M","-1.91%"
"07/02/2021","10,631.3","10,799.3","10,883.4","10,547.2","3.06M","-1.56%"
"07/05/2021","10,379.1","10,589.2","10,589.2","10,127.0","3.40M","-2.37%"
"07/06/2021","10,043.0","10,379.1","10,463.2","10,043.0","3.53M","-3.24%"
"07/07/2021","9,916.9","9,748.8","10,043.0","9,664.8","2.10M","-1.26%"
"07/08/2021","9,916.9","9,916.9","10,211.0","9,874.9","1.50M","0.00%"
"07/09/2021","9,790.8","9,916.9","10,127.0","9,748.8","2.04M","-1.27%"
"07/12/2021","9,118.5","9,664.8","9,748.8","9,118.5","4.04M","-6.87%"
"07/13/2021","9,496.7","9,244.6","9,496.7","9,160.5","2.02M","4.15%"
"07/14/2021","9,748.8","9,622.8","9,790.8","9,454.7","2.15M","2.65%"
"07/15/2021","10,043.0","9,748.8","10,169.0","9,664.8","1.60M","3.02%"
"07/16/2021","9,916.9","9,958.9","10,043.0","9,874.9","902.05K","-1.26%"
"07/19/2021","9,328.6","9,412.6","9,664.8","9,244.6","2.89M","-5.93%"
"07/20/2021","9,664.8","9,286.6","9,664.8","9,286.6","1.36M","3.60%"
"07/21/2021","9,664.8","9,664.8","9,832.9","9,538.7","947.75K","0.00%"
"07/22/2021","10,085.0","9,706.8","10,211.0","9,706.8","3.41M","4.35%"
"07/23/2021","9,874.9","10,085.0","10,127.0","9,874.9","1.64M","-2.08%"
"07/26/2021","10,085.0","9,748.8","10,127.0","9,664.8","1.33M","2.13%"
"07/27/2021","10,085.0","10,337.1","10,337.1","10,043.0","2.01M","0.00%"
"07/28/2021","10,000.9","10,043.0","10,295.1","9,916.9","1.68M","-0.83%"
"07/29/2021","10,085.0","10,043.0","10,127.0","9,958.9","1.33M","0.84%"
"07/30/2021","10,463.2","10,085.0","10,547.2","10,000.9","4.17M","3.75%"
"08/02/2021","10,421.1","10,337.1","10,547.2","10,337.1","2.11M","-0.40%"
"08/03/2021","10,379.1","10,337.1","10,463.2","10,295.1","1.88M","-0.40%"
"08/04/2021","10,589.2","10,379.1","10,757.3","10,379.1","5.10M","2.02%"
"08/05/2021","10,799.3","10,631.3","10,883.4","10,547.2","3.09M","1.98%"
"08/06/2021","10,757.3","10,841.4","10,883.4","10,589.2","2.23M","-0.39%"
"08/09/2021","11,471.7","10,631.3","11,471.7","10,589.2","9.80M","6.64%"
"08/10/2021","11,513.7","11,765.8","11,765.8","11,429.6","6.08M","0.37%"
"08/11/2021","11,891.9","11,513.7","12,228.0","11,513.7","7.94M","3.28%"
"08/12/2021","12,270.1","11,933.9","12,564.2","11,849.9","11.21M","3.18%"
"08/13/2021","12,354.1","12,270.1","12,522.2","11,891.9","7.87M","0.68%"
"08/16/2021","12,522.2","12,690.3","13,068.5","12,522.2","10.48M","1.36%"
"08/17/2021","12,774.3","12,522.2","12,942.4","12,270.1","9.59M","2.01%"
"08/18/2021","12,774.3","12,774.3","13,068.5","12,648.2","4.96M","0.00%"
"08/19/2021","13,026.4","12,774.3","13,026.4","12,438.1","6.63M","1.97%"
"08/20/2021","12,774.3","13,110.5","13,614.7","12,522.2","13.97M","-1.94%"
"08/23/2021","12,816.3","12,774.3","13,362.6","12,690.3","7.81M","0.33%"
"08/24/2021","12,060.0","13,110.5","13,278.6","11,933.9","8.99M","-5.90%"
