"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,340.0","7,370.0","7,500.0","7,280.0","4.70M","0.00%"
"07/02/2021","7,260.0","7,320.0","7,450.0","7,260.0","3.34M","-1.09%"
"07/05/2021","7,070.0","7,250.0","7,250.0","7,020.0","5.37M","-2.62%"
"07/06/2021","6,610.0","7,010.0","7,120.0","6,610.0","5.65M","-6.51%"
"07/07/2021","6,590.0","6,620.0","6,880.0","6,510.0","5.20M","-0.30%"
"07/08/2021","6,640.0","6,750.0","6,750.0","6,590.0","2.31M","0.76%"
"07/09/2021","6,440.0","6,640.0","6,660.0","6,400.0","2.90M","-3.01%"
"07/12/2021","5,990.0","6,250.0","6,400.0","5,990.0","5.75M","-6.99%"
"07/13/2021","6,220.0","6,000.0","6,220.0","5,940.0","2.81M","3.84%"
"07/14/2021","6,240.0","6,200.0","6,240.0","5,970.0","2.46M","0.32%"
"07/15/2021","6,250.0","6,110.0","6,290.0","6,100.0","2.24M","0.16%"
"07/16/2021","6,160.0","6,230.0","6,290.0","6,150.0","1.37M","-1.44%"
"07/19/2021","5,730.0","5,860.0","6,000.0","5,730.0","4.34M","-6.98%"
"07/20/2021","5,790.0","5,700.0","5,790.0","5,400.0","2.67M","1.05%"
"07/21/2021","5,730.0","5,780.0","5,840.0","5,700.0","2.51M","-1.04%"
"07/22/2021","6,030.0","5,700.0","6,090.0","5,700.0","3.52M","5.24%"
"07/23/2021","5,970.0","5,950.0","6,090.0","5,890.0","2.24M","-1.00%"
"07/26/2021","5,960.0","5,880.0","6,000.0","5,800.0","2.35M","-0.17%"
"07/27/2021","5,910.0","5,990.0","5,990.0","5,900.0","2.18M","-0.84%"
"07/28/2021","5,830.0","5,760.0","5,910.0","5,760.0","1.79M","-1.35%"
"07/29/2021","5,870.0","5,900.0","5,920.0","5,840.0","1.40M","0.69%"
"07/30/2021","5,910.0","5,880.0","5,950.0","5,870.0","1.87M","0.68%"
"08/02/2021","5,940.0","5,940.0","5,980.0","5,900.0","1.93M","0.51%"
"08/03/2021","6,100.0","5,950.0","6,110.0","5,940.0","3.99M","2.69%"
"08/04/2021","6,220.0","6,140.0","6,290.0","6,140.0","3.29M","1.97%"
"08/05/2021","6,240.0","6,200.0","6,290.0","6,150.0","2.13M","0.32%"
"08/06/2021","6,380.0","6,230.0","6,550.0","6,130.0","5.48M","2.24%"
"08/09/2021","6,520.0","6,300.0","6,650.0","6,300.0","3.20M","2.19%"
"08/10/2021","6,470.0","6,520.0","6,590.0","6,410.0","3.58M","-0.77%"
"08/11/2021","6,450.0","6,470.0","6,590.0","6,440.0","4.05M","-0.31%"
"08/12/2021","6,520.0","6,400.0","6,640.0","6,400.0","4.38M","1.09%"
"08/13/2021","6,530.0","6,500.0","6,530.0","6,310.0","3.44M","0.15%"
"08/16/2021","6,720.0","6,600.0","6,840.0","6,530.0","5.86M","2.91%"
"08/17/2021","6,580.0","6,750.0","6,750.0","6,560.0","3.63M","-2.08%"
"08/18/2021","6,580.0","6,540.0","6,720.0","6,530.0","2.61M","0.00%"
"08/19/2021","6,550.0","6,530.0","6,590.0","6,490.0","3.26M","-0.46%"
"08/20/2021","6,540.0","6,540.0","6,700.0","6,160.0","7.00M","-0.15%"
"08/23/2021","6,120.0","6,490.0","6,500.0","6,120.0","3.63M","-6.42%"
"08/24/2021","6,070.0","6,100.0","6,260.0","5,960.0","3.53M","-0.82%"
"08/25/2021","6,190.0","6,090.0","6,190.0","6,070.0","2.22M","1.98%"
"08/26/2021","6,100.0","6,100.0","6,240.0","6,100.0","1.95M","-1.45%"
"08/27/2021","6,160.0","6,100.0","6,190.0","6,000.0","2.22M","0.98%"
"08/30/2021","6,270.0","6,300.0","6,300.0","6,160.0","3.92M","1.79%"
"08/31/2021","6,320.0","6,260.0","6,480.0","6,230.0","4.13M","0.80%"
"09/01/2021","6,380.0","6,320.0","6,430.0","6,300.0","2.67M","0.95%"
"09/06/2021","6,760.0","6,490.0","6,790.0","6,450.0","8.42M","5.96%"
"09/07/2021","6,510.0","6,800.0","6,800.0","6,460.0","4.07M","-3.70%"
"09/08/2021","6,440.0","6,500.0","6,550.0","6,410.0","2.07M","-1.08%"
"09/09/2021","6,490.0","6,410.0","6,490.0","6,370.0","2.49M","0.78%"
"09/10/2021","6,510.0","6,500.0","6,580.0","6,460.0","2.83M","0.31%"
"09/13/2021","6,960.0","6,520.0","6,960.0","6,520.0","13.66M","6.91%"
"09/14/2021","6,800.0","7,140.0","7,200.0","6,800.0","7.53M","-2.30%"
"09/15/2021","6,920.0","6,800.0","7,000.0","6,710.0","3.53M","1.76%"
"09/16/2021","7,180.0","6,900.0","7,310.0","6,900.0","10.11M","3.76%"
"09/17/2021","7,140.0","7,200.0","7,270.0","7,040.0","5.68M","-0.56%"
"09/20/2021","7,270.0","7,150.0","7,500.0","7,130.0","8.04M","1.82%"
"09/21/2021","7,220.0","7,100.0","7,310.0","7,040.0","8.84M","-0.69%"
"09/22/2021","7,720.0","7,300.0","7,720.0","7,260.0","15.80M","6.93%"
"09/23/2021","7,550.0","7,890.0","8,090.0","7,510.0","10.66M","-2.20%"
"09/24/2021","7,320.0","7,510.0","7,550.0","7,320.0","5.98M","-3.05%"
"09/27/2021","6,850.0","7,240.0","7,280.0","6,850.0","7.77M","-6.42%"
"09/28/2021","6,990.0","6,700.0","6,990.0","6,650.0","4.55M","2.04%"
"09/29/2021","6,910.0","6,900.0","6,990.0","6,780.0","3.56M","-1.14%"
"09/30/2021","7,220.0","6,910.0","7,300.0","6,910.0","4.41M","4.49%"
"10/01/2021","7,360.0","7,110.0","7,430.0","7,110.0","5.77M","1.94%"
"10/04/2021","7,200.0","7,370.0","7,480.0","7,200.0","3.50M","-2.17%"
"10/05/2021","7,230.0","7,210.0","7,290.0","7,190.0","3.07M","0.42%"
"10/06/2021","7,370.0","7,350.0","7,400.0","7,250.0","3.23M","1.94%"
"10/07/2021","7,620.0","7,420.0","7,690.0","7,400.0","6.07M","3.39%"
"10/08/2021","7,600.0","7,700.0","7,700.0","7,400.0","4.83M","-0.26%"
"10/11/2021","7,470.0","7,600.0","7,620.0","7,420.0","4.50M","-1.71%"
"10/12/2021","7,530.0","7,490.0","7,590.0","7,430.0","4.13M","0.80%"
"10/13/2021","8,050.0","7,600.0","8,050.0","7,550.0","18.09M","6.91%"
"10/14/2021","8,110.0","8,400.0","8,410.0","8,110.0","10.68M","0.75%"
"10/15/2021","8,150.0","8,120.0","8,250.0","8,010.0","5.82M","0.49%"
"10/18/2021","8,500.0","8,150.0","8,640.0","8,080.0","12.93M","4.29%"
"10/19/2021","8,400.0","8,500.0","8,640.0","8,330.0","6.72M","-1.18%"
"10/20/2021","8,600.0","8,480.0","8,700.0","8,400.0","8.22M","2.38%"
"10/21/2021","8,600.0","8,600.0","8,770.0","8,500.0","5.61M","0.00%"
"10/22/2021","8,880.0","8,610.0","8,990.0","8,610.0","7.88M","3.26%"
"10/25/2021","8,710.0","9,000.0","9,150.0","8,680.0","8.00M","-1.91%"
"10/26/2021","8,740.0","8,710.0","8,800.0","8,550.0","7.01M","0.34%"
"10/27/2021","9,040.0","9,000.0","9,290.0","9,000.0","11.46M","3.43%"
"10/28/2021","9,150.0","9,110.0","9,200.0","8,940.0","8.08M","1.22%"
"10/29/2021","9,790.0","9,190.0","9,790.0","9,170.0","15.97M","6.99%"
"11/01/2021","10,450.0","10,450.0","10,450.0","10,300.0","5.75M","6.74%"
"11/02/2021","11,150.0","11,150.0","11,150.0","10,450.0","29.12M","6.70%"
"11/03/2021","10,400.0","11,500.0","11,750.0","10,400.0","30.47M","-6.73%"
"11/04/2021","10,850.0","10,200.0","11,100.0","9,900.0","17.28M","4.33%"
"11/05/2021","10,600.0","11,000.0","11,000.0","10,500.0","9.85M","-2.30%"
"11/08/2021","11,300.0","10,550.0","11,300.0","10,550.0","17.16M","6.60%"
"11/09/2021","12,050.0","11,900.0","12,050.0","11,600.0","7.44M","6.64%"
"11/10/2021","12,850.0","12,850.0","12,850.0","12,850.0","4.54M","6.64%"
"11/11/2021","13,500.0","13,700.0","13,700.0","12,000.0","34.80M","5.06%"
"11/12/2021","14,400.0","13,350.0","14,400.0","12,950.0","14.73M","6.67%"
"11/15/2021","15,400.0","15,400.0","15,400.0","14,500.0","12.90M","6.94%"
"11/16/2021","14,350.0","14,800.0","15,400.0","14,350.0","31.50M","-6.82%"
"11/17/2021","15,100.0","13,750.0","15,350.0","13,700.0","18.90M","5.23%"
