"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,600.0","6,750.0","6,750.0","6,500.0","41.20K","-3.08%"
"07/02/2021","6,410.0","6,460.0","6,700.0","6,400.0","41.20K","-2.88%"
"07/05/2021","6,470.0","6,410.0","6,490.0","6,300.0","49.90K","0.94%"
"07/06/2021","6,330.0","6,210.0","6,610.0","6,210.0","57.70K","-2.16%"
"07/07/2021","6,380.0","6,350.0","6,390.0","6,100.0","59.30K","0.79%"
"07/08/2021","6,390.0","6,470.0","6,470.0","6,300.0","73.30K","0.16%"
"07/09/2021","6,290.0","6,300.0","6,350.0","6,010.0","43.90K","-1.56%"
"07/12/2021","5,910.0","6,240.0","6,240.0","5,850.0","53.80K","-6.04%"
"07/13/2021","6,070.0","5,910.0","6,090.0","5,510.0","12.80K","2.71%"
"07/14/2021","6,190.0","6,460.0","6,460.0","6,190.0","0.50K","1.98%"
"07/15/2021","6,200.0","6,370.0","6,370.0","5,850.0","37.10K","0.16%"
"07/16/2021","6,160.0","6,050.0","6,170.0","6,000.0","23.00K","-0.65%"
"07/19/2021","5,850.0","6,040.0","6,070.0","5,800.0","30.60K","-5.03%"
"07/20/2021","5,950.0","5,980.0","5,980.0","5,560.0","5.30K","1.71%"
"07/21/2021","5,950.0","6,100.0","6,100.0","5,800.0","27.70K","0.00%"
"07/22/2021","6,180.0","5,990.0","6,180.0","5,800.0","42.80K","3.87%"
"07/23/2021","6,070.0","6,010.0","6,300.0","5,870.0","62.90K","-1.78%"
"07/26/2021","6,130.0","5,810.0","6,130.0","5,810.0","5.90K","0.99%"
"07/27/2021","6,110.0","6,000.0","6,110.0","5,980.0","24.90K","-0.33%"
"07/28/2021","6,090.0","6,000.0","6,100.0","5,980.0","10.80K","-0.33%"
"07/29/2021","6,100.0","6,170.0","6,170.0","6,000.0","14.90K","0.16%"
"07/30/2021","6,100.0","5,970.0","6,100.0","5,900.0","19.40K","0.00%"
"08/02/2021","6,020.0","6,090.0","6,090.0","5,810.0","28.10K","-1.31%"
"08/03/2021","5,950.0","6,150.0","6,150.0","5,860.0","9.30K","-1.16%"
"08/04/2021","5,930.0","6,000.0","6,000.0","5,900.0","42.00K","-0.34%"
"08/05/2021","6,190.0","5,940.0","6,190.0","5,930.0","92.30K","4.38%"
"08/06/2021","6,150.0","6,150.0","6,280.0","6,150.0","22.30K","-0.65%"
"08/09/2021","6,030.0","6,150.0","6,150.0","6,010.0","34.40K","-1.95%"
