"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","41,026.0","41,025.9","41,117.0","39,755.0","266.10K","-0.33%"
"07/02/2021","40,844.0","41,025.9","41,071.0","40,118.0","202.50K","-0.44%"
"07/05/2021","40,345.0","40,572.1","40,890.0","39,029.0","366.10K","-1.22%"
"07/06/2021","41,207.0","40,118.3","43,159.0","40,028.0","557.10K","2.14%"
"07/07/2021","41,752.0","40,572.1","41,752.0","39,029.0","273.70K","1.32%"
"07/08/2021","42,660.0","42,115.1","44,021.0","42,024.0","373.60K","2.17%"
"07/09/2021","40,844.0","41,842.8","42,660.0","39,937.0","282.40K","-4.26%"
"07/12/2021","38,212.0","39,936.7","40,391.0","37,985.0","442.00K","-6.44%"
"07/13/2021","40,844.0","38,212.2","40,844.0","38,212.0","352.20K","6.89%"
"07/14/2021","41,934.0","40,935.2","42,750.0","39,937.0","385.90K","2.67%"
"07/15/2021","42,433.0","41,752.1","42,614.0","39,937.0","160.90K","1.19%"
"07/16/2021","43,522.0","42,432.8","44,021.0","42,115.0","537.30K","2.57%"
"07/19/2021","42,660.0","42,205.9","43,749.0","41,752.0","488.60K","-1.98%"
"07/20/2021","42,977.0","42,750.5","43,749.0","42,750.0","284.80K","0.74%"
"07/21/2021","44,657.0","43,204.3","45,383.0","43,114.0","1.08M","3.91%"
"07/22/2021","44,384.0","44,656.5","46,200.0","44,339.0","987.90K","-0.61%"
"07/23/2021","43,930.0","44,202.7","44,566.0","43,567.0","664.70K","-1.02%"
"07/26/2021","46,290.0","43,567.4","46,744.0","42,660.0","917.10K","5.37%"
"07/27/2021","45,247.0","46,562.6","46,563.0","45,020.0","513.60K","-2.25%"
"07/28/2021","44,883.0","44,747.3","45,473.0","44,475.0","323.70K","-0.80%"
"07/29/2021","45,292.0","44,883.5","45,292.0","44,021.0","592.40K","0.91%"
"07/30/2021","46,109.0","45,291.9","46,653.0","44,929.0","588.40K","1.80%"
"08/02/2021","46,472.0","46,108.8","47,198.0","45,836.0","418.50K","0.79%"
"08/03/2021","46,926.0","46,471.9","47,107.0","45,473.0","479.40K","0.98%"
"08/04/2021","46,563.0","47,198.0","47,198.0","46,290.0","398.50K","-0.77%"
"08/05/2021","46,563.0","46,381.1","46,835.0","46,109.0","255.20K","0.00%"
"08/06/2021","47,198.0","46,471.9","48,378.0","46,290.0","673.70K","1.36%"
"08/09/2021","47,652.0","47,016.4","48,015.0","47,016.0","256.80K","0.96%"
"08/10/2021","47,743.0","47,561.0","48,106.0","47,198.0","363.50K","0.19%"
"08/11/2021","47,470.0","48,014.9","48,650.0","47,470.0","420.50K","-0.57%"
"08/12/2021","47,743.0","47,651.8","48,559.0","46,744.0","591.90K","0.58%"
"08/13/2021","47,380.0","47,288.7","47,743.0","46,290.0","488.80K","-0.76%"
"08/16/2021","48,469.0","47,107.2","49,013.0","47,107.0","497.50K","2.30%"
"08/17/2021","48,650.0","48,468.7","48,741.0","48,106.0","498.10K","0.37%"
"08/18/2021","48,469.0","48,650.2","48,650.0","48,196.0","300.80K","-0.37%"
"08/19/2021","48,106.0","48,377.9","48,378.0","47,743.0","246.60K","-0.75%"
"08/20/2021","45,655.0","48,105.6","48,106.0","44,929.0","792.80K","-5.09%"
"08/23/2021","42,542.0","45,560.6","46,221.0","42,542.0","509.10K","-6.82%"
"08/24/2021","41,599.0","41,740.3","42,731.0","40,561.0","342.40K","-2.22%"
"08/25/2021","41,882.0","41,315.8","41,882.0","40,656.0","289.30K","0.68%"
"08/26/2021","43,485.0","41,976.1","44,334.0","41,976.0","410.70K","3.83%"
"08/27/2021","44,476.0","43,202.4","44,476.0","43,014.0","329.10K","2.28%"
"08/30/2021","47,164.0","44,523.0","47,542.0","44,523.0","672.80K","6.04%"
"08/31/2021","47,353.0","47,164.2","48,862.0","46,410.0","595.40K","0.40%"
"09/01/2021","47,636.0","47,164.2","48,013.0","47,164.0","237.50K","0.60%"
"09/06/2021","47,070.0","47,918.8","47,919.0","47,070.0","567.60K","-1.19%"
"09/07/2021","45,372.0","46,692.6","47,164.0","45,325.0","549.50K","-3.61%"
"09/08/2021","45,278.0","45,324.8","46,127.0","44,806.0","213.50K","-0.21%"
"09/09/2021","47,117.0","45,372.0","47,164.0","45,372.0","324.20K","4.06%"
"09/10/2021","46,221.0","47,164.2","47,259.0","46,221.0","300.50K","-1.90%"
"09/13/2021","45,561.0","46,692.6","46,693.0","45,278.0","201.30K","-1.43%"
"09/14/2021","44,429.0","45,560.6","45,561.0","43,863.0","314.00K","-2.48%"
"09/15/2021","44,712.0","44,428.7","44,900.0","43,863.0","280.00K","0.64%"
"09/16/2021","44,806.0","45,277.6","45,278.0","44,664.0","154.00K","0.21%"
"09/17/2021","46,410.0","45,183.3","46,598.0","44,476.0","297.00K","3.58%"
"09/20/2021","45,466.0","46,409.6","46,693.0","45,183.0","316.20K","-2.03%"
"09/21/2021","45,089.0","44,758.8","45,230.0","44,146.0","269.60K","-0.83%"
"09/22/2021","46,032.0","45,277.6","46,362.0","44,617.0","338.10K","2.09%"
"09/23/2021","47,919.0","47,069.9","48,579.0","46,598.0","1.32M","4.10%"
"09/24/2021","47,447.0","48,201.8","48,673.0","46,881.0","350.60K","-0.98%"
"09/27/2021","45,278.0","46,786.9","47,447.0","45,278.0","264.30K","-4.57%"
"09/28/2021","45,561.0","44,334.3","45,844.0","43,391.0","648.20K","0.63%"
"09/29/2021","45,702.0","45,277.6","46,221.0","44,570.0","157.40K","0.31%"
"09/30/2021","46,127.0","45,702.1","46,598.0","45,702.0","191.60K","0.93%"
"10/01/2021","46,362.0","45,419.1","46,551.0","45,419.0","363.40K","0.51%"
"10/04/2021","48,956.0","46,409.6","49,239.0","46,032.0","837.10K","5.60%"
"10/05/2021","49,334.0","49,333.8","49,805.0","48,768.0","455.60K","0.77%"
"10/06/2021","49,711.0","49,994.1","49,994.0","49,428.0","304.70K","0.76%"
"10/07/2021","50,937.0","49,711.1","51,409.0","47,117.0","576.90K","2.47%"
"10/08/2021","50,371.0","50,937.3","51,409.0","50,088.0","282.80K","-1.11%"
"10/11/2021","49,994.0","50,465.7","51,126.0","49,805.0","291.20K","-0.75%"
"10/12/2021","49,711.0","49,805.4","50,277.0","49,145.0","359.40K","-0.57%"
"10/13/2021","51,881.0","49,805.4","52,447.0","49,805.0","828.90K","4.37%"
"10/14/2021","52,258.0","52,635.2","53,673.0","51,975.0","460.30K","0.73%"
"10/15/2021","53,013.0","52,257.9","54,145.0","51,409.0","656.90K","1.44%"
"10/18/2021","52,541.0","53,767.2","53,767.0","52,352.0","378.60K","-0.89%"
"10/19/2021","51,786.0","50,088.4","53,767.0","50,088.0","414.70K","-1.44%"
"10/20/2021","51,881.0","51,597.6","53,767.0","51,126.0","225.50K","0.18%"
"10/21/2021","52,258.0","52,352.3","52,541.0","51,975.0","138.40K","0.73%"
"10/22/2021","53,579.0","51,880.6","54,239.0","51,881.0","422.20K","2.53%"
"10/25/2021","52,352.0","53,484.2","53,579.0","52,258.0","406.70K","-2.29%"
"10/26/2021","52,164.0","51,974.9","52,164.0","51,032.0","300.30K","-0.36%"
"10/27/2021","52,824.0","52,257.9","54,050.0","51,881.0","805.90K","1.27%"
"10/28/2021","54,239.0","53,295.5","54,993.0","53,296.0","851.20K","2.68%"
"10/29/2021","54,050.0","54,710.5","55,654.0","53,579.0","1.85M","-0.35%"
"11/01/2021","52,541.0","53,861.5","53,862.0","52,447.0","864.10K","-2.79%"
"11/02/2021","53,107.0","51,880.6","53,767.0","51,126.0","557.30K","1.08%"
"11/03/2021","50,183.0","54,333.2","54,522.0","49,522.0","1.02M","-5.51%"
"11/04/2021","49,994.0","49,522.4","50,183.0","48,107.0","515.50K","-0.38%"
"11/05/2021","50,371.0","50,277.0","50,466.0","49,428.0","539.00K","0.75%"
"11/08/2021","50,843.0","50,371.4","51,881.0","49,994.0","483.60K","0.94%"
"11/09/2021","50,371.0","51,597.6","51,598.0","49,617.0","533.20K","-0.93%"
"11/10/2021","49,145.0","49,994.1","49,994.0","49,051.0","767.80K","-2.43%"
"11/11/2021","50,560.0","49,050.8","50,937.0","49,051.0","746.30K","2.88%"
"11/12/2021","49,900.0","50,937.3","51,126.0","49,428.0","306.30K","-1.31%"
"11/15/2021","48,862.0","49,616.7","50,371.0","48,485.0","970.70K","-2.08%"
"11/16/2021","47,919.0","48,579.1","48,673.0","47,636.0","602.00K","-1.93%"
"11/17/2021","48,579.0","47,635.8","49,334.0","47,447.0","390.40K","1.38%"
"11/18/2021","48,296.0","49,239.4","49,239.0","48,107.0","267.10K","-0.58%"
"11/19/2021","48,390.0","48,390.5","49,805.0","47,636.0","646.90K","0.19%"
"11/22/2021","45,278.0","48,296.1","48,296.0","45,183.0","555.60K","-6.43%"
"11/23/2021","46,221.0","45,277.6","46,693.0","44,806.0","262.30K","2.08%"
"11/24/2021","46,221.0","47,447.2","47,447.0","45,938.0","377.70K","0.00%"
"11/25/2021","45,985.0","46,220.9","46,693.0","45,419.0","519.00K","-0.51%"
"11/26/2021","45,985.0","46,598.2","47,117.0","45,844.0","251.20K","0.00%"
"11/29/2021","45,372.0","44,994.6","45,938.0","44,995.0","372.40K","-1.33%"
"11/30/2021","46,976.0","45,607.8","47,542.0","45,608.0","529.00K","3.54%"
"12/01/2021","48,107.0","46,975.5","48,956.0","46,976.0","259.80K","2.41%"
"12/02/2021","48,390.0","48,484.8","48,579.0","47,447.0","339.70K","0.59%"
"12/03/2021","46,787.0","48,390.5","48,390.0","46,787.0","337.20K","-3.31%"
"12/06/2021","44,853.0","46,220.9","46,504.0","44,806.0","280.50K","-4.13%"
"12/07/2021","45,891.0","45,277.6","45,891.0","44,712.0","138.10K","2.31%"
"12/08/2021","46,504.0","45,937.9","47,164.0","45,419.0","212.20K","1.34%"
"12/09/2021","46,645.0","46,268.1","46,693.0","46,221.0","136.10K","0.30%"
"12/10/2021","47,730.0","46,645.4","48,956.0","46,221.0","344.40K","2.33%"
"12/13/2021","48,485.0","48,107.5","49,617.0","47,824.0","475.80K","1.58%"
"12/14/2021","48,579.0","48,862.1","49,334.0","47,636.0","224.70K","0.19%"
"12/15/2021","48,485.0","48,107.5","49,051.0","45,278.0","203.60K","-0.19%"
"12/16/2021","47,730.0","48,767.8","48,768.0","47,353.0","227.10K","-1.56%"
"12/17/2021","47,636.0","48,107.5","48,485.0","47,447.0","260.30K","-0.20%"
"12/20/2021","46,457.0","47,069.9","47,636.0","46,174.0","313.10K","-2.48%"
"12/21/2021","47,070.0","45,466.3","47,542.0","45,466.0","239.00K","1.32%"
"12/22/2021","46,127.0","46,975.5","47,164.0","45,466.0","192.00K","-2.00%"
"12/23/2021","44,523.0","45,749.3","46,504.0","44,240.0","387.70K","-3.48%"
"12/24/2021","45,466.0","44,711.7","45,749.0","44,712.0","256.90K","2.12%"
"12/27/2021","46,127.0","45,466.3","46,221.0","45,466.0","103.00K","1.45%"
"12/28/2021","47,164.0","46,503.9","47,164.0","46,174.0","429.40K","2.25%"
"12/29/2021","50,466.0","48,107.5","50,466.0","48,107.0","801.30K","7.00%"
"12/30/2021","50,749.0","51,880.6","52,824.0","50,749.0","848.80K","0.56%"
"12/31/2021","49,994.0","50,937.3","51,032.0","49,617.0","417.50K","-1.49%"
