"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","52,800.0","53,081.0","53,080.8","52,800.0","8.20K","-0.53%"
"07/02/2021","53,174.5","52,800.0","53,361.7","52,800.0","37.90K","0.71%"
"07/05/2021","52,987.2","53,174.0","53,174.5","52,893.6","14.10K","-0.35%"
"07/06/2021","52,612.8","52,987.0","53,923.4","51,395.7","56.60K","-0.71%"
"07/07/2021","52,612.8","51,583.0","52,987.2","51,583.0","128.30K","0.00%"
"07/08/2021","52,893.6","52,894.0","52,987.2","52,612.8","155.20K","0.53%"
"07/09/2021","52,519.1","52,800.0","53,080.8","51,489.4","72.30K","-0.71%"
"07/12/2021","51,863.8","51,957.0","52,893.6","51,021.3","258.40K","-1.25%"
"07/13/2021","51,957.4","52,706.0","52,706.4","51,489.4","62.90K","0.18%"
"07/14/2021","52,425.5","52,332.0","52,612.8","51,302.1","89.20K","0.90%"
"07/15/2021","52,425.5","51,957.0","52,612.8","51,957.4","70.30K","0.00%"
"07/16/2021","52,800.0","52,426.0","52,987.2","52,425.5","16.40K","0.71%"
"07/19/2021","54,485.1","51,489.0","54,859.6","51,489.4","337.50K","3.19%"
"07/20/2021","55,327.6","54,298.0","55,327.6","54,297.9","248.70K","1.55%"
"07/21/2021","54,110.6","55,421.0","55,421.3","53,923.4","6.80K","-2.20%"
"07/22/2021","53,642.5","54,298.0","54,485.1","53,361.7","112.70K","-0.87%"
"07/23/2021","53,455.3","53,081.0","55,234.0","53,080.8","42.50K","-0.35%"
"07/26/2021","53,548.9","53,455.0","53,642.5","53,080.8","19.20K","0.18%"
"07/27/2021","53,361.7","53,081.0","53,455.3","53,080.8","32.00K","-0.35%"
"07/28/2021","53,736.2","53,081.0","53,736.2","53,080.8","15.70K","0.70%"
"07/29/2021","53,548.9","54,298.0","54,297.9","53,361.7","59.80K","-0.35%"
"07/30/2021","54,953.2","53,549.0","55,046.8","53,548.9","87.10K","2.62%"
"08/02/2021","55,140.4","54,953.0","55,421.3","54,017.0","61.00K","0.34%"
"08/03/2021","55,421.3","54,860.0","55,514.9","54,297.9","147.60K","0.51%"
"08/04/2021","55,421.3","55,515.0","55,514.9","55,234.0","127.90K","0.00%"
"08/05/2021","54,578.7","55,140.0","55,234.0","54,391.5","51.80K","-1.52%"
"08/06/2021","54,672.3","54,298.0","54,765.9","54,297.9","62.20K","0.17%"
"08/09/2021","54,391.5","54,579.0","54,672.3","54,297.9","23.70K","-0.51%"
"08/10/2021","55,421.3","54,391.0","55,421.3","54,391.5","69.60K","1.89%"
"08/11/2021","54,485.1","54,953.0","54,953.2","54,391.5","24.50K","-1.69%"
"08/12/2021","54,859.6","54,485.0","54,859.6","54,391.5","3.60K","0.69%"
"08/13/2021","54,297.9","54,860.0","54,953.2","54,297.9","7.80K","-1.02%"
"08/16/2021","54,391.5","54,298.0","54,953.2","53,361.7","65.90K","0.17%"
"08/17/2021","54,578.7","54,579.0","54,578.7","54,391.5","45.60K","0.34%"
"08/18/2021","54,391.5","54,579.0","54,578.7","54,391.5","12.30K","-0.34%"
"08/19/2021","53,548.9","54,391.0","54,391.5","53,361.7","46.90K","-1.55%"
"08/20/2021","53,361.7","53,549.0","53,829.8","53,174.5","46.20K","-0.35%"
"08/23/2021","53,174.5","53,174.0","53,361.7","53,080.8","26.50K","-0.35%"
"08/24/2021","52,800.0","53,174.0","53,174.5","52,800.0","18.70K","-0.70%"
"08/25/2021","52,800.0","52,800.0","52,893.6","52,612.8","5.80K","0.00%"
"08/26/2021","52,425.5","52,800.0","52,800.0","51,489.4","7.50K","-0.71%"
"08/27/2021","52,519.1","52,426.0","52,706.4","52,425.5","10.60K","0.18%"
"08/30/2021","53,080.8","52,519.0","53,268.1","52,519.1","32.20K","1.07%"
"08/31/2021","53,080.8","53,081.0","53,080.8","52,987.2","30.00K","0.00%"
"09/01/2021","53,080.8","53,081.0","53,080.8","52,893.6","22.30K","0.00%"
"09/06/2021","53,080.8","53,081.0","53,080.8","52,706.4","67.10K","0.00%"
"09/07/2021","52,987.2","52,987.0","53,080.8","52,893.6","29.90K","-0.18%"
"09/08/2021","53,080.8","53,081.0","53,174.5","53,080.8","9.20K","0.18%"
"09/09/2021","53,548.9","53,455.0","53,642.5","53,455.3","7.70K","0.88%"
"09/10/2021","53,361.7","53,549.0","53,548.9","53,361.7","0.90K","-0.35%"
"09/13/2021","52,893.6","52,987.0","52,987.2","52,800.0","15.40K","-0.88%"
"09/14/2021","52,893.6","52,894.0","53,174.5","52,893.6","5.00K","0.00%"
"09/15/2021","52,800.0","53,549.0","53,642.5","52,425.5","47.10K","-0.18%"
"09/16/2021","52,706.4","52,519.0","52,800.0","52,519.1","13.40K","-0.18%"
"09/17/2021","53,080.8","53,362.0","53,361.7","52,519.1","17.30K","0.71%"
"09/20/2021","53,080.8","53,081.0","53,174.5","53,080.8","12.70K","0.00%"
"09/21/2021","52,893.6","53,081.0","53,080.8","52,800.0","12.20K","-0.35%"
"09/22/2021","53,361.7","52,987.0","53,455.3","52,612.8","26.60K","0.88%"
"09/23/2021","53,361.7","53,455.0","53,736.2","53,361.7","21.50K","0.00%"
"09/24/2021","53,455.3","53,549.0","53,548.9","53,361.7","10.90K","0.18%"
"09/27/2021","52,800.0","52,613.0","52,893.6","52,612.8","7.50K","-1.23%"
"09/28/2021","53,268.1","52,706.0","53,268.1","52,519.1","3.80K","0.89%"
"09/29/2021","52,425.5","52,426.0","52,519.1","51,676.6","1.90K","-1.58%"
