"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,271.7","9,764.6","10,508.6","9,262.4","13.10K","-6.82%"
"07/02/2021","9,578.6","9,271.7","9,578.6","9,271.7","2.20K","3.31%"
"07/05/2021","9,485.6","9,439.1","9,950.6","9,439.1","7.50K","-0.97%"
"07/06/2021","9,485.6","9,718.1","9,718.1","9,485.6","2.60K","0.00%"
"07/07/2021","9,485.6","9,857.6","10,043.6","9,485.6","2.50K","0.00%"
"07/08/2021","9,764.6","9,950.6","9,950.6","9,764.6","1.10K","2.94%"
"07/09/2021","9,671.6","9,578.6","9,811.1","9,578.6","0.50K","-0.95%"
"07/12/2021","9,113.6","9,299.6","9,299.6","9,113.6","2.90K","-5.77%"
"07/13/2021","9,485.6","9,113.6","9,671.6","9,113.6","3.00K","4.08%"
"07/14/2021","9,764.6","9,764.6","9,764.6","9,764.6","0.50K","2.94%"
"07/16/2021","9,299.6","9,718.1","9,718.1","9,299.6","1.90K","-4.76%"
"07/19/2021","9,113.6","9,113.6","9,113.6","8,834.6","2.30K","-2.00%"
"07/20/2021","9,113.6","8,834.6","9,346.1","8,834.6","2.70K","0.00%"
"07/21/2021","9,206.6","9,113.6","9,206.6","9,113.6","0.70K","1.02%"
"07/22/2021","9,206.6","9,206.6","9,206.6","9,206.6","0.50K","0.00%"
"07/23/2021","9,113.6","9,113.6","9,113.6","9,113.6","0.70K","-1.01%"
"07/26/2021","9,113.6","9,113.6","9,113.6","9,113.6","2.00K","0.00%"
"07/27/2021","9,299.6","9,439.1","9,439.1","9,299.6","0.20K","2.04%"
"07/30/2021","9,392.6","9,197.3","9,485.6","9,197.3","7.30K","1.00%"
"08/02/2021","9,206.6","9,206.6","9,206.6","9,113.6","0.80K","-1.98%"
"08/03/2021","9,299.6","9,104.3","9,299.6","9,104.3","3.60K","1.01%"
"08/04/2021","9,104.3","9,104.3","9,104.3","9,104.3","0.10K","-2.10%"
"08/05/2021","9,290.3","9,299.6","9,299.6","9,290.3","3.40K","2.04%"
"08/06/2021","9,485.6","9,290.3","9,485.6","9,290.3","1.70K","2.10%"
"08/09/2021","9,485.6","9,113.6","9,485.6","9,113.6","0.20K","0.00%"
"08/10/2021","9,532.1","9,299.6","9,532.1","9,299.6","1.10K","0.49%"
"08/11/2021","9,215.9","9,113.6","9,215.9","9,113.6","1.10K","-3.32%"
"08/12/2021","9,299.6","9,485.6","9,485.6","9,225.2","2.00K","0.91%"
"08/13/2021","9,299.6","9,578.6","9,578.6","9,002.0","1.90K","0.00%"
"08/16/2021","9,299.6","9,020.6","9,485.6","9,020.6","3.00K","0.00%"
"08/17/2021","9,392.6","9,299.6","9,392.6","9,299.6","1.50K","1.00%"
"08/18/2021","9,392.6","9,346.1","9,392.6","9,299.6","1.40K","0.00%"
"08/19/2021","9,299.6","9,299.6","9,392.6","9,299.6","3.70K","-0.99%"
"08/20/2021","9,299.6","9,485.6","9,485.6","9,160.1","3.20K","0.00%"
"08/23/2021","9,439.1","9,299.6","9,532.1","9,299.6","1.30K","1.50%"
"08/24/2021","9,392.6","9,439.1","9,485.6","9,299.6","3.50K","-0.49%"
"08/25/2021","9,299.6","9,392.6","9,392.6","9,299.6","2.10K","-0.99%"
"08/26/2021","9,206.6","9,392.6","9,392.6","9,206.6","2.20K","-1.00%"
"08/27/2021","9,206.6","9,206.6","9,206.6","9,206.6","0.30K","0.00%"
"08/30/2021","9,206.6","9,206.6","9,299.6","9,206.6","4.30K","0.00%"
"08/31/2021","9,392.6","9,299.6","9,392.6","9,299.6","5.50K","2.02%"
"09/01/2021","9,485.6","9,392.6","9,764.6","9,392.6","3.00K","0.99%"
"09/06/2021","9,671.6","9,485.6","9,671.6","9,346.1","8.80K","1.96%"
"09/07/2021","9,485.6","9,764.6","9,857.6","9,485.6","15.10K","-1.92%"
"09/08/2021","9,671.6","9,671.6","9,671.6","9,671.6","1.10K","1.96%"
"09/09/2021","9,392.6","9,764.6","9,857.6","9,392.6","4.70K","-2.88%"
"09/10/2021","9,625.1","9,392.6","9,718.1","9,392.6","16.70K","2.48%"
"09/13/2021","9,671.6","9,625.1","9,764.6","9,392.6","11.70K","0.48%"
"09/14/2021","9,718.1","9,578.6","9,718.1","9,485.6","12.60K","0.48%"
"09/15/2021","9,950.6","9,718.1","9,950.6","9,718.1","24.00K","2.39%"
"09/16/2021","9,997.1","9,997.1","10,043.6","9,857.6","26.50K","0.47%"
"09/17/2021","10,183.1","10,136.6","10,229.6","9,997.1","19.70K","1.86%"
"09/20/2021","10,369.1","10,229.6","10,369.1","10,183.1","46.30K","1.83%"
"09/21/2021","11,066.5","10,415.6","11,066.5","9,811.1","56.00K","6.73%"
"09/22/2021","11,485.0","11,810.5","11,810.5","11,438.5","44.70K","3.78%"
"09/23/2021","12,089.5","12,089.5","12,275.5","11,531.5","28.20K","5.26%"
"09/24/2021","11,252.5","12,182.5","12,182.5","11,252.5","42.70K","-6.92%"
"09/27/2021","10,927.0","11,252.5","11,252.5","10,508.6","9.90K","-2.89%"
"09/28/2021","11,066.5","10,508.6","11,066.5","10,415.6","7.80K","1.28%"
"09/29/2021","11,113.0","11,066.5","11,113.0","10,601.6","2.60K","0.42%"
"09/30/2021","11,206.0","11,066.5","11,252.5","10,787.5","10.60K","0.84%"
"10/01/2021","10,787.5","11,206.0","11,252.5","10,787.5","3.10K","-3.73%"
"10/04/2021","10,834.0","11,066.5","11,252.5","10,601.6","10.40K","0.43%"
"10/05/2021","11,066.5","11,066.5","11,066.5","10,601.6","2.30K","2.15%"
"10/06/2021","10,694.6","10,973.5","10,973.5","10,322.6","26.50K","-3.36%"
"10/07/2021","10,415.6","10,415.6","10,415.6","10,322.6","10.90K","-2.61%"
"10/08/2021","10,694.6","10,601.6","10,694.6","10,601.6","1.10K","2.68%"
"10/11/2021","10,741.0","10,601.6","10,741.0","10,555.1","2.10K","0.43%"
"10/12/2021","11,206.0","10,508.6","11,206.0","10,508.6","10.60K","4.33%"
"10/13/2021","10,973.5","10,834.0","10,973.5","10,834.0","2.60K","-2.07%"
"10/14/2021","10,973.5","10,834.0","10,973.5","10,834.0","0.30K","0.00%"
"10/15/2021","10,834.0","10,880.5","10,880.5","10,787.5","1.80K","-1.27%"
"10/18/2021","10,601.6","10,834.0","10,834.0","10,508.6","10.30K","-2.15%"
"10/19/2021","10,601.6","10,601.6","10,694.6","10,508.6","3.40K","0.00%"
"10/20/2021","10,601.6","10,601.6","10,601.6","10,508.6","5.60K","0.00%"
"10/21/2021","10,601.6","10,415.6","10,601.6","10,415.6","3.10K","0.00%"
"10/22/2021","10,508.6","10,601.6","10,601.6","10,508.6","8.90K","-0.88%"
"10/25/2021","10,555.1","10,694.6","10,973.5","10,555.1","10.30K","0.44%"
"10/26/2021","10,508.6","10,555.1","10,694.6","10,508.6","3.90K","-0.44%"
"10/27/2021","10,601.6","10,555.1","10,834.0","10,555.1","16.00K","0.88%"
"10/28/2021","10,787.5","10,694.6","10,787.5","10,601.6","8.70K","1.75%"
"10/29/2021","11,531.5","10,880.5","11,531.5","10,787.5","49.90K","6.90%"
"11/01/2021","12,322.0","12,322.0","12,322.0","12,275.5","78.80K","6.86%"
"11/02/2021","13,158.9","13,158.9","13,158.9","12,275.5","43.70K","6.79%"
"11/03/2021","13,066.0","13,205.4","13,484.4","12,554.5","25.10K","-0.71%"
"11/04/2021","13,112.5","13,066.0","13,205.4","12,368.5","47.20K","0.36%"
"11/05/2021","12,740.5","12,647.5","12,740.5","12,368.5","30.20K","-2.84%"
"11/08/2021","12,833.5","12,182.5","13,019.5","12,182.5","21.90K","0.73%"
"11/09/2021","12,833.5","12,554.5","13,298.4","12,554.5","21.10K","0.00%"
"11/10/2021","13,112.5","12,833.5","13,158.9","12,787.0","74.50K","2.17%"
"11/11/2021","13,995.9","13,995.9","13,995.9","13,298.4","131.30K","6.74%"
"11/12/2021","14,972.4","14,414.4","14,972.4","14,414.4","72.10K","6.98%"
"11/15/2021","14,972.4","15,995.3","15,995.3","14,972.4","104.60K","0.00%"
"11/16/2021","14,228.4","14,228.4","15,716.3","14,228.4","55.50K","-4.97%"
"11/17/2021","13,949.4","13,623.9","14,600.4","13,623.9","20.40K","-1.96%"
"11/18/2021","13,809.9","13,949.4","13,949.4","13,484.4","32.80K","-1.00%"
"11/19/2021","13,019.5","13,809.9","13,949.4","12,926.5","63.40K","-5.72%"
"11/22/2021","13,391.4","13,019.5","13,484.4","12,833.5","35.70K","2.86%"
"11/23/2021","13,437.9","13,391.4","13,437.9","13,019.5","2.50K","0.35%"
"11/24/2021","13,484.4","13,623.9","13,623.9","13,019.5","14.60K","0.35%"
"11/25/2021","13,437.9","13,484.4","13,484.4","13,066.0","11.20K","-0.34%"
"11/26/2021","13,019.5","13,391.4","13,391.4","13,019.5","10.80K","-3.11%"
"11/29/2021","13,019.5","13,019.5","13,158.9","12,229.0","34.90K","0.00%"
"11/30/2021","12,973.0","13,019.5","13,019.5","12,740.5","20.70K","-0.36%"
"12/01/2021","12,926.5","12,973.0","13,019.5","12,461.5","11.00K","-0.36%"
"12/02/2021","13,809.9","12,926.5","13,809.9","12,461.5","79.60K","6.83%"
"12/03/2021","14,739.9","14,739.9","14,739.9","14,646.9","103.10K","6.73%"
"12/06/2021","15,762.8","15,716.3","15,762.8","15,623.3","138.90K","6.94%"
"12/07/2021","16,832.3","16,739.3","16,832.3","16,274.3","92.20K","6.78%"
"12/08/2021","17,994.7","17,948.2","17,994.7","17,669.3","101.80K","6.91%"
"12/09/2021","16,739.3","19,250.2","19,250.2","16,739.3","116.60K","-6.98%"
"12/10/2021","15,576.8","15,576.8","15,576.8","15,576.8","15.70K","-6.94%"
"12/13/2021","15,995.3","14,507.4","16,646.3","14,507.4","69.50K","2.69%"
"12/14/2021","15,623.3","15,995.3","16,553.3","15,158.4","40.80K","-2.33%"
"12/15/2021","15,623.3","16,274.3","16,274.3","15,530.3","53.20K","0.00%"
"12/16/2021","15,251.4","15,251.4","15,809.3","15,158.4","41.40K","-2.38%"
"12/17/2021","15,995.3","14,972.4","15,995.3","14,786.4","77.20K","4.88%"
"12/20/2021","16,646.3","17,018.3","17,111.3","15,995.3","68.40K","4.07%"
"12/21/2021","16,739.3","16,692.8","17,204.3","16,553.3","34.20K","0.56%"
"12/22/2021","16,274.3","16,692.8","16,785.8","16,181.3","38.00K","-2.78%"
"12/23/2021","16,134.8","16,739.3","16,739.3","15,344.4","15.30K","-0.86%"
"12/24/2021","15,297.9","15,158.4","15,855.8","15,158.4","26.50K","-5.19%"
"12/27/2021","15,530.3","15,948.8","15,948.8","15,344.4","7.10K","1.52%"
"12/28/2021","15,669.8","15,530.3","16,134.8","14,460.9","53.70K","0.90%"
"12/29/2021","15,576.8","15,065.4","15,762.8","14,879.4","8.40K","-0.59%"
"12/30/2021","14,739.9","14,646.9","15,530.3","14,646.9","6.10K","-5.37%"
"12/31/2021","14,832.9","14,600.4","15,204.9","14,600.4","7.10K","0.63%"
