"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","3,200.00","3,150.00","3,200.00","3,100.00","88.60K","1.59%"
"07/02/2021","3,200.00","3,200.00","3,200.00","3,150.00","55.40K","0.00%"
"07/05/2021","3,150.00","3,150.00","3,150.00","3,100.00","35.90K","-1.56%"
"07/06/2021","3,000.00","3,050.00","3,200.00","3,000.00","69.10K","-4.76%"
"07/07/2021","2,900.00","3,000.00","3,100.00","2,900.00","59.60K","-3.33%"
"07/08/2021","3,050.00","2,900.00","3,060.00","2,900.00","18.80K","5.17%"
"07/09/2021","3,080.00","3,050.00","3,260.00","3,050.00","44.80K","0.98%"
"07/12/2021","2,910.00","3,080.00","3,180.00","2,910.00","30.80K","-5.52%"
"07/13/2021","3,000.00","3,000.00","3,100.00","2,990.00","36.10K","3.09%"
"07/14/2021","3,000.00","3,000.00","3,120.00","3,000.00","16.60K","0.00%"
"07/15/2021","3,100.00","3,160.00","3,160.00","2,920.00","7.20K","3.33%"
"07/16/2021","3,050.00","2,920.00","3,100.00","2,920.00","20.80K","-1.61%"
"07/19/2021","2,950.00","3,030.00","3,030.00","2,860.00","12.30K","-3.28%"
"07/20/2021","2,950.00","2,900.00","2,950.00","2,800.00","48.60K","0.00%"
"07/21/2021","2,940.00","2,900.00","2,950.00","2,900.00","6.40K","-0.34%"
"07/22/2021","2,950.00","2,930.00","2,950.00","2,930.00","9.60K","0.34%"
"07/23/2021","2,900.00","2,910.00","2,950.00","2,800.00","9.30K","-1.69%"
"07/26/2021","2,910.00","2,890.00","2,920.00","2,890.00","18.90K","0.34%"
"07/27/2021","2,950.00","2,900.00","3,000.00","2,900.00","3.50K","1.37%"
"07/28/2021","2,940.00","2,950.00","2,950.00","2,900.00","2.30K","-0.34%"
"07/29/2021","2,940.00","2,940.00","2,950.00","2,930.00","25.70K","0.00%"
"07/30/2021","2,940.00","2,940.00","2,940.00","2,900.00","24.30K","0.00%"
"08/02/2021","2,860.00","2,910.00","2,930.00","2,820.00","11.30K","-2.72%"
"08/03/2021","2,900.00","2,860.00","2,920.00","2,860.00","15.50K","1.40%"
"08/04/2021","2,940.00","2,940.00","2,940.00","2,900.00","21.90K","1.38%"
"08/05/2021","3,080.00","2,970.00","3,140.00","2,970.00","45.40K","4.76%"
"08/06/2021","3,070.00","3,130.00","3,130.00","3,070.00","13.10K","-0.32%"
"08/09/2021","3,000.00","3,070.00","3,070.00","3,000.00","13.40K","-2.28%"
"08/10/2021","3,040.00","2,950.00","3,040.00","2,950.00","20.60K","1.33%"
"08/11/2021","3,020.00","3,040.00","3,040.00","3,000.00","28.60K","-0.66%"
"08/12/2021","3,020.00","3,020.00","3,030.00","3,000.00","20.50K","0.00%"
"08/13/2021","2,940.00","3,030.00","3,030.00","2,900.00","14.00K","-2.65%"
"08/16/2021","3,020.00","2,960.00","3,020.00","2,960.00","21.50K","2.72%"
