"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","21,530.0","21,530.0","21,530.0","21,530.0","2.00K","0.23%"
"07/02/2021","22,694.0","22,694.0","22,694.0","22,694.0","1.00K","5.41%"
"07/16/2021","23,178.0","23,178.0","23,178.0","23,178.0","3.00K","2.13%"
"07/21/2021","23,178.0","23,178.0","23,178.0","23,178.0","0.20K","0.00%"
"07/23/2021","23,760.0","23,760.0","23,760.0","23,760.0","0.20K","2.51%"
"07/28/2021","23,275.0","23,275.0","23,275.0","23,275.0","2.00K","-2.04%"
"08/06/2021","24,730.0","24,730.0","24,730.0","24,730.0","0.20K","6.25%"
"08/09/2021","25,700.0","25,700.0","25,700.0","25,700.0","0.10K","3.92%"
"08/10/2021","25,700.0","25,700.0","25,700.0","25,700.0","0.10K","0.00%"
"08/11/2021","25,700.0","25,700.0","25,700.0","25,700.0","0.20K","0.00%"
"08/13/2021","25,700.0","25,700.0","25,700.0","25,700.0","3.00K","0.00%"
"08/23/2021","27,446.0","27,446.0","27,446.0","27,446.0","0.10K","6.79%"
"08/27/2021","27,397.0","27,397.0","27,397.0","27,397.0","0.10K","-0.18%"
"08/30/2021","28,900.0","28,900.0","28,900.0","28,900.0","0.10K","5.49%"
"09/01/2021","28,755.0","28,755.0","28,755.0","28,755.0","3.00K","-0.50%"
"09/07/2021","27,300.0","27,300.0","27,300.0","27,300.0","2.00K","-5.06%"
"09/14/2021","27,300.0","27,300.0","27,300.0","27,300.0","3.00K","0.00%"
"09/17/2021","25,409.0","25,409.0","25,409.0","25,409.0","0.20K","-6.93%"
"09/23/2021","25,457.0","25,457.0","25,457.0","25,457.0","3.00K","0.19%"
"09/24/2021","25,457.0","25,457.0","25,457.0","25,457.0","3.00K","0.00%"
"09/27/2021","23,712.0","23,712.0","23,712.0","23,712.0","0.10K","-6.85%"
"10/05/2021","25,215.0","25,215.0","25,215.0","25,215.0","0.20K","6.34%"
"10/06/2021","25,215.0","25,215.0","25,215.0","25,215.0","1.10K","0.00%"
"10/21/2021","26,950.0","26,950.0","26,950.0","26,950.0","4.10K","6.88%"
"10/22/2021","27,000.0","27,000.0","27,000.0","27,000.0","0.90K","0.19%"
"10/25/2021","28,000.0","28,800.0","28,800.0","28,000.0","3.10K","3.70%"
"10/26/2021","28,000.0","28,000.0","28,000.0","27,350.0","1.50K","0.00%"
"10/27/2021","27,850.0","28,000.0","28,000.0","26,250.0","1.80K","-0.54%"
"10/28/2021","28,800.0","27,850.0","28,800.0","27,850.0","2.10K","3.41%"
"10/29/2021","28,800.0","28,050.0","28,800.0","26,800.0","9.20K","0.00%"
"11/01/2021","28,200.0","28,200.0","28,300.0","28,200.0","4.80K","-2.08%"
"11/03/2021","28,300.0","28,200.0","30,000.0","28,200.0","2.40K","0.35%"
"11/05/2021","27,000.0","27,000.0","27,000.0","27,000.0","1.00K","-4.59%"
"11/08/2021","25,250.0","25,250.0","25,250.0","25,250.0","0.40K","-6.48%"
"11/09/2021","25,350.0","25,300.0","25,350.0","25,300.0","4.30K","0.40%"
"11/11/2021","25,300.0","25,300.0","25,300.0","25,300.0","0.10K","-0.20%"
"11/16/2021","26,300.0","25,950.0","26,300.0","25,950.0","2.20K","3.95%"
"11/17/2021","28,100.0","27,900.0","28,100.0","27,100.0","3.90K","6.84%"
"11/22/2021","28,100.0","28,100.0","28,100.0","28,100.0","0.50K","0.00%"
"11/24/2021","30,050.0","30,050.0","30,050.0","30,050.0","0.10K","6.94%"
"11/25/2021","30,050.0","30,050.0","30,050.0","30,050.0","0.50K","0.00%"
"11/26/2021","31,800.0","31,800.0","31,800.0","31,800.0","0.10K","5.82%"
"12/02/2021","32,500.0","32,000.0","32,500.0","32,000.0","0.70K","2.20%"
"12/15/2021","33,000.0","32,500.0","33,000.0","32,500.0","1.00K","1.54%"
"12/16/2021","31,000.0","31,000.0","31,000.0","31,000.0","0.10K","-6.06%"
"12/21/2021","32,900.0","28,850.0","32,900.0","28,850.0","1.10K","6.13%"
"12/28/2021","30,600.0","30,600.0","30,600.0","30,600.0","0.30K","-6.99%"
"12/31/2021","28,500.0","28,500.0","28,500.0","28,500.0","0.10K","-6.86%"
