"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,475.5","11,475.5","11,475.5","11,475.5","2.10K","5.00%"
"07/06/2021","10,701.3","10,701.3","10,701.3","10,701.3","0.30K","-6.75%"
"07/08/2021","9,972.7","10,018.3","10,018.3","9,972.7","0.30K","-6.81%"
"07/12/2021","10,564.7","9,289.7","10,564.7","9,289.7","1.10K","5.94%"
"07/13/2021","11,293.3","11,293.3","11,293.3","11,293.3","0.10K","6.90%"
"07/15/2021","10,519.2","12,067.4","12,067.4","10,519.2","0.70K","-6.85%"
"07/16/2021","10,519.2","10,519.2","10,519.2","10,519.2","0.20K","0.00%"
"07/20/2021","9,836.1","9,836.1","9,836.1","9,836.1","0.10K","-6.49%"
"07/21/2021","10,519.2","9,198.6","10,519.2","9,198.6","0.40K","6.94%"
"07/23/2021","11,156.7","11,156.7","11,156.7","11,156.7","0.10K","6.06%"
"07/26/2021","11,930.8","10,929.0","11,930.8","10,929.0","0.30K","6.94%"
"07/27/2021","11,794.2","11,111.2","11,794.2","11,111.2","0.50K","-1.14%"
"07/28/2021","11,020.1","11,065.6","11,065.6","11,020.1","0.80K","-6.56%"
"07/29/2021","11,020.1","11,020.1","11,020.1","11,020.1","1.00K","0.00%"
"07/30/2021","10,382.6","11,429.9","11,429.9","10,382.6","0.30K","-5.78%"
"08/02/2021","11,065.6","10,428.1","11,065.6","10,382.6","0.50K","6.58%"
"08/05/2021","11,345.7","10,388.3","11,345.7","10,388.3","0.20K","2.53%"
"08/06/2021","10,627.7","10,627.7","10,627.7","10,627.7","0.10K","-6.33%"
"08/10/2021","10,196.8","11,202.1","11,345.7","10,196.8","0.50K","-4.05%"
"08/11/2021","10,867.0","10,867.0","10,867.0","10,867.0","0.20K","6.57%"
"08/16/2021","10,914.9","10,914.9","10,914.9","10,914.9","0.20K","0.44%"
"08/17/2021","11,633.0","11,010.6","11,633.0","11,010.6","1.80K","6.58%"
"08/18/2021","11,968.1","11,633.0","11,968.1","11,489.4","3.00K","2.88%"
