"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,922.5","11,247.9","11,247.9","10,597.2","969.60K","-2.49%"
"07/02/2021","10,969.0","10,969.0","11,154.9","10,690.1","463.50K","0.43%"
"07/05/2021","10,504.2","11,015.5","11,015.5","10,457.7","351.10K","-4.24%"
"07/06/2021","10,039.4","10,504.2","10,504.2","10,039.4","529.40K","-4.42%"
"07/07/2021","10,132.4","9,760.6","10,132.4","9,435.2","310.90K","0.93%"
"07/08/2021","9,760.6","10,178.9","10,178.9","9,621.1","199.60K","-3.67%"
"07/09/2021","10,411.3","10,225.3","10,411.3","10,039.4","2.40M","6.67%"
"07/12/2021","10,643.7","10,783.1","11,108.5","10,085.9","2.65M","2.23%"
"07/13/2021","10,597.2","10,736.6","10,783.1","9,993.0","723.10K","-0.44%"
"07/14/2021","9,900.0","10,318.3","10,318.3","9,900.0","1.86M","-6.58%"
"07/15/2021","9,221.4","9,388.7","9,481.7","9,212.1","2.76M","-6.85%"
"07/16/2021","8,663.7","9,249.3","9,258.6","8,626.5","1.44M","-6.05%"
"07/19/2021","8,059.4","8,096.6","8,180.3","8,059.4","851.00K","-6.97%"
"07/20/2021","8,068.7","7,576.0","8,366.2","7,529.6","929.20K","0.12%"
"07/21/2021","7,920.0","8,068.7","8,533.5","7,901.4","366.50K","-1.84%"
"07/22/2021","8,273.2","7,929.3","8,449.8","7,901.4","1.70M","4.46%"
"07/23/2021","8,561.4","8,171.0","8,738.0","8,096.6","1.24M","3.48%"
"07/26/2021","8,403.4","8,561.4","8,561.4","8,217.5","950.10K","-1.85%"
"07/27/2021","8,440.6","8,366.2","8,673.0","8,217.5","884.80K","0.44%"
"07/28/2021","8,245.3","8,440.6","8,440.6","8,226.8","246.40K","-2.31%"
"07/29/2021","8,013.0","8,171.0","8,319.7","7,975.8","805.60K","-2.82%"
"07/30/2021","8,040.8","8,013.0","8,105.9","7,808.5","564.70K","0.35%"
"08/02/2021","8,115.2","8,161.7","8,552.1","8,003.7","814.70K","0.92%"
"08/03/2021","7,994.4","8,124.5","8,152.4","7,901.4","1.17M","-1.49%"
