"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,087","16,087","16,174","15,739","806.73K","-1.60%"
"07/02/2021","16,478","16,261","16,696","16,087","1.07M","2.43%"
"07/05/2021","16,435","16,522","16,522","16,217","558.56K","-0.26%"
"07/06/2021","16,696","16,435","17,565","16,261","3.18M","1.59%"
"07/07/2021","16,870","17,217","17,217","16,304","823.29K","1.04%"
"07/08/2021","17,652","16,957","17,826","16,957","1.69M","4.64%"
"07/09/2021","17,304","17,391","18,304","16,957","1.80M","-1.97%"
"07/12/2021","16,130","17,304","17,304","16,130","1.42M","-6.78%"
"07/13/2021","16,087","15,826","16,174","15,435","1.35M","-0.27%"
"07/14/2021","15,000","15,652","16,087","15,000","1.41M","-6.76%"
"07/15/2021","15,478","15,130","15,522","14,348","462.65K","3.19%"
"07/16/2021","15,522","15,304","16,000","15,304","371.45K","0.28%"
"07/19/2021","14,478","15,217","15,261","14,478","1.17M","-6.73%"
"07/20/2021","15,261","14,652","15,304","14,391","360.07K","5.41%"
"07/21/2021","15,304","15,391","15,478","15,087","305.79K","0.28%"
"07/22/2021","15,826","15,174","15,913","15,087","907.24K","3.41%"
"07/23/2021","15,478","15,826","16,043","15,478","349.26K","-2.20%"
"07/26/2021","15,652","15,391","15,826","15,043","343.74K","1.12%"
"07/27/2021","15,826","15,739","15,913","15,565","439.65K","1.11%"
"07/28/2021","15,565","15,783","15,826","15,565","186.76K","-1.65%"
"07/29/2021","15,652","15,565","15,652","15,435","236.79K","0.56%"
"07/30/2021","15,696","15,652","15,913","15,565","417.34K","0.28%"
"08/02/2021","16,304","15,696","16,696","15,652","904.02K","3.87%"
"08/03/2021","16,348","16,130","16,348","15,957","496.57K","0.27%"
"08/04/2021","16,391","16,652","16,652","16,130","997.97K","0.26%"
"08/05/2021","16,435","16,348","16,435","16,130","533.83K","0.27%"
"08/06/2021","16,304","16,478","16,609","16,261","543.72K","-0.80%"
"08/09/2021","17,000","16,174","17,000","16,130","1.75M","4.27%"
"08/10/2021","17,174","17,087","17,304","16,870","1.09M","1.02%"
"08/11/2021","17,870","17,217","18,000","17,217","1.89M","4.05%"
"08/12/2021","18,261","17,739","18,696","17,522","1.94M","2.19%"
"08/13/2021","18,522","18,087","18,609","17,783","1.41M","1.43%"
"08/16/2021","18,522","18,913","18,913","18,478","1.12M","0.00%"
"08/17/2021","17,739","18,348","18,391","17,739","2.35M","-4.23%"
"08/18/2021","18,739","17,739","18,957","17,565","1.91M","5.64%"
"08/19/2021","19,130","19,826","19,826","18,913","1.10M","2.09%"
"08/20/2021","18,261","19,130","19,217","17,826","2.29M","-4.54%"
"08/23/2021","17,522","18,087","18,174","17,391","1.62M","-4.05%"
"08/24/2021","17,870","17,478","17,870","17,435","1.25M","1.99%"
"08/25/2021","18,826","18,043","18,870","17,739","977.85K","5.35%"
"08/26/2021","18,696","18,696","19,130","18,609","1.01M","-0.69%"
"08/27/2021","20,000","18,435","20,000","18,348","4.32M","6.97%"
"08/30/2021","20,348","20,435","20,783","20,087","1.45M","1.74%"
"08/31/2021","20,783","20,348","21,348","20,348","1.59M","2.14%"
"09/01/2021","20,609","20,696","20,957","19,826","1.58M","-0.84%"
"09/06/2021","20,565","20,652","21,391","20,522","1.60M","-0.21%"
"09/07/2021","20,478","20,478","21,130","20,130","1.53M","-0.42%"
"09/08/2021","20,304","20,217","20,565","20,174","770.85K","-0.85%"
"09/09/2021","20,826","20,087","20,870","20,087","628.82K","2.57%"
"09/10/2021","21,304","21,130","21,478","20,870","1.84M","2.30%"
"09/13/2021","21,043","21,304","21,913","20,870","678.39K","-1.23%"
"09/14/2021","20,609","20,870","21,304","20,522","650.79K","-2.06%"
"09/15/2021","20,783","20,435","21,043","20,261","616.75K","0.84%"
"09/16/2021","20,739","20,783","21,304","20,652","733.82K","-0.21%"
"09/17/2021","21,000","20,739","21,043","20,739","724.73K","1.26%"
"09/20/2021","20,957","21,043","21,652","20,870","1.07M","-0.20%"
"09/21/2021","22,391","20,609","22,391","20,435","2.23M","6.84%"
"09/22/2021","22,826","22,696","23,217","22,391","2.09M","1.94%"
"09/23/2021","21,913","23,043","23,087","21,913","1.24M","-4.00%"
"09/24/2021","21,913","21,522","22,348","21,522","934.61K","0.00%"
"09/27/2021","20,696","21,913","21,913","20,522","1.09M","-5.55%"
"09/28/2021","22,130","20,348","22,130","20,348","991.53K","6.93%"
"09/29/2021","22,217","21,913","22,783","21,652","1.05M","0.39%"
"09/30/2021","22,391","22,609","22,609","22,000","578.34K","0.78%"
"10/01/2021","21,826","22,261","22,348","21,739","564.19K","-2.52%"
"10/04/2021","22,348","21,826","22,783","21,304","1.46M","2.39%"
"10/05/2021","22,348","22,609","22,609","22,261","536.71K","0.00%"
"10/06/2021","22,696","22,522","22,870","22,174","1.28M","1.56%"
"10/07/2021","23,304","22,696","24,000","22,522","1.66M","2.68%"
"10/08/2021","23,174","23,739","23,739","23,043","902.29K","-0.56%"
"10/11/2021","22,739","23,043","23,478","22,739","1.10M","-1.88%"
"10/12/2021","22,609","22,783","22,957","22,304","1.10M","-0.57%"
"10/13/2021","23,174","22,522","23,435","22,522","989.92K","2.50%"
"10/14/2021","22,870","23,043","23,130","22,870","497.49K","-1.31%"
"10/15/2021","22,870","23,000","23,043","22,652","768.55K","0.00%"
"10/18/2021","22,957","22,870","23,130","22,739","625.95K","0.38%"
"10/19/2021","24,522","22,783","24,522","22,696","2.57M","6.82%"
"10/20/2021","24,130","24,783","24,826","23,826","862.04K","-1.60%"
"10/21/2021","24,217","24,174","24,261","23,826","610.08K","0.36%"
"10/22/2021","24,348","24,348","24,783","24,087","937.83K","0.54%"
"10/25/2021","24,739","25,130","25,565","24,739","1.32M","1.61%"
"10/26/2021","24,696","24,739","25,217","24,348","732.44K","-0.17%"
