"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,343.21","17,869.83","18,372.79","17,810.66","32.49M","2.65%"
"07/02/2021","18,431.96","18,431.96","18,698.24","18,313.62","17.09M","0.48%"
"07/05/2021","18,579.89","18,520.72","18,609.48","18,047.35","17.80M","0.80%"
"07/06/2021","17,307.70","18,668.65","18,875.75","17,307.70","28.14M","-6.85%"
"07/07/2021","18,195.28","17,810.66","18,195.28","16,923.09","24.80M","5.13%"
"07/08/2021","17,810.66","18,284.03","18,343.21","17,573.98","13.65M","-2.11%"
"07/09/2021","17,455.63","17,810.66","17,869.83","16,804.74","20.36M","-1.99%"
"07/12/2021","16,568.06","17,396.46","17,396.46","16,242.61","22.64M","-5.08%"
"07/13/2021","16,568.06","16,568.06","16,804.74","16,153.86","12.92M","0.00%"
"07/14/2021","16,390.54","16,568.06","16,627.23","15,917.17","12.74M","-1.07%"
"07/15/2021","16,834.33","16,301.78","16,834.33","16,183.44","10.30M","2.71%"
"07/16/2021","17,071.02","16,834.33","17,159.77","16,508.89","32.86M","1.41%"
"07/19/2021","15,887.58","16,449.71","16,508.89","15,887.58","15.23M","-6.93%"
"07/20/2021","16,568.06","15,887.58","16,568.06","15,502.97","25.58M","4.28%"
"07/21/2021","16,508.89","16,568.06","16,656.81","16,272.20","27.64M","-0.36%"
"07/22/2021","16,568.06","16,508.89","16,804.74","16,213.03","16.08M","0.36%"
"07/23/2021","16,656.81","16,449.71","16,923.09","16,449.71","25.75M","0.54%"
"07/26/2021","16,627.23","16,420.13","16,656.81","16,272.20","7.94M","-0.18%"
"07/27/2021","16,804.74","16,656.81","16,923.09","16,627.23","9.16M","1.07%"
"07/28/2021","16,804.74","16,804.74","16,834.33","16,568.06","6.29M","0.00%"
"07/29/2021","17,278.12","16,863.92","17,278.12","16,834.33","12.24M","2.82%"
"07/30/2021","17,544.39","17,278.12","17,603.56","17,278.12","16.92M","1.54%"
"08/02/2021","17,248.53","17,544.39","17,544.39","17,071.02","10.72M","-1.69%"
"08/03/2021","17,278.12","17,248.53","17,278.12","16,893.50","11.87M","0.17%"
"08/04/2021","17,544.39","17,455.63","17,633.15","17,307.70","14.07M","1.54%"
"08/05/2021","17,633.15","17,544.39","17,662.73","17,366.87","9.77M","0.51%"
"08/06/2021","17,544.39","17,751.49","17,751.49","17,337.29","10.35M","-0.50%"
"08/09/2021","17,633.15","17,426.05","17,633.15","17,218.95","13.62M","0.51%"
"08/10/2021","17,751.49","17,751.49","17,899.42","17,573.98","11.93M","0.67%"
"08/11/2021","18,343.21","17,751.49","18,668.65","17,662.73","27.50M","3.33%"
"08/12/2021","18,402.38","18,343.21","18,402.38","18,106.52","14.33M","0.32%"
"08/13/2021","18,136.11","18,343.21","18,343.21","17,662.73","10.48M","-1.45%"
"08/16/2021","18,639.06","18,165.69","18,875.75","17,810.66","27.26M","2.77%"
"08/17/2021","18,579.89","18,816.58","18,875.75","18,372.79","15.67M","-0.32%"
"08/18/2021","18,224.86","18,461.55","18,609.48","18,165.69","14.77M","-1.91%"
"08/19/2021","17,810.66","18,165.69","18,224.86","17,662.73","16.79M","-2.27%"
"08/20/2021","16,804.74","17,810.66","17,988.18","16,568.06","28.52M","-5.65%"
"08/23/2021","15,976.34","16,804.74","16,804.74","15,976.34","16.33M","-4.93%"
"08/24/2021","16,331.37","16,035.51","16,508.89","15,680.48","12.63M","2.22%"
"08/25/2021","16,508.89","16,538.47","16,568.06","16,301.78","6.10M","1.09%"
"08/26/2021","16,508.89","16,420.13","16,597.64","16,360.96","6.17M","0.00%"
"08/27/2021","16,568.06","16,360.96","16,568.06","16,035.51","7.12M","0.36%"
"08/30/2021","16,745.57","16,775.16","16,863.92","16,508.89","6.92M","1.07%"
"08/31/2021","16,745.57","16,804.74","16,863.92","16,568.06","8.74M","0.00%"
"09/01/2021","16,923.09","16,745.57","16,923.09","16,656.81","10.23M","1.06%"
"09/06/2021","17,100.60","17,159.77","17,189.36","16,834.33","8.31M","1.05%"
"09/07/2021","17,396.46","17,189.36","17,455.63","17,159.77","12.77M","1.73%"
"09/08/2021","17,071.02","17,455.63","17,485.22","16,923.09","7.86M","-1.87%"
"09/09/2021","17,218.95","17,041.43","17,218.95","16,982.26","4.79M","0.87%"
"09/10/2021","17,159.77","17,218.95","17,337.29","16,982.26","6.22M","-0.34%"
"09/13/2021","17,041.43","17,159.77","17,159.77","16,804.74","5.35M","-0.69%"
"09/14/2021","16,804.74","16,982.26","16,982.26","16,627.23","4.84M","-1.39%"
"09/15/2021","16,893.50","16,686.40","17,011.84","16,568.06","11.25M","0.53%"
"09/16/2021","16,952.67","16,952.67","17,041.43","16,834.33","7.85M","0.35%"
"09/17/2021","17,307.70","17,041.43","17,307.70","17,011.84","9.57M","2.09%"
"09/20/2021","17,426.05","17,573.98","17,633.15","17,278.12","10.78M","0.68%"
"09/21/2021","16,982.26","17,159.77","17,278.12","16,952.67","5.63M","-2.55%"
"09/22/2021","17,159.77","16,982.26","17,159.77","16,923.09","4.74M","1.05%"
"09/23/2021","17,159.77","17,218.95","17,248.53","16,923.09","5.20M","0.00%"
"09/24/2021","17,751.49","17,189.36","17,751.49","17,159.77","24.51M","3.45%"
"09/27/2021","17,455.63","17,988.18","17,988.18","17,455.63","7.68M","-1.67%"
"09/28/2021","17,544.39","17,396.46","17,544.39","17,218.95","6.45M","0.51%"
"09/29/2021","17,455.63","17,455.63","17,485.22","17,100.60","7.39M","-0.51%"
"09/30/2021","17,337.29","17,485.22","17,485.22","17,159.77","5.88M","-0.68%"
"10/01/2021","17,041.43","17,248.53","17,337.29","16,715.99","10.98M","-1.71%"
