"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","39,201.2","38,756.5","39,709.5","38,756.5","97.20K","1.15%"
"07/02/2021","40,027.2","39,709.5","40,344.8","39,391.8","102.00K","2.11%"
"07/05/2021","40,662.5","40,027.2","41,361.4","39,773.0","152.10K","1.59%"
"07/06/2021","38,184.6","41,170.8","41,170.8","38,184.6","236.40K","-6.09%"
"07/07/2021","37,485.7","38,184.6","38,311.7","36,215.0","138.90K","-1.83%"
"07/08/2021","36,215.0","38,057.6","38,057.6","36,088.0","203.40K","-3.39%"
"07/09/2021","35,706.8","36,278.6","37,104.5","35,643.2","185.55K","-1.40%"
"07/12/2021","35,071.4","35,770.3","35,833.8","34,626.7","318.30K","-1.78%"
"07/13/2021","35,770.3","35,262.0","35,770.3","35,071.4","216.90K","1.99%"
"07/14/2021","36,215.0","35,770.3","36,850.4","35,579.7","114.00K","1.24%"
"07/15/2021","36,469.2","35,897.4","37,104.5","35,897.4","108.60K","0.70%"
"07/16/2021","36,786.9","37,104.5","37,104.5","36,469.2","117.90K","0.87%"
"07/19/2021","37,485.7","36,532.7","37,930.5","36,532.7","248.40K","1.90%"
"07/20/2021","38,756.5","37,676.4","38,756.5","37,549.3","99.90K","3.39%"
"07/21/2021","39,391.8","39,391.8","40,027.2","38,756.5","129.45K","1.64%"
"07/22/2021","39,391.8","39,074.1","39,836.5","38,756.5","102.60K","0.00%"
"07/23/2021","40,217.8","39,709.5","40,916.6","39,391.8","216.00K","2.10%"
"07/26/2021","40,154.2","40,281.3","40,281.3","38,820.0","112.80K","-0.16%"
"07/27/2021","40,853.1","40,344.8","40,853.1","40,154.2","147.90K","1.74%"
"07/28/2021","41,107.3","40,916.6","41,107.3","39,709.5","134.40K","0.62%"
"07/29/2021","40,217.8","40,027.2","41,170.8","40,027.2","88.05K","-2.16%"
"07/30/2021","41,488.5","40,217.8","41,488.5","40,027.2","182.10K","3.16%"
"08/02/2021","44,347.5","42,060.3","44,347.5","42,060.3","346.05K","6.89%"
"08/03/2021","44,347.5","45,110.0","46,380.7","44,156.9","230.25K","0.00%"
"08/04/2021","45,046.4","44,474.6","45,364.1","43,839.3","128.40K","1.58%"
"08/05/2021","46,380.7","44,220.5","46,634.8","44,156.9","265.80K","2.96%"
"08/06/2021","45,745.3","46,444.2","46,444.2","44,855.8","154.80K","-1.37%"
"08/09/2021","45,554.7","45,745.3","47,333.7","45,427.6","408.15K","-0.42%"
"08/10/2021","47,333.7","45,808.9","47,333.7","45,745.3","233.85K","3.91%"
"08/11/2021","48,096.1","47,016.0","48,922.1","47,016.0","246.60K","1.61%"
"08/12/2021","48,604.4","48,159.7","48,922.1","48,159.7","224.70K","1.06%"
"08/13/2021","48,604.4","48,413.8","48,604.4","47,016.0","150.90K","0.00%"
"08/16/2021","50,192.8","48,604.4","50,510.5","47,714.9","449.55K","3.27%"
"08/17/2021","50,002.2","51,336.4","51,336.4","49,557.4","105.60K","-0.38%"
"08/18/2021","49,557.4","49,557.4","51,463.5","49,239.8","271.95K","-0.89%"
"08/19/2021","50,002.2","49,239.8","51,018.7","47,143.1","250.95K","0.90%"
"08/20/2021","48,223.2","48,985.6","49,938.6","47,714.9","170.40K","-3.56%"
"08/23/2021","49,112.7","47,905.5","49,621.0","47,651.4","117.30K","1.84%"
"08/24/2021","48,413.8","49,176.2","49,176.2","47,651.4","63.30K","-1.42%"
"08/25/2021","49,811.6","48,413.8","50,002.2","48,096.1","114.45K","2.89%"
"08/26/2021","50,828.1","49,811.6","52,098.8","48,922.1","483.00K","2.04%"
"08/27/2021","50,828.1","51,590.6","51,590.6","50,574.0","90.90K","0.00%"
"08/30/2021","50,764.6","51,082.3","51,145.8","49,748.0","121.65K","-0.12%"
"08/31/2021","49,938.6","50,828.1","50,891.7","49,938.6","342.15K","-1.63%"
"09/01/2021","49,557.4","49,430.4","50,637.5","49,239.8","247.35K","-0.76%"
"09/06/2021","50,319.9","49,557.4","50,828.1","49,557.4","119.25K","1.54%"
"09/07/2021","49,557.4","50,574.0","50,574.0","49,239.8","174.90K","-1.52%"
"09/08/2021","52,162.4","49,557.4","52,734.2","49,176.2","635.70K","5.26%"
"09/09/2021","51,463.5","52,416.5","52,543.6","51,145.8","165.60K","-1.34%"
"09/10/2021","51,463.5","51,781.2","52,098.8","51,209.3","153.90K","0.00%"
"09/13/2021","51,590.6","51,463.5","51,781.2","50,828.1","281.55K","0.25%"
"09/14/2021","53,369.5","52,035.3","54,640.2","52,035.3","345.30K","3.45%"
"09/15/2021","54,640.2","54,004.9","55,021.5","53,687.2","224.55K","2.38%"
"09/16/2021","54,703.8","54,640.2","54,703.8","52,416.5","261.30K","0.12%"
"09/17/2021","54,640.2","54,767.3","54,767.3","53,433.1","128.10K","-0.12%"
"09/20/2021","52,797.7","54,322.6","54,322.6","52,607.1","235.65K","-3.37%"
"09/21/2021","52,162.4","52,098.8","52,162.4","51,145.8","216.30K","-1.20%"
"09/22/2021","53,369.5","52,162.4","54,004.9","51,463.5","195.00K","2.31%"
"09/23/2021","52,988.3","53,750.7","54,322.6","52,734.2","83.10K","-0.71%"
"09/24/2021","52,924.8","52,289.4","53,750.7","51,781.2","137.55K","-0.12%"
"09/27/2021","52,607.1","52,924.8","52,988.3","52,162.4","267.00K","-0.60%"
"09/28/2021","52,861.3","52,098.8","52,924.8","52,098.8","100.80K","0.48%"
"09/29/2021","53,433.1","52,480.0","53,433.1","51,908.2","145.65K","1.08%"
"09/30/2021","53,433.1","53,433.1","54,004.9","53,433.1","117.60K","0.00%"
"10/01/2021","55,085.0","53,941.4","55,148.5","53,496.6","651.00K","3.09%"
"10/04/2021","55,656.8","54,957.9","57,181.6","54,957.9","297.75K","1.04%"
"10/05/2021","55,529.7","55,910.9","55,910.9","54,640.2","99.00K","-0.23%"
"10/06/2021","55,910.9","55,275.6","55,974.5","53,369.5","176.70K","0.69%"
"10/07/2021","55,720.3","56,228.6","56,228.6","55,466.2","182.55K","-0.34%"
"10/08/2021","55,847.4","55,783.9","56,165.1","55,593.3","193.20K","0.23%"
"10/11/2021","55,656.8","55,910.9","56,038.0","55,593.3","171.60K","-0.34%"
"10/12/2021","55,275.6","55,275.6","55,910.9","54,767.3","287.55K","-0.68%"
"10/13/2021","55,656.8","55,275.6","56,101.6","55,275.6","165.15K","0.69%"
"10/14/2021","55,910.9","55,656.8","56,165.1","55,593.3","280.65K","0.46%"
"10/15/2021","55,910.9","55,847.4","55,974.5","55,466.2","158.10K","0.00%"
"10/18/2021","56,038.0","55,974.5","56,038.0","55,275.6","132.30K","0.23%"
"10/19/2021","56,546.3","56,228.6","57,817.0","56,228.6","277.95K","0.91%"
"10/20/2021","56,482.8","57,245.2","57,245.2","54,703.8","98.85K","-0.11%"
"10/21/2021","56,546.3","56,482.8","56,546.3","55,275.6","178.95K","0.11%"
"10/22/2021","55,974.5","55,910.9","57,817.0","55,656.8","257.40K","-1.01%"
"10/25/2021","55,593.3","55,974.5","56,546.3","55,466.2","172.50K","-0.68%"
"10/26/2021","55,656.8","55,529.7","55,656.8","54,957.9","101.40K","0.11%"
"10/27/2021","55,847.4","56,482.8","56,546.3","55,275.6","285.30K","0.34%"
"10/28/2021","56,991.0","55,720.3","57,562.9","55,593.3","177.90K","2.05%"
"10/29/2021","57,118.1","57,181.6","57,181.6","56,228.6","66.00K","0.22%"
"11/01/2021","56,673.4","58,960.6","58,960.6","56,546.3","377.85K","-0.78%"
"11/02/2021","57,880.5","56,609.8","58,388.8","55,593.3","388.50K","2.13%"
"11/03/2021","55,910.9","58,134.7","58,134.7","55,910.9","179.85K","-3.40%"
"11/04/2021","55,847.4","55,593.3","55,910.9","55,593.3","95.25K","-0.11%"
"11/05/2021","56,355.7","55,910.9","57,054.6","55,402.7","276.60K","0.91%"
"11/08/2021","56,991.0","58,388.8","58,388.8","56,546.3","598.65K","1.13%"
"11/09/2021","57,181.6","57,054.6","57,245.2","56,546.3","289.50K","0.33%"
"11/10/2021","57,181.6","57,181.6","57,499.3","56,673.4","405.30K","0.00%"
