"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","29,350.0","29,300.0","29,500.0","28,700.0","1.02M","0.17%"
"07/02/2021","29,300.0","29,650.0","29,650.0","29,000.0","743.60K","-0.17%"
"07/05/2021","28,500.0","29,300.0","29,300.0","28,450.0","879.40K","-2.73%"
"07/06/2021","28,350.0","28,500.0","28,750.0","28,000.0","702.00K","-0.53%"
"07/07/2021","28,300.0","28,000.0","28,300.0","27,200.0","674.70K","-0.18%"
"07/08/2021","28,300.0","28,200.0","28,500.0","28,100.0","262.00K","0.00%"
"07/09/2021","28,100.0","28,300.0","28,300.0","26,450.0","757.60K","-0.71%"
"07/12/2021","27,800.0","27,500.0","28,400.0","26,800.0","688.40K","-1.07%"
"07/13/2021","27,900.0","27,400.0","27,900.0","27,400.0","744.50K","0.36%"
"07/14/2021","27,600.0","27,700.0","28,000.0","26,950.0","503.10K","-1.08%"
"07/15/2021","28,400.0","27,400.0","28,450.0","26,100.0","1.87M","2.90%"
"07/16/2021","28,050.0","28,400.0","28,500.0","27,900.0","840.40K","-1.23%"
"07/19/2021","27,400.0","27,800.0","27,900.0","26,500.0","984.40K","-2.32%"
"07/20/2021","27,000.0","27,300.0","27,400.0","26,050.0","1.60M","-1.46%"
"07/21/2021","27,500.0","26,600.0","27,600.0","26,000.0","1.10M","1.85%"
"07/22/2021","28,500.0","27,500.0","28,700.0","26,500.0","1.11M","3.64%"
"07/23/2021","28,800.0","28,200.0","29,000.0","27,800.0","1.17M","1.05%"
"07/26/2021","29,800.0","28,600.0","29,900.0","27,900.0","1.64M","3.47%"
"07/27/2021","31,500.0","29,900.0","31,500.0","29,900.0","1.83M","5.70%"
"07/28/2021","32,000.0","31,600.0","32,550.0","31,600.0","1.83M","1.59%"
"07/29/2021","32,150.0","31,900.0","32,550.0","30,850.0","2.36M","0.47%"
"07/30/2021","32,600.0","31,900.0","33,200.0","31,300.0","1.55M","1.40%"
"08/02/2021","32,000.0","32,500.0","32,600.0","31,250.0","1.41M","-1.84%"
"08/03/2021","31,750.0","31,700.0","32,000.0","31,000.0","1.41M","-0.78%"
"08/04/2021","32,400.0","31,750.0","32,600.0","31,000.0","2.32M","2.05%"
"08/05/2021","32,800.0","32,000.0","32,900.0","31,300.0","1.71M","1.23%"
"08/06/2021","32,800.0","32,800.0","32,900.0","32,300.0","1.21M","0.00%"
"08/09/2021","32,400.0","32,800.0","32,800.0","31,950.0","1.63M","-1.22%"
"08/10/2021","31,200.0","31,600.0","32,000.0","31,200.0","1.62M","-3.70%"
"08/11/2021","31,400.0","31,000.0","31,400.0","30,600.0","807.10K","0.64%"
"08/12/2021","31,650.0","31,400.0","31,750.0","31,100.0","1.34M","0.80%"
"08/13/2021","32,000.0","31,650.0","32,450.0","31,400.0","1.61M","1.11%"
"08/16/2021","33,950.0","32,000.0","34,000.0","32,000.0","2.05M","6.09%"
"08/17/2021","33,700.0","34,200.0","34,300.0","33,400.0","1.05M","-0.74%"
"08/18/2021","34,000.0","33,800.0","34,200.0","33,800.0","1.84M","0.89%"
"08/19/2021","33,700.0","34,000.0","34,100.0","33,450.0","844.10K","-0.88%"
"08/20/2021","32,500.0","33,700.0","33,700.0","31,500.0","961.20K","-3.56%"
"08/23/2021","30,900.0","32,450.0","32,500.0","30,900.0","769.00K","-4.92%"
"08/24/2021","31,800.0","31,000.0","31,800.0","30,900.0","1.13M","2.91%"
"08/25/2021","33,000.0","32,000.0","33,100.0","31,700.0","1.61M","3.77%"
"08/26/2021","32,700.0","33,100.0","33,300.0","32,500.0","640.70K","-0.91%"
"08/27/2021","32,850.0","32,800.0","33,000.0","32,500.0","787.10K","0.46%"
"08/30/2021","33,000.0","32,850.0","33,150.0","32,500.0","1.05M","0.46%"
"08/31/2021","32,800.0","32,800.0","33,000.0","32,550.0","520.60K","-0.61%"
