"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","15,417.7","15,501.5","15,501.5","15,417.7","1.10K","1.10%"
"07/02/2021","16,339.5","15,082.6","16,339.5","15,082.6","3.20K","5.98%"
"07/06/2021","16,130.0","16,339.5","16,339.5","16,130.0","1.20K","-1.28%"
"07/07/2021","15,082.6","15,082.6","15,124.5","15,082.6","2.70K","-6.49%"
"07/08/2021","15,920.5","15,920.5","15,920.5","15,920.5","1.10K","5.56%"
"07/12/2021","14,915.0","14,956.9","14,956.9","14,915.0","1.60K","-6.32%"
"07/13/2021","14,873.1","14,496.0","14,873.1","14,496.0","1.20K","-0.28%"
"07/15/2021","14,873.1","14,831.2","14,873.1","14,831.2","2.80K","0.00%"
"07/16/2021","14,286.5","14,873.1","14,873.1","14,286.5","0.20K","-3.94%"
"07/20/2021","14,286.5","14,286.5","14,286.5","14,286.5","0.10K","0.00%"
"07/21/2021","14,328.4","14,286.5","14,328.4","14,286.5","0.20K","0.29%"
"07/22/2021","14,328.4","14,328.4","14,328.4","14,328.4","0.30K","0.00%"
"07/26/2021","14,328.4","14,035.2","14,328.4","14,035.2","0.20K","0.00%"
"07/28/2021","14,286.5","14,286.5","14,286.5","14,286.5","0.20K","-0.29%"
"07/30/2021","15,082.6","15,040.7","15,082.6","15,040.7","3.40K","5.57%"
"08/02/2021","15,082.6","15,124.5","15,124.5","15,082.6","1.80K","0.00%"
"08/04/2021","15,124.5","15,124.5","15,124.5","15,124.5","0.40K","0.28%"
"08/05/2021","15,166.4","15,166.4","15,166.4","15,166.4","1.50K","0.28%"
"08/06/2021","15,752.9","15,166.4","15,752.9","15,166.4","1.10K","3.87%"
"08/09/2021","15,878.6","15,878.6","15,878.6","15,878.6","1.20K","0.80%"
"08/10/2021","16,842.2","14,915.0","16,842.2","14,915.0","1.10K","6.07%"
"08/11/2021","16,800.3","16,800.3","16,800.3","16,800.3","0.10K","-0.25%"
"08/12/2021","16,255.7","16,339.5","16,339.5","15,920.5","1.30K","-3.24%"
"08/13/2021","15,501.5","16,255.7","16,255.7","15,501.5","3.20K","-4.64%"
"08/16/2021","15,920.5","16,548.9","16,548.9","15,920.5","3.30K","2.70%"
"08/17/2021","15,124.5","15,166.4","15,166.4","15,124.5","0.80K","-5.00%"
"08/18/2021","15,124.5","15,124.5","15,124.5","15,124.5","1.00K","0.00%"
"08/19/2021","15,208.3","15,166.4","15,208.3","15,166.4","1.80K","0.55%"
"08/23/2021","15,208.3","15,208.3","15,208.3","15,208.3","0.20K","0.00%"
