"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","65,529.0","64,529.0","65,529.0","64,529.0","37.80K","1.55%"
"07/02/2021","65,892.0","66,801.0","66,892.0","65,529.0","16.30K","0.55%"
"07/05/2021","65,711.0","67,165.0","67,165.0","65,438.0","42.70K","-0.27%"
"07/06/2021","64,984.0","66,256.0","66,256.0","64,984.0","43.50K","-1.11%"
"07/07/2021","65,347.0","65,074.0","65,438.0","65,074.0","24.40K","0.56%"
"07/08/2021","65,347.0","65,074.0","65,438.0","65,074.0","14.20K","0.00%"
"07/09/2021","65,165.0","65,165.0","65,438.0","65,074.0","16.60K","-0.28%"
"07/12/2021","64,893.0","65,165.0","65,165.0","64,529.0","47.30K","-0.42%"
"07/13/2021","65,641.0","64,893.0","66,015.0","64,893.0","23.20K","1.15%"
"07/14/2021","65,828.0","65,734.0","66,015.0","65,454.0","27.80K","0.28%"
"07/15/2021","65,921.0","65,734.0","66,015.0","65,734.0","5.70K","0.14%"
"07/16/2021","65,921.0","65,921.0","66,389.0","65,921.0","7.00K","0.00%"
"07/19/2021","65,454.0","65,828.0","65,921.0","65,454.0","19.10K","-0.71%"
"07/20/2021","66,295.0","66,389.0","66,389.0","65,454.0","12.70K","1.28%"
"07/21/2021","66,108.0","65,641.0","66,389.0","65,641.0","16.80K","-0.28%"
"07/22/2021","66,482.0","66,389.0","66,669.0","66,389.0","24.70K","0.57%"
"07/23/2021","66,108.0","66,482.0","66,482.0","66,015.0","2.90K","-0.56%"
"07/26/2021","65,921.0","65,641.0","65,921.0","65,641.0","2.40K","-0.28%"
"07/27/2021","65,921.0","65,921.0","66,295.0","65,921.0","7.20K","0.00%"
"07/28/2021","66,576.0","65,921.0","66,576.0","65,921.0","10.60K","0.99%"
"07/29/2021","66,389.0","66,763.0","66,856.0","66,389.0","2.20K","-0.28%"
"07/30/2021","66,576.0","66,389.0","66,576.0","66,389.0","6.90K","0.28%"
"08/02/2021","66,482.0","66,669.0","66,669.0","66,202.0","4.90K","-0.14%"
"08/03/2021","66,856.0","66,856.0","66,856.0","66,482.0","8.10K","0.56%"
"08/04/2021","66,482.0","66,763.0","66,763.0","66,389.0","14.40K","-0.56%"
"08/05/2021","66,576.0","66,576.0","66,576.0","66,482.0","6.10K","0.14%"
"08/06/2021","67,137.0","66,576.0","67,137.0","66,576.0","18.90K","0.84%"
"08/09/2021","67,417.0","67,137.0","67,511.0","66,669.0","22.00K","0.42%"
