"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","19,675.5","19,425.0","20,104.7","19,353.5","146.62K","0.92%"
"07/02/2021","19,353.5","19,675.5","19,890.1","19,317.7","153.61K","-1.64%"
"07/05/2021","18,924.2","19,389.3","19,389.3","18,816.9","146.20K","-2.22%"
"07/06/2021","18,459.2","18,852.7","18,960.0","18,316.1","155.84K","-2.46%"
"07/07/2021","17,207.1","18,244.5","18,602.2","17,171.3","235.93K","-6.78%"
"07/08/2021","16,956.7","17,529.0","17,636.4","16,527.4","306.37K","-1.46%"
"07/09/2021","16,670.5","16,920.9","17,028.2","16,455.8","125.37K","-1.69%"
"07/12/2021","15,525.7","16,670.5","16,670.5","15,525.7","247.95K","-6.87%"
"07/13/2021","15,740.4","15,740.4","16,026.6","15,311.1","125.65K","1.38%"
"07/14/2021","16,813.6","15,883.5","16,813.6","15,883.5","107.48K","6.82%"
"07/15/2021","17,743.7","17,242.9","17,958.3","17,171.3","200.57K","5.53%"
"07/16/2021","17,028.2","17,886.8","17,886.8","17,028.2","133.34K","-4.03%"
"07/19/2021","16,133.9","16,455.8","16,670.5","16,133.9","169.96K","-5.25%"
"07/20/2021","16,598.9","16,241.2","16,598.9","15,740.4","136.27K","2.88%"
"07/21/2021","16,384.3","16,670.5","16,742.0","16,098.1","101.89K","-1.29%"
"07/22/2021","17,171.3","16,384.3","17,171.3","16,312.7","151.37K","4.80%"
"07/23/2021","17,171.3","17,171.3","17,242.9","16,956.7","126.21K","0.00%"
"07/26/2021","18,351.8","17,207.1","18,351.8","17,207.1","261.93K","6.87%"
"07/27/2021","18,173.0","18,530.7","19,568.1","17,886.8","319.23K","-0.97%"
"07/28/2021","17,743.7","17,886.8","18,244.5","17,600.6","110.70K","-2.36%"
"07/29/2021","17,707.9","17,636.4","17,815.2","17,385.9","116.01K","-0.20%"
"07/30/2021","17,457.5","17,707.9","17,743.7","17,171.3","220.69K","-1.41%"
"08/02/2021","16,956.7","17,314.4","17,457.5","16,956.7","271.99K","-2.87%"
"08/03/2021","17,385.9","16,885.1","17,457.5","16,598.9","249.91K","2.53%"
"08/04/2021","17,385.9","17,457.5","17,600.6","16,813.6","164.09K","0.00%"
"08/05/2021","17,457.5","17,385.9","17,493.3","17,171.3","131.10K","0.41%"
"08/06/2021","18,029.9","17,385.9","18,316.1","17,171.3","471.44K","3.28%"
"08/09/2021","19,281.9","18,101.4","19,281.9","18,101.4","518.40K","6.94%"
"08/10/2021","19,568.1","19,961.6","20,319.4","19,246.2","457.46K","1.48%"
"08/11/2021","18,530.7","19,317.7","19,568.1","18,530.7","361.02K","-5.30%"
"08/12/2021","19,675.5","18,530.7","19,818.5","18,530.7","502.19K","6.18%"
"08/13/2021","20,033.2","19,460.8","20,033.2","18,852.7","357.39K","1.82%"
"08/16/2021","21,428.4","20,748.7","21,428.4","20,677.1","599.61K","6.96%"
"08/17/2021","21,965.0","22,823.5","22,823.5","21,392.6","532.80K","2.50%"
"08/18/2021","22,537.3","21,464.1","22,966.6","21,106.4","417.63K","2.61%"
"08/19/2021","22,179.6","21,893.4","22,823.5","21,893.4","362.70K","-1.59%"
"08/20/2021","20,891.8","22,179.6","22,179.6","20,641.3","574.03K","-5.81%"
"08/23/2021","19,532.4","20,748.7","20,748.7","19,532.4","406.17K","-6.51%"
"08/24/2021","18,816.9","18,888.4","19,532.4","18,673.8","285.69K","-3.66%"
"08/25/2021","19,997.4","18,816.9","20,104.7","18,530.7","184.77K","6.27%"
"08/26/2021","20,033.2","19,389.3","20,748.7","19,389.3","271.29K","0.18%"
"08/27/2021","21,177.9","20,033.2","21,249.5","19,675.5","355.85K","5.71%"
"08/30/2021","21,678.8","21,177.9","22,072.3","21,177.9","250.60K","2.37%"
"08/31/2021","21,392.6","21,965.0","21,965.0","21,392.6","335.44K","-1.32%"
"09/01/2021","21,464.1","20,927.5","21,893.4","20,927.5","275.20K","0.33%"
"09/06/2021","22,036.5","21,678.8","22,644.7","21,678.8","457.60K","2.67%"
"09/07/2021","21,106.4","22,036.5","22,108.1","20,498.2","251.72K","-4.22%"
"09/08/2021","21,106.4","21,106.4","21,464.1","20,748.7","209.93K","0.00%"
"09/09/2021","21,607.2","21,464.1","21,750.3","21,177.9","207.00K","2.37%"
"09/10/2021","21,464.1","21,965.0","21,965.0","21,464.1","156.96K","-0.66%"
"09/13/2021","21,177.9","20,891.8","21,535.7","20,891.8","168.28K","-1.33%"
"09/14/2021","20,534.0","21,213.7","21,249.5","20,355.1","199.87K","-3.04%"
"09/15/2021","21,321.0","20,462.5","21,321.0","20,390.9","122.44K","3.83%"
"09/16/2021","21,321.0","21,392.6","21,464.1","21,070.6","125.65K","0.00%"
"09/17/2021","21,249.5","21,821.9","21,893.4","21,249.5","235.23K","-0.34%"
"09/20/2021","22,537.3","21,249.5","22,716.2","21,142.2","522.59K","6.06%"
"09/21/2021","24,111.4","21,893.4","24,111.4","21,464.1","979.77K","6.98%"
"09/22/2021","25,792.7","25,757.0","25,792.7","25,291.9","478.99K","6.97%"
"09/23/2021","25,757.0","27,402.5","27,402.5","24,326.0","597.51K","-0.14%"
"09/24/2021","23,968.3","25,041.5","25,041.5","23,968.3","685.84K","-6.94%"
"09/27/2021","22,322.7","22,680.4","23,610.5","22,322.7","636.64K","-6.87%"
"09/28/2021","23,467.4","21,249.5","23,753.6","21,249.5","455.36K","5.13%"
"09/29/2021","23,324.4","22,895.1","23,539.0","22,680.4","129.15K","-0.61%"
"09/30/2021","22,752.0","23,539.0","23,825.2","22,752.0","275.34K","-2.45%"
"10/01/2021","21,857.6","21,821.9","22,966.6","21,821.9","398.06K","-3.93%"
"10/04/2021","22,108.1","22,895.1","22,895.1","21,464.1","285.13K","1.15%"
"10/05/2021","22,322.7","22,108.1","22,680.4","21,821.9","221.11K","0.97%"
