"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","34,835.5","34,570.3","34,924.0","34,481.9","2.60M","1.03%"
"07/02/2021","34,835.5","34,835.5","35,277.6","34,570.3","1.97M","0.00%"
"07/05/2021","34,349.3","34,747.1","34,791.3","34,039.8","2.14M","-1.40%"
"07/06/2021","33,420.9","34,481.9","34,614.5","33,420.9","3.12M","-2.70%"
"07/07/2021","32,978.8","33,420.9","33,597.7","32,404.1","3.04M","-1.32%"
"07/08/2021","33,465.1","32,978.8","33,774.6","32,890.4","1.96M","1.47%"
"07/09/2021","33,597.7","33,597.7","33,597.7","32,536.7","1.97M","0.40%"
"07/12/2021","32,713.6","33,509.3","33,509.3","31,696.8","2.66M","-2.63%"
"07/13/2021","32,757.8","32,625.2","32,757.8","32,271.5","1.86M","0.14%"
"07/14/2021","32,713.6","32,713.6","32,846.2","31,917.8","1.10M","-0.13%"
"07/15/2021","32,448.3","32,492.5","32,890.4","32,183.1","1.57M","-0.81%"
"07/16/2021","32,890.4","32,536.7","33,111.4","32,536.7","1.49M","1.36%"
"07/19/2021","33,155.7","32,271.5","33,995.6","32,271.5","3.96M","0.81%"
"07/20/2021","33,686.1","32,934.6","33,686.1","32,934.6","1.32M","1.60%"
"07/21/2021","33,730.3","33,597.7","33,995.6","33,199.9","1.40M","0.13%"
"07/22/2021","35,366.0","33,553.5","35,763.9","33,376.7","7.98M","4.85%"
"07/23/2021","35,012.4","35,366.0","36,206.0","35,012.4","3.81M","-1.00%"
"07/26/2021","37,178.5","34,924.0","37,399.6","34,658.7","4.74M","6.19%"
"07/27/2021","36,692.3","37,090.1","37,311.2","36,294.4","5.60M","-1.31%"
"07/28/2021","36,603.8","36,338.6","37,045.9","36,250.2","2.53M","-0.24%"
"07/29/2021","37,134.3","36,692.3","37,134.3","36,338.6","4.69M","1.45%"
"07/30/2021","38,637.4","37,134.3","38,637.4","36,957.5","6.48M","4.05%"
"08/02/2021","37,753.2","38,018.5","38,372.1","37,576.4","4.32M","-2.29%"
"08/03/2021","38,416.3","37,841.6","38,416.3","37,620.6","5.42M","1.76%"
"08/04/2021","38,504.8","38,283.7","39,344.7","38,018.5","3.61M","0.23%"
"08/05/2021","38,725.8","38,195.3","38,725.8","38,195.3","3.12M","0.57%"
"08/06/2021","38,725.8","38,549.0","40,052.0","38,460.6","5.50M","0.00%"
"08/09/2021","39,433.1","38,637.4","39,786.8","38,637.4","4.31M","1.83%"
"08/10/2021","39,256.3","39,433.1","39,433.1","38,991.0","2.44M","-0.45%"
"08/11/2021","37,620.6","39,079.5","39,433.1","37,576.4","7.74M","-4.17%"
"08/12/2021","37,576.4","37,311.2","38,460.6","37,222.7","5.60M","-0.12%"
"08/13/2021","38,416.3","37,399.6","38,416.3","37,045.9","4.98M","2.24%"
"08/16/2021","38,460.6","38,814.2","39,521.5","38,372.1","3.77M","0.12%"
"08/17/2021","37,355.4","38,018.5","38,283.7","37,222.7","5.19M","-2.87%"
"08/18/2021","37,134.3","37,267.0","38,195.3","36,692.3","5.07M","-0.59%"
"08/19/2021","37,222.7","37,001.7","37,488.0","36,913.3","2.71M","0.24%"
"08/20/2021","36,161.8","37,311.2","37,399.6","35,366.0","5.70M","-2.85%"
"08/23/2021","36,029.1","35,631.3","36,603.8","35,454.4","2.67M","-0.37%"
"08/24/2021","36,206.0","36,515.4","36,692.3","35,852.3","2.59M","0.49%"
"08/25/2021","36,692.3","36,250.2","36,780.7","36,250.2","1.45M","1.34%"
"08/26/2021","36,869.1","36,824.9","37,222.7","36,559.6","1.77M","0.48%"
"08/27/2021","37,488.0","36,736.5","37,488.0","36,338.6","2.38M","1.68%"
"08/30/2021","38,460.6","37,885.9","38,725.8","37,443.8","3.65M","2.59%"
"08/31/2021","38,460.6","38,460.6","38,814.2","37,841.6","3.93M","0.00%"
"09/01/2021","38,283.7","38,416.3","38,416.3","38,062.7","2.14M","-0.46%"
"09/06/2021","40,405.7","38,770.0","40,803.6","38,504.8","5.63M","5.54%"
"09/07/2021","39,256.3","40,494.1","40,494.1","38,770.0","4.06M","-2.84%"
"09/08/2021","38,902.6","38,991.0","39,609.9","38,549.0","2.25M","-0.90%"
"09/09/2021","39,167.9","39,344.7","39,344.7","38,770.0","1.99M","0.68%"
"09/10/2021","38,902.6","39,521.5","39,521.5","38,593.2","1.86M","-0.68%"
"09/13/2021","38,195.3","38,549.0","38,902.6","38,062.7","1.87M","-1.82%"
"09/14/2021","37,222.7","38,195.3","38,283.7","37,134.3","2.41M","-2.55%"
"09/15/2021","37,664.8","37,222.7","37,885.9","36,869.1","1.62M","1.19%"
"09/16/2021","38,018.5","37,399.6","38,195.3","37,355.4","1.81M","0.94%"
"09/17/2021","38,593.2","37,930.1","38,902.6","37,930.1","1.89M","1.51%"
"09/20/2021","37,532.2","39,167.9","39,167.9","37,399.6","2.49M","-2.75%"
"09/21/2021","37,045.9","37,090.1","37,311.2","36,250.2","3.60M","-1.30%"
"09/22/2021","37,134.3","37,045.9","37,134.3","36,338.6","2.77M","0.24%"
"09/23/2021","37,355.4","37,134.3","37,841.6","37,134.3","2.74M","0.60%"
"09/24/2021","37,355.4","37,355.4","38,018.5","36,780.7","1.41M","0.00%"
"09/27/2021","36,250.2","37,222.7","37,222.7","36,250.2","1.81M","-2.96%"
"09/28/2021","37,576.4","35,808.1","37,576.4","35,808.1","2.72M","3.66%"
"09/29/2021","37,090.1","37,134.3","37,576.4","36,913.3","1.24M","-1.29%"
"09/30/2021","37,090.1","37,134.3","37,576.4","37,001.7","1.98M","0.00%"
"10/01/2021","36,515.4","36,869.1","36,957.5","36,382.8","1.93M","-1.55%"
"10/04/2021","36,780.7","36,250.2","37,045.9","36,029.1","1.66M","0.73%"
"10/05/2021","37,355.4","36,780.7","37,532.2","36,559.6","1.68M","1.56%"
"10/06/2021","38,327.9","37,532.2","38,327.9","37,532.2","3.39M","2.60%"
"10/07/2021","38,283.7","38,283.7","38,814.2","37,974.3","3.00M","-0.12%"
"10/08/2021","38,902.6","38,549.0","39,300.5","38,460.6","2.95M","1.62%"
"10/11/2021","38,637.4","39,079.5","39,786.8","38,593.2","3.14M","-0.68%"
"10/12/2021","38,372.1","38,637.4","39,123.7","38,239.5","3.20M","-0.69%"
"10/13/2021","39,344.7","38,637.4","39,698.4","38,460.6","3.72M","2.53%"
"10/14/2021","41,289.8","40,052.0","41,820.3","39,786.8","6.85M","4.94%"
"10/15/2021","41,289.8","41,289.8","41,908.7","40,936.2","3.80M","0.00%"
"10/18/2021","43,721.3","41,599.3","44,074.9","41,599.3","6.97M","5.89%"
"10/19/2021","43,323.4","43,500.2","43,500.2","42,792.9","4.46M","-0.91%"
"10/20/2021","44,826.4","43,323.4","45,799.0","43,323.4","7.92M","3.47%"
"10/21/2021","45,091.7","45,975.8","46,860.0","44,914.9","7.84M","0.59%"
"10/22/2021","47,921.0","45,533.8","47,921.0","45,003.3","6.34M","6.27%"
"10/25/2021","47,744.1","47,921.0","50,219.8","47,390.5","5.92M","-0.37%"
"10/26/2021","48,363.0","47,302.1","48,539.9","47,125.2","5.73M","1.30%"
"10/27/2021","49,954.5","49,424.0","50,219.8","48,981.9","7.15M","3.29%"
"10/28/2021","52,783.8","50,131.3","53,049.0","50,131.3","5.88M","5.66%"
"10/29/2021","51,280.7","53,756.4","54,463.7","51,280.7","8.66M","-2.85%"
"11/01/2021","51,457.6","53,049.0","53,402.7","50,131.3","8.10M","0.34%"
"11/02/2021","54,994.2","51,988.1","54,994.2","51,546.0","7.95M","6.87%"
"11/03/2021","51,192.3","58,177.1","58,265.5","51,192.3","11.71M","-6.91%"
"11/04/2021","53,137.5","51,369.2","54,375.3","50,838.7","7.24M","3.80%"
"11/05/2021","51,899.6","53,137.5","53,667.9","51,722.8","7.21M","-2.33%"
"11/08/2021","53,756.4","51,899.6","54,286.9","51,103.9","5.44M","3.58%"
"11/09/2021","54,286.9","54,198.4","55,259.4","53,756.4","5.71M","0.99%"
"11/10/2021","54,110.0","54,375.3","55,259.4","53,314.3","5.35M","-0.33%"
"11/11/2021","57,823.5","54,817.3","57,823.5","54,817.3","8.34M","6.86%"
"11/12/2021","60,122.2","59,238.1","60,122.2","57,735.0","5.91M","3.98%"
"11/15/2021","58,796.0","61,006.4","61,625.3","56,055.2","9.67M","-2.21%"
"11/16/2021","56,320.4","57,027.7","58,177.1","55,966.7","11.72M","-4.21%"
"11/17/2021","56,939.3","56,320.4","57,911.9","55,966.7","4.80M","1.10%"
"11/18/2021","58,353.9","57,911.9","58,884.4","56,939.3","4.32M","2.48%"
"11/19/2021","54,905.8","58,796.0","58,884.4","54,286.9","7.58M","-5.91%"
"11/22/2021","51,103.9","54,286.9","54,552.1","51,103.9","9.03M","-6.92%"
"11/23/2021","52,164.9","50,396.6","52,164.9","49,158.8","5.94M","2.08%"
"11/24/2021","54,324.7","54,225.9","54,621.0","52,546.8","3.42M","4.14%"
"11/25/2021","56,300.1","54,522.2","57,287.8","54,127.1","3.32M","3.64%"
"11/26/2021","54,719.7","57,090.3","57,682.9","53,830.8","5.16M","-2.81%"
"11/29/2021","53,929.6","52,941.8","56,102.6","52,843.1","2.85M","-1.44%"
"11/30/2021","55,114.8","54,423.4","55,806.2","53,633.3","3.57M","2.20%"
"12/01/2021","54,522.2","54,917.3","56,003.8","53,830.8","2.94M","-1.08%"
"12/02/2021","56,695.2","54,818.5","57,485.4","54,225.9","7.89M","3.99%"
"12/03/2021","56,102.6","57,485.4","58,769.4","56,102.6","5.53M","-1.05%"
"12/06/2021","52,250.4","55,905.0","56,300.1","52,250.4","6.77M","-6.87%"
"12/07/2021","54,028.3","52,843.1","54,324.7","50,670.1","7.88M","3.40%"
"12/08/2021","53,435.7","54,028.3","55,213.6","52,843.1","3.80M","-1.10%"
"12/09/2021","54,324.7","53,139.4","54,423.4","52,941.8","3.29M","1.66%"
"12/10/2021","55,213.6","54,324.7","55,608.7","54,127.1","4.72M","1.64%"
"12/13/2021","59,065.7","56,201.3","59,065.7","55,411.1","13.57M","6.98%"
"12/14/2021","59,362.0","59,263.3","60,646.1","58,473.1","6.30M","0.50%"
"12/15/2021","60,251.0","59,757.1","61,633.8","58,275.5","6.21M","1.50%"
"12/16/2021","64,300.6","60,251.0","64,399.4","59,658.3","9.95M","6.72%"
"12/17/2021","64,004.3","65,288.4","66,572.4","63,214.1","6.05M","-0.46%"
"12/20/2021","61,732.6","64,201.9","64,201.9","61,041.2","7.78M","-3.55%"
"12/21/2021","64,399.4","61,732.6","64,695.7","60,843.6","6.61M","4.32%"
"12/22/2021","62,917.8","64,893.3","66,078.5","62,917.8","7.53M","-2.30%"
"12/23/2021","59,855.9","62,917.8","63,115.4","58,571.9","9.65M","-4.87%"
"12/24/2021","59,954.7","59,855.9","61,633.8","59,658.3","3.49M","0.17%"
"12/27/2021","61,535.0","60,053.4","61,535.0","57,781.7","6.24M","2.64%"
"12/28/2021","62,226.4","62,226.4","62,720.3","61,238.7","4.10M","1.12%"
"12/29/2021","62,522.7","63,016.6","64,004.3","61,732.6","5.62M","0.48%"
"12/30/2021","61,732.6","62,720.3","63,214.1","60,744.8","4.11M","-1.26%"
"12/31/2021","63,411.7","61,436.2","63,411.7","60,349.8","3.19M","2.72%"
