"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","26,000.0","26,200.0","26,300.0","26,000.0","41.80K","0.00%"
"07/02/2021","25,500.0","26,050.0","26,050.0","25,500.0","40.90K","-1.92%"
"07/05/2021","25,300.0","25,600.0","25,600.0","24,900.0","42.40K","-0.78%"
"07/06/2021","24,800.0","25,300.0","25,300.0","24,800.0","55.60K","-1.98%"
"07/07/2021","24,500.0","24,800.0","24,800.0","24,150.0","60.80K","-1.21%"
"07/08/2021","24,450.0","24,300.0","24,550.0","24,300.0","24.90K","-0.20%"
"07/09/2021","24,300.0","24,350.0","24,500.0","24,250.0","22.20K","-0.61%"
"07/12/2021","22,800.0","24,400.0","24,400.0","22,800.0","75.10K","-6.17%"
"07/13/2021","23,400.0","22,800.0","23,400.0","22,800.0","32.10K","2.63%"
"07/14/2021","23,000.0","23,400.0","23,600.0","23,000.0","21.20K","-1.71%"
"07/15/2021","23,400.0","23,500.0","23,550.0","23,200.0","18.00K","1.74%"
"07/16/2021","24,000.0","23,300.0","24,450.0","23,300.0","19.80K","2.56%"
"07/19/2021","23,000.0","23,350.0","23,650.0","23,000.0","39.10K","-4.17%"
"07/20/2021","23,400.0","23,700.0","23,700.0","23,100.0","3.50K","1.74%"
"07/21/2021","23,550.0","23,950.0","23,950.0","23,400.0","8.30K","0.64%"
"07/22/2021","23,650.0","23,550.0","23,900.0","23,500.0","21.70K","0.42%"
"07/23/2021","23,650.0","23,650.0","23,950.0","23,650.0","16.30K","0.00%"
"07/26/2021","23,600.0","23,650.0","23,950.0","23,600.0","11.40K","-0.21%"
"07/27/2021","23,700.0","23,700.0","23,850.0","23,600.0","13.90K","0.42%"
"07/28/2021","23,500.0","23,700.0","23,700.0","23,500.0","2.30K","-0.84%"
"07/29/2021","23,500.0","23,600.0","23,600.0","23,500.0","12.40K","0.00%"
"07/30/2021","23,600.0","23,500.0","23,650.0","23,500.0","13.00K","0.43%"
"08/02/2021","23,600.0","23,550.0","23,650.0","23,500.0","32.90K","0.00%"
"08/03/2021","23,600.0","23,650.0","23,650.0","23,550.0","33.80K","0.00%"
"08/04/2021","23,700.0","24,000.0","24,000.0","23,600.0","10.80K","0.42%"
"08/05/2021","23,850.0","23,700.0","23,950.0","23,700.0","14.70K","0.63%"
"08/06/2021","24,450.0","23,800.0","25,500.0","23,750.0","30.30K","2.52%"
"08/09/2021","24,800.0","24,500.0","25,000.0","24,450.0","18.90K","1.43%"
"08/10/2021","24,800.0","25,400.0","25,400.0","24,700.0","41.30K","0.00%"
"08/11/2021","24,700.0","24,900.0","24,900.0","24,350.0","47.40K","-0.40%"
"08/12/2021","24,950.0","24,550.0","25,200.0","24,550.0","80.30K","1.01%"
"08/13/2021","24,600.0","24,800.0","24,950.0","24,600.0","23.50K","-1.40%"
"08/16/2021","25,150.0","24,800.0","25,150.0","24,700.0","66.80K","2.24%"
"08/17/2021","25,750.0","25,150.0","25,750.0","25,000.0","139.80K","2.39%"
"08/18/2021","25,500.0","25,200.0","25,600.0","25,200.0","75.20K","-0.97%"
