"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","74,715.80","75,369.50","75,369.50","74,248.80","6.70K","-0.87%"
"07/02/2021","77,330.80","74,715.80","77,517.60","73,781.80","23.90K","3.50%"
"07/05/2021","76,583.70","79,292.10","79,292.10","73,314.80","1.80K","-0.97%"
"07/06/2021","75,556.30","73,781.80","75,649.70","72,847.90","18.40K","-1.34%"
"07/07/2021","74,715.80","75,462.90","75,462.90","71,913.90","5.00K","-1.11%"
"07/08/2021","74,062.00","73,314.80","74,062.00","71,447.00","0.90K","-0.88%"
"07/09/2021","73,688.40","73,688.40","73,688.40","70,139.40","5.80K","-0.50%"
"07/12/2021","71,447.00","71,073.40","73,595.00","69,765.80","4.01K","-3.04%"
"07/13/2021","73,128.10","70,046.00","77,424.20","70,046.00","11.10K","2.35%"
"07/14/2021","74,529.00","73,314.80","74,529.00","73,314.80","0.30K","1.92%"
"07/15/2021","73,408.20","71,913.90","73,408.20","71,913.90","1.21K","-1.50%"
"07/16/2021","73,781.80","68,925.30","73,781.80","68,925.30","1.23K","0.51%"
"07/19/2021","73,688.40","70,139.40","73,688.40","70,139.40","0.20K","-0.13%"
"07/20/2021","73,595.00","72,847.90","73,595.00","72,754.50","1.00K","-0.13%"
"07/21/2021","72,661.10","72,847.90","76,583.70","72,661.10","3.00K","-1.27%"
"07/22/2021","73,781.80","74,622.40","74,622.40","71,727.10","1.13K","1.54%"
"07/23/2021","73,781.80","74,715.80","75,182.70","73,781.80","1.10K","0.00%"
"07/26/2021","73,595.00","73,314.80","73,781.80","73,314.80","1.10K","-0.25%"
"07/27/2021","73,595.00","73,501.60","73,595.00","73,501.60","0.22K","0.00%"
"07/28/2021","75,182.70","74,715.80","75,182.70","74,715.80","1.00K","2.16%"
"07/29/2021","74,715.80","74,715.80","74,715.80","74,715.80","0.30K","-0.62%"
"07/30/2021","74,062.00","72,474.30","76,583.70","70,232.80","94.30K","-0.88%"
"08/02/2021","72,007.30","72,847.90","73,688.40","72,007.30","1.60K","-2.77%"
"08/03/2021","71,727.10","72,100.70","72,100.70","70,513.00","5.82K","-0.39%"
"08/04/2021","70,886.60","72,567.70","72,567.70","70,326.20","4.52K","-1.17%"
"08/05/2021","69,952.60","70,793.20","70,793.20","68,645.10","47.13K","-1.32%"
"08/06/2021","70,046.00","68,831.90","70,699.80","68,831.90","8.21K","0.13%"
"08/09/2021","70,793.20","69,112.10","70,793.20","68,458.30","5.62K","1.07%"
"08/10/2021","70,793.20","70,513.00","70,980.00","69,952.60","6.03K","0.00%"
"08/11/2021","71,913.90","70,886.60","71,913.90","70,232.80","18.00K","1.58%"
"08/12/2021","71,913.90","71,913.90","72,661.10","70,980.00","12.20K","0.00%"
"08/13/2021","72,567.70","72,661.10","72,661.10","71,166.80","3.60K","0.91%"
"08/16/2021","72,567.70","72,567.70","72,567.70","72,567.70","0.80K","0.00%"
"08/17/2021","70,980.00","72,380.90","74,529.00","70,699.80","10.22K","-2.19%"
"08/18/2021","71,913.90","70,980.00","71,913.90","70,793.20","5.64K","1.32%"
"08/19/2021","71,913.90","70,980.00","72,847.90","70,980.00","4.35K","0.00%"
"08/20/2021","72,100.70","70,980.00","72,567.70","70,606.40","3.92K","0.26%"
"08/23/2021","72,754.50","69,672.50","73,408.20","69,672.50","1.10K","0.91%"
"08/24/2021","71,633.70","71,913.90","71,913.90","70,419.60","2.91K","-1.54%"
"08/25/2021","71,820.50","71,540.30","71,820.50","69,859.20","6.80K","0.26%"
"08/26/2021","72,100.70","71,820.50","72,100.70","70,232.80","17.55K","0.39%"
"08/27/2021","72,754.50","70,326.20","72,754.50","70,326.20","21.67K","0.91%"
"09/06/2021","73,314.80","72,754.50","73,314.80","72,754.50","8.20K","0.77%"
"09/07/2021","74,248.80","73,314.80","74,435.60","73,314.80","5.10K","1.27%"
"09/08/2021","74,622.40","71,260.20","74,995.90","71,260.20","26.70K","0.50%"
"09/09/2021","73,781.80","74,622.40","74,902.60","72,847.90","3.80K","-1.13%"
"09/10/2021","74,902.60","72,007.30","74,902.60","72,007.30","2.00K","1.52%"
"09/13/2021","74,809.20","73,221.50","75,182.70","73,221.50","8.70K","-0.12%"
"09/14/2021","74,809.20","73,128.10","74,995.90","73,128.10","3.50K","0.00%"
"09/15/2021","76,210.10","73,781.80","76,490.30","73,781.80","11.10K","1.87%"
"09/16/2021","75,556.30","76,116.70","76,116.70","74,809.20","1.20K","-0.86%"
"09/17/2021","74,715.80","74,622.40","74,715.80","74,248.80","2.50K","-1.11%"
"09/20/2021","73,781.80","73,128.10","74,342.20","73,128.10","2.90K","-1.25%"
"09/21/2021","73,781.80","74,248.80","74,248.80","73,781.80","4.40K","0.00%"
"09/22/2021","74,622.40","73,501.60","74,622.40","73,501.60","5.80K","1.14%"
"09/23/2021","74,622.40","74,622.40","74,622.40","72,941.30","10.80K","0.00%"
"09/24/2021","74,902.60","75,182.70","75,182.70","74,529.00","4.90K","0.38%"
"09/27/2021","74,809.20","74,809.20","74,995.90","74,809.20","9.20K","-0.12%"
"09/28/2021","75,649.70","74,622.40","76,116.70","72,941.30","4.40K","1.12%"
"09/29/2021","76,583.70","74,715.80","76,583.70","74,715.80","9.00K","1.23%"
"09/30/2021","77,517.60","76,583.70","77,517.60","76,490.30","10.80K","1.22%"
"10/01/2021","75,649.70","74,715.80","76,583.70","74,715.80","1.60K","-2.41%"
"10/04/2021","77,517.60","75,462.90","78,451.60","75,462.90","58.70K","2.47%"
"10/05/2021","78,264.80","77,517.60","78,451.60","76,583.70","10.70K","0.96%"
"10/06/2021","78,731.70","78,451.60","78,731.70","76,770.40","8.60K","0.60%"
"10/07/2021","78,358.20","78,544.90","78,544.90","77,050.60","13.00K","-0.47%"
"10/08/2021","78,358.20","76,677.10","78,358.20","76,677.10","1.30K","0.00%"
"10/11/2021","77,517.60","78,358.20","78,358.20","76,583.70","18.70K","-1.07%"
"10/12/2021","77,050.60","77,050.60","77,050.60","76,583.70","1.90K","-0.60%"
"10/13/2021","77,050.60","76,583.70","77,050.60","76,583.70","8.70K","0.00%"
"10/14/2021","75,743.10","76,863.80","76,957.20","74,995.90","22.60K","-1.70%"
"10/15/2021","76,023.30","76,116.70","76,116.70","75,649.70","63.30K","0.37%"
"10/18/2021","76,023.30","76,023.30","76,210.10","75,649.70","4.20K","0.00%"
"10/19/2021","76,490.30","76,583.70","77,517.60","76,490.30","3.50K","0.61%"
"10/20/2021","76,023.30","76,583.70","76,583.70","74,809.20","2.40K","-0.61%"
"10/21/2021","75,649.70","75,649.70","76,023.30","75,462.90","17.90K","-0.49%"
"10/22/2021","75,649.70","76,583.70","76,583.70","75,649.70","1.20K","0.00%"
"10/25/2021","75,743.10","75,649.70","75,743.10","75,369.50","9.20K","0.12%"
"10/26/2021","76,116.70","76,116.70","76,490.30","75,369.50","1.70K","0.49%"
"10/27/2021","75,743.10","76,023.30","76,116.70","74,902.60","13.60K","-0.49%"
"10/28/2021","75,929.90","75,649.70","76,116.70","75,182.70","15.30K","0.25%"
"10/29/2021","75,929.90","75,929.90","75,929.90","75,836.50","2.90K","0.00%"
"11/01/2021","76,957.20","75,836.50","77,517.60","75,743.10","9.30K","1.35%"
"11/02/2021","76,583.70","76,583.70","76,583.70","75,649.70","4.50K","-0.49%"
"11/03/2021","75,276.10","75,276.10","76,116.70","75,182.70","7.30K","-1.71%"
"11/04/2021","75,276.10","75,649.70","75,649.70","75,089.30","4.00K","0.00%"
"11/05/2021","75,929.90","76,116.70","76,116.70","75,649.70","2.40K","0.87%"
"11/08/2021","76,116.70","75,929.90","76,583.70","75,743.10","92.00K","0.25%"
"11/09/2021","76,116.70","76,583.70","76,583.70","75,649.70","11.40K","0.00%"
"11/10/2021","76,116.70","76,116.70","77,424.20","75,649.70","37.90K","0.00%"
"11/11/2021","76,116.70","75,836.50","77,517.60","75,649.70","25.60K","0.00%"
"11/12/2021","75,556.30","75,649.70","75,836.50","74,715.80","11.90K","-0.74%"
"11/15/2021","75,556.30","75,649.70","76,116.70","74,995.90","17.70K","0.00%"
"11/16/2021","75,649.70","75,556.30","76,116.70","74,715.80","23.90K","0.12%"
"11/17/2021","74,715.80","74,622.40","76,116.70","74,342.20","23.40K","-1.23%"
"11/18/2021","75,649.70","75,743.10","75,743.10","74,342.20","5.30K","1.25%"
"11/19/2021","74,715.80","75,556.30","76,116.70","74,715.80","4.70K","-1.23%"
"11/22/2021","75,182.70","75,556.30","75,556.30","74,715.80","4.90K","0.62%"
"11/23/2021","74,995.90","75,182.70","75,276.10","73,688.40","4.80K","-0.25%"
"11/24/2021","75,089.30","75,182.70","75,369.50","74,248.80","9.70K","0.12%"
"11/25/2021","75,182.70","74,715.80","75,182.70","74,715.80","11.00K","0.12%"
"11/26/2021","75,182.70","74,529.00","75,649.70","74,529.00","7.70K","0.00%"
"11/29/2021","78,451.60","75,182.70","79,759.10","75,182.70","26.40K","4.35%"
"11/30/2021","79,852.50","76,210.10","80,319.40","76,210.10","49.40K","1.79%"
"12/01/2021","79,945.90","79,198.70","80,319.40","79,198.70","46.10K","0.12%"
"12/02/2021","79,852.50","79,945.90","80,226.10","79,385.50","7.20K","-0.12%"
"12/03/2021","80,226.10","80,132.70","81,253.40","80,132.70","8.60K","0.47%"
"12/06/2021","78,825.10","79,385.50","79,385.50","77,517.60","21.70K","-1.75%"
"12/07/2021","78,451.60","79,105.30","79,105.30","77,517.60","11.70K","-0.47%"
"12/08/2021","78,451.60","77,517.60","83,868.40","77,517.60","13.00K","0.00%"
"12/09/2021","78,918.50","78,451.60","80,319.40","78,451.60","2.10K","0.60%"
"12/10/2021","79,385.50","77,517.60","79,852.50","77,517.60","3.40K","0.59%"
"12/13/2021","79,385.50","79,385.50","79,572.30","77,611.00","3.70K","0.00%"
"12/14/2021","79,105.30","77,797.80","81,253.40","76,583.70","15.90K","-0.35%"
"12/15/2021","79,105.30","76,677.10","79,292.10","76,677.10","0.90K","0.00%"
"12/16/2021","76,490.30","76,677.10","76,677.10","76,490.30","4.10K","-3.31%"
"12/17/2021","78,078.00","76,116.70","78,078.00","75,649.70","25.80K","2.08%"
"12/20/2021","77,517.60","76,583.70","79,105.30","75,836.50","13.60K","-0.72%"
"12/21/2021","77,517.60","75,836.50","80,132.70","75,836.50","2.60K","0.00%"
"12/22/2021","75,649.70","76,396.90","77,424.20","75,649.70","15.40K","-2.41%"
"12/23/2021","75,649.70","76,490.30","76,583.70","74,809.20","8.00K","0.00%"
"12/24/2021","76,583.70","76,396.90","76,583.70","76,396.90","0.60K","1.23%"
"12/27/2021","76,583.70","76,583.70","76,583.70","74,995.90","7.50K","0.00%"
"12/28/2021","76,490.30","77,517.60","77,517.60","75,649.70","5.60K","-0.12%"
"12/29/2021","78,264.80","75,276.10","80,319.40","74,809.20","14.40K","2.32%"
"12/30/2021","78,825.10","76,210.10","79,292.10","75,649.70","32.70K","0.72%"
"12/31/2021","77,485.90","77,485.90","79,686.10","76,529.30","30.50K","-1.70%"
