"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,700.0","10,300.0","11,000.0","10,250.0","37.30K","-2.73%"
"07/02/2021","10,400.0","10,700.0","10,700.0","9,980.0","18.50K","-2.80%"
"07/05/2021","10,050.0","10,400.0","10,400.0","9,700.0","18.60K","-3.37%"
"07/06/2021","9,350.0","9,520.0","9,790.0","9,350.0","19.50K","-6.97%"
"07/07/2021","10,000.0","8,800.0","10,000.0","8,730.0","47.20K","6.95%"
"07/08/2021","10,150.0","9,350.0","10,150.0","9,320.0","1.80K","1.50%"
"07/09/2021","9,900.0","9,500.0","9,900.0","9,440.0","23.20K","-2.46%"
"07/12/2021","9,220.0","9,840.0","9,840.0","9,210.0","9.90K","-6.87%"
"07/13/2021","9,260.0","8,720.0","9,260.0","8,640.0","25.80K","0.43%"
"07/14/2021","9,000.0","8,650.0","9,200.0","8,620.0","22.40K","-2.81%"
"07/15/2021","9,000.0","9,070.0","9,070.0","8,980.0","2.50K","0.00%"
"07/16/2021","9,150.0","8,910.0","9,150.0","8,900.0","3.50K","1.67%"
"07/19/2021","9,000.0","8,600.0","9,000.0","8,600.0","4.90K","-1.64%"
"07/20/2021","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","0.00%"
"07/21/2021","9,190.0","8,600.0","9,500.0","8,600.0","5.30K","2.11%"
"07/22/2021","9,360.0","9,300.0","9,360.0","8,910.0","0.40K","1.85%"
"07/23/2021","9,050.0","9,010.0","9,050.0","8,710.0","11.70K","-3.31%"
"07/26/2021","9,000.0","8,600.0","9,000.0","8,600.0","6.30K","-0.55%"
"07/27/2021","8,710.0","8,750.0","8,750.0","8,710.0","7.60K","-3.22%"
"07/28/2021","8,790.0","8,830.0","8,830.0","8,580.0","7.00K","0.92%"
"07/29/2021","8,990.0","8,400.0","8,990.0","8,400.0","16.70K","2.28%"
"07/30/2021","9,000.0","8,520.0","9,000.0","8,520.0","16.40K","0.11%"
"08/02/2021","9,200.0","8,750.0","9,200.0","8,420.0","32.50K","2.22%"
"08/03/2021","8,700.0","9,000.0","9,000.0","8,630.0","0.80K","-5.43%"
"08/04/2021","8,630.0","8,610.0","8,880.0","8,610.0","10.00K","-0.80%"
"08/05/2021","9,050.0","8,630.0","9,060.0","8,630.0","5.00K","4.87%"
"08/06/2021","8,650.0","9,050.0","9,050.0","8,650.0","1.40K","-4.42%"
"08/09/2021","8,610.0","8,590.0","8,860.0","8,590.0","15.40K","-0.46%"
"08/10/2021","8,800.0","8,970.0","8,970.0","8,610.0","7.70K","2.21%"
"08/11/2021","8,990.0","8,780.0","8,990.0","8,780.0","3.40K","2.16%"
"08/12/2021","8,890.0","8,690.0","8,900.0","8,690.0","5.20K","-1.11%"
"08/13/2021","8,900.0","8,800.0","8,950.0","8,710.0","1.90K","0.11%"
"08/16/2021","8,900.0","8,600.0","8,900.0","8,600.0","9.10K","0.00%"
"08/17/2021","8,980.0","8,640.0","9,000.0","8,620.0","9.20K","0.90%"
"08/18/2021","8,900.0","8,960.0","8,960.0","8,680.0","3.00K","-0.89%"
"08/19/2021","8,900.0","8,900.0","8,900.0","8,760.0","6.00K","0.00%"
"08/20/2021","8,810.0","8,870.0","8,880.0","8,680.0","8.60K","-1.01%"
"08/23/2021","8,900.0","8,300.0","8,980.0","8,300.0","6.30K","1.02%"
"08/24/2021","8,540.0","8,530.0","8,900.0","8,520.0","3.00K","-4.04%"
"08/25/2021","8,550.0","8,880.0","8,880.0","8,550.0","4.10K","0.12%"
"08/26/2021","8,550.0","8,860.0","8,860.0","8,550.0","2.60K","0.00%"
"08/27/2021","8,690.0","8,550.0","8,690.0","8,400.0","24.20K","1.64%"
"08/30/2021","8,950.0","8,690.0","8,950.0","8,690.0","1.70K","2.99%"
"08/31/2021","8,890.0","8,890.0","8,890.0","8,890.0","0.20K","-0.67%"
"09/01/2021","8,750.0","8,870.0","8,890.0","8,720.0","2.20K","-1.57%"
"09/06/2021","8,890.0","8,800.0","8,890.0","8,800.0","15.80K","1.60%"
"09/07/2021","9,100.0","8,890.0","9,100.0","8,290.0","37.40K","2.36%"
"09/08/2021","8,830.0","8,810.0","9,100.0","8,810.0","1.70K","-2.97%"
"09/09/2021","9,000.0","8,830.0","9,060.0","8,830.0","26.20K","1.93%"
"09/10/2021","9,500.0","9,000.0","9,500.0","8,510.0","43.90K","5.56%"
"09/13/2021","9,990.0","9,510.0","10,150.0","9,510.0","252.30K","5.16%"
"09/14/2021","10,400.0","10,500.0","10,500.0","10,000.0","32.90K","4.10%"
"09/15/2021","10,100.0","10,500.0","10,500.0","10,100.0","50.80K","-2.88%"
"09/16/2021","10,000.0","10,400.0","10,400.0","10,000.0","29.50K","-0.99%"
"09/17/2021","9,980.0","10,200.0","10,200.0","9,720.0","59.30K","-0.20%"
"09/20/2021","10,050.0","9,980.0","10,350.0","9,980.0","77.30K","0.70%"
"09/21/2021","9,350.0","10,050.0","10,050.0","9,350.0","96.20K","-6.97%"
"09/22/2021","9,800.0","9,650.0","10,000.0","9,500.0","45.70K","4.81%"
"09/23/2021","9,790.0","10,000.0","10,000.0","9,300.0","38.70K","-0.10%"
"09/24/2021","9,570.0","9,790.0","9,790.0","9,570.0","16.80K","-2.25%"
"09/27/2021","9,500.0","9,600.0","9,600.0","9,350.0","23.80K","-0.73%"
"09/28/2021","9,040.0","9,400.0","9,400.0","9,000.0","21.10K","-4.84%"
"09/29/2021","9,390.0","9,050.0","9,390.0","9,050.0","4.00K","3.87%"
"09/30/2021","9,500.0","9,400.0","9,500.0","9,400.0","19.80K","1.17%"
"10/01/2021","9,800.0","9,600.0","10,000.0","9,600.0","34.80K","3.16%"
"10/04/2021","9,770.0","9,800.0","9,800.0","9,440.0","21.70K","-0.31%"
"10/05/2021","9,750.0","9,700.0","9,770.0","9,700.0","13.30K","-0.20%"
"10/06/2021","9,800.0","9,780.0","9,800.0","9,750.0","7.60K","0.51%"
"10/07/2021","9,590.0","9,610.0","9,750.0","9,450.0","3.60K","-2.14%"
"10/08/2021","9,590.0","9,400.0","9,700.0","9,400.0","22.70K","0.00%"
"10/11/2021","9,690.0","9,590.0","9,690.0","9,400.0","15.00K","1.04%"
"10/12/2021","9,600.0","9,800.0","9,800.0","9,600.0","6.60K","-0.93%"
"10/13/2021","9,600.0","9,600.0","9,600.0","9,580.0","5.10K","0.00%"
"10/14/2021","9,700.0","9,600.0","9,800.0","9,600.0","13.00K","1.04%"
"10/15/2021","9,850.0","9,960.0","9,960.0","9,600.0","16.10K","1.55%"
"10/18/2021","9,800.0","9,850.0","9,850.0","9,500.0","3.20K","-0.51%"
"10/19/2021","9,700.0","9,600.0","9,790.0","9,400.0","10.20K","-1.02%"
"10/20/2021","9,700.0","9,500.0","9,700.0","9,500.0","11.90K","0.00%"
"10/21/2021","9,500.0","9,680.0","9,680.0","9,500.0","4.20K","-2.06%"
"10/22/2021","9,420.0","9,510.0","9,510.0","9,400.0","6.60K","-0.84%"
"10/25/2021","9,450.0","9,650.0","9,650.0","9,450.0","4.90K","0.32%"
"10/26/2021","9,310.0","9,250.0","9,310.0","9,250.0","1.30K","-1.48%"
"10/27/2021","9,960.0","9,320.0","9,960.0","9,320.0","47.10K","6.98%"
"10/28/2021","10,650.0","10,400.0","10,650.0","10,300.0","83.50K","6.93%"
"10/29/2021","11,350.0","11,350.0","11,350.0","11,200.0","146.50K","6.57%"
"11/01/2021","11,700.0","11,950.0","12,000.0","11,350.0","30.40K","3.08%"
"11/02/2021","11,300.0","11,000.0","11,500.0","11,000.0","45.80K","-3.42%"
"11/03/2021","10,750.0","10,700.0","11,300.0","10,700.0","66.90K","-4.87%"
"11/04/2021","10,850.0","10,750.0","10,850.0","10,500.0","21.60K","0.93%"
"11/05/2021","11,000.0","10,600.0","11,150.0","10,500.0","21.00K","1.38%"
"11/08/2021","11,500.0","11,000.0","11,700.0","10,900.0","122.30K","4.55%"
"11/09/2021","11,000.0","11,500.0","11,700.0","11,000.0","15.00K","-4.35%"
"11/10/2021","11,100.0","10,700.0","11,100.0","10,700.0","4.30K","0.91%"
"11/11/2021","11,200.0","11,450.0","11,450.0","11,000.0","18.90K","0.90%"
"11/12/2021","11,250.0","10,950.0","11,450.0","10,950.0","33.80K","0.45%"
"11/15/2021","11,200.0","11,000.0","11,400.0","11,000.0","12.80K","-0.44%"
"11/16/2021","11,450.0","11,200.0","11,600.0","11,200.0","25.40K","2.23%"
"11/17/2021","11,500.0","11,400.0","11,500.0","11,200.0","11.20K","0.44%"
"11/18/2021","11,900.0","11,850.0","12,050.0","11,600.0","38.10K","3.48%"
"11/19/2021","12,100.0","12,500.0","12,500.0","12,000.0","71.10K","1.68%"
"11/22/2021","12,000.0","12,100.0","12,100.0","11,400.0","24.10K","-0.83%"
"11/23/2021","11,700.0","11,400.0","12,600.0","11,400.0","21.10K","-2.50%"
"11/24/2021","12,400.0","11,700.0","12,500.0","11,500.0","71.50K","5.98%"
"11/25/2021","12,400.0","12,400.0","12,600.0","12,000.0","54.40K","0.00%"
"11/26/2021","11,550.0","12,400.0","12,400.0","11,550.0","74.40K","-6.85%"
"11/29/2021","11,450.0","10,800.0","11,450.0","10,750.0","4.80K","-0.87%"
"11/30/2021","11,000.0","11,400.0","11,400.0","10,950.0","37.40K","-3.93%"
"12/01/2021","11,700.0","11,700.0","11,700.0","11,500.0","22.90K","6.36%"
"12/02/2021","11,600.0","11,500.0","11,600.0","11,500.0","1.30K","-0.85%"
"12/03/2021","11,600.0","11,600.0","11,600.0","11,000.0","3.40K","0.00%"
"12/06/2021","11,550.0","10,900.0","11,550.0","10,800.0","18.20K","-0.43%"
"12/07/2021","11,550.0","11,550.0","11,550.0","11,500.0","25.50K","0.00%"
"12/08/2021","11,500.0","11,500.0","11,700.0","11,500.0","8.10K","-0.43%"
"12/09/2021","11,500.0","11,500.0","11,500.0","10,800.0","7.30K","0.00%"
"12/10/2021","11,500.0","11,500.0","11,500.0","11,500.0","0.10K","0.00%"
"12/13/2021","11,000.0","11,000.0","11,500.0","11,000.0","4.20K","-4.35%"
"12/14/2021","11,500.0","11,450.0","11,500.0","11,000.0","28.20K","4.55%"
"12/15/2021","11,200.0","11,500.0","11,500.0","11,050.0","1.20K","-2.61%"
"12/16/2021","11,500.0","11,250.0","11,600.0","11,200.0","21.00K","2.68%"
"12/17/2021","12,200.0","11,000.0","12,200.0","11,000.0","32.30K","6.09%"
"12/20/2021","12,000.0","12,200.0","12,200.0","12,000.0","1.50K","-1.64%"
"12/21/2021","11,800.0","11,600.0","12,400.0","11,600.0","40.10K","-1.67%"
"12/22/2021","12,200.0","12,200.0","12,600.0","12,200.0","57.50K","3.39%"
"12/23/2021","12,250.0","12,450.0","12,450.0","12,250.0","2.90K","0.41%"
"12/24/2021","12,300.0","12,000.0","12,300.0","11,900.0","9.40K","0.41%"
"12/27/2021","12,300.0","12,700.0","12,700.0","12,050.0","4.40K","0.00%"
"12/28/2021","12,200.0","11,700.0","12,300.0","11,700.0","7.30K","-0.81%"
"12/29/2021","12,300.0","12,000.0","13,000.0","12,000.0","6.70K","0.82%"
"12/30/2021","12,200.0","12,200.0","12,800.0","12,200.0","4.00K","-0.81%"
"12/31/2021","12,450.0","12,200.0","12,450.0","12,000.0","17.70K","2.05%"
