"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,140.0","6,150.0","6,150.0","6,040.0","403.50K","-0.16%"
"07/02/2021","6,130.0","6,140.0","6,180.0","6,070.0","271.00K","-0.16%"
"07/05/2021","6,010.0","6,050.0","6,120.0","6,000.0","361.00K","-1.96%"
"07/06/2021","5,800.0","6,020.0","6,050.0","5,800.0","330.50K","-3.49%"
"07/07/2021","5,750.0","5,880.0","5,880.0","5,710.0","434.30K","-0.86%"
"07/08/2021","5,660.0","5,870.0","5,870.0","5,650.0","160.20K","-1.57%"
"07/09/2021","5,550.0","5,660.0","5,660.0","5,450.0","177.40K","-1.94%"
"07/12/2021","5,180.0","5,540.0","5,540.0","5,170.0","989.80K","-6.67%"
"07/13/2021","5,300.0","5,180.0","5,300.0","5,180.0","187.30K","2.32%"
"07/14/2021","5,330.0","5,300.0","5,330.0","5,160.0","158.00K","0.57%"
"07/15/2021","5,490.0","5,330.0","5,550.0","5,210.0","428.10K","3.00%"
"07/16/2021","5,420.0","5,530.0","5,540.0","5,280.0","139.90K","-1.28%"
"07/19/2021","5,160.0","5,380.0","5,380.0","5,060.0","317.60K","-4.80%"
"07/20/2021","5,200.0","5,100.0","5,240.0","5,080.0","137.20K","0.78%"
"07/21/2021","5,200.0","5,340.0","5,360.0","5,180.0","154.40K","0.00%"
"07/22/2021","5,230.0","5,210.0","5,250.0","5,190.0","163.40K","0.58%"
"07/23/2021","5,180.0","5,280.0","5,280.0","5,160.0","137.90K","-0.96%"
"07/26/2021","5,150.0","5,180.0","5,180.0","4,820.0","194.40K","-0.58%"
"07/27/2021","5,140.0","5,150.0","5,300.0","5,110.0","257.10K","-0.19%"
"07/28/2021","5,120.0","5,140.0","5,140.0","5,100.0","99.20K","-0.39%"
"07/29/2021","5,120.0","5,150.0","5,180.0","5,050.0","323.70K","0.00%"
"07/30/2021","5,160.0","5,180.0","5,200.0","5,110.0","181.50K","0.78%"
"08/02/2021","5,000.0","5,200.0","5,200.0","5,000.0","556.90K","-3.10%"
"08/03/2021","5,130.0","5,190.0","5,200.0","5,050.0","222.00K","2.60%"
"08/04/2021","5,130.0","5,150.0","5,150.0","5,100.0","231.10K","0.00%"
"08/05/2021","5,480.0","5,130.0","5,480.0","5,130.0","1.39M","6.82%"
