"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","23,237.0","23,237.0","23,237.0","22,707.0","20.97K","0.00%"
"07/02/2021","23,237.0","23,237.0","23,237.0","22,747.0","49.89K","0.00%"
"07/05/2021","23,196.0","23,237.0","23,237.0","22,788.0","133.03K","-0.18%"
"07/06/2021","23,237.0","23,196.0","23,237.0","22,503.0","54.71K","0.18%"
"07/07/2021","23,196.0","22,707.0","23,196.0","22,136.0","47.96K","-0.18%"
"07/08/2021","23,196.0","22,829.0","23,196.0","22,829.0","20.00K","0.00%"
"07/09/2021","23,237.0","22,951.0","23,237.0","22,951.0","53.26K","0.18%"
"07/12/2021","23,196.0","23,114.0","23,196.0","22,747.0","55.43K","-0.18%"
"07/13/2021","23,400.0","23,196.0","23,400.0","22,870.0","16.63K","0.88%"
"07/14/2021","23,237.0","22,910.0","23,237.0","22,870.0","20.24K","-0.70%"
"07/15/2021","23,196.0","23,196.0","23,196.0","22,951.0","6.99K","-0.18%"
"07/16/2021","23,196.0","23,114.0","23,196.0","22,910.0","6.75K","0.00%"
"07/19/2021","23,237.0","23,114.0","23,237.0","22,951.0","35.91K","0.18%"
"07/20/2021","23,237.0","23,237.0","23,237.0","23,196.0","12.77K","0.00%"
"07/21/2021","23,237.0","23,033.0","23,237.0","23,033.0","8.92K","0.00%"
"07/22/2021","23,237.0","22,870.0","23,237.0","22,870.0","5.54K","0.00%"
"07/23/2021","23,196.0","22,870.0","23,196.0","22,829.0","13.26K","-0.18%"
"07/26/2021","23,237.0","22,829.0","23,237.0","22,829.0","16.39K","0.18%"
"07/27/2021","23,237.0","22,992.0","23,237.0","22,829.0","10.36K","0.00%"
"07/28/2021","23,237.0","23,237.0","23,237.0","23,237.0","2.65K","0.00%"
"07/29/2021","23,237.0","22,829.0","23,237.0","22,829.0","6.99K","0.00%"
"07/30/2021","23,237.0","22,992.0","23,237.0","22,870.0","20.49K","0.00%"
"08/02/2021","23,237.0","23,237.0","23,237.0","22,707.0","9.16K","0.00%"
"08/03/2021","23,155.0","23,033.0","23,155.0","23,033.0","4.82K","-0.35%"
"08/04/2021","23,196.0","22,951.0","23,196.0","22,951.0","5.30K","0.18%"
"08/05/2021","23,033.0","23,114.0","23,114.0","23,033.0","6.51K","-0.70%"
"08/06/2021","23,318.0","22,910.0","23,318.0","22,870.0","33.26K","1.24%"
"08/09/2021","23,196.0","23,155.0","23,196.0","23,155.0","9.40K","-0.52%"
"08/10/2021","23,237.0","23,196.0","23,237.0","23,033.0","12.29K","0.18%"
"08/11/2021","23,196.0","23,196.0","23,196.0","23,033.0","11.33K","-0.18%"
"08/13/2021","23,237.0","22,951.0","23,237.0","22,951.0","24.34K","0.18%"
"08/16/2021","23,196.0","21,932.0","23,196.0","21,932.0","0.96K","-0.18%"
"08/17/2021","23,196.0","23,196.0","23,196.0","23,114.0","2.65K","0.00%"
"08/18/2021","23,196.0","23,196.0","23,196.0","23,114.0","13.74K","0.00%"
"08/19/2021","23,196.0","23,196.0","23,196.0","23,114.0","20.49K","0.00%"
"08/20/2021","23,237.0","23,196.0","23,237.0","23,196.0","10.36K","0.18%"
"08/23/2021","23,237.0","23,237.0","23,237.0","23,155.0","7.71K","0.00%"
"08/24/2021","23,196.0","22,951.0","23,196.0","22,095.0","7.47K","-0.18%"
"08/25/2021","23,196.0","22,544.0","23,196.0","22,544.0","6.27K","0.00%"
"08/26/2021","23,196.0","22,584.0","23,196.0","22,584.0","5.30K","0.00%"
"08/27/2021","24,174.0","21,891.0","24,174.0","21,891.0","27.47K","4.22%"
"08/30/2021","25,846.0","24,174.0","25,846.0","24,174.0","46.03K","6.92%"
"08/31/2021","24,704.0","25,682.0","25,682.0","24,296.0","15.42K","-4.42%"
"09/01/2021","23,644.0","24,704.0","24,704.0","23,400.0","32.05K","-4.29%"
"09/06/2021","24,256.0","23,440.0","24,256.0","23,237.0","25.31K","2.59%"
"09/07/2021","23,522.0","24,256.0","24,256.0","23,440.0","2.41K","-3.03%"
"09/08/2021","23,237.0","23,522.0","23,522.0","23,237.0","4.58K","-1.21%"
"09/09/2021","23,073.0","23,237.0","23,440.0","23,073.0","5.30K","-0.71%"
"09/10/2021","23,644.0","23,073.0","23,644.0","23,073.0","1.45K","2.47%"
"09/13/2021","23,237.0","22,992.0","23,237.0","22,992.0","1.69K","-1.72%"
"09/14/2021","23,237.0","23,237.0","23,237.0","23,033.0","4.34K","0.00%"
"09/15/2021","23,440.0","23,237.0","23,440.0","23,237.0","2.41K","0.87%"
"09/16/2021","23,237.0","23,644.0","23,644.0","22,870.0","12.05K","-0.87%"
"09/17/2021","23,237.0","21,728.0","23,359.0","21,728.0","8.19K","0.00%"
"09/20/2021","23,237.0","23,237.0","23,400.0","22,910.0","6.75K","0.00%"
"09/21/2021","23,237.0","23,522.0","23,522.0","22,788.0","12.77K","0.00%"
"09/22/2021","23,237.0","23,237.0","23,237.0","23,033.0","6.75K","0.00%"
"09/23/2021","23,237.0","23,400.0","23,400.0","22,829.0","9.88K","0.00%"
"09/24/2021","23,237.0","22,829.0","23,237.0","22,829.0","6.27K","0.00%"
"09/27/2021","23,237.0","23,237.0","23,237.0","22,829.0","24.10K","0.00%"
"09/28/2021","23,237.0","22,788.0","23,237.0","22,788.0","29.40K","0.00%"
"09/29/2021","23,237.0","22,707.0","23,237.0","22,707.0","25.06K","0.00%"
"09/30/2021","23,237.0","23,155.0","23,237.0","22,829.0","7.23K","0.00%"
"10/01/2021","23,237.0","22,870.0","23,237.0","22,870.0","20.73K","0.00%"
"10/05/2021","23,196.0","23,196.0","23,196.0","22,666.0","57.84K","-0.18%"
"10/06/2021","23,237.0","22,707.0","23,237.0","22,707.0","12.77K","0.18%"
"10/07/2021","23,237.0","22,707.0","23,237.0","22,707.0","9.64K","0.00%"
"10/08/2021","23,237.0","22,829.0","23,237.0","22,829.0","26.03K","0.00%"
"10/11/2021","23,033.0","23,155.0","23,196.0","22,625.0","104.35K","-0.88%"
"10/12/2021","23,237.0","22,747.0","23,237.0","22,707.0","46.75K","0.89%"
"10/13/2021","23,237.0","23,196.0","23,237.0","22,829.0","52.06K","0.00%"
"10/14/2021","23,033.0","22,870.0","23,155.0","22,829.0","43.86K","-0.88%"
"10/15/2021","23,114.0","22,870.0","23,114.0","22,829.0","38.80K","0.35%"
"10/18/2021","23,237.0","22,910.0","23,237.0","22,829.0","115.20K","0.53%"
"10/19/2021","23,237.0","22,870.0","23,237.0","22,870.0","40.25K","0.00%"
"10/20/2021","23,155.0","22,951.0","23,155.0","22,951.0","12.05K","-0.35%"
"10/21/2021","23,237.0","22,910.0","23,237.0","22,870.0","85.07K","0.35%"
"10/22/2021","23,481.0","23,237.0","23,563.0","23,237.0","37.36K","1.05%"
"10/25/2021","23,237.0","23,033.0","23,359.0","23,033.0","17.35K","-1.04%"
"10/26/2021","23,237.0","23,237.0","23,277.0","22,870.0","48.92K","0.00%"
"10/27/2021","23,237.0","23,318.0","23,318.0","22,992.0","57.60K","0.00%"
"10/28/2021","23,237.0","24,419.0","24,419.0","23,073.0","40.01K","0.00%"
"10/29/2021","23,237.0","23,237.0","23,237.0","23,237.0","6.51K","0.00%"
"11/01/2021","22,992.0","22,870.0","22,992.0","22,870.0","13.26K","-1.05%"
"11/02/2021","23,073.0","23,237.0","23,237.0","22,870.0","14.70K","0.35%"
"11/03/2021","23,237.0","22,992.0","23,237.0","22,951.0","21.93K","0.71%"
"11/04/2021","22,992.0","23,237.0","23,237.0","22,992.0","3.86K","-1.05%"
"11/05/2021","23,237.0","23,033.0","23,237.0","22,870.0","40.25K","1.07%"
"11/09/2021","22,910.0","23,196.0","23,196.0","22,829.0","56.64K","-1.41%"
"11/10/2021","23,073.0","22,910.0","23,073.0","22,870.0","26.03K","0.71%"
"11/11/2021","23,114.0","23,155.0","23,155.0","22,788.0","65.79K","0.18%"
"11/12/2021","23,196.0","22,788.0","23,237.0","22,747.0","72.54K","0.35%"
"11/15/2021","23,033.0","23,196.0","23,196.0","22,829.0","61.21K","-0.70%"
"11/16/2021","22,992.0","22,829.0","23,033.0","22,829.0","33.26K","-0.18%"
"11/17/2021","22,788.0","23,033.0","23,033.0","22,747.0","39.52K","-0.89%"
"11/18/2021","23,359.0","22,788.0","23,644.0","22,788.0","302.94K","2.51%"
"11/19/2021","23,237.0","23,359.0","23,400.0","22,870.0","63.62K","-0.52%"
"11/22/2021","23,237.0","23,237.0","23,237.0","22,829.0","27.96K","0.00%"
"11/23/2021","23,237.0","22,829.0","23,237.0","22,584.0","62.90K","0.00%"
"11/24/2021","23,237.0","22,829.0","23,237.0","22,788.0","51.82K","0.00%"
"11/25/2021","23,237.0","22,788.0","23,237.0","22,788.0","70.85K","0.00%"
"11/26/2021","23,237.0","22,910.0","23,237.0","22,870.0","73.51K","0.00%"
"11/29/2021","23,237.0","22,910.0","23,237.0","22,829.0","295.71K","0.00%"
"11/30/2021","23,237.0","23,073.0","23,237.0","23,033.0","50.61K","0.00%"
"12/01/2021","23,237.0","23,155.0","23,237.0","23,155.0","39.04K","0.00%"
"12/02/2021","23,155.0","22,870.0","23,196.0","22,870.0","20.00K","-0.35%"
"12/03/2021","23,237.0","22,992.0","23,440.0","22,951.0","55.91K","0.35%"
"12/06/2021","23,237.0","23,237.0","23,237.0","23,196.0","6.27K","0.00%"
"12/07/2021","23,237.0","23,033.0","23,237.0","23,033.0","20.97K","0.00%"
"12/08/2021","23,237.0","23,196.0","23,237.0","23,155.0","28.20K","0.00%"
"12/09/2021","23,155.0","23,196.0","23,196.0","23,114.0","6.51K","-0.35%"
"12/10/2021","23,237.0","23,114.0","23,237.0","22,951.0","76.40K","0.35%"
"12/13/2021","23,196.0","23,114.0","23,196.0","23,073.0","31.81K","-0.18%"
"12/14/2021","23,196.0","23,196.0","23,196.0","23,073.0","7.95K","0.00%"
"12/15/2021","23,237.0","23,114.0","23,237.0","22,829.0","29.40K","0.18%"
"12/16/2021","23,237.0","23,114.0","23,237.0","22,951.0","48.92K","0.00%"
"12/17/2021","23,237.0","23,073.0","23,237.0","23,073.0","19.28K","0.00%"
"12/20/2021","23,610.0","23,693.0","23,693.0","23,278.0","7.71K","1.61%"
"12/21/2021","23,403.0","23,610.0","23,610.0","23,071.0","9.16K","-0.88%"
"12/22/2021","23,320.0","23,237.0","23,320.0","23,029.0","20.97K","-0.35%"
"12/23/2021","23,237.0","23,154.0","23,320.0","23,154.0","14.70K","-0.36%"
"12/24/2021","22,780.0","22,407.0","23,195.0","22,407.0","25.06K","-1.97%"
"12/27/2021","23,237.0","23,195.0","23,237.0","22,905.0","13.74K","2.01%"
"12/28/2021","23,237.0","23,029.0","23,237.0","23,029.0","43.62K","0.00%"
"12/29/2021","23,651.0","23,195.0","23,651.0","23,029.0","40.25K","1.78%"
"12/30/2021","23,734.0","22,905.0","23,734.0","22,075.0","38.32K","0.35%"
"12/31/2021","23,734.0","23,610.0","23,734.0","22,822.0","38.32K","0.00%"
