"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","25,900.00","25,700.00","26,000.00","24,500.00","2.39M","1.97%"
"07/02/2021","27,000.00","25,800.00","27,100.00","25,400.00","4.12M","4.25%"
"07/05/2021","27,300.00","27,000.00","27,800.00","26,500.00","2.05M","1.11%"
"07/06/2021","25,100.00","27,300.00","27,600.00","25,100.00","2.07M","-8.06%"
"07/07/2021","24,900.00","25,500.00","26,000.00","24,000.00","1.56M","-0.80%"
"07/08/2021","24,600.00","24,900.00","25,000.00","24,100.00","1.60M","-1.20%"
"07/09/2021","22,900.00","24,600.00","25,000.00","22,500.00","1.52M","-6.91%"
"07/12/2021","22,200.00","22,900.00","24,100.00","20,400.00","1.64M","-3.06%"
"07/13/2021","22,300.00","21,900.00","22,500.00","21,400.00","1.01M","0.45%"
"07/14/2021","22,400.00","22,300.00","23,000.00","21,600.00","1.04M","0.45%"
"07/15/2021","22,800.00","22,600.00","23,000.00","21,000.00","1.88M","1.79%"
"07/16/2021","23,000.00","22,600.00","23,400.00","22,600.00","1.29M","0.88%"
"07/19/2021","21,500.00","22,800.00","23,200.00","21,100.00","576.12K","-6.52%"
"07/20/2021","22,400.00","22,000.00","22,400.00","20,800.00","1.45M","4.19%"
"07/21/2021","22,300.00","22,200.00","22,700.00","21,900.00","1.02M","-0.45%"
"07/22/2021","22,400.00","22,100.00","22,600.00","22,000.00","1.05M","0.45%"
"07/23/2021","22,000.00","22,400.00","22,700.00","21,700.00","448.48K","-1.79%"
"07/26/2021","21,700.00","22,100.00","22,100.00","21,300.00","285.39K","-1.36%"
"07/27/2021","21,700.00","21,700.00","22,200.00","21,600.00","491.41K","0.00%"
"07/28/2021","22,300.00","22,100.00","22,400.00","22,000.00","356.80K","2.76%"
"07/29/2021","23,700.00","22,200.00","23,700.00","22,200.00","1.21M","6.28%"
"07/30/2021","23,800.00","23,500.00","24,400.00","23,400.00","681.90K","0.42%"
"08/02/2021","23,500.00","23,700.00","24,100.00","23,200.00","482.21K","-1.26%"
"08/03/2021","23,600.00","23,600.00","23,700.00","23,000.00","668.08K","0.43%"
"08/04/2021","23,800.00","23,400.00","24,400.00","23,200.00","1.00M","0.85%"
"08/05/2021","24,000.00","23,700.00","24,100.00","23,600.00","800.40K","0.84%"
