"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,200.0","27,100.0","27,700.0","26,800.0","1.25M","0.37%"
"07/02/2021","26,800.0","27,200.0","27,500.0","26,700.0","1.58M","-1.47%"
"07/05/2021","26,600.0","26,700.0","27,100.0","26,300.0","1.26M","-0.75%"
"07/06/2021","24,200.0","26,700.0","26,800.0","24,200.0","2.81M","-9.02%"
"07/07/2021","24,600.0","24,200.0","25,200.0","23,800.0","1.31M","1.65%"
"07/08/2021","24,100.0","24,600.0","24,900.0","24,100.0","941.07K","-2.03%"
"07/09/2021","24,000.0","24,500.0","24,500.0","22,900.0","1.33M","-0.41%"
"07/12/2021","22,800.0","24,000.0","24,000.0","21,600.0","1.99M","-5.00%"
"07/13/2021","22,700.0","22,800.0","23,200.0","22,200.0","649.74K","-0.44%"
"07/14/2021","23,200.0","22,900.0","23,400.0","22,000.0","882.61K","2.20%"
"07/15/2021","24,300.0","23,100.0","24,400.0","22,900.0","940.45K","4.74%"
"07/16/2021","24,500.0","24,300.0","24,500.0","23,900.0","571.84K","0.82%"
"07/19/2021","23,500.0","24,500.0","24,500.0","22,200.0","1.12M","-4.08%"
"07/20/2021","23,900.0","23,500.0","23,900.0","22,700.0","518.99K","1.70%"
"07/21/2021","23,900.0","23,900.0","24,100.0","23,600.0","369.94K","0.00%"
"07/22/2021","24,700.0","23,900.0","24,700.0","23,800.0","838.08K","3.35%"
"07/23/2021","25,600.0","24,700.0","26,600.0","24,500.0","2.45M","3.64%"
"07/26/2021","26,800.0","25,600.0","26,900.0","25,000.0","1.43M","4.69%"
"07/27/2021","26,800.0","26,900.0","27,500.0","26,400.0","1.50M","0.00%"
"07/28/2021","26,700.0","26,800.0","27,300.0","25,800.0","1.13M","-0.37%"
"07/29/2021","26,400.0","26,900.0","26,900.0","26,100.0","731.31K","-1.12%"
"07/30/2021","25,800.0","26,700.0","27,100.0","25,600.0","2.32M","-2.27%"
"08/02/2021","25,600.0","25,800.0","26,700.0","25,500.0","1.42M","-0.78%"
"08/03/2021","25,500.0","25,600.0","25,900.0","25,200.0","1.10M","-0.39%"
"08/04/2021","25,300.0","25,500.0","25,800.0","25,100.0","1.17M","-0.78%"
"08/05/2021","26,500.0","25,300.0","26,500.0","25,100.0","2.03M","4.74%"
"08/06/2021","27,800.0","26,500.0","28,600.0","26,000.0","4.38M","4.91%"
"08/09/2021","28,800.0","27,900.0","29,000.0","27,600.0","3.40M","3.60%"
"08/10/2021","29,400.0","28,900.0","29,800.0","28,500.0","3.98M","2.08%"
"08/11/2021","28,900.0","29,000.0","29,500.0","28,500.0","3.63M","-1.70%"
"08/12/2021","31,000.0","28,900.0","31,700.0","28,500.0","4.59M","7.27%"
"08/13/2021","32,200.0","31,000.0","32,900.0","30,300.0","3.44M","3.87%"
"08/16/2021","32,300.0","32,200.0","32,900.0","31,000.0","2.35M","0.31%"
"08/17/2021","30,700.0","32,300.0","32,400.0","30,500.0","4.14M","-4.95%"
"08/18/2021","30,700.0","30,700.0","31,800.0","30,300.0","2.60M","0.00%"
"08/19/2021","31,700.0","30,700.0","31,800.0","30,700.0","1.54M","3.26%"
"08/20/2021","29,100.0","31,500.0","31,700.0","28,600.0","4.45M","-8.20%"
"08/23/2021","27,100.0","29,100.0","29,500.0","26,300.0","3.01M","-6.87%"
"08/24/2021","26,900.0","27,000.0","27,800.0","26,000.0","2.47M","-0.74%"
"08/25/2021","28,200.0","26,900.0","28,400.0","26,600.0","1.25M","4.83%"
"08/26/2021","27,600.0","28,200.0","28,700.0","27,500.0","1.33M","-2.13%"
"08/27/2021","28,200.0","27,600.0","28,500.0","27,100.0","2.08M","2.17%"
"09/07/2021","29,350.0","29,500.0","30,100.0","29,100.0","3.63M","4.08%"
"09/08/2021","29,000.0","29,900.0","29,900.0","28,900.0","1.26M","-1.19%"
"09/09/2021","29,150.0","29,300.0","29,300.0","28,700.0","1.14M","0.52%"
"09/10/2021","29,900.0","29,200.0","30,500.0","29,000.0","2.98M","2.57%"
"09/13/2021","28,950.0","29,700.0","29,850.0","28,900.0","1.34M","-3.18%"
"09/14/2021","28,500.0","28,700.0","29,250.0","28,300.0","1.05M","-1.55%"
