"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","19,166.7","19,058.0","19,347.8","18,985.5","389.57K","-0.19%"
"07/02/2021","19,202.9","19,166.7","19,202.9","19,058.0","508.94K","0.19%"
"07/05/2021","19,492.7","19,202.9","19,927.5","19,021.7","830.76K","1.51%"
"07/06/2021","19,058.0","19,420.3","20,181.1","18,913.0","1.30M","-2.23%"
"07/07/2021","18,840.6","18,840.6","19,456.5","18,333.3","763.97K","-1.14%"
"07/08/2021","18,550.7","18,840.6","19,058.0","18,514.5","299.05K","-1.54%"
"07/09/2021","18,550.7","18,115.9","18,623.2","18,115.9","1.56M","0.00%"
"07/12/2021","17,318.8","18,478.2","18,514.5","17,282.6","887.34K","-6.64%"
"07/13/2021","17,789.8","17,608.7","17,826.1","17,318.8","896.17K","2.72%"
"07/14/2021","17,789.8","17,789.8","18,115.9","17,246.4","350.11K","0.00%"
"07/15/2021","18,840.6","17,608.7","18,840.6","17,608.7","1.26M","5.91%"
"07/16/2021","18,115.9","18,913.0","19,021.7","18,115.9","707.80K","-3.85%"
"07/19/2021","17,536.2","17,753.6","18,115.9","17,391.3","464.92K","-3.20%"
"07/20/2021","17,898.5","17,536.2","17,898.5","17,463.8","195.13K","2.07%"
"07/21/2021","17,898.5","17,971.0","18,115.9","17,753.6","191.68K","0.00%"
"07/22/2021","18,333.3","17,934.8","18,550.7","17,608.7","756.93K","2.43%"
"07/23/2021","18,043.5","18,333.3","18,478.2","18,043.5","289.11K","-1.58%"
"07/26/2021","18,260.9","17,681.1","18,297.1","17,681.1","369.01K","1.20%"
"07/27/2021","19,021.7","18,405.8","19,130.4","18,405.8","1.66M","4.17%"
"07/28/2021","18,949.3","19,021.7","19,021.7","18,695.6","613.55K","-0.38%"
"07/29/2021","19,492.7","18,985.5","19,565.2","18,768.1","738.85K","2.87%"
"07/30/2021","19,456.5","19,565.2","19,637.7","18,985.5","840.56K","-0.19%"
"08/02/2021","19,275.3","19,420.3","19,456.5","18,985.5","693.31K","-0.93%"
"08/03/2021","19,058.0","19,202.9","19,239.1","18,949.3","1.07M","-1.13%"
"08/04/2021","19,420.3","19,275.3","19,927.5","19,058.0","1.12M","1.90%"
"08/05/2021","19,782.6","19,420.3","19,782.6","19,202.9","1.51M","1.87%"
"08/06/2021","19,637.7","19,782.6","19,927.5","19,637.7","1.47M","-0.73%"
"08/09/2021","20,978.2","19,601.4","20,978.2","19,601.4","5.06M","6.83%"
"08/10/2021","21,413.0","21,666.7","21,956.5","21,014.5","4.30M","2.07%"
"08/11/2021","21,159.4","21,413.0","21,630.4","21,159.4","2.13M","-1.18%"
"08/12/2021","21,956.5","20,942.0","22,608.7","20,942.0","9.14M","3.77%"
"08/13/2021","23,007.2","22,463.8","23,188.4","22,029.0","4.52M","4.79%"
"08/16/2021","23,224.6","23,985.5","24,420.3","22,934.8","4.20M","0.94%"
"08/17/2021","23,115.9","22,934.8","23,768.1","22,608.7","3.66M","-0.47%"
"08/18/2021","23,224.6","23,115.9","23,695.6","22,971.0","3.55M","0.47%"
"08/19/2021","23,695.6","23,224.6","24,130.4","23,115.9","2.20M","2.03%"
"08/20/2021","22,065.2","23,840.6","23,840.6","22,065.2","5.99M","-6.88%"
"08/23/2021","21,014.5","22,065.2","22,391.3","20,905.8","4.20M","-4.76%"
"08/24/2021","21,847.8","21,159.4","22,029.0","20,942.0","3.33M","3.97%"
"08/25/2021","22,173.9","21,920.3","22,210.1","21,739.1","1.60M","1.49%"
"08/26/2021","23,079.7","22,391.3","23,260.9","22,137.7","4.25M","4.08%"
"08/27/2021","24,673.9","22,826.1","24,673.9","22,826.1","7.81M","6.91%"
"08/30/2021","25,072.4","25,362.3","25,760.9","24,855.1","4.04M","1.62%"
"08/31/2021","25,144.9","25,000.0","25,724.6","24,637.7","4.29M","0.29%"
"09/01/2021","25,942.0","26,086.9","26,086.9","25,362.3","3.88M","3.17%"
"09/06/2021","25,543.5","26,014.5","26,811.6","25,507.2","4.06M","-1.54%"
"09/07/2021","24,529.0","25,507.2","25,615.9","24,275.3","5.31M","-3.97%"
"09/08/2021","24,891.3","24,347.8","25,362.3","24,347.8","3.16M","1.48%"
"09/09/2021","26,159.4","24,891.3","26,449.3","24,891.3","2.86M","5.09%"
"09/10/2021","25,797.1","26,304.3","26,376.8","25,797.1","2.17M","-1.38%"
"09/13/2021","25,289.8","25,797.1","25,797.1","25,072.4","2.33M","-1.97%"
"09/14/2021","25,543.5","25,144.9","26,159.4","25,000.0","2.51M","1.00%"
"09/15/2021","26,884.0","25,362.3","27,137.7","25,362.3","4.72M","5.25%"
"09/16/2021","26,775.3","26,956.5","26,956.5","26,449.3","1.83M","-0.40%"
"09/17/2021","26,775.3","26,920.3","27,318.8","26,630.4","3.06M","0.00%"
"09/20/2021","26,268.1","26,811.6","26,884.0","25,797.1","3.12M","-1.89%"
"09/21/2021","26,086.9","25,579.7","26,086.9","25,072.4","3.93M","-0.69%"
"09/22/2021","26,376.8","26,159.4","26,521.7","25,579.7","2.32M","1.11%"
"09/23/2021","25,978.2","26,449.3","26,811.6","25,942.0","2.04M","-1.51%"
"09/24/2021","25,615.9","25,724.6","26,086.9","25,507.2","1.69M","-1.39%"
"09/27/2021","25,434.8","25,434.8","26,086.9","25,398.5","1.84M","-0.71%"
"09/28/2021","25,507.2","25,072.4","25,724.6","24,637.7","1.58M","0.28%"
"09/29/2021","27,246.4","25,833.3","27,282.6","25,434.8","5.60M","6.82%"
"09/30/2021","28,043.5","27,536.2","28,224.6","27,246.4","4.01M","2.93%"
"10/01/2021","28,043.5","28,115.9","28,623.2","27,173.9","2.82M","0.00%"
"10/04/2021","28,514.5","27,971.0","28,985.5","27,898.5","2.72M","1.68%"
"10/05/2021","27,681.1","28,840.6","28,840.6","27,572.4","3.04M","-2.92%"
"10/06/2021","28,840.6","27,681.1","28,840.6","27,608.7","3.32M","4.19%"
"10/07/2021","28,442.0","28,985.5","28,985.5","28,333.3","2.20M","-1.38%"
"10/08/2021","28,260.9","28,478.2","28,949.3","28,152.2","2.23M","-0.64%"
"10/11/2021","28,152.2","28,405.8","28,623.2","27,826.1","2.11M","-0.38%"
"10/12/2021","28,333.3","28,152.2","28,586.9","27,898.5","3.16M","0.64%"
"10/13/2021","28,695.6","28,478.2","29,275.3","28,333.3","2.84M","1.28%"
"10/14/2021","28,623.2","28,695.6","29,637.7","28,623.2","2.67M","-0.25%"
"10/15/2021","28,768.1","28,913.0","29,347.8","28,369.5","2.26M","0.51%"
"10/18/2021","27,898.5","28,695.6","28,768.1","27,898.5","5.37M","-3.02%"
"10/19/2021","28,188.4","27,898.5","28,478.2","27,536.2","1.74M","1.04%"
"10/20/2021","28,043.5","28,405.8","28,405.8","27,753.6","2.67M","-0.51%"
"10/21/2021","30,000.0","28,043.5","30,000.0","27,862.3","4.64M","6.98%"
"10/22/2021","29,565.2","30,072.4","30,760.8","29,347.8","2.73M","-1.45%"
"10/25/2021","28,768.1","30,036.2","30,398.5","28,695.6","4.59M","-2.70%"
"10/26/2021","29,927.5","28,768.1","30,217.4","28,623.2","3.53M","4.03%"
"10/27/2021","30,217.4","30,072.4","30,398.5","30,000.0","2.43M","0.97%"
"10/28/2021","30,652.2","30,326.1","31,086.9","29,927.5","3.69M","1.44%"
"10/29/2021","30,253.6","30,652.2","30,833.3","30,000.0","3.02M","-1.30%"
"11/01/2021","30,543.5","30,797.1","31,159.4","30,434.8","4.19M","0.96%"
"11/02/2021","30,869.5","30,543.5","31,123.2","30,036.2","3.88M","1.07%"
"11/03/2021","29,710.1","30,869.5","31,086.9","29,058.0","4.00M","-3.76%"
"11/04/2021","31,391.3","30,782.6","31,739.1","30,000.0","1.93M","5.66%"
"11/05/2021","32,478.3","31,391.3","32,956.5","30,869.6","2.01M","3.46%"
"11/08/2021","32,695.6","33,391.3","33,391.3","32,478.3","2.09M","0.67%"
"11/09/2021","32,347.8","32,695.6","33,000.0","32,173.9","1.42M","-1.06%"
"11/10/2021","32,521.7","32,347.8","33,173.9","31,826.1","1.71M","0.54%"
"11/11/2021","32,478.3","32,608.7","32,869.6","31,739.1","2.25M","-0.13%"
"11/12/2021","32,478.3","32,478.3","33,043.5","32,000.0","1.65M","0.00%"
"11/15/2021","33,217.4","32,695.6","33,913.0","32,260.9","3.17M","2.28%"
"11/16/2021","32,652.2","33,217.4","33,304.3","32,347.8","1.32M","-1.70%"
"11/17/2021","33,608.7","32,434.8","33,913.0","32,173.9","1.95M","2.93%"
"11/18/2021","32,956.5","33,652.2","33,652.2","32,956.5","1.29M","-1.94%"
"11/19/2021","31,739.1","33,130.4","33,130.4","30,652.2","2.46M","-3.69%"
"11/22/2021","29,565.2","31,826.1","32,173.9","29,565.2","2.58M","-6.85%"
"11/23/2021","30,304.3","29,565.2","30,391.3","29,130.4","1.62M","2.50%"
"11/24/2021","30,000.0","30,869.6","30,869.6","29,826.1","1.64M","-1.00%"
"11/25/2021","31,086.9","29,652.2","31,217.4","29,652.2","1.13M","3.62%"
"11/26/2021","31,782.6","31,173.9","32,043.5","30,130.4","1.74M","2.24%"
"11/29/2021","33,304.3","31,565.2","33,478.3","30,565.2","3.53M","4.79%"
"11/30/2021","32,956.5","33,869.6","34,347.8","32,913.0","2.56M","-1.04%"
"12/01/2021","32,869.6","32,695.6","33,043.5","32,347.8","1.08M","-0.26%"
"12/02/2021","33,130.4","33,043.5","33,739.1","32,347.8","2.19M","0.79%"
"12/03/2021","32,217.4","33,173.9","33,826.1","32,217.4","2.23M","-2.76%"
"12/06/2021","30,695.6","32,086.9","32,391.3","30,434.8","1.56M","-4.72%"
"12/07/2021","31,565.2","31,478.3","32,000.0","30,695.6","1.20M","2.83%"
"12/08/2021","31,826.1","31,826.1","32,434.8","31,391.3","1.01M","0.83%"
"12/09/2021","32,695.6","31,565.2","32,695.6","31,565.2","1.37M","2.73%"
"12/10/2021","34,782.6","33,130.4","34,782.6","32,956.5","6.68M","6.38%"
"12/13/2021","35,130.4","35,565.2","35,565.2","34,782.6","2.44M","1.00%"
"12/14/2021","34,608.7","34,782.6","35,086.9","34,347.8","2.22M","-1.49%"
"12/15/2021","35,434.8","34,173.9","36,521.7","34,173.9","3.06M","2.39%"
"12/16/2021","36,043.5","35,478.3","36,521.7","34,913.0","2.47M","1.72%"
"12/17/2021","34,956.5","36,173.9","36,173.9","34,956.5","2.20M","-3.02%"
"12/20/2021","33,956.5","34,608.7","34,782.6","33,130.4","4.38M","-2.86%"
"12/21/2021","34,347.8","33,652.2","34,739.1","33,521.7","1.48M","1.15%"
"12/22/2021","34,695.6","34,608.7","35,652.2","34,260.9","2.03M","1.01%"
"12/23/2021","33,739.1","35,130.4","35,130.4","33,043.5","2.21M","-2.76%"
"12/24/2021","33,826.1","33,913.0","34,173.9","33,478.3","992.11K","0.26%"
"12/27/2021","34,521.7","33,826.1","34,956.5","33,739.1","1.40M","2.06%"
"12/28/2021","34,608.7","34,434.8","35,565.2","34,304.3","2.36M","0.25%"
"12/29/2021","34,956.5","35,000.0","35,652.2","34,782.6","1.39M","1.00%"
"12/30/2021","34,478.3","35,130.4","35,826.1","34,347.8","1.83M","-1.37%"
"12/31/2021","34,217.4","34,217.4","34,608.7","33,478.3","1.51M","-0.76%"
