"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,369.0","16,275.2","16,415.9","16,228.3","23.10K","0.58%"
"07/02/2021","16,556.6","16,369.0","16,556.6","16,369.0","62.40K","1.15%"
"07/05/2021","17,072.6","16,978.8","17,166.4","16,697.3","247.30K","3.12%"
"07/06/2021","16,791.2","17,260.2","17,307.1","16,791.2","89.80K","-1.65%"
"07/07/2021","16,791.2","16,228.3","16,791.2","16,228.3","38.20K","0.00%"
"07/08/2021","16,228.3","16,322.1","16,415.9","16,134.5","119.10K","-3.35%"
"07/09/2021","16,087.6","16,087.6","16,228.3","15,759.3","45.20K","-0.87%"
"07/12/2021","15,055.8","16,087.6","16,087.6","15,008.8","95.20K","-6.41%"
"07/13/2021","15,196.5","15,477.9","15,477.9","15,055.8","22.40K","0.93%"
"07/14/2021","15,290.3","15,759.3","15,759.3","15,196.5","8.10K","0.62%"
"07/15/2021","15,571.7","15,290.3","15,571.7","15,290.3","9.00K","1.84%"
"07/16/2021","15,477.9","15,571.7","15,571.7","15,384.1","8.60K","-0.60%"
"07/19/2021","15,008.8","14,727.4","15,712.4","14,727.4","19.30K","-3.03%"
"07/20/2021","15,290.3","15,008.8","15,290.3","14,868.1","6.20K","1.87%"
"07/21/2021","15,384.1","15,008.8","15,384.1","15,008.8","2.10K","0.61%"
"07/22/2021","15,665.5","15,384.1","15,665.5","15,196.5","8.40K","1.83%"
"07/23/2021","15,571.7","15,571.7","15,571.7","15,477.9","1.50K","-0.60%"
"07/26/2021","15,477.9","15,571.7","15,571.7","15,196.5","4.90K","-0.60%"
"07/27/2021","15,571.7","15,477.9","15,665.5","15,477.9","3.10K","0.61%"
"07/28/2021","15,571.7","15,571.7","15,571.7","15,477.9","1.80K","0.00%"
"07/29/2021","15,665.5","15,946.9","15,946.9","15,571.7","5.30K","0.60%"
"07/30/2021","15,759.3","15,571.7","15,759.3","15,571.7","11.60K","0.60%"
"08/02/2021","15,853.1","15,853.1","15,853.1","15,477.9","99.00K","0.60%"
"08/03/2021","15,853.1","15,759.3","15,946.9","15,759.3","19.60K","0.00%"
"08/04/2021","15,946.9","15,946.9","16,134.5","15,853.1","17.40K","0.59%"
"08/05/2021","16,134.5","15,759.3","16,228.3","15,759.3","15.40K","1.18%"
"08/06/2021","15,946.9","16,134.5","16,134.5","15,946.9","54.00K","-1.16%"
"08/09/2021","16,134.5","15,853.1","16,134.5","15,759.3","24.40K","1.18%"
"08/10/2021","17,260.2","16,415.9","17,260.2","16,415.9","404.60K","6.98%"
