"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,014.0","26,548.0","27,014.0","26,548.0","2.10K","0.00%"
"07/02/2021","26,548.0","27,014.0","27,014.0","26,175.0","1.60K","-1.73%"
"07/05/2021","26,082.0","26,548.0","26,548.0","26,082.0","1.10K","-1.76%"
"07/06/2021","27,107.0","27,340.0","27,386.0","26,082.0","13.30K","3.93%"
"07/07/2021","28,877.0","27,107.0","28,877.0","27,107.0","24.20K","6.53%"
"07/08/2021","30,181.0","30,181.0","30,181.0","27,619.0","8.10K","4.52%"
"07/09/2021","30,647.0","28,411.0","30,740.0","28,411.0","35.60K","1.54%"
"07/12/2021","28,504.0","28,597.0","30,740.0","28,504.0","38.60K","-6.99%"
"07/13/2021","26,734.0","27,014.0","27,014.0","26,548.0","8.50K","-6.21%"
"07/14/2021","26,082.0","26,129.0","26,548.0","26,082.0","6.80K","-2.44%"
"07/15/2021","26,268.0","26,268.0","26,268.0","26,268.0","0.50K","0.71%"
"07/16/2021","26,641.0","26,408.0","26,641.0","26,408.0","1.40K","1.42%"
"07/19/2021","26,268.0","26,268.0","26,268.0","26,268.0","1.30K","-1.40%"
"07/20/2021","27,479.0","26,268.0","27,479.0","26,268.0","4.00K","4.61%"
"07/22/2021","26,548.0","26,641.0","26,641.0","26,548.0","2.10K","-3.39%"
"07/23/2021","27,014.0","27,014.0","27,014.0","27,014.0","2.20K","1.76%"
"07/28/2021","26,827.0","26,827.0","26,921.0","26,827.0","1.10K","-0.69%"
"07/29/2021","26,082.0","26,082.0","26,082.0","26,082.0","1.50K","-2.78%"
"07/30/2021","26,827.0","27,200.0","27,200.0","26,827.0","0.70K","2.86%"
"08/02/2021","26,734.0","26,595.0","26,734.0","26,595.0","1.40K","-0.35%"
"08/03/2021","26,688.0","26,595.0","26,688.0","26,548.0","2.70K","-0.17%"
"08/04/2021","26,455.0","26,921.0","26,967.0","26,455.0","0.40K","-0.87%"
"08/06/2021","27,759.0","27,479.0","27,805.0","27,479.0","2.30K","4.93%"
"08/09/2021","27,712.0","27,666.0","27,712.0","27,479.0","1.50K","-0.17%"
"08/10/2021","28,132.0","27,666.0","28,132.0","27,666.0","4.40K","1.52%"
"08/11/2021","28,318.0","27,852.0","28,318.0","27,852.0","5.80K","0.66%"
"08/12/2021","27,200.0","28,225.0","28,225.0","27,107.0","0.40K","-3.95%"
