"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,014.0","16,703.0","17,092.0","16,703.0","4.75K","1.86%"
"07/02/2021","16,315.0","16,315.0","16,315.0","16,315.0","0.63K","-4.11%"
"07/05/2021","15,926.0","15,926.0","16,315.0","15,538.0","19.50K","-2.38%"
"07/06/2021","15,926.0","15,926.0","15,926.0","15,926.0","3.63K","0.00%"
"07/07/2021","15,538.0","15,538.0","15,538.0","15,538.0","9.38K","-2.44%"
"07/08/2021","15,538.0","15,538.0","15,538.0","15,538.0","2.50K","0.00%"
"07/09/2021","15,926.0","15,538.0","15,926.0","15,538.0","4.13K","2.50%"
"07/12/2021","15,693.0","15,926.0","15,926.0","15,383.0","4.75K","-1.46%"
"07/13/2021","15,693.0","15,693.0","15,693.0","15,693.0","3.75K","0.00%"
"07/14/2021","15,538.0","15,538.0","15,538.0","15,538.0","0.75K","-0.99%"
"07/15/2021","15,538.0","15,538.0","15,538.0","15,538.0","1.88K","0.00%"
"07/16/2021","15,926.0","15,926.0","15,926.0","15,926.0","0.13K","2.50%"
"07/19/2021","15,538.0","15,926.0","15,926.0","15,538.0","8.25K","-2.44%"
"07/20/2021","15,538.0","15,538.0","15,538.0","15,538.0","0.25K","0.00%"
"07/22/2021","16,159.0","15,926.0","16,159.0","15,926.0","5.63K","4.00%"
"07/23/2021","17,286.0","16,315.0","17,286.0","16,159.0","68.38K","6.97%"
"07/26/2021","18,490.0","18,490.0","18,490.0","17,325.0","73.38K","6.97%"
"07/27/2021","19,772.0","19,733.0","19,772.0","18,645.0","61.63K","6.93%"
"07/28/2021","20,122.0","20,976.0","20,976.0","20,122.0","0.75K","1.77%"
"07/29/2021","19,966.0","19,966.0","19,966.0","18,723.0","5.13K","-0.78%"
"07/30/2021","19,811.0","19,889.0","19,889.0","18,645.0","4.00K","-0.78%"
"08/02/2021","19,811.0","19,422.0","19,811.0","18,451.0","30.25K","0.00%"
"08/03/2021","19,733.0","19,811.0","19,811.0","19,733.0","2.38K","-0.39%"
"08/04/2021","18,645.0","19,655.0","19,655.0","18,645.0","0.88K","-5.51%"
"08/05/2021","18,645.0","18,645.0","18,645.0","18,645.0","15.38K","0.00%"
"08/06/2021","17,752.0","17,713.0","17,869.0","17,713.0","12.13K","-4.79%"
"08/09/2021","18,257.0","17,713.0","18,257.0","17,713.0","5.88K","2.84%"
"08/10/2021","19,422.0","17,131.0","19,422.0","17,131.0","2.00K","6.38%"
"08/11/2021","18,257.0","19,267.0","19,267.0","18,257.0","15.88K","-6.00%"
"08/12/2021","18,257.0","18,645.0","18,645.0","18,257.0","4.75K","0.00%"
"08/13/2021","17,092.0","17,131.0","17,558.0","17,092.0","21.63K","-6.38%"
"08/16/2021","17,869.0","17,869.0","17,869.0","17,869.0","5.88K","4.55%"
"08/17/2021","18,645.0","17,907.0","18,645.0","17,907.0","11.25K","4.34%"
"08/18/2021","18,645.0","18,645.0","18,645.0","18,645.0","7.50K","0.00%"
"08/19/2021","18,645.0","18,645.0","18,645.0","18,645.0","2.38K","0.00%"
"08/20/2021","18,645.0","18,645.0","18,645.0","18,645.0","13.50K","0.00%"
"08/23/2021","17,869.0","17,869.0","17,907.0","17,713.0","26.63K","-4.16%"
"08/24/2021","17,869.0","17,869.0","17,869.0","17,869.0","0.38K","0.00%"
"08/25/2021","17,869.0","16,781.0","17,869.0","16,781.0","26.25K","0.00%"
"08/26/2021","18,568.0","17,907.0","18,645.0","17,907.0","5.75K","3.91%"
"08/27/2021","18,723.0","18,568.0","19,034.0","18,568.0","51.88K","0.83%"
"08/30/2021","19,811.0","18,723.0","19,811.0","18,723.0","151.13K","5.81%"
"08/31/2021","19,772.0","18,645.0","20,199.0","18,645.0","77.88K","-0.20%"
"09/01/2021","19,422.0","19,811.0","20,199.0","19,422.0","111.38K","-1.77%"
"09/06/2021","19,189.0","19,422.0","19,422.0","18,801.0","104.13K","-1.20%"
"09/07/2021","18,645.0","19,112.0","19,189.0","18,645.0","50.38K","-2.83%"
"09/08/2021","18,645.0","19,267.0","19,267.0","18,490.0","5.38K","0.00%"
"09/09/2021","18,801.0","18,801.0","19,189.0","18,801.0","14.63K","0.84%"
"09/10/2021","19,034.0","18,801.0","19,422.0","18,801.0","16.13K","1.24%"
"09/13/2021","18,879.0","19,112.0","19,112.0","18,801.0","33.63K","-0.81%"
"09/14/2021","18,879.0","18,879.0","18,956.0","18,879.0","30.25K","0.00%"
"09/15/2021","18,801.0","18,956.0","19,034.0","18,801.0","43.63K","-0.41%"
"09/16/2021","19,422.0","18,801.0","19,500.0","18,645.0","114.50K","3.30%"
"09/17/2021","19,422.0","19,384.0","19,422.0","18,956.0","22.63K","0.00%"
"09/20/2021","20,588.0","19,422.0","20,743.0","19,422.0","94.25K","6.00%"
"09/21/2021","20,277.0","19,461.0","20,588.0","19,461.0","17.00K","-1.51%"
"09/22/2021","20,976.0","20,277.0","20,976.0","20,199.0","127.13K","3.45%"
"09/23/2021","20,665.0","21,753.0","22,142.0","20,665.0","74.88K","-1.48%"
"09/24/2021","21,209.0","21,209.0","21,209.0","21,170.0","14.13K","2.63%"
"09/27/2021","21,132.0","21,403.0","22,142.0","19,889.0","123.75K","-0.36%"
"09/28/2021","21,132.0","19,655.0","21,132.0","19,655.0","9.13K","0.00%"
"09/29/2021","20,976.0","21,132.0","21,132.0","20,743.0","32.13K","-0.74%"
"09/30/2021","20,393.0","20,588.0","20,588.0","20,393.0","9.25K","-2.78%"
"10/01/2021","20,277.0","20,393.0","20,432.0","19,811.0","57.00K","-0.57%"
"10/04/2021","20,238.0","20,199.0","20,821.0","20,199.0","9.38K","-0.19%"
"10/05/2021","20,199.0","20,782.0","20,782.0","20,083.0","31.25K","-0.19%"
"10/06/2021","21,326.0","20,821.0","21,365.0","20,588.0","255.63K","5.58%"
"10/07/2021","21,287.0","21,753.0","21,753.0","20,976.0","248.63K","-0.18%"
"10/08/2021","21,287.0","21,170.0","21,326.0","21,132.0","111.50K","0.00%"
"10/11/2021","21,287.0","21,442.0","21,675.0","21,287.0","209.63K","0.00%"
"10/12/2021","21,326.0","21,365.0","21,365.0","21,054.0","182.13K","0.18%"
"10/13/2021","21,442.0","21,287.0","21,520.0","21,248.0","192.63K","0.54%"
"10/14/2021","21,442.0","21,442.0","21,520.0","21,365.0","112.50K","0.00%"
"10/15/2021","21,365.0","21,442.0","22,142.0","21,326.0","100.25K","-0.36%"
"10/18/2021","21,209.0","21,326.0","21,365.0","21,209.0","103.88K","-0.73%"
"10/19/2021","22,025.0","20,976.0","22,491.0","20,821.0","194.50K","3.85%"
"10/20/2021","21,675.0","22,064.0","22,064.0","21,442.0","100.63K","-1.59%"
"10/21/2021","21,209.0","21,132.0","21,792.0","21,132.0","43.63K","-2.15%"
"10/22/2021","21,209.0","21,520.0","21,520.0","20,976.0","108.13K","0.00%"
"10/25/2021","21,753.0","20,976.0","22,219.0","20,976.0","167.88K","2.56%"
"10/26/2021","21,870.0","22,375.0","22,375.0","21,598.0","104.00K","0.54%"
"10/27/2021","22,025.0","22,142.0","22,142.0","21,675.0","232.50K","0.71%"
"10/28/2021","22,685.0","22,491.0","22,841.0","21,908.0","214.00K","3.00%"
"10/29/2021","24,123.0","23,307.0","24,239.0","22,763.0","343.63K","6.34%"
"11/01/2021","23,812.0","24,861.0","25,094.0","23,307.0","272.25K","-1.29%"
"11/02/2021","23,851.0","23,812.0","24,472.0","23,462.0","226.50K","0.16%"
"11/03/2021","23,695.0","23,928.0","24,356.0","23,618.0","200.38K","-0.65%"
"11/04/2021","23,734.0","23,307.0","23,928.0","23,307.0","97.13K","0.16%"
"11/05/2021","23,773.0","23,812.0","24,161.0","23,695.0","96.38K","0.16%"
"11/08/2021","24,161.0","23,773.0","24,705.0","23,773.0","144.00K","1.63%"
"11/09/2021","24,084.0","24,161.0","25,016.0","24,006.0","119.63K","-0.32%"
"11/10/2021","23,928.0","24,084.0","24,084.0","23,851.0","130.75K","-0.65%"
"11/11/2021","23,540.0","23,928.0","23,928.0","23,268.0","179.38K","-1.62%"
"11/12/2021","24,472.0","23,307.0","24,472.0","23,074.0","189.00K","3.96%"
"11/15/2021","24,200.0","24,550.0","24,589.0","24,084.0","179.75K","-1.11%"
"11/16/2021","24,239.0","24,084.0","24,395.0","23,890.0","160.63K","0.16%"
"11/17/2021","24,084.0","24,705.0","24,705.0","23,928.0","80.88K","-0.64%"
