"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,714","15,476","17,598","15,211","2.43M","8.00%"
"07/02/2021","17,864","16,802","17,952","16,449","287.83K","6.88%"
"07/05/2021","18,394","18,129","19,367","18,041","114.56K","2.97%"
"07/06/2021","16,714","16,802","18,394","16,714","319.42K","-9.13%"
"07/07/2021","16,714","16,714","17,687","15,476","98.07K","0.00%"
"07/08/2021","16,802","16,802","17,421","16,360","53.66K","0.53%"
"07/09/2021","16,714","16,802","17,510","16,007","34.13K","-0.52%"
"07/12/2021","15,741","16,626","16,979","15,387","42.21K","-5.82%"
"07/13/2021","16,183","15,653","17,421","15,653","20.27K","2.81%"
"07/14/2021","16,272","16,272","16,802","16,007","21.65K","0.55%"
"07/15/2021","16,979","16,272","17,245","16,272","138.08K","4.34%"
"07/16/2021","16,714","17,510","17,510","16,626","17.54K","-1.56%"
"07/19/2021","16,183","16,802","17,068","16,007","100.17K","-3.18%"
"07/20/2021","16,272","16,183","16,449","15,741","42.53K","0.55%"
"07/21/2021","16,183","15,918","16,714","15,918","13.97K","-0.55%"
"07/22/2021","16,714","15,918","16,802","15,918","47.88K","3.28%"
"07/23/2021","16,860","17,527","17,718","16,574","39.60K","0.87%"
"07/26/2021","16,955","16,860","17,718","16,670","23.00K","0.56%"
"07/27/2021","17,718","17,146","18,099","17,051","99.10K","4.50%"
"07/28/2021","17,622","18,003","18,099","17,432","30.20K","-0.54%"
"07/29/2021","17,622","17,813","17,813","17,337","12.10K","0.00%"
"07/30/2021","17,527","17,527","17,527","16,955","36.70K","-0.54%"
"08/02/2021","16,765","17,241","17,241","16,574","35.40K","-4.35%"
"08/03/2021","16,860","17,622","17,622","16,193","41.51K","0.57%"
"08/04/2021","16,765","16,860","17,146","16,479","8.51K","-0.56%"
"08/05/2021","16,860","17,146","17,146","16,670","26.50K","0.57%"
"08/06/2021","16,765","16,765","16,860","16,574","16.30K","-0.56%"
"08/09/2021","16,670","17,051","17,051","16,479","36.10K","-0.57%"
"08/10/2021","16,765","16,955","16,955","16,670","14.60K","0.57%"
"08/11/2021","17,622","16,860","17,718","16,860","48.30K","5.11%"
"08/12/2021","17,432","17,432","17,908","17,337","26.50K","-1.08%"
"08/13/2021","17,337","17,527","17,622","16,955","17.10K","-0.54%"
"08/16/2021","18,575","17,241","18,765","17,241","238.70K","7.14%"
"08/17/2021","19,242","18,480","19,527","18,480","148.30K","3.59%"
"08/18/2021","19,337","19,432","19,908","18,956","90.30K","0.49%"
"08/19/2021","19,146","19,337","20,004","18,099","36.10K","-0.99%"
"08/20/2021","18,765","18,670","19,527","18,289","117.60K","-1.99%"
"08/23/2021","19,242","19,051","19,908","18,765","89.60K","2.54%"
"08/24/2021","18,765","19,051","19,051","18,289","88.40K","-2.48%"
"08/25/2021","18,765","18,765","18,861","18,289","64.70K","0.00%"
"08/26/2021","18,765","18,861","19,337","18,480","70.00K","0.00%"
"08/27/2021","20,956","18,575","20,956","18,575","380.40K","11.68%"
"08/30/2021","22,957","20,956","22,957","20,956","247.90K","9.55%"
"08/31/2021","25,338","23,338","25,338","22,766","300.70K","10.37%"
"09/01/2021","28,100","25,338","28,100","25,338","579.00K","10.90%"
"09/06/2021","27,910","28,577","28,577","27,243","186.70K","-0.68%"
"09/07/2021","26,672","27,148","27,243","26,672","198.80K","-4.44%"
"09/08/2021","26,672","26,672","27,053","25,052","108.20K","0.00%"
"09/09/2021","29,529","26,195","29,815","26,195","150.00K","10.71%"
"09/10/2021","28,481","29,053","29,529","28,481","46.52K","-3.55%"
"09/13/2021","28,005","28,577","28,577","27,148","37.40K","-1.67%"
"09/14/2021","27,434","28,577","28,577","26,195","74.92K","-2.04%"
"09/15/2021","27,910","27,148","27,910","26,672","32.22K","1.74%"
"09/16/2021","28,577","27,338","30,768","27,338","122.31K","2.39%"
"09/17/2021","29,053","28,958","29,529","28,577","27.94K","1.67%"
"09/20/2021","27,910","29,053","29,053","27,815","32.51K","-3.93%"
"09/21/2021","26,672","27,434","27,624","26,672","71.20K","-4.44%"
"09/22/2021","27,624","26,767","27,815","26,672","57.50K","3.57%"
"09/23/2021","27,243","26,957","27,624","26,957","46.21K","-1.38%"
"09/24/2021","26,957","27,148","27,243","26,672","63.80K","-1.05%"
"09/27/2021","25,719","26,672","26,957","25,719","52.16K","-4.59%"
"09/28/2021","26,100","25,719","26,100","25,624","18.86K","1.48%"
"09/29/2021","26,957","26,672","27,624","26,291","22.21K","3.28%"
"09/30/2021","27,053","27,243","27,243","26,672","18.39K","0.36%"
"10/01/2021","26,957","26,291","27,624","26,291","43.40K","-0.35%"
"10/04/2021","31,149","27,148","31,149","27,148","435.35K","15.55%"
"10/05/2021","31,053","31,149","32,006","30,005","45.47K","-0.31%"
"10/06/2021","30,387","30,482","31,053","30,005","18.54K","-2.14%"
"10/07/2021","29,243","30,005","30,101","28,577","109.50K","-3.76%"
"10/08/2021","28,386","29,529","29,529","27,719","96.49K","-2.93%"
"10/11/2021","28,291","28,386","28,481","27,624","35.44K","-0.33%"
"10/12/2021","28,196","27,910","28,196","27,910","39.52K","-0.34%"
"10/13/2021","28,005","27,910","28,100","27,434","77.86K","-0.68%"
"10/14/2021","28,196","27,624","29,148","27,624","16.40K","0.68%"
"10/15/2021","27,910","27,910","28,196","27,815","47.79K","-1.01%"
"10/18/2021","27,624","27,910","27,910","27,529","47.16K","-1.02%"
"10/19/2021","27,910","29,529","30,005","27,624","16.20K","1.04%"
"10/20/2021","27,815","27,910","27,910","27,243","41.39K","-0.34%"
"10/21/2021","27,338","27,624","27,624","27,053","36.34K","-1.71%"
