"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,538.4","14,415.5","14,988.8","14,415.5","1.14M","0.57%"
"07/02/2021","14,988.8","14,661.2","14,988.8","14,538.4","1.44M","3.10%"
"07/05/2021","15,070.7","15,029.8","15,439.3","14,866.0","1.43M","0.55%"
"07/06/2021","14,906.9","15,029.8","15,234.6","14,743.1","877.34K","-1.09%"
"07/07/2021","14,620.3","14,825.0","14,906.9","14,497.4","1.02M","-1.92%"
"07/08/2021","14,456.4","14,538.4","14,620.3","14,251.7","685.78K","-1.12%"
"07/09/2021","14,415.5","14,415.5","14,456.4","14,169.8","849.75K","-0.28%"
"07/12/2021","14,415.5","14,415.5","14,497.4","14,210.7","384.46K","0.00%"
"07/13/2021","14,702.2","14,333.6","14,743.1","13,965.0","931.31K","1.99%"
"07/14/2021","14,947.9","14,661.2","15,234.6","14,006.0","1.20M","1.67%"
"07/15/2021","15,971.7","14,906.9","15,971.7","14,743.1","1.78M","6.85%"
"07/16/2021","16,381.2","16,094.6","16,790.8","15,971.7","992.48K","2.56%"
"07/19/2021","15,398.4","16,545.1","16,749.8","15,398.4","819.35K","-6.00%"
"07/20/2021","14,333.6","15,070.7","15,152.6","14,333.6","558.81K","-6.92%"
"07/21/2021","14,456.4","13,350.7","14,497.4","13,350.7","1.40M","0.86%"
"07/22/2021","15,439.3","14,415.5","15,439.3","14,251.7","1.62M","6.80%"
"07/23/2021","15,234.6","15,439.3","15,889.8","15,193.6","1.16M","-1.33%"
"07/26/2021","14,866.0","15,070.7","15,070.7","14,661.2","977.22K","-2.42%"
"07/27/2021","14,497.4","14,866.0","14,866.0","14,006.0","1.29M","-2.48%"
"07/28/2021","15,070.7","14,497.4","15,152.6","14,333.6","1.16M","3.95%"
"07/29/2021","15,111.7","15,029.8","15,316.5","14,825.0","569.55K","0.27%"
"07/30/2021","15,807.9","15,111.7","15,807.9","15,111.7","1.14M","4.61%"
"08/02/2021","15,766.9","15,807.9","15,971.7","15,644.1","638.41K","-0.26%"
"08/03/2021","15,603.1","15,766.9","15,848.9","15,603.1","502.28K","-1.04%"
"08/04/2021","15,889.8","15,644.1","15,889.8","15,644.1","786.88K","1.84%"
"08/05/2021","16,135.5","15,889.8","16,258.4","15,889.8","1.03M","1.55%"
"08/06/2021","16,545.1","16,135.5","16,790.8","16,053.6","1.37M","2.54%"
"08/09/2021","17,200.3","16,586.0","17,487.0","16,422.2","1.31M","3.96%"
"08/10/2021","16,545.1","17,200.3","17,527.9","16,381.2","984.54K","-3.81%"
"08/11/2021","16,463.1","16,545.1","16,627.0","16,422.2","488.97K","-0.50%"
"08/12/2021","16,749.8","16,504.1","16,790.8","16,422.2","676.02K","1.74%"
"08/13/2021","15,603.1","16,545.1","16,790.8","15,603.1","226.72K","-6.85%"
"08/16/2021","16,667.9","15,562.2","16,667.9","14,906.9","1.34M","6.82%"
"08/17/2021","17,814.6","16,790.8","17,814.6","16,667.9","1.93M","6.88%"
"08/18/2021","18,224.1","17,896.5","18,469.9","17,773.6","1.49M","2.30%"
"08/19/2021","17,773.6","18,224.1","18,265.1","17,650.8","1.15M","-2.47%"
"08/20/2021","17,855.6","17,773.6","18,142.2","17,773.6","953.29K","0.46%"
"08/23/2021","18,142.2","17,855.6","18,142.2","17,855.6","1.03M","1.61%"
"08/24/2021","19,411.8","18,101.3","19,411.8","18,019.4","2.23M","7.00%"
"08/25/2021","20,108.0","19,411.8","20,640.4","19,411.8","1.86M","3.59%"
"08/26/2021","19,944.2","20,148.9","20,681.3","19,821.3","1.51M","-0.81%"
"08/27/2021","19,944.2","19,862.3","20,230.8","19,657.5","994.67K","0.00%"
"08/30/2021","20,640.4","20,026.1","20,886.1","20,026.1","2.14M","3.49%"
"08/31/2021","20,558.5","20,640.4","20,886.1","20,394.6","1.29M","-0.40%"
"09/01/2021","21,295.6","20,517.5","21,336.6","20,353.7","2.18M","3.59%"
"09/06/2021","19,821.3","21,336.6","21,541.3","19,821.3","1.12M","-6.92%"
"09/07/2021","18,469.9","18,469.9","19,248.0","18,469.9","1.99M","-6.82%"
"09/08/2021","18,019.4","17,200.3","18,469.9","17,200.3","2.53M","-2.44%"
"09/09/2021","16,954.6","18,019.4","18,101.3","16,790.8","2.20M","-5.91%"
"09/10/2021","18,101.3","16,790.8","18,101.3","16,790.8","3.77M","6.76%"
"09/13/2021","17,200.3","18,101.3","18,265.1","16,872.7","2.72M","-4.98%"
"09/14/2021","16,012.7","16,831.7","16,831.7","16,012.7","2.18M","-6.90%"
"09/15/2021","15,480.3","15,480.3","15,971.7","14,906.9","933.26K","-3.32%"
"09/16/2021","15,562.2","15,685.0","15,971.7","14,415.5","1.94M","0.53%"
"09/17/2021","15,439.3","15,562.2","15,562.2","14,497.4","1.74M","-0.79%"
"09/20/2021","14,784.1","15,111.7","15,562.2","14,743.1","371.40K","-4.24%"
"09/21/2021","13,924.1","14,333.6","14,784.1","13,842.1","580.18K","-5.82%"
"09/22/2021","14,497.4","13,924.1","14,702.2","13,350.7","877.34K","4.12%"
"09/23/2021","14,456.4","14,743.1","14,825.0","14,333.6","486.90K","-0.28%"
"09/24/2021","14,210.7","14,333.6","14,415.5","13,965.0","167.02K","-1.70%"
"09/27/2021","13,432.6","14,006.0","14,087.9","13,350.7","227.21K","-5.48%"
"09/28/2021","13,350.7","12,859.3","13,514.5","12,695.5","190.10K","-0.61%"
"09/29/2021","13,514.5","13,105.0","13,514.5","12,941.2","122.70K","1.23%"
"09/30/2021","13,842.1","13,924.1","14,169.8","13,678.3","160.31K","2.42%"
"10/01/2021","13,391.7","13,883.1","13,924.1","13,268.8","101.09K","-3.25%"
"10/04/2021","13,105.0","13,186.9","13,514.5","13,023.1","326.59K","-2.14%"
"10/05/2021","14,006.0","13,432.6","14,006.0","13,105.0","695.67K","6.88%"
"10/06/2021","14,947.9","14,210.7","14,947.9","14,210.7","1.01M","6.72%"
"10/07/2021","14,497.4","14,947.9","14,947.9","14,333.6","736.21K","-3.01%"
"10/08/2021","14,210.7","14,415.5","14,906.9","14,169.8","341.12K","-1.98%"
"10/11/2021","14,087.9","14,210.7","14,456.4","13,924.1","440.14K","-0.86%"
"10/12/2021","13,924.1","14,087.9","14,087.9","13,760.2","181.79K","-1.16%"
"10/13/2021","14,128.8","14,579.3","14,579.3","13,965.0","780.65K","1.47%"
"10/14/2021","14,006.0","14,128.8","14,251.7","13,842.1","424.63K","-0.87%"
"10/15/2021","13,842.1","13,924.1","14,046.9","13,801.2","194.98K","-1.17%"
"10/18/2021","14,006.0","13,842.1","14,169.8","13,842.1","654.16K","1.18%"
"10/19/2021","14,333.6","14,087.9","14,497.4","13,924.1","889.43K","2.34%"
"10/20/2021","14,169.8","14,374.5","14,743.1","14,169.8","989.55K","-1.14%"
"10/21/2021","13,924.1","14,251.7","14,497.4","13,924.1","657.83K","-1.73%"
"10/22/2021","14,850.0","14,800.0","14,850.0","14,700.0","1.23M","6.65%"
"10/25/2021","15,300.0","15,150.0","15,700.0","15,150.0","897.40K","3.03%"
"10/26/2021","15,200.0","15,500.0","15,500.0","14,700.0","754.40K","-0.65%"
"10/27/2021","15,400.0","15,500.0","15,700.0","15,200.0","1.09M","1.32%"
"10/28/2021","16,450.0","15,450.0","16,450.0","15,450.0","1.56M","6.82%"
"10/29/2021","17,600.0","17,400.0","17,600.0","17,200.0","2.38M","6.99%"
"11/01/2021","18,600.0","18,600.0","18,800.0","17,800.0","1.85M","5.68%"
"11/02/2021","18,150.0","18,100.0","18,200.0","17,500.0","824.70K","-2.42%"
"11/03/2021","16,900.0","18,000.0","18,150.0","16,900.0","1.53M","-6.89%"
"11/04/2021","17,200.0","17,050.0","17,600.0","16,350.0","968.70K","1.78%"
"11/05/2021","18,000.0","17,300.0","18,250.0","17,200.0","874.50K","4.65%"
"11/08/2021","17,700.0","17,900.0","18,150.0","17,300.0","992.60K","-1.67%"
"11/09/2021","18,050.0","17,700.0","18,200.0","17,700.0","2.07M","1.98%"
"11/10/2021","18,500.0","18,050.0","18,800.0","18,050.0","1.25M","2.49%"
"11/11/2021","18,550.0","18,800.0","19,000.0","18,400.0","1.42M","0.27%"
"11/12/2021","18,200.0","18,550.0","19,000.0","17,900.0","1.44M","-1.89%"
"11/15/2021","18,000.0","18,150.0","18,500.0","17,550.0","1.34M","-1.10%"
"11/16/2021","17,500.0","18,050.0","18,100.0","17,400.0","737.20K","-2.78%"
"11/17/2021","17,950.0","17,600.0","18,100.0","17,550.0","755.60K","2.57%"
"11/18/2021","18,750.0","17,950.0","18,900.0","17,950.0","2.12M","4.46%"
"11/19/2021","18,600.0","20,000.0","20,000.0","18,000.0","1.82M","-0.80%"
"11/22/2021","17,300.0","18,600.0","18,600.0","17,300.0","890.40K","-6.99%"
"11/23/2021","17,400.0","16,500.0","17,500.0","16,200.0","747.60K","0.58%"
"11/24/2021","17,300.0","18,000.0","18,300.0","17,300.0","1.08M","-0.57%"
"11/25/2021","17,500.0","17,300.0","17,600.0","16,450.0","704.60K","1.16%"
"11/26/2021","17,000.0","17,150.0","17,500.0","16,800.0","527.60K","-2.86%"
"11/29/2021","17,900.0","16,400.0","18,000.0","16,400.0","459.40K","5.29%"
"11/30/2021","17,700.0","18,200.0","18,200.0","17,500.0","425.80K","-1.12%"
"12/01/2021","17,400.0","17,500.0","17,700.0","17,200.0","340.10K","-1.69%"
"12/02/2021","17,350.0","17,350.0","17,900.0","17,300.0","435.30K","-0.29%"
"12/03/2021","16,700.0","17,350.0","17,600.0","16,600.0","551.00K","-3.75%"
"12/06/2021","15,550.0","16,700.0","16,700.0","15,550.0","923.40K","-6.89%"
"12/07/2021","16,150.0","15,900.0","16,150.0","15,500.0","360.10K","3.86%"
"12/08/2021","15,900.0","16,300.0","16,400.0","15,900.0","227.50K","-1.55%"
