"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","53,157.0","53,064.0","53,626.0","52,501.0","907.50K","0.18%"
"07/02/2021","52,595.0","53,439.0","53,439.0","52,501.0","839.40K","-1.06%"
"07/05/2021","50,438.0","52,407.0","52,595.0","49,782.0","1.34M","-4.10%"
"07/06/2021","47,438.0","50,438.0","51,095.0","46,970.0","1.83M","-5.95%"
"07/07/2021","48,845.0","47,813.0","48,845.0","47,251.0","880.80K","2.97%"
"07/08/2021","48,563.0","48,938.0","49,126.0","47,532.0","762.80K","-0.58%"
"07/09/2021","47,626.0","48,095.0","48,282.0","47,251.0","815.30K","-1.93%"
"07/12/2021","45,095.0","47,438.0","47,532.0","44,626.0","1.35M","-5.31%"
"07/13/2021","46,032.0","45,938.0","46,126.0","45,001.0","460.50K","2.08%"
"07/14/2021","45,001.0","46,267.0","46,267.0","44,345.0","600.70K","-2.24%"
"07/15/2021","46,126.0","45,001.0","46,126.0","44,720.0","373.20K","2.50%"
"07/16/2021","46,407.0","46,032.0","46,407.0","45,751.0","345.30K","0.61%"
"07/19/2021","44,485.0","45,095.0","45,938.0","44,345.0","715.80K","-4.14%"
"07/20/2021","46,126.0","45,001.0","46,126.0","44,157.0","730.00K","3.69%"
"07/21/2021","45,938.0","46,313.0","46,642.0","45,938.0","428.20K","-0.41%"
"07/22/2021","46,642.0","45,751.0","46,782.0","45,751.0","477.20K","1.53%"
"07/23/2021","46,126.0","46,782.0","46,876.0","46,032.0","307.50K","-1.11%"
"07/26/2021","45,751.0","45,470.0","45,892.0","45,001.0","458.20K","-0.81%"
"07/27/2021","45,751.0","46,407.0","46,407.0","45,001.0","474.20K","0.00%"
"07/28/2021","45,657.0","45,470.0","45,938.0","45,470.0","257.40K","-0.21%"
"07/29/2021","45,657.0","46,126.0","46,126.0","45,470.0","376.90K","0.00%"
"07/30/2021","46,688.0","46,126.0","46,782.0","45,845.0","742.90K","2.26%"
