"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,821.0","9,821.0","9,821.0","9,821.0","1.19K","1.63%"
"07/02/2021","9,506.8","9,821.0","9,821.0","9,506.8","1.95K","-3.20%"
"07/05/2021","9,428.2","9,428.2","9,428.2","9,428.2","1.41K","-0.83%"
"07/06/2021","9,428.2","9,428.2","9,428.2","9,428.2","2.49K","0.00%"
"07/07/2021","9,349.6","9,428.2","9,428.2","9,349.6","1.30K","-0.83%"
"07/08/2021","9,349.6","9,349.6","9,349.6","9,349.6","1.41K","0.00%"
"07/09/2021","9,231.8","9,428.2","9,428.2","9,231.8","2.93K","-1.26%"
"07/12/2021","9,585.3","9,821.0","9,821.0","9,271.0","8.34K","3.83%"
"07/13/2021","10,017.4","9,703.2","10,017.4","9,703.2","18.85K","4.51%"
"07/14/2021","9,821.0","10,056.7","10,056.7","9,821.0","12.35K","-1.96%"
"07/15/2021","9,192.5","9,349.6","9,349.6","9,192.5","3.25K","-6.40%"
"07/16/2021","9,821.0","9,663.9","9,821.0","9,663.9","26.33K","6.84%"
"07/19/2021","9,703.2","9,821.0","9,821.0","9,703.2","14.52K","-1.20%"
"07/20/2021","9,899.6","10,017.4","10,017.4","9,821.0","8.99K","2.02%"
"07/21/2021","9,821.0","9,821.0","10,017.4","9,821.0","19.72K","-0.79%"
"07/22/2021","10,213.9","10,017.4","10,371.0","10,017.4","37.48K","4.00%"
"07/23/2021","10,607.0","11,118.7","11,118.7","10,607.0","25.60K","3.85%"
"07/26/2021","10,607.0","10,700.0","10,700.0","10,607.0","3.90K","0.00%"
"07/27/2021","10,048.7","10,932.6","10,932.6","9,909.1","8.40K","-5.26%"
"07/28/2021","10,048.7","10,048.7","10,048.7","9,490.4","15.00K","0.00%"
"07/29/2021","10,048.7","10,048.7","10,048.7","9,723.0","1.90K","0.00%"
"07/30/2021","10,141.7","9,955.7","10,141.7","9,955.7","43.50K","0.93%"
"08/02/2021","9,955.7","10,607.0","10,607.0","9,909.1","4.20K","-1.83%"
"08/03/2021","9,862.6","9,955.7","9,955.7","9,769.6","9.10K","-0.94%"
"08/04/2021","10,048.7","9,862.6","10,048.7","9,862.6","7.60K","1.89%"
"08/05/2021","10,048.7","10,048.7","10,048.7","9,862.6","18.50K","0.00%"
"08/06/2021","10,048.7","10,048.7","10,048.7","10,048.7","7.30K","0.00%"
"08/09/2021","10,048.7","9,955.7","10,048.7","9,955.7","7.40K","0.00%"
"08/10/2021","10,141.7","10,188.3","10,188.3","10,048.7","11.70K","0.93%"
"08/11/2021","10,839.6","10,327.8","10,839.6","10,327.8","74.80K","6.88%"
"08/12/2021","11,583.9","11,583.9","11,583.9","11,258.3","61.50K","6.87%"
"08/13/2021","11,537.4","11,630.4","12,095.7","11,351.3","30.80K","-0.40%"
"08/16/2021","11,211.7","11,444.4","11,444.4","10,839.6","59.90K","-2.82%"
"08/17/2021","10,793.0","11,165.2","11,165.2","10,513.9","16.80K","-3.73%"
"08/18/2021","11,072.2","10,886.1","11,118.7","10,793.0","7.40K","2.59%"
"08/19/2021","10,700.0","11,025.7","11,025.7","10,607.0","7.90K","-3.36%"
"08/20/2021","10,607.0","10,467.4","10,793.0","10,467.4","13.40K","-0.87%"
"08/23/2021","10,374.4","10,607.0","10,607.0","10,234.8","27.20K","-2.19%"
"08/24/2021","10,560.4","10,700.0","10,700.0","10,234.8","11.70K","1.79%"
"08/25/2021","10,607.0","10,327.8","10,607.0","10,141.7","5.60K","0.44%"
"08/26/2021","10,746.5","10,513.9","10,839.6","10,513.9","5.90K","1.32%"
"08/27/2021","10,560.4","10,700.0","10,700.0","10,560.4","0.80K","-1.73%"
"08/30/2021","10,560.4","10,560.4","10,653.5","10,513.9","17.60K","0.00%"
"08/31/2021","10,607.0","10,793.0","10,886.1","10,607.0","8.00K","0.44%"
"09/01/2021","10,746.5","10,653.5","10,746.5","10,234.8","24.70K","1.32%"
"09/06/2021","11,025.7","11,304.8","11,304.8","10,839.6","64.90K","2.60%"
"09/07/2021","10,886.1","11,165.2","11,165.2","10,700.0","27.20K","-1.27%"
"09/08/2021","10,886.1","10,700.0","10,979.1","10,700.0","15.20K","0.00%"
"09/09/2021","10,932.6","10,886.1","11,165.2","10,607.0","37.30K","0.43%"
"09/10/2021","11,258.3","10,979.1","11,397.8","10,886.1","65.00K","2.98%"
"09/13/2021","11,304.8","11,258.3","11,444.4","11,118.7","20.50K","0.41%"
"09/14/2021","11,537.4","11,351.3","11,723.5","11,351.3","53.80K","2.06%"
"09/15/2021","11,304.8","11,723.5","11,723.5","11,258.3","42.80K","-2.02%"
"09/16/2021","11,072.2","11,304.8","11,304.8","10,979.1","36.50K","-2.06%"
"09/17/2021","11,165.2","10,886.1","11,258.3","10,886.1","26.10K","0.84%"
"09/20/2021","11,118.7","11,444.4","11,444.4","11,072.2","30.20K","-0.42%"
"09/21/2021","11,118.7","10,886.1","11,258.3","10,886.1","34.20K","0.00%"
"09/22/2021","11,537.4","11,165.2","11,537.4","11,165.2","36.50K","3.77%"
"09/23/2021","11,863.0","12,281.7","12,281.7","11,723.5","54.80K","2.82%"
"09/24/2021","11,444.4","11,630.4","11,630.4","11,444.4","34.80K","-3.53%"
"09/27/2021","11,165.2","12,002.6","12,002.6","11,165.2","15.90K","-2.44%"
"09/28/2021","11,165.2","11,165.2","11,537.4","10,793.0","17.90K","0.00%"
"09/29/2021","11,351.3","11,165.2","11,630.4","11,165.2","7.70K","1.67%"
"09/30/2021","11,444.4","11,537.4","11,537.4","11,165.2","11.60K","0.82%"
"10/01/2021","11,351.3","11,444.4","11,444.4","10,979.1","25.20K","-0.81%"
"10/04/2021","11,630.4","11,351.3","11,816.5","11,351.3","28.30K","2.46%"
"10/05/2021","12,328.3","11,677.0","12,421.3","11,537.4","103.70K","6.00%"
"10/06/2021","12,560.9","12,328.3","12,653.9","12,188.7","73.30K","1.89%"
"10/07/2021","12,281.7","12,560.9","12,560.9","12,002.6","20.70K","-2.22%"
"10/08/2021","12,281.7","11,863.0","12,281.7","11,863.0","30.80K","0.00%"
"10/11/2021","12,002.6","11,956.1","12,421.3","11,863.0","18.00K","-2.27%"
"10/12/2021","11,909.6","12,002.6","12,095.7","11,816.5","22.60K","-0.77%"
"10/13/2021","11,956.1","11,909.6","12,002.6","11,816.5","11.20K","0.39%"
"10/14/2021","12,235.2","11,863.0","12,281.7","11,863.0","2.70K","2.33%"
"10/15/2021","11,909.6","12,095.7","12,095.7","11,909.6","26.70K","-2.66%"
"10/18/2021","11,863.0","11,956.1","12,095.7","11,863.0","11.00K","-0.39%"
"10/19/2021","11,816.5","11,863.0","12,188.7","11,816.5","10.20K","-0.39%"
"10/20/2021","11,863.0","12,142.2","12,142.2","11,863.0","7.20K","0.39%"
"10/21/2021","11,909.6","11,956.1","12,002.6","11,723.5","7.80K","0.39%"
"10/22/2021","11,816.5","11,816.5","11,956.1","11,770.0","9.20K","-0.78%"
"10/25/2021","11,863.0","11,816.5","12,002.6","11,723.5","6.80K","0.39%"
"10/26/2021","11,956.1","11,956.1","11,956.1","11,816.5","14.90K","0.78%"
"10/27/2021","12,188.7","12,002.6","12,374.8","12,002.6","33.10K","1.95%"
"10/28/2021","12,188.7","12,467.8","12,467.8","12,188.7","11.80K","0.00%"
"10/29/2021","12,281.7","12,281.7","12,281.7","11,956.1","15.90K","0.76%"
"11/01/2021","11,956.1","11,863.0","12,188.7","11,863.0","37.10K","-2.65%"
"11/02/2021","11,909.6","11,863.0","11,909.6","11,444.4","25.20K","-0.39%"
"11/03/2021","11,816.5","11,816.5","11,909.6","11,723.5","23.70K","-0.78%"
"11/04/2021","11,909.6","11,723.5","11,909.6","11,723.5","15.10K","0.79%"
"11/05/2021","11,909.6","11,723.5","12,002.6","11,723.5","8.00K","0.00%"
"11/08/2021","11,863.0","11,909.6","11,909.6","11,677.0","12.60K","-0.39%"
"11/09/2021","11,816.5","11,909.6","11,909.6","11,630.4","12.80K","-0.39%"
"11/10/2021","11,863.0","11,816.5","11,909.6","11,677.0","31.50K","0.39%"
"11/11/2021","11,909.6","11,863.0","11,909.6","11,723.5","34.80K","0.39%"
"11/12/2021","11,909.6","11,863.0","11,909.6","11,723.5","15.70K","0.00%"
"11/15/2021","12,374.8","11,909.6","12,560.9","11,723.5","81.40K","3.91%"
"11/16/2021","12,095.7","12,281.7","12,281.7","11,909.6","22.30K","-2.26%"
"11/17/2021","11,956.1","12,095.7","12,095.7","11,956.1","4.30K","-1.15%"
"11/18/2021","11,816.5","11,909.6","12,049.1","11,770.0","35.40K","-1.17%"
"11/19/2021","11,816.5","11,816.5","12,002.6","11,770.0","15.60K","0.00%"
"11/22/2021","11,630.4","11,816.5","11,816.5","11,630.4","15.00K","-1.57%"
"11/23/2021","11,583.9","11,444.4","11,630.4","11,444.4","10.50K","-0.40%"
"11/24/2021","11,816.5","11,583.9","11,816.5","11,490.9","12.90K","2.01%"
"11/25/2021","11,630.4","11,630.4","11,677.0","11,630.4","3.60K","-1.57%"
"11/26/2021","11,583.9","11,630.4","11,630.4","11,537.4","13.10K","-0.40%"
"11/29/2021","11,444.4","11,537.4","11,537.4","11,165.2","39.60K","-1.20%"
"11/30/2021","11,444.4","11,444.4","11,537.4","11,165.2","24.50K","0.00%"
"12/01/2021","11,397.8","11,444.4","11,444.4","11,165.2","24.30K","-0.41%"
"12/02/2021","11,630.4","11,444.4","11,677.0","11,444.4","29.20K","2.04%"
"12/03/2021","11,537.4","11,630.4","11,630.4","11,537.4","1.40K","-0.80%"
"12/06/2021","11,258.3","11,165.2","11,490.9","11,165.2","12.00K","-2.42%"
"12/07/2021","11,165.2","11,444.4","11,444.4","11,165.2","7.10K","-0.83%"
"12/08/2021","11,165.2","11,537.4","11,537.4","11,025.7","6.10K","0.00%"
"12/09/2021","11,165.2","10,607.0","11,351.3","10,607.0","5.20K","0.00%"
"12/10/2021","11,165.2","11,165.2","11,444.4","11,072.2","7.00K","0.00%"
"12/13/2021","11,444.4","11,165.2","11,444.4","11,072.2","9.40K","2.50%"
"12/14/2021","11,351.3","11,258.3","11,351.3","11,165.2","9.10K","-0.81%"
"12/15/2021","11,351.3","11,351.3","11,351.3","11,072.2","7.10K","0.00%"
"12/16/2021","11,165.2","11,165.2","11,211.7","11,072.2","10.00K","-1.64%"
"12/17/2021","11,165.2","11,165.2","11,165.2","11,165.2","5.00K","0.00%"
"12/20/2021","11,072.2","11,165.2","11,165.2","10,886.1","9.60K","-0.83%"
"12/21/2021","11,072.2","10,886.1","11,165.2","10,886.1","4.70K","0.00%"
"12/22/2021","11,072.2","11,072.2","11,211.7","10,327.8","18.10K","0.00%"
"12/23/2021","10,932.6","11,072.2","11,072.2","10,793.0","6.00K","-1.26%"
"12/24/2021","11,025.7","10,979.1","11,072.2","10,979.1","6.70K","0.85%"
"12/27/2021","10,886.1","11,072.2","11,165.2","10,793.0","2.80K","-1.27%"
"12/28/2021","11,211.7","10,886.1","11,211.7","10,886.1","13.60K","2.99%"
"12/29/2021","11,211.7","11,211.7","11,211.7","11,072.2","7.30K","0.00%"
"12/30/2021","11,211.7","11,351.3","11,351.3","11,072.2","6.60K","0.00%"
"12/31/2021","11,072.2","11,118.7","11,258.3","11,072.2","9.10K","-1.24%"
