"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,625.0","9,406.3","9,800.0","9,362.5","679.43K","0.92%"
"07/02/2021","9,406.3","9,625.0","9,625.0","9,362.5","1.21M","-2.27%"
"07/05/2021","9,143.8","9,318.8","9,537.5","8,925.0","1.01M","-2.79%"
"07/06/2021","8,575.0","9,275.0","9,275.0","8,575.0","714.97K","-6.22%"
"07/07/2021","8,268.8","8,400.0","8,400.0","7,980.0","952.46K","-3.57%"
"07/08/2021","8,137.5","8,312.5","8,566.3","7,988.8","984.91K","-1.59%"
"07/09/2021","7,962.5","8,093.8","8,268.8","7,962.5","880.80K","-2.15%"
"07/12/2021","8,050.0","7,980.0","8,058.8","7,568.8","894.97K","1.10%"
"07/13/2021","8,050.0","8,268.8","8,268.8","7,831.3","823.77K","0.00%"
"07/14/2021","8,041.3","8,050.0","8,120.0","7,945.0","277.60K","-0.11%"
"07/15/2021","8,225.0","7,901.3","8,312.5","7,901.3","724.91K","2.29%"
"07/16/2021","8,793.8","8,242.5","8,793.8","8,225.0","1.76M","6.91%"
"07/19/2021","8,181.3","8,487.5","8,662.5","8,181.3","870.51K","-6.97%"
"07/20/2021","8,400.0","7,875.0","8,400.0","7,875.0","1.18M","2.67%"
"07/21/2021","8,531.3","8,312.5","8,837.5","8,312.5","792.11K","1.56%"
"07/22/2021","8,881.3","8,531.3","9,056.3","8,312.5","874.40K","4.10%"
"07/23/2021","8,575.0","8,881.3","8,925.0","8,487.5","735.43K","-3.45%"
"07/26/2021","8,618.8","8,050.0","8,618.8","8,050.0","736.46K","0.51%"
"07/27/2021","8,610.0","8,575.0","8,706.3","8,400.0","655.20K","-0.10%"
"07/28/2021","8,618.8","8,575.0","8,925.0","8,575.0","713.94K","0.10%"
"07/29/2021","8,610.0","8,426.3","8,653.8","8,426.3","137.71K","-0.10%"
"07/30/2021","8,496.3","8,618.8","8,618.8","8,408.8","260.23K","-1.32%"
"08/02/2021","8,435.0","8,487.5","8,487.5","8,225.0","304.57K","-0.72%"
"08/03/2021","8,382.5","8,487.5","8,487.5","8,365.0","520.46K","-0.62%"
"08/04/2021","8,470.0","8,417.5","8,627.5","8,373.8","422.74K","1.04%"
"08/05/2021","8,382.5","8,408.8","8,487.5","8,382.5","243.77K","-1.03%"
"08/06/2021","8,435.0","8,417.5","8,531.3","8,417.5","699.20K","0.63%"
"08/09/2021","9,012.5","8,478.8","9,012.5","8,478.8","1.51M","6.85%"
"08/10/2021","9,406.3","9,187.5","9,537.5","9,100.0","1.32M","4.37%"
"08/11/2021","9,056.3","9,406.3","9,406.3","9,012.5","854.63K","-3.72%"
"08/12/2021","9,318.8","8,925.0","9,450.0","8,925.0","1.22M","2.90%"
"08/13/2021","9,931.3","9,362.5","9,931.3","9,362.5","2.48M","6.57%"
"08/16/2021","10,150.0","10,150.0","10,500.0","10,106.3","1.06M","2.20%"
"08/17/2021","9,975.0","10,150.0","10,150.0","9,800.0","1.12M","-1.72%"
"08/18/2021","9,800.0","9,887.5","10,106.3","9,668.8","1.27M","-1.75%"
"08/19/2021","10,456.3","9,800.0","10,456.3","9,800.0","1.12M","6.70%"
"08/20/2021","9,800.0","11,156.3","11,156.3","9,756.3","2.37M","-6.28%"
"08/23/2021","9,800.0","9,712.5","10,193.8","9,712.5","1.61M","0.00%"
"08/24/2021","10,018.8","10,062.5","10,325.0","9,800.0","1.33M","2.23%"
"08/25/2021","10,237.5","10,062.5","10,325.0","9,800.0","938.51K","2.18%"
"08/26/2021","10,062.5","10,237.5","10,587.5","10,018.8","1.28M","-1.71%"
"08/27/2021","10,543.8","9,887.5","10,675.0","9,887.5","988.23K","4.78%"
"08/30/2021","10,937.5","10,762.5","10,981.3","10,631.3","1.20M","3.73%"
"08/31/2021","11,025.0","11,112.5","11,375.0","10,981.3","1.73M","0.80%"
"09/01/2021","10,806.3","11,025.0","11,112.5","10,762.5","1.03M","-1.98%"
"09/06/2021","11,550.0","11,375.0","11,550.0","11,068.8","1.74M","6.88%"
"09/07/2021","10,850.0","11,812.5","11,812.5","10,762.5","1.24M","-6.06%"
"09/08/2021","10,850.0","10,850.0","11,156.3","10,587.5","458.74K","0.00%"
"09/09/2021","11,200.0","10,325.0","11,200.0","10,325.0","996.00K","3.23%"
"09/10/2021","11,112.5","11,637.5","11,637.5","10,981.3","630.06K","-0.78%"
"09/13/2021","11,287.5","11,375.0","11,375.0","11,112.5","1.33M","1.57%"
"09/14/2021","11,025.0","11,375.0","11,375.0","10,937.5","1.13M","-2.33%"
"09/15/2021","11,112.5","10,806.3","11,200.0","10,806.3","980.23K","0.79%"
"09/16/2021","11,856.3","11,112.5","11,856.3","11,112.5","1.33M","6.69%"
"09/17/2021","12,643.8","12,643.8","12,643.8","12,643.8","793.71K","6.64%"
"09/20/2021","13,518.8","13,518.8","13,518.8","12,643.8","3.90M","6.92%"
"09/21/2021","14,437.5","14,000.0","14,437.5","13,562.5","2.59M","6.80%"
"09/22/2021","15,443.8","15,443.8","15,443.8","15,400.0","465.60K","6.97%"
"09/23/2021","14,393.8","16,493.8","16,493.8","14,393.8","2.62M","-6.80%"
"09/24/2021","13,387.5","13,387.5","13,387.5","13,387.5","477.14K","-6.99%"
"09/27/2021","12,468.8","12,468.8","12,468.8","12,468.8","84.80K","-6.86%"
"09/28/2021","11,900.0","11,637.5","12,643.8","11,637.5","2.65M","-4.56%"
"09/29/2021","11,987.5","11,812.5","12,468.8","11,725.0","814.86K","0.74%"
"09/30/2021","12,206.3","12,425.0","12,556.3","12,162.5","798.74K","1.82%"
"10/01/2021","12,775.0","12,075.0","12,862.5","12,075.0","1.29M","4.66%"
"10/04/2021","12,118.8","12,775.0","13,125.0","11,900.0","1.10M","-5.14%"
"10/05/2021","12,293.8","12,075.0","12,425.0","12,075.0","615.77K","1.44%"
"10/06/2021","13,125.0","12,250.0","13,125.0","12,162.5","1.12M","6.76%"
"10/07/2021","12,950.0","13,125.0","13,300.0","12,687.5","669.49K","-1.33%"
"10/08/2021","12,687.5","12,775.0","13,300.0","12,468.8","934.97K","-2.03%"
"10/11/2021","12,600.0","12,775.0","12,950.0","12,512.5","706.29K","-0.69%"
"10/12/2021","12,337.5","12,731.3","12,731.3","12,250.0","955.09K","-2.08%"
"10/13/2021","12,512.5","12,643.8","12,950.0","12,337.5","902.29K","1.42%"
"10/14/2021","12,556.3","12,687.5","12,687.5","12,425.0","815.66K","0.35%"
"10/15/2021","12,381.3","12,687.5","12,687.5","12,381.3","946.51K","-1.39%"
"10/18/2021","12,600.0","12,381.3","12,818.8","12,337.5","761.49K","1.77%"
"10/19/2021","12,600.0","12,512.5","12,643.8","12,381.3","500.80K","0.00%"
"10/20/2021","13,475.0","12,600.0","13,475.0","12,600.0","2.22M","6.94%"
"10/21/2021","13,212.5","13,562.5","13,956.3","13,212.5","756.46K","-1.95%"
"10/22/2021","12,993.8","13,125.0","13,212.5","12,862.5","910.51K","-1.66%"
"10/25/2021","13,256.3","12,993.8","13,562.5","12,687.5","1.39M","2.02%"
"10/26/2021","13,825.0","13,256.3","14,000.0","12,950.0","1.61M","4.29%"
"10/27/2021","13,693.8","14,175.0","14,175.0","13,606.3","1.32M","-0.95%"
"10/28/2021","14,437.5","13,693.8","14,612.5","13,650.0","2.23M","5.43%"
"10/29/2021","14,175.0","14,612.5","14,743.8","14,000.0","1.24M","-1.82%"
"11/01/2021","13,781.3","13,912.5","14,175.0","13,650.0","1.68M","-2.78%"
"11/02/2021","13,912.5","13,737.5","14,437.5","13,475.0","1.72M","0.95%"
"11/03/2021","13,081.3","14,175.0","14,175.0","12,950.0","1.74M","-5.97%"
"11/04/2021","13,300.0","13,081.3","13,650.0","13,037.5","964.23K","1.67%"
"11/05/2021","13,300.0","13,343.8","13,518.8","13,256.3","948.46K","0.00%"
"11/08/2021","13,650.0","13,650.0","13,781.3","13,300.0","2.14M","2.63%"
"11/09/2021","13,868.8","13,912.5","13,912.5","13,475.0","1.69M","1.60%"
"11/10/2021","14,175.0","14,612.5","14,612.5","13,868.8","2.50M","2.21%"
"11/11/2021","14,700.0","14,043.8","14,875.0","13,912.5","2.64M","3.70%"
"11/12/2021","14,568.8","15,050.0","15,137.5","14,525.0","2.18M","-0.89%"
"11/15/2021","14,525.0","14,875.0","14,875.0","14,306.3","3.56M","-0.30%"
"11/16/2021","14,043.8","14,700.0","14,700.0","13,825.0","1.42M","-3.31%"
"11/17/2021","15,006.3","14,175.0","15,006.3","14,000.0","2.23M","6.85%"
"11/18/2021","16,056.3","16,056.3","16,056.3","16,056.3","1.04M","7.00%"
"11/19/2021","15,312.5","16,931.3","16,931.3","14,962.5","3.96M","-4.63%"
"11/22/2021","14,612.5","15,050.0","15,575.0","14,437.5","2.07M","-4.57%"
"11/23/2021","15,225.0","14,525.0","15,268.8","14,525.0","1.36M","4.19%"
"11/24/2021","15,137.5","15,618.8","15,618.8","15,137.5","1.06M","-0.57%"
"11/25/2021","15,006.3","14,875.0","15,312.5","14,831.3","927.31K","-0.87%"
"11/26/2021","14,787.5","15,050.0","15,575.0","14,612.5","1.11M","-1.46%"
"11/29/2021","14,875.0","14,350.0","14,875.0","14,350.0","804.34K","0.59%"
"11/30/2021","15,006.3","14,918.8","15,487.5","14,875.0","1.53M","0.88%"
"12/01/2021","15,225.0","14,875.0","15,268.8","14,875.0","623.89K","1.46%"
"12/02/2021","16,275.0","15,312.5","16,275.0","15,093.8","2.65M","6.90%"
"12/03/2021","15,487.5","16,537.5","16,537.5","15,487.5","1.38M","-4.84%"
"12/06/2021","15,137.5","15,487.5","16,012.5","15,093.8","1.22M","-2.26%"
"12/07/2021","15,443.8","15,662.5","15,662.5","15,137.5","877.71K","2.02%"
"12/08/2021","15,268.8","15,137.5","15,575.0","15,137.5","742.51K","-1.13%"
"12/09/2021","15,443.8","15,137.5","15,662.5","15,137.5","638.51K","1.15%"
"12/10/2021","15,443.8","15,575.0","15,706.3","15,225.0","504.11K","0.00%"
"12/13/2021","16,100.0","15,575.0","16,143.8","15,575.0","1.36M","4.25%"
"12/14/2021","15,750.0","16,187.5","16,187.5","15,662.5","877.26K","-2.17%"
"12/15/2021","15,968.8","15,750.0","16,406.3","15,750.0","1.49M","1.39%"
"12/16/2021","16,275.0","16,012.5","16,450.0","15,925.0","956.00K","1.92%"
"12/17/2021","16,100.0","16,406.3","16,537.5","15,925.0","639.77K","-1.08%"
"12/20/2021","15,531.3","15,925.0","16,187.5","15,487.5","948.34K","-3.53%"
"12/21/2021","15,400.0","15,487.5","15,837.5","14,962.5","1.49M","-0.85%"
"12/22/2021","16,056.3","15,750.0","16,275.0","15,268.8","1.20M","4.26%"
"12/23/2021","16,056.3","16,143.8","16,450.0","15,618.8","1.21M","0.00%"
"12/24/2021","15,837.5","15,925.0","16,187.5","15,750.0","903.31K","-1.36%"
"12/27/2021","15,750.0","15,662.5","15,925.0","15,575.0","534.17K","-0.55%"
"12/28/2021","15,662.5","15,662.5","16,187.5","15,575.0","868.80K","-0.56%"
"12/29/2021","15,662.5","15,662.5","15,925.0","15,575.0","527.43K","0.00%"
"12/30/2021","15,881.3","15,750.0","16,012.5","15,531.3","746.97K","1.40%"
"12/31/2021","15,618.8","16,187.5","16,187.5","15,618.8","585.26K","-1.65%"
