"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","55,500.0","54,900.0","56,000.0","54,000.0","2.31M","1.28%"
"07/02/2021","55,400.0","56,200.0","56,300.0","55,300.0","1.27M","-0.18%"
"07/05/2021","54,500.0","55,400.0","55,700.0","53,800.0","2.15M","-1.62%"
"07/06/2021","51,700.0","55,500.0","55,500.0","51,700.0","1.96M","-5.14%"
"07/07/2021","53,200.0","51,700.0","53,200.0","51,000.0","2.29M","2.90%"
"07/08/2021","52,300.0","52,100.0","53,000.0","51,900.0","1.59M","-1.69%"
"07/09/2021","50,800.0","51,800.0","52,900.0","49,800.0","2.49M","-2.87%"
"07/12/2021","49,650.0","51,100.0","51,100.0","48,300.0","2.70M","-2.26%"
"07/13/2021","51,000.0","50,000.0","51,200.0","49,850.0","1.20M","2.72%"
"07/14/2021","50,900.0","51,300.0","51,800.0","50,100.0","1.16M","-0.20%"
"07/15/2021","50,900.0","50,200.0","51,400.0","50,100.0","1.03M","0.00%"
"07/16/2021","51,100.0","51,000.0","51,500.0","50,900.0","1.04M","0.39%"
"07/19/2021","49,000.0","49,500.0","50,100.0","48,500.0","1.31M","-4.11%"
"07/20/2021","49,350.0","48,800.0","49,400.0","47,800.0","1.88M","0.71%"
"07/21/2021","50,000.0","50,000.0","50,500.0","49,750.0","1.13M","1.32%"
"07/22/2021","50,900.0","50,000.0","51,200.0","50,000.0","784.10K","1.80%"
"07/23/2021","50,200.0","50,600.0","50,900.0","50,100.0","1.00M","-1.38%"
"07/26/2021","49,900.0","49,600.0","50,000.0","49,300.0","1.07M","-0.60%"
"07/27/2021","50,300.0","50,500.0","50,900.0","50,000.0","975.00K","0.80%"
"07/28/2021","50,500.0","50,200.0","50,800.0","50,000.0","464.60K","0.40%"
"07/29/2021","51,000.0","50,500.0","51,000.0","49,950.0","1.72M","0.99%"
"07/30/2021","51,300.0","51,200.0","51,700.0","50,800.0","1.31M","0.59%"
"08/02/2021","51,500.0","51,500.0","52,000.0","51,100.0","872.30K","0.39%"
"08/03/2021","51,200.0","51,500.0","51,600.0","50,900.0","1.24M","-0.58%"
"08/04/2021","52,300.0","51,500.0","52,900.0","51,000.0","2.07M","2.15%"
"08/05/2021","52,400.0","52,400.0","52,900.0","51,900.0","806.90K","0.19%"
"08/06/2021","52,900.0","52,800.0","53,300.0","52,600.0","1.72M","0.95%"
