"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,100.0","18,100.0","18,100.0","18,100.0","0.10K","0.00%"
"07/02/2021","17,500.0","18,100.0","18,100.0","17,500.0","6.40K","-3.31%"
"07/05/2021","17,350.0","17,500.0","17,500.0","17,350.0","0.90K","-0.86%"
"07/06/2021","16,500.0","17,350.0","17,350.0","16,150.0","2.40K","-4.90%"
"07/07/2021","16,450.0","16,450.0","16,450.0","16,450.0","0.20K","-0.30%"
"07/08/2021","16,100.0","16,450.0","16,450.0","15,800.0","5.70K","-2.13%"
"07/09/2021","15,500.0","16,100.0","16,400.0","15,000.0","4.50K","-3.73%"
"07/12/2021","15,200.0","15,500.0","15,500.0","15,200.0","1.00K","-1.94%"
"07/13/2021","15,400.0","15,000.0","15,400.0","14,500.0","1.40K","1.32%"
"07/14/2021","15,200.0","15,350.0","15,350.0","15,100.0","1.60K","-1.30%"
"07/15/2021","15,200.0","15,200.0","15,200.0","15,200.0","0.10K","0.00%"
"07/16/2021","14,700.0","15,100.0","15,100.0","14,700.0","2.90K","-3.29%"
"07/19/2021","14,200.0","14,700.0","14,700.0","14,200.0","2.20K","-3.40%"
"07/20/2021","14,200.0","14,200.0","14,200.0","14,200.0","2.30K","0.00%"
"07/21/2021","13,900.0","14,200.0","14,200.0","13,900.0","1.30K","-2.11%"
"07/22/2021","14,500.0","13,900.0","14,500.0","13,900.0","1.00K","4.32%"
"07/23/2021","14,600.0","14,500.0","14,700.0","14,500.0","5.50K","0.69%"
"07/26/2021","14,500.0","14,600.0","14,600.0","14,500.0","0.20K","-0.68%"
"07/27/2021","14,600.0","14,600.0","14,600.0","14,600.0","0.60K","0.69%"
"07/28/2021","14,350.0","14,600.0","14,600.0","14,350.0","0.60K","-1.71%"
"07/29/2021","14,200.0","14,400.0","14,400.0","14,200.0","2.10K","-1.05%"
"07/30/2021","13,800.0","14,200.0","14,200.0","13,300.0","6.60K","-2.82%"
"08/02/2021","14,200.0","13,900.0","14,200.0","13,900.0","0.90K","2.90%"
"08/03/2021","14,100.0","14,200.0","14,300.0","14,100.0","2.20K","-0.70%"
"08/04/2021","14,200.0","14,100.0","14,200.0","13,600.0","3.00K","0.71%"
"08/05/2021","13,900.0","14,100.0","14,100.0","13,900.0","0.90K","-2.11%"
"08/06/2021","13,900.0","14,000.0","14,100.0","13,900.0","2.10K","0.00%"
"08/09/2021","14,000.0","13,900.0","14,000.0","13,900.0","1.90K","0.72%"
"08/10/2021","14,000.0","14,000.0","14,000.0","13,900.0","2.50K","0.00%"
"08/11/2021","14,950.0","14,000.0","14,950.0","13,900.0","7.20K","6.79%"
"08/12/2021","15,950.0","14,950.0","15,950.0","14,950.0","1.90K","6.69%"
"08/13/2021","17,050.0","17,050.0","17,050.0","17,050.0","4.20K","6.90%"
"08/16/2021","18,150.0","18,200.0","18,200.0","18,150.0","32.40K","6.45%"
"08/17/2021","17,800.0","18,200.0","19,350.0","17,800.0","9.50K","-1.93%"
"08/18/2021","17,200.0","17,700.0","17,700.0","17,000.0","3.40K","-3.37%"
"08/19/2021","16,700.0","17,050.0","17,050.0","16,200.0","7.50K","-2.91%"
"08/20/2021","15,900.0","15,700.0","16,800.0","15,600.0","4.70K","-4.79%"
"08/23/2021","16,500.0","16,000.0","16,700.0","16,000.0","4.50K","3.77%"
"08/24/2021","16,000.0","16,100.0","16,100.0","16,000.0","0.30K","-3.03%"
"08/25/2021","16,100.0","15,900.0","16,100.0","15,400.0","1.80K","0.63%"
"08/26/2021","16,000.0","16,000.0","16,000.0","16,000.0","0.50K","-0.62%"
"08/27/2021","16,200.0","16,000.0","16,200.0","16,000.0","1.00K","1.25%"
"08/30/2021","16,200.0","16,200.0","16,200.0","16,100.0","1.30K","0.00%"
"08/31/2021","16,000.0","16,000.0","16,200.0","15,400.0","3.60K","-1.23%"
"09/01/2021","16,000.0","16,000.0","16,000.0","15,900.0","0.40K","0.00%"
"09/06/2021","16,000.0","16,000.0","16,000.0","15,000.0","3.10K","0.00%"
"09/07/2021","15,700.0","16,000.0","16,000.0","15,500.0","1.50K","-1.88%"
"09/08/2021","15,700.0","15,700.0","15,700.0","15,600.0","0.40K","0.00%"
"09/09/2021","15,800.0","15,600.0","15,800.0","15,600.0","2.50K","0.64%"
"09/10/2021","15,600.0","15,800.0","15,800.0","15,600.0","0.40K","-1.27%"
"09/13/2021","15,500.0","15,600.0","15,600.0","15,500.0","0.70K","-0.64%"
"09/14/2021","15,500.0","15,600.0","15,800.0","15,500.0","0.80K","0.00%"
"09/15/2021","16,550.0","15,600.0","16,550.0","15,600.0","3.90K","6.77%"
"09/16/2021","16,700.0","16,600.0","17,300.0","16,550.0","4.40K","0.91%"
"09/17/2021","16,600.0","16,700.0","16,700.0","16,500.0","1.20K","-0.60%"
"09/20/2021","16,600.0","16,600.0","16,600.0","16,400.0","2.00K","0.00%"
"09/21/2021","16,400.0","16,600.0","16,600.0","16,300.0","5.40K","-1.20%"
"09/22/2021","16,400.0","16,400.0","16,400.0","16,300.0","2.30K","0.00%"
"09/23/2021","16,100.0","16,400.0","16,400.0","16,100.0","1.50K","-1.83%"
"09/24/2021","15,400.0","16,000.0","16,000.0","15,400.0","8.80K","-4.35%"
"09/27/2021","15,400.0","15,400.0","15,400.0","15,400.0","3.00K","0.00%"
"09/28/2021","16,000.0","15,500.0","16,000.0","15,400.0","2.20K","3.90%"
"09/29/2021","15,600.0","16,000.0","16,000.0","15,600.0","0.80K","-2.50%"
"09/30/2021","15,900.0","15,600.0","15,900.0","15,600.0","1.50K","1.92%"
"10/01/2021","16,800.0","15,900.0","16,900.0","15,900.0","9.40K","5.66%"
