"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2021","9,600.0","9,600.0","9,600.0","9,600.0","1.10K","0.00%"
"07/07/2021","9,120.0","9,120.0","9,120.0","9,120.0","0.20K","-5.00%"
"07/09/2021","9,010.0","9,010.0","9,010.0","9,010.0","0.10K","-1.21%"
"07/12/2021","9,100.0","9,010.0","9,100.0","9,010.0","0.20K","1.00%"
"07/13/2021","9,200.0","9,200.0","9,200.0","9,200.0","0.10K","1.10%"
"07/14/2021","9,300.0","9,300.0","9,300.0","9,300.0","0.10K","1.09%"
"07/16/2021","9,400.0","9,400.0","9,400.0","9,400.0","0.20K","1.08%"
"07/19/2021","9,400.0","9,400.0","9,400.0","9,400.0","0.10K","0.00%"
"07/22/2021","8,750.0","9,010.0","9,010.0","8,750.0","1.20K","-6.91%"
"07/23/2021","8,800.0","8,800.0","8,800.0","8,800.0","0.20K","0.57%"
"07/27/2021","8,550.0","8,550.0","8,550.0","8,550.0","0.60K","-2.84%"
"07/28/2021","8,500.0","8,550.0","8,600.0","8,500.0","3.10K","-0.58%"
"07/30/2021","8,800.0","8,800.0","8,800.0","8,800.0","0.10K","3.53%"
"08/03/2021","9,410.0","9,410.0","9,410.0","9,410.0","0.10K","6.93%"
"08/04/2021","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","6.27%"
"08/06/2021","10,200.0","10,100.0","10,200.0","10,100.0","0.50K","2.00%"
"08/11/2021","9,600.0","9,600.0","9,600.0","9,600.0","0.10K","-5.88%"
"08/12/2021","9,600.0","9,900.0","9,900.0","9,600.0","0.20K","0.00%"
"08/24/2021","9,500.0","9,500.0","9,500.0","9,500.0","0.10K","-1.04%"
"08/30/2021","9,500.0","9,500.0","9,500.0","9,500.0","2.10K","0.00%"
"09/07/2021","9,500.0","9,000.0","9,500.0","9,000.0","0.70K","0.00%"
"09/09/2021","9,500.0","9,500.0","9,500.0","9,500.0","0.10K","0.00%"
"09/13/2021","9,500.0","9,400.0","9,500.0","9,400.0","0.50K","0.00%"
"09/15/2021","9,600.0","9,600.0","9,600.0","9,600.0","0.80K","1.05%"
"09/16/2021","9,600.0","10,000.0","10,000.0","9,600.0","2.80K","0.00%"
"09/21/2021","9,730.0","9,500.0","9,730.0","9,500.0","0.80K","1.35%"
"09/22/2021","9,800.0","9,750.0","9,800.0","9,750.0","1.60K","0.72%"
"09/23/2021","9,400.0","10,200.0","10,200.0","9,400.0","1.90K","-4.08%"
"09/27/2021","9,000.0","9,020.0","9,020.0","9,000.0","1.00K","-4.26%"
"09/28/2021","9,100.0","9,100.0","9,100.0","9,100.0","1.30K","1.11%"
"09/29/2021","9,000.0","9,000.0","9,100.0","9,000.0","0.40K","-1.10%"
"09/30/2021","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","0.00%"
"10/04/2021","9,000.0","8,370.0","9,010.0","8,370.0","1.20K","0.00%"
"10/05/2021","8,430.0","8,440.0","8,440.0","8,430.0","0.50K","-6.33%"
"10/06/2021","9,020.0","8,500.0","9,020.0","8,500.0","0.90K","7.00%"
"10/07/2021","9,300.0","9,030.0","9,300.0","9,030.0","0.20K","3.10%"
"10/11/2021","9,100.0","9,000.0","9,100.0","9,000.0","0.50K","-2.15%"
"10/12/2021","9,020.0","9,020.0","9,020.0","9,020.0","0.10K","-0.88%"
"10/13/2021","9,190.0","9,190.0","9,190.0","9,190.0","0.50K","1.88%"
"10/14/2021","9,200.0","9,200.0","9,200.0","9,200.0","0.20K","0.11%"
