"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,250.0","17,600.0","17,600.0","17,000.0","251.10K","-1.15%"
"07/02/2021","16,700.0","17,150.0","17,200.0","16,050.0","531.70K","-3.19%"
"07/05/2021","16,400.0","16,250.0","16,700.0","16,250.0","356.90K","-1.80%"
"07/06/2021","16,350.0","16,900.0","16,900.0","16,350.0","279.10K","-0.30%"
"07/07/2021","16,050.0","16,350.0","16,350.0","15,600.0","256.40K","-1.83%"
"07/08/2021","15,650.0","16,050.0","16,300.0","15,500.0","222.90K","-2.49%"
"07/09/2021","14,900.0","15,500.0","15,650.0","14,800.0","233.50K","-4.79%"
"07/12/2021","13,900.0","14,150.0","14,400.0","13,900.0","227.50K","-6.71%"
"07/13/2021","14,000.0","14,400.0","14,400.0","13,850.0","206.90K","0.72%"
"07/14/2021","14,000.0","13,850.0","14,500.0","13,700.0","212.10K","0.00%"
"07/15/2021","14,200.0","13,800.0","14,200.0","13,800.0","102.00K","1.43%"
"07/16/2021","14,200.0","14,400.0","14,650.0","14,200.0","122.80K","0.00%"
"07/19/2021","13,250.0","14,000.0","14,100.0","13,250.0","280.70K","-6.69%"
"07/20/2021","13,500.0","13,000.0","13,800.0","12,900.0","188.50K","1.89%"
"07/21/2021","13,500.0","13,800.0","14,100.0","13,450.0","167.60K","0.00%"
"07/22/2021","13,650.0","13,400.0","13,700.0","13,300.0","94.90K","1.11%"
"07/23/2021","13,400.0","13,300.0","13,650.0","13,300.0","186.10K","-1.83%"
"07/26/2021","13,000.0","12,800.0","13,250.0","12,600.0","186.60K","-2.99%"
"07/27/2021","13,400.0","13,100.0","13,500.0","13,000.0","110.10K","3.08%"
"07/28/2021","13,400.0","13,400.0","13,500.0","13,200.0","86.50K","0.00%"
"07/29/2021","13,500.0","13,400.0","13,600.0","13,350.0","98.40K","0.75%"
"07/30/2021","13,650.0","13,550.0","13,700.0","13,400.0","180.40K","1.11%"
"08/02/2021","14,000.0","13,600.0","14,200.0","13,500.0","340.60K","2.56%"
"08/03/2021","13,900.0","14,200.0","14,500.0","13,900.0","322.00K","-0.71%"
"08/04/2021","14,100.0","13,900.0","14,250.0","13,900.0","156.80K","1.44%"
"08/05/2021","14,250.0","14,000.0","14,450.0","13,900.0","264.00K","1.06%"
"08/06/2021","15,000.0","14,450.0","15,000.0","14,200.0","507.50K","5.26%"
"08/09/2021","15,000.0","14,900.0","15,000.0","14,650.0","183.00K","0.00%"
"08/10/2021","15,250.0","15,000.0","15,800.0","15,000.0","249.00K","1.67%"
"08/11/2021","14,900.0","15,250.0","15,250.0","14,900.0","429.10K","-2.30%"
"08/12/2021","14,750.0","14,100.0","14,850.0","14,100.0","241.40K","-1.01%"
"08/13/2021","14,550.0","14,650.0","14,700.0","14,300.0","236.60K","-1.36%"
"08/16/2021","14,900.0","14,600.0","14,900.0","14,600.0","295.90K","2.41%"
"08/17/2021","15,900.0","15,000.0","15,900.0","15,000.0","1.03M","6.71%"
"08/18/2021","16,850.0","16,900.0","16,900.0","16,250.0","842.50K","5.97%"
"08/19/2021","17,200.0","17,000.0","17,500.0","17,000.0","408.90K","2.08%"
"08/20/2021","16,000.0","17,000.0","17,200.0","16,000.0","1.16M","-6.98%"
"08/23/2021","15,250.0","15,700.0","15,700.0","15,100.0","355.80K","-4.69%"
"08/24/2021","15,550.0","15,050.0","15,850.0","15,050.0","190.20K","1.97%"
"08/25/2021","16,400.0","15,600.0","16,500.0","15,300.0","273.60K","5.47%"
"08/26/2021","16,000.0","16,500.0","17,000.0","16,000.0","228.70K","-2.44%"
"08/27/2021","16,100.0","16,000.0","16,200.0","15,600.0","188.60K","0.63%"
"08/30/2021","16,900.0","16,200.0","17,000.0","16,000.0","686.30K","4.97%"
"08/31/2021","16,800.0","17,000.0","17,200.0","16,600.0","606.60K","-0.59%"
"09/01/2021","16,650.0","16,800.0","16,800.0","16,500.0","388.00K","-0.89%"
"09/06/2021","17,400.0","16,300.0","17,400.0","16,300.0","791.90K","4.50%"
"09/07/2021","17,000.0","17,700.0","17,950.0","17,000.0","862.40K","-2.30%"
"09/08/2021","16,900.0","16,850.0","17,300.0","16,850.0","374.60K","-0.59%"
"09/09/2021","17,200.0","16,900.0","17,500.0","16,700.0","720.60K","1.78%"
"09/10/2021","17,000.0","17,200.0","17,500.0","16,900.0","292.70K","-1.16%"
"09/13/2021","16,600.0","17,000.0","17,200.0","16,600.0","299.90K","-2.35%"
"09/14/2021","16,200.0","16,150.0","16,550.0","16,000.0","591.80K","-2.41%"
"09/15/2021","17,300.0","16,200.0","17,300.0","15,850.0","612.10K","6.79%"
"09/16/2021","17,250.0","17,900.0","17,900.0","17,000.0","523.10K","-0.29%"
"09/17/2021","17,250.0","17,100.0","17,600.0","16,900.0","558.50K","0.00%"
"09/20/2021","16,950.0","17,250.0","17,300.0","16,700.0","395.40K","-1.74%"
"09/21/2021","16,800.0","16,500.0","17,000.0","16,100.0","401.30K","-0.88%"
"09/22/2021","17,100.0","16,900.0","17,200.0","16,800.0","407.80K","1.79%"
"09/23/2021","16,900.0","17,200.0","17,300.0","16,650.0","256.20K","-1.17%"
"09/24/2021","16,500.0","17,000.0","17,000.0","16,500.0","187.70K","-2.37%"
"09/27/2021","16,000.0","16,500.0","16,650.0","16,000.0","318.00K","-3.03%"
"09/28/2021","16,700.0","15,800.0","16,700.0","15,800.0","222.00K","4.38%"
"09/29/2021","16,550.0","16,700.0","16,800.0","16,300.0","148.70K","-0.90%"
"09/30/2021","16,550.0","16,900.0","17,000.0","16,500.0","162.40K","0.00%"
"10/01/2021","16,450.0","16,550.0","16,850.0","16,100.0","201.30K","-0.60%"
"10/04/2021","17,350.0","16,650.0","17,400.0","16,650.0","772.20K","5.47%"
"10/05/2021","17,150.0","17,700.0","17,700.0","17,050.0","353.60K","-1.15%"
"10/06/2021","17,500.0","17,150.0","17,500.0","17,150.0","507.00K","2.04%"
"10/07/2021","18,250.0","17,700.0","18,500.0","17,700.0","1.18M","4.29%"
"10/08/2021","18,000.0","18,250.0","18,450.0","17,900.0","409.10K","-1.37%"
"10/11/2021","18,050.0","18,100.0","18,200.0","17,900.0","476.70K","0.28%"
"10/12/2021","17,750.0","18,100.0","18,100.0","17,500.0","551.00K","-1.66%"
"10/13/2021","17,600.0","17,850.0","17,950.0","17,400.0","416.70K","-0.85%"
"10/14/2021","17,900.0","17,600.0","18,050.0","17,500.0","436.20K","1.70%"
"10/15/2021","18,400.0","17,900.0","18,600.0","17,900.0","984.20K","2.79%"
"10/18/2021","18,500.0","18,500.0","19,000.0","18,350.0","731.80K","0.54%"
"10/19/2021","18,200.0","18,500.0","18,500.0","18,150.0","437.40K","-1.62%"
"10/20/2021","18,200.0","18,200.0","18,300.0","18,000.0","373.70K","0.00%"
"10/21/2021","18,350.0","18,200.0","18,500.0","18,200.0","434.80K","0.82%"
"10/22/2021","18,200.0","18,400.0","18,700.0","18,150.0","258.70K","-0.82%"
"10/25/2021","17,500.0","17,500.0","18,100.0","17,500.0","430.00K","-3.85%"
"10/26/2021","17,300.0","17,500.0","17,500.0","16,500.0","525.30K","-1.14%"
"10/27/2021","17,300.0","17,300.0","17,450.0","17,100.0","727.20K","0.00%"
"10/28/2021","17,700.0","17,300.0","17,700.0","17,000.0","594.60K","2.31%"
"10/29/2021","17,400.0","17,950.0","17,950.0","17,300.0","412.40K","-1.69%"
"11/01/2021","17,150.0","17,400.0","17,500.0","17,050.0","476.00K","-1.44%"
"11/02/2021","17,050.0","16,900.0","17,150.0","16,900.0","751.70K","-0.58%"
"11/03/2021","16,850.0","17,050.0","17,200.0","16,850.0","614.70K","-1.17%"
"11/04/2021","17,000.0","16,850.0","17,400.0","16,600.0","332.90K","0.89%"
"11/05/2021","17,150.0","17,200.0","17,200.0","16,850.0","333.10K","0.88%"
"11/08/2021","17,050.0","17,150.0","17,200.0","16,950.0","398.50K","-0.58%"
"11/09/2021","16,900.0","17,100.0","17,100.0","16,900.0","404.80K","-0.88%"
"11/10/2021","16,800.0","16,900.0","16,900.0","16,700.0","445.90K","-0.59%"
"11/11/2021","16,600.0","16,800.0","16,800.0","16,450.0","478.50K","-1.19%"
"11/12/2021","16,850.0","16,650.0","16,950.0","16,600.0","321.10K","1.51%"
"11/15/2021","16,750.0","17,000.0","17,000.0","16,700.0","404.20K","-0.59%"
"11/16/2021","16,650.0","16,750.0","16,800.0","16,500.0","459.60K","-0.60%"
"11/17/2021","16,450.0","16,600.0","16,800.0","16,450.0","422.60K","-1.20%"
"11/18/2021","15,950.0","16,500.0","16,500.0","15,900.0","861.40K","-3.04%"
"11/19/2021","15,200.0","15,500.0","15,600.0","15,100.0","688.70K","-4.70%"
"11/22/2021","15,500.0","15,000.0","15,700.0","15,000.0","335.50K","1.97%"
"11/23/2021","15,500.0","15,500.0","15,500.0","15,100.0","213.80K","0.00%"
"11/24/2021","15,350.0","15,550.0","15,550.0","15,300.0","249.00K","-0.97%"
"11/25/2021","15,400.0","15,350.0","15,500.0","15,300.0","310.60K","0.33%"
"11/26/2021","15,850.0","15,400.0","15,900.0","15,350.0","778.80K","2.92%"
"11/29/2021","16,250.0","15,800.0","16,300.0","15,650.0","802.30K","2.52%"
"11/30/2021","16,100.0","16,250.0","16,250.0","16,100.0","334.70K","-0.92%"
"12/01/2021","15,750.0","16,100.0","16,100.0","15,600.0","457.10K","-2.17%"
"12/02/2021","15,550.0","15,750.0","15,750.0","15,450.0","274.70K","-1.27%"
"12/03/2021","15,250.0","15,550.0","15,700.0","15,250.0","354.20K","-1.93%"
"12/06/2021","14,300.0","15,100.0","15,300.0","14,300.0","346.60K","-6.23%"
"12/07/2021","14,750.0","14,350.0","14,800.0","14,350.0","126.60K","3.15%"
"12/08/2021","14,750.0","15,100.0","15,200.0","14,600.0","185.70K","0.00%"
"12/09/2021","14,800.0","14,750.0","15,000.0","14,700.0","115.40K","0.34%"
"12/10/2021","14,800.0","14,700.0","15,000.0","14,500.0","127.90K","0.00%"
"12/13/2021","14,950.0","15,000.0","15,000.0","14,900.0","193.80K","1.01%"
"12/14/2021","15,950.0","14,950.0","15,950.0","14,850.0","769.70K","6.69%"
"12/15/2021","15,700.0","15,950.0","15,950.0","15,600.0","283.70K","-1.57%"
"12/16/2021","15,300.0","16,000.0","16,000.0","15,200.0","249.70K","-2.55%"
"12/17/2021","14,850.0","15,000.0","15,200.0","14,850.0","469.10K","-2.94%"
"12/20/2021","14,900.0","14,800.0","15,100.0","14,800.0","142.30K","0.34%"
