"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,901.6","11,852.5","11,950.8","11,754.1","7.81M","0.41%"
"07/02/2021","11,803.3","11,901.6","12,000.0","11,803.3","6.40M","-0.83%"
"07/05/2021","11,508.2","11,754.1","11,803.3","11,459.0","15.56M","-2.50%"
"07/06/2021","11,262.3","11,557.4","11,655.7","11,262.3","10.71M","-2.14%"
"07/07/2021","11,213.1","11,262.3","11,409.8","11,016.4","10.78M","-0.44%"
"07/08/2021","11,163.9","11,213.1","11,360.7","11,114.8","6.72M","-0.44%"
"07/09/2021","10,623.0","11,114.8","11,114.8","10,623.0","12.82M","-4.85%"
"07/12/2021","9,983.6","10,623.0","10,672.1","9,885.3","17.74M","-6.02%"
"07/13/2021","10,377.1","10,032.8","10,377.1","9,934.4","10.77M","3.94%"
"07/14/2021","10,278.7","10,426.2","10,524.6","10,180.3","6.47M","-0.95%"
"07/15/2021","10,524.6","10,278.7","10,524.6","10,131.2","5.83M","2.39%"
"07/16/2021","10,426.2","10,524.6","10,524.6","10,327.9","5.73M","-0.93%"
"07/19/2021","9,934.4","10,131.2","10,229.5","9,816.4","11.01M","-4.72%"
"07/20/2021","10,131.2","10,032.8","10,131.2","9,885.3","7.53M","1.98%"
"07/21/2021","10,082.0","10,131.2","10,229.5","10,032.8","4.32M","-0.49%"
"07/22/2021","10,180.3","10,131.2","10,327.9","10,032.8","8.91M","0.98%"
"07/23/2021","10,327.9","10,229.5","10,573.8","10,229.5","12.22M","1.45%"
"07/26/2021","10,327.9","10,229.5","10,377.1","10,180.3","3.88M","0.00%"
"07/27/2021","10,623.0","10,426.2","10,770.5","10,377.1","11.30M","2.86%"
"07/28/2021","10,426.2","10,524.6","10,623.0","10,426.2","5.32M","-1.85%"
"07/29/2021","10,475.4","10,524.6","10,524.6","10,377.1","4.55M","0.47%"
"07/30/2021","10,524.6","10,475.4","10,623.0","10,377.1","8.00M","0.47%"
"08/02/2021","10,573.8","10,524.6","10,721.3","10,475.4","8.17M","0.47%"
"08/03/2021","10,623.0","10,623.0","10,672.1","10,524.6","5.28M","0.47%"
"08/04/2021","10,672.1","10,623.0","10,770.5","10,573.8","7.26M","0.46%"
"08/05/2021","10,623.0","10,623.0","10,721.3","10,524.6","5.15M","-0.46%"
"08/06/2021","10,819.7","10,623.0","11,016.4","10,573.8","13.38M","1.85%"
"08/09/2021","10,967.2","10,868.9","11,016.4","10,721.3","6.61M","1.36%"
"08/10/2021","11,065.6","11,016.4","11,213.1","10,967.2","8.71M","0.90%"
"08/11/2021","11,262.3","11,065.6","11,557.4","11,016.4","14.09M","1.78%"
"08/12/2021","11,163.9","11,311.5","11,360.7","11,163.9","7.89M","-0.87%"
"08/13/2021","11,114.8","11,114.8","11,262.3","10,918.0","9.94M","-0.44%"
"08/16/2021","11,262.3","11,114.8","11,360.7","11,114.8","9.43M","1.33%"
"08/17/2021","11,163.9","11,311.5","11,311.5","11,114.8","6.58M","-0.87%"
"08/18/2021","11,213.1","11,163.9","11,262.3","11,065.6","7.35M","0.44%"
"08/19/2021","11,163.9","11,213.1","11,213.1","11,065.6","6.79M","-0.44%"
"08/20/2021","10,721.3","11,163.9","11,213.1","10,573.8","15.37M","-3.96%"
"08/23/2021","10,377.1","10,672.1","10,721.3","10,377.1","8.65M","-3.21%"
"08/24/2021","10,377.1","10,426.2","10,573.8","10,229.5","9.74M","0.00%"
"08/25/2021","11,065.6","10,475.4","11,065.6","10,377.1","13.85M","6.63%"
"08/26/2021","11,163.9","11,409.8","11,459.0","11,016.4","11.87M","0.89%"
"08/27/2021","11,704.9","11,065.6","11,803.3","10,868.9","26.37M","4.85%"
"08/30/2021","11,754.1","11,803.3","12,000.0","11,655.7","13.10M","0.42%"
"08/31/2021","11,655.7","11,754.1","11,803.3","11,557.4","9.51M","-0.84%"
"09/01/2021","12,245.9","11,557.4","12,245.9","11,508.2","29.63M","5.06%"
"09/06/2021","12,196.7","12,295.1","12,541.0","12,147.5","14.45M","-0.40%"
"09/07/2021","11,852.5","12,196.7","12,295.1","11,852.5","14.86M","-2.82%"
"09/08/2021","11,704.9","11,803.3","12,000.0","11,655.7","12.09M","-1.25%"
"09/09/2021","11,901.6","11,754.1","12,147.5","11,655.7","9.60M","1.68%"
"09/10/2021","11,901.6","11,852.5","12,147.5","11,852.5","7.82M","0.00%"
"09/13/2021","11,655.7","11,901.6","11,950.8","11,655.7","10.40M","-2.07%"
"09/14/2021","11,311.5","11,606.6","11,803.3","11,262.3","15.83M","-2.95%"
"09/15/2021","11,606.6","11,311.5","11,655.7","11,311.5","6.17M","2.61%"
"09/16/2021","11,606.6","11,655.7","11,704.9","11,459.0","6.02M","0.00%"
"09/17/2021","11,557.4","11,704.9","11,950.8","11,508.2","15.58M","-0.42%"
"09/20/2021","11,557.4","11,754.1","11,803.3","11,508.2","9.92M","0.00%"
"09/21/2021","11,459.0","11,409.8","11,557.4","11,311.5","10.08M","-0.85%"
"09/22/2021","11,606.6","11,508.2","11,655.7","11,360.7","9.70M","1.29%"
"09/23/2021","11,557.4","11,754.1","11,754.1","11,557.4","7.63M","-0.42%"
"09/24/2021","11,409.8","11,606.6","11,606.6","11,409.8","7.78M","-1.28%"
"09/27/2021","11,360.7","11,459.0","11,704.9","11,360.7","9.43M","-0.43%"
"09/28/2021","11,557.4","11,360.7","11,606.6","11,262.3","7.28M","1.73%"
"09/29/2021","12,000.0","11,557.4","12,196.7","11,557.4","31.39M","3.83%"
"09/30/2021","11,950.0","12,200.0","12,250.0","11,850.0","9.28M","-0.42%"
"10/01/2021","12,200.0","11,800.0","12,350.0","11,800.0","18.13M","2.09%"
"10/04/2021","12,650.0","12,450.0","12,900.0","12,450.0","32.01M","3.69%"
"10/05/2021","12,750.0","12,700.0","12,900.0","12,550.0","22.31M","0.79%"
"10/06/2021","12,850.0","12,850.0","13,100.0","12,700.0","18.55M","0.78%"
"10/07/2021","12,650.0","12,850.0","12,850.0","12,600.0","17.10M","-1.56%"
"10/08/2021","12,450.0","12,700.0","12,700.0","12,400.0","18.39M","-1.58%"
"10/11/2021","12,400.0","12,400.0","12,600.0","12,200.0","22.29M","-0.40%"
"10/12/2021","12,700.0","12,400.0","12,700.0","12,400.0","22.14M","2.42%"
"10/13/2021","12,500.0","12,800.0","12,800.0","12,450.0","15.19M","-1.57%"
"10/14/2021","12,500.0","12,500.0","12,600.0","12,400.0","13.13M","0.00%"
"10/15/2021","12,300.0","12,500.0","12,600.0","12,200.0","17.27M","-1.60%"
"10/18/2021","12,350.0","12,300.0","12,500.0","12,250.0","13.40M","0.41%"
"10/19/2021","12,300.0","12,300.0","12,500.0","12,250.0","10.37M","-0.40%"
"10/20/2021","12,300.0","12,300.0","12,400.0","12,050.0","13.47M","0.00%"
"10/21/2021","12,050.0","12,300.0","12,300.0","12,050.0","13.11M","-2.03%"
"10/22/2021","12,100.0","12,050.0","12,200.0","12,000.0","10.27M","0.41%"
"10/25/2021","12,250.0","12,250.0","12,400.0","12,100.0","13.69M","1.24%"
"10/26/2021","12,350.0","12,250.0","12,400.0","12,100.0","8.65M","0.82%"
"10/27/2021","12,400.0","12,400.0","12,500.0","12,250.0","16.02M","0.40%"
"10/28/2021","12,750.0","12,450.0","12,950.0","12,450.0","28.32M","2.82%"
"10/29/2021","12,650.0","12,850.0","12,900.0","12,500.0","15.53M","-0.78%"
