"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","24,020.0","23,235.0","24,020.3","23,096.4","604.90K","4.21%"
"07/02/2021","23,651.0","23,927.9","24,020.3","23,466.0","253.00K","-1.54%"
"07/05/2021","23,558.0","23,650.7","23,743.1","23,004.0","339.80K","-0.39%"
"07/06/2021","23,004.0","23,373.6","23,373.6","22,911.7","501.20K","-2.35%"
"07/07/2021","23,096.0","23,004.0","23,096.4","22,726.9","384.40K","0.40%"
"07/08/2021","23,096.0","22,911.7","23,096.4","22,865.5","134.70K","0.00%"
"07/09/2021","22,865.0","23,096.4","23,188.8","22,773.1","224.50K","-1.00%"
"07/12/2021","22,080.0","22,865.5","22,865.5","21,294.9","462.90K","-3.43%"
"07/13/2021","22,727.0","22,172.6","22,726.9","22,080.2","144.30K","2.93%"
"07/14/2021","22,727.0","22,726.9","23,096.4","22,403.5","206.50K","0.00%"
"07/15/2021","21,711.0","21,433.5","21,710.6","20,971.6","198.90K","-4.47%"
"07/16/2021","21,711.0","21,710.6","21,710.6","21,525.9","91.50K","0.00%"
"07/19/2021","21,295.0","21,294.9","21,341.1","20,971.6","183.60K","-1.92%"
"07/20/2021","21,433.0","21,248.7","21,433.5","20,971.6","99.00K","0.65%"
"07/21/2021","21,341.0","21,156.3","21,618.3","21,156.3","83.90K","-0.43%"
"07/22/2021","21,295.0","21,248.7","21,341.1","21,063.9","101.90K","-0.22%"
"07/23/2021","21,110.0","21,341.1","21,341.1","21,110.1","62.70K","-0.87%"
"07/26/2021","21,249.0","21,110.1","21,248.7","20,786.8","381.30K","0.66%"
"07/27/2021","20,925.0","21,202.5","21,202.5","20,925.4","68.20K","-1.52%"
"07/28/2021","20,787.0","21,063.9","21,063.9","20,694.4","110.60K","-0.66%"
"07/29/2021","20,694.0","20,971.6","21,248.7","20,509.6","210.70K","-0.45%"
"07/30/2021","20,602.0","20,694.4","20,694.4","20,509.6","162.10K","-0.44%"
"08/02/2021","20,972.0","20,879.2","21,063.9","20,786.8","98.30K","1.80%"
"08/03/2021","20,833.0","20,971.6","21,063.9","20,786.8","74.80K","-0.66%"
"08/04/2021","20,833.0","20,833.0","20,971.6","20,786.8","121.60K","0.00%"
"08/05/2021","21,203.0","20,879.2","21,248.7","20,740.6","199.70K","1.78%"
"08/06/2021","21,064.0","21,202.5","21,248.7","20,740.6","231.10K","-0.66%"
"08/09/2021","21,433.0","21,017.7","21,433.5","20,694.4","396.60K","1.75%"
"08/10/2021","22,173.0","21,618.3","22,172.6","21,110.1","415.40K","3.45%"
"08/11/2021","21,803.0","21,895.4","23,096.4","21,433.5","469.20K","-1.67%"
"08/12/2021","21,341.0","21,618.3","21,941.6","21,341.1","218.60K","-2.12%"
"08/13/2021","21,156.0","21,433.5","21,618.3","21,110.1","274.70K","-0.87%"
"08/16/2021","21,341.0","20,925.4","21,664.4","20,925.4","319.60K","0.87%"
"08/17/2021","21,618.0","21,248.7","21,618.3","20,786.8","554.30K","1.30%"
"08/18/2021","21,203.0","21,618.3","21,618.3","21,202.5","219.10K","-1.92%"
"08/19/2021","21,249.0","21,202.5","21,618.3","21,063.9","272.10K","0.22%"
"08/20/2021","21,064.0","21,248.7","21,525.9","20,925.4","342.20K","-0.87%"
"08/23/2021","20,787.0","21,017.7","21,017.7","20,694.4","229.00K","-1.32%"
"08/24/2021","20,694.0","20,786.8","20,971.6","20,602.0","156.20K","-0.45%"
"08/25/2021","20,833.0","20,879.2","21,063.9","20,648.2","132.00K","0.67%"
"08/26/2021","20,879.0","20,879.2","21,063.9","20,786.8","102.50K","0.22%"
"08/27/2021","22,311.0","21,156.3","22,311.1","21,110.1","1.78M","6.86%"
"08/30/2021","22,912.0","23,096.4","23,096.4","22,634.5","588.30K","2.69%"
"08/31/2021","22,865.0","22,819.3","23,004.0","22,634.5","379.80K","-0.21%"
"09/01/2021","22,634.0","22,634.5","22,819.3","22,357.3","1.16M","-1.01%"
"09/06/2021","24,020.0","23,050.2","24,020.3","23,050.2","1.29M","6.12%"
"09/07/2021","23,143.0","24,020.3","24,020.3","23,096.4","485.00K","-3.65%"
"09/08/2021","22,819.0","23,188.8","23,188.8","22,634.5","347.20K","-1.40%"
"09/09/2021","23,096.0","22,819.3","23,327.4","22,726.9","266.90K","1.21%"
"09/10/2021","22,727.0","23,096.4","23,142.6","22,449.7","410.60K","-1.60%"
"09/13/2021","22,357.0","22,726.9","22,819.3","22,357.3","431.80K","-1.63%"
"09/14/2021","21,711.0","22,403.5","22,588.3","21,710.6","967.20K","-2.89%"
"09/15/2021","21,942.0","21,664.4","22,357.3","21,572.1","421.20K","1.06%"
"09/16/2021","22,173.0","21,987.8","22,265.0","21,803.0","350.90K","1.05%"
"09/17/2021","22,173.0","22,172.6","22,357.3","21,849.2","452.20K","0.00%"
"09/20/2021","22,311.0","22,172.6","22,357.3","22,080.2","489.30K","0.62%"
"09/21/2021","22,701.0","22,018.9","22,700.9","22,018.9","1.77M","1.75%"
"09/22/2021","22,409.0","22,457.3","22,700.9","22,165.0","686.60K","-1.29%"
"09/23/2021","22,311.0","22,749.6","22,749.6","22,262.4","368.50K","-0.44%"
"09/24/2021","22,944.0","22,408.6","23,090.6","22,311.1","2.32M","2.84%"
"09/27/2021","22,311.0","22,944.4","23,041.9","22,311.1","368.70K","-2.76%"
"09/28/2021","22,555.0","22,311.1","22,554.7","21,629.1","215.30K","1.09%"
"09/29/2021","22,506.0","22,506.0","22,749.6","22,116.3","303.00K","-0.22%"
"09/30/2021","22,360.0","22,506.0","22,554.7","22,359.9","190.90K","-0.65%"
"10/01/2021","22,360.0","22,506.0","22,506.0","22,213.7","292.70K","0.00%"
"10/04/2021","22,993.0","22,798.3","23,188.0","22,408.6","710.90K","2.83%"
"10/05/2021","22,896.0","22,993.1","23,090.6","22,847.0","240.00K","-0.42%"
"10/06/2021","22,798.0","22,895.7","22,895.7","22,603.4","229.00K","-0.43%"
"10/07/2021","22,701.0","22,700.9","23,236.7","22,506.0","676.20K","-0.43%"
"10/08/2021","22,896.0","22,700.9","23,041.9","22,700.9","260.40K","0.86%"
"10/11/2021","22,798.0","22,895.7","22,895.7","22,652.1","312.40K","-0.43%"
"10/12/2021","22,798.0","22,847.0","22,847.0","22,603.4","502.70K","0.00%"
"10/13/2021","22,798.0","22,700.9","22,895.7","22,506.0","306.00K","0.00%"
"10/14/2021","22,798.0","23,090.6","23,139.3","22,749.6","220.50K","0.00%"
"10/15/2021","22,506.0","22,652.1","22,700.9","22,311.1","521.70K","-1.28%"
"10/18/2021","22,214.0","22,311.1","22,457.3","22,213.7","420.50K","-1.30%"
"10/19/2021","22,360.0","22,213.7","22,408.6","22,067.6","149.50K","0.66%"
"10/20/2021","22,262.0","22,408.6","22,408.6","22,262.4","174.60K","-0.44%"
"10/21/2021","22,262.0","22,311.1","22,311.1","22,165.0","117.00K","0.00%"
"10/22/2021","22,165.0","22,262.4","22,408.6","22,116.3","203.20K","-0.44%"
"10/25/2021","22,116.0","22,213.7","22,213.7","22,116.3","184.40K","-0.22%"
"10/26/2021","22,409.0","22,311.1","22,408.6","22,116.3","168.80K","1.32%"
"10/27/2021","22,409.0","22,408.6","22,408.6","22,311.1","225.50K","0.00%"
"10/28/2021","22,457.0","22,408.6","22,603.4","22,311.1","163.10K","0.21%"
"10/29/2021","22,701.0","22,457.3","22,847.0","22,408.6","368.90K","1.09%"
"11/01/2021","22,506.0","22,798.3","22,798.3","22,408.6","188.90K","-0.86%"
"11/02/2021","22,457.0","22,554.7","22,652.1","22,408.6","287.90K","-0.22%"
"11/03/2021","22,311.0","22,603.4","22,700.9","22,311.1","374.70K","-0.65%"
"11/04/2021","22,409.0","22,311.1","22,408.6","22,262.4","123.10K","0.44%"
"11/05/2021","22,409.0","22,408.6","22,457.3","22,311.1","142.40K","0.00%"
"11/08/2021","22,555.0","22,603.4","22,603.4","22,408.6","266.40K","0.65%"
"11/09/2021","22,457.0","22,603.4","22,603.4","22,408.6","263.00K","-0.43%"
"11/10/2021","22,457.0","22,506.0","22,506.0","22,359.9","200.00K","0.00%"
"11/11/2021","22,896.0","22,457.3","23,188.0","22,262.4","610.80K","1.95%"
"11/12/2021","22,798.0","22,993.1","23,041.9","22,603.4","324.00K","-0.43%"
"11/15/2021","23,334.0","22,847.0","23,626.4","22,798.3","698.20K","2.35%"
"11/16/2021","22,993.0","23,382.9","23,382.9","22,895.7","318.10K","-1.46%"
"11/17/2021","22,944.0","22,944.4","23,090.6","22,798.3","173.00K","-0.21%"
"11/18/2021","22,652.0","22,895.7","22,944.4","22,603.4","259.70K","-1.27%"
"11/19/2021","22,019.0","22,603.4","22,652.1","21,824.0","565.50K","-2.79%"
"11/22/2021","21,921.0","22,116.3","22,262.4","21,921.4","377.60K","-0.45%"
"11/23/2021","22,311.0","22,359.9","22,359.9","21,921.4","115.00K","1.78%"
"11/24/2021","22,311.0","22,311.1","22,311.1","22,165.0","138.40K","0.00%"
"11/25/2021","22,360.0","22,213.7","22,652.1","22,165.0","277.10K","0.22%"
"11/26/2021","22,311.0","22,408.6","22,457.3","21,970.1","404.90K","-0.22%"
"11/29/2021","22,409.0","21,921.4","22,554.7","21,921.4","296.60K","0.44%"
"11/30/2021","22,360.0","22,603.4","22,603.4","21,970.1","112.00K","-0.22%"
"12/01/2021","22,360.0","22,408.6","22,408.6","22,213.7","158.60K","0.00%"
"12/02/2021","22,214.0","22,359.9","22,359.9","22,165.0","125.50K","-0.65%"
"12/03/2021","22,019.0","22,213.7","22,213.7","22,018.9","162.10K","-0.88%"
"12/06/2021","21,921.0","22,018.9","22,408.6","21,921.4","294.30K","-0.45%"
"12/07/2021","22,262.0","22,018.9","22,311.1","21,970.1","140.70K","1.56%"
"12/08/2021","22,116.0","22,262.4","22,311.1","21,921.4","143.30K","-0.66%"
"12/09/2021","22,847.0","22,116.3","22,847.0","22,018.9","604.60K","3.31%"
"12/10/2021","22,360.0","22,847.0","22,847.0","22,311.1","248.00K","-2.13%"
"12/13/2021","22,603.0","22,457.3","22,749.6","22,408.6","275.70K","1.09%"
"12/14/2021","22,993.0","22,798.3","23,139.3","22,457.3","534.60K","1.73%"
"12/15/2021","22,993.0","23,041.9","23,382.9","22,798.3","426.10K","0.00%"
