"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","23,410.00","23,269.00","23,551.00","23,222.00","1.15M","-6.20%"
"07/02/2021","23,410.00","23,410.00","23,410.00","22,519.00","282.00K","0.00%"
"07/05/2021","23,410.00","23,410.00","23,410.00","21,815.00","222.00K","0.00%"
"07/06/2021","22,519.00","23,363.00","23,363.00","21,862.00","360.00K","-3.81%"
"07/07/2021","22,472.00","22,049.00","22,988.00","20,970.00","530.70K","-0.21%"
"07/08/2021","22,425.00","22,425.00","22,425.00","20,923.00","378.70K","-0.21%"
"07/09/2021","21,440.00","21,580.00","22,002.00","20,877.00","247.20K","-4.39%"
"07/12/2021","19,985.00","21,486.00","21,486.00","19,985.00","1.14M","-6.79%"
"07/13/2021","21,346.00","19,235.00","21,346.00","18,765.00","1.26M","6.81%"
"07/14/2021","22,519.00","21,346.00","22,800.00","19,891.00","2.04M","5.50%"
"07/15/2021","22,519.00","22,049.00","23,926.00","20,970.00","1.36M","0.00%"
"07/16/2021","24,067.00","22,425.00","24,067.00","20,970.00","2.90M","6.87%"
"07/19/2021","22,425.00","24,301.00","25,146.00","22,425.00","1.03M","-6.82%"
"07/20/2021","20,877.00","20,877.00","22,988.00","20,877.00","1.11M","-6.90%"
"07/21/2021","20,548.00","20,830.00","20,830.00","19,422.00","536.40K","-1.58%"
"07/22/2021","20,173.00","20,548.00","21,393.00","19,141.00","2.29M","-1.82%"
"07/23/2021","20,923.00","20,173.00","21,017.00","18,765.00","3.53M","3.72%"
"07/26/2021","20,736.00","21,017.00","21,299.00","19,469.00","2.03M","-0.89%"
"07/27/2021","22,143.00","19,328.00","22,143.00","19,328.00","9.31M","6.79%"
"07/28/2021","21,580.00","22,519.00","22,659.00","20,595.00","1.79M","-2.54%"
"07/29/2021","20,079.00","21,299.00","21,299.00","20,079.00","619.90K","-6.96%"
"07/30/2021","18,719.00","18,765.00","19,141.00","18,719.00","3.28M","-6.77%"
"08/02/2021","17,452.00","17,640.00","18,296.00","17,452.00","1.40M","-6.77%"
"08/03/2021","16,561.00","17,358.00","17,358.00","16,467.00","1.81M","-5.11%"
"08/04/2021","17,077.00","16,889.00","17,593.00","15,951.00","2.00M","3.12%"
"08/05/2021","16,936.00","17,077.00","17,123.00","16,748.00","317.50K","-0.83%"
"08/06/2021","16,654.00","16,936.00","16,936.00","16,654.00","507.20K","-1.67%"
"08/09/2021","16,467.00","16,561.00","16,701.00","16,232.00","652.50K","-1.12%"
"08/10/2021","17,030.00","16,467.00","17,311.00","16,467.00","589.30K","3.42%"
"08/11/2021","17,217.00","17,077.00","17,499.00","17,077.00","491.70K","1.10%"
"08/12/2021","17,968.00","17,077.00","18,343.00","16,701.00","2.18M","4.36%"
"08/13/2021","17,780.00","17,827.00","18,202.00","17,358.00","1.32M","-1.05%"
"08/16/2021","18,156.00","17,640.00","18,249.00","17,640.00","922.70K","2.11%"
"08/17/2021","18,109.00","17,968.00","18,484.00","17,733.00","1.57M","-0.26%"
"08/18/2021","17,968.00","18,109.00","18,249.00","17,733.00","1.45M","-0.78%"
"08/19/2021","17,874.00","17,827.00","18,156.00","17,780.00","821.20K","-0.52%"
"08/20/2021","16,983.00","17,593.00","18,109.00","16,701.00","1.02M","-4.98%"
"08/23/2021","15,951.00","16,889.00","16,983.00","15,951.00","628.60K","-6.08%"
"08/24/2021","16,279.00","16,138.00","16,654.00","15,951.00","327.50K","2.06%"
"08/25/2021","16,279.00","16,420.00","16,420.00","15,998.00","679.60K","0.00%"
"08/26/2021","16,044.00","16,044.00","16,373.00","15,998.00","336.70K","-1.44%"
"08/27/2021","16,138.00","16,138.00","16,138.00","15,951.00","297.30K","0.59%"
"08/30/2021","16,232.00","16,138.00","16,326.00","16,138.00","223.80K","0.58%"
"08/31/2021","16,279.00","16,138.00","16,373.00","16,138.00","303.30K","0.29%"
"09/01/2021","16,279.00","16,279.00","16,373.00","16,232.00","271.00K","0.00%"
"09/06/2021","16,373.00","16,420.00","16,420.00","16,232.00","449.00K","0.58%"
"09/07/2021","16,138.00","16,514.00","16,514.00","16,138.00","349.40K","-1.44%"
"09/08/2021","16,138.00","16,138.00","16,326.00","16,044.00","180.40K","0.00%"
"09/09/2021","16,138.00","16,138.00","16,185.00","16,044.00","301.70K","0.00%"
"09/10/2021","16,091.00","16,091.00","16,279.00","16,091.00","302.10K","-0.29%"
"09/13/2021","16,983.00","16,138.00","16,983.00","16,091.00","1.24M","5.54%"
"09/14/2021","17,030.00","17,452.00","17,686.00","16,889.00","420.70K","0.28%"
