"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","62,484.0","61,631.0","63,408.0","61,560.0","450.94K","1.74%"
"07/02/2021","63,124.0","62,555.0","63,337.0","62,200.0","163.52K","1.02%"
"07/05/2021","62,982.0","63,906.0","63,906.0","62,626.0","92.68K","-0.22%"
"07/06/2021","61,134.0","62,982.0","65,257.0","58,646.0","405.72K","-2.93%"
"07/07/2021","61,560.0","60,849.0","61,560.0","59,001.0","293.44K","0.70%"
"07/08/2021","62,200.0","61,844.0","62,555.0","61,276.0","225.54K","1.04%"
"07/09/2021","62,200.0","61,915.0","63,977.0","61,844.0","334.32K","0.00%"
"07/12/2021","60,565.0","61,987.0","63,266.0","58,290.0","255.78K","-2.63%"
"07/13/2021","61,489.0","60,494.0","61,915.0","59,712.0","130.90K","1.53%"
"07/14/2021","60,281.0","60,423.0","61,489.0","59,712.0","160.86K","-1.96%"
"07/15/2021","60,423.0","59,428.0","61,062.0","59,428.0","86.10K","0.24%"
"07/16/2021","61,915.0","60,209.0","62,271.0","60,209.0","173.46K","2.47%"
"07/19/2021","63,408.0","61,844.0","65,043.0","60,565.0","984.34K","2.41%"
"07/20/2021","64,688.0","63,408.0","64,901.0","63,408.0","368.20K","2.02%"
"07/21/2021","65,683.0","65,043.0","67,460.0","65,043.0","410.76K","1.54%"
"07/22/2021","64,972.0","65,399.0","65,825.0","64,475.0","648.62K","-1.08%"
"07/23/2021","65,399.0","64,901.0","66,820.0","64,688.0","1.08M","0.66%"
"07/26/2021","68,242.0","65,328.0","69,664.0","65,328.0","1.13M","4.35%"
"07/27/2021","68,598.0","68,669.0","69,664.0","67,531.0","362.04K","0.52%"
"07/28/2021","67,460.0","67,673.0","68,598.0","66,891.0","304.08K","-1.66%"
"07/29/2021","67,176.0","67,034.0","67,531.0","66,394.0","491.96K","-0.42%"
"07/30/2021","67,318.0","67,602.0","68,598.0","66,891.0","491.96K","0.21%"
"08/02/2021","69,593.0","67,958.0","70,019.0","67,531.0","726.60K","3.38%"
"08/03/2021","70,730.0","69,664.0","71,796.0","68,455.0","652.26K","1.63%"
"08/04/2021","70,090.0","70,730.0","71,228.0","69,806.0","311.50K","-0.90%"
"08/05/2021","69,379.0","70,304.0","70,304.0","69,166.0","479.78K","-1.01%"
"08/06/2021","69,593.0","69,308.0","70,943.0","69,095.0","711.20K","0.31%"
"08/09/2021","71,014.0","69,166.0","71,228.0","68,242.0","1.02M","2.04%"
"08/10/2021","74,000.0","71,086.0","75,351.0","70,801.0","914.90K","4.20%"
"08/11/2021","74,000.0","74,000.0","74,284.0","73,574.0","480.62K","0.00%"
"08/12/2021","72,863.0","73,858.0","73,929.0","72,720.0","522.48K","-1.54%"
"08/13/2021","70,943.0","71,939.0","72,507.0","69,664.0","1.05M","-2.64%"
"08/16/2021","72,507.0","71,086.0","73,502.0","71,086.0","501.20K","2.20%"
"08/17/2021","72,152.0","72,507.0","73,929.0","72,152.0","463.40K","-0.49%"
"08/18/2021","72,010.0","71,086.0","72,507.0","70,943.0","453.88K","-0.20%"
"08/19/2021","73,218.0","72,294.0","73,574.0","71,086.0","410.34K","1.68%"
"08/20/2021","71,228.0","73,360.0","74,284.0","68,953.0","649.32K","-2.72%"
"08/23/2021","69,664.0","69,735.0","71,228.0","69,522.0","407.68K","-2.20%"
"08/24/2021","67,887.0","69,308.0","69,664.0","66,252.0","649.46K","-2.55%"
"08/25/2021","67,887.0","68,242.0","68,242.0","66,678.0","205.52K","0.00%"
"08/26/2021","68,811.0","68,029.0","70,233.0","67,887.0","419.44K","1.36%"
"08/27/2021","69,664.0","68,811.0","69,877.0","68,598.0","187.88K","1.24%"
"08/30/2021","72,507.0","69,664.0","72,720.0","69,664.0","849.66K","4.08%"
