"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,388.9","6,027.8","6,388.9","6,027.8","0.36K","5.99%"
"07/02/2021","5,944.4","5,944.4","5,944.4","5,944.4","5.40K","-6.96%"
"07/05/2021","6,111.1","5,944.4","6,277.8","5,555.6","9.90K","2.80%"
"07/07/2021","5,694.4","5,694.4","5,694.4","5,694.4","0.36K","-6.82%"
"07/08/2021","5,888.9","5,694.4","5,888.9","5,300.0","20.52K","3.42%"
"07/09/2021","6,111.1","5,833.3","6,111.1","5,833.3","0.90K","3.77%"
"07/14/2021","5,694.4","5,694.4","5,694.4","5,694.4","5.58K","-6.82%"
"07/15/2021","6,027.8","5,300.0","6,027.8","5,300.0","8.64K","5.85%"
"07/16/2021","5,666.7","6,138.9","6,138.9","5,611.1","5.40K","-5.99%"
"07/19/2021","5,350.0","5,944.4","5,944.4","5,305.6","8.28K","-5.59%"
"07/20/2021","5,555.6","5,016.7","5,555.6","5,016.7","0.72K","3.84%"
"07/21/2021","5,833.3","5,550.0","5,833.3","5,550.0","0.36K","5.00%"
"07/22/2021","5,611.1","5,611.1","5,611.1","5,611.1","1.62K","-3.81%"
"07/23/2021","5,444.4","5,611.1","5,611.1","5,444.4","0.90K","-2.97%"
"07/27/2021","5,444.4","5,077.8","5,611.1","5,077.8","0.90K","0.00%"
"07/28/2021","5,350.0","5,394.4","5,438.9","5,333.3","7.20K","-1.73%"
"07/29/2021","5,444.4","5,333.3","5,444.4","5,166.7","5.76K","1.76%"
"08/02/2021","5,172.2","5,722.2","5,722.2","5,100.0","1.08K","-5.00%"
"08/03/2021","5,277.8","5,333.3","5,533.3","5,277.8","13.50K","2.04%"
"08/04/2021","5,550.0","5,016.7","5,550.0","5,016.7","0.54K","5.16%"
"08/05/2021","5,550.0","5,861.1","5,861.1","5,177.8","2.34K","0.00%"
"08/06/2021","5,172.2","5,500.0","5,500.0","5,172.2","1.26K","-6.81%"
"08/09/2021","5,305.6","5,516.7","5,516.7","5,277.8","3.60K","2.58%"
"08/10/2021","5,488.9","5,538.9","5,538.9","5,277.8","5.94K","3.45%"
"08/11/2021","5,283.3","5,305.6","5,305.6","5,277.8","6.66K","-3.75%"
"08/12/2021","5,233.3","5,516.7","5,516.7","5,172.2","7.56K","-0.95%"
"08/13/2021","5,444.4","5,233.3","5,444.4","5,233.3","1.08K","4.03%"
"08/16/2021","5,222.2","5,116.7","5,433.3","5,116.7","6.12K","-4.08%"
"08/17/2021","5,277.8","5,388.9","5,405.6","5,222.2","21.60K","1.06%"
"08/18/2021","5,277.8","5,261.1","5,305.6","5,261.1","4.50K","0.00%"
"08/19/2021","5,261.1","5,333.3","5,333.3","5,261.1","4.50K","-0.32%"
"08/20/2021","5,333.3","5,250.0","5,333.3","5,222.2","5.58K","1.37%"
"08/23/2021","5,333.3","5,005.6","5,333.3","5,005.6","36.72K","0.00%"
"08/24/2021","5,333.3","5,333.3","5,333.3","5,005.6","17.46K","0.00%"
"08/25/2021","5,288.9","5,333.3","5,361.1","5,283.3","7.38K","-0.83%"
"08/26/2021","5,011.1","5,011.1","5,011.1","5,011.1","0.18K","-5.25%"
"08/27/2021","5,294.4","5,294.4","5,294.4","5,288.9","3.96K","5.65%"
"08/30/2021","5,066.7","5,027.8","5,066.7","5,027.8","0.36K","-4.30%"
"08/31/2021","5,416.7","5,411.1","5,416.7","5,411.1","7.74K","6.91%"
"09/01/2021","5,611.1","5,555.6","5,611.1","5,500.0","6.66K","3.59%"
"09/06/2021","5,611.1","5,233.3","5,611.1","5,233.3","15.30K","0.00%"
"09/07/2021","5,722.2","5,972.2","5,972.2","5,722.2","0.54K","1.98%"
"09/08/2021","5,722.2","5,722.2","5,722.2","5,722.2","0.72K","0.00%"
"09/09/2021","5,694.4","5,344.4","5,694.4","5,344.4","2.52K","-0.49%"
"09/10/2021","5,666.7","5,666.7","5,666.7","5,666.7","0.18K","-0.49%"
"09/13/2021","5,833.3","5,338.9","5,833.3","5,338.9","2.52K","2.94%"
"09/14/2021","5,805.6","5,805.6","5,805.6","5,555.6","0.54K","-0.47%"
"09/15/2021","5,511.1","5,511.1","5,511.1","5,511.1","0.90K","-5.07%"
"09/16/2021","5,722.2","5,511.1","5,722.2","5,511.1","0.72K","3.83%"
"09/17/2021","5,722.2","5,777.8","5,833.3","5,722.2","8.82K","0.00%"
"09/20/2021","5,944.4","5,916.7","6,111.1","5,916.7","9.36K","3.88%"
"09/21/2021","5,666.7","6,333.3","6,333.3","5,666.7","30.24K","-4.67%"
"09/22/2021","6,055.6","6,055.6","6,055.6","6,055.6","0.72K","6.86%"
"09/23/2021","6,111.1","6,472.2","6,472.2","6,111.1","0.90K","0.92%"
"09/24/2021","6,388.9","6,500.0","6,500.0","6,388.9","9.36K","4.55%"
"09/27/2021","6,444.4","6,500.0","6,500.0","6,444.4","5.40K","0.87%"
"09/28/2021","6,000.0","6,444.4","6,444.4","6,000.0","0.36K","-6.90%"
"09/29/2021","6,111.1","6,111.1","6,111.1","6,111.1","0.90K","1.85%"
"10/01/2021","6,111.1","6,527.8","6,527.8","6,111.1","3.24K","0.00%"
"10/04/2021","6,111.1","6,111.1","6,111.1","6,111.1","3.24K","0.00%"
"10/05/2021","6,111.1","6,111.1","6,111.1","6,111.1","1.44K","0.00%"
"10/06/2021","6,111.1","6,111.1","6,111.1","6,111.1","0.18K","0.00%"
"10/07/2021","6,500.0","6,500.0","6,500.0","6,500.0","0.36K","6.36%"
"10/08/2021","6,500.0","6,500.0","6,500.0","6,500.0","0.18K","0.00%"
"10/11/2021","6,500.0","6,500.0","6,500.0","6,500.0","0.72K","0.00%"
"10/12/2021","6,666.7","6,833.3","6,833.3","6,666.7","0.54K","2.56%"
"10/14/2021","6,611.1","6,611.1","6,611.1","6,611.1","1.80K","-0.83%"
"10/15/2021","6,611.1","6,611.1","6,611.1","6,611.1","0.18K","0.00%"
"10/19/2021","6,611.1","6,611.1","6,666.7","6,611.1","4.86K","0.00%"
"10/20/2021","6,611.1","6,611.1","6,611.1","6,611.1","0.90K","0.00%"
"10/21/2021","6,666.7","6,555.6","6,666.7","6,555.6","4.32K","0.84%"
"10/25/2021","6,555.6","6,250.0","6,555.6","6,250.0","1.08K","-1.67%"
"10/26/2021","6,166.7","6,111.1","6,166.7","6,111.1","0.36K","-5.93%"
"10/27/2021","5,777.8","5,777.8","6,500.0","5,777.8","3.06K","-6.31%"
"10/28/2021","6,166.7","6,111.1","6,166.7","6,111.1","5.22K","6.73%"
"11/01/2021","5,777.8","6,111.1","6,111.1","5,777.8","1.62K","-6.31%"
"11/02/2021","6,166.7","5,777.8","6,166.7","5,777.8","32.76K","6.73%"
"11/03/2021","6,444.4","6,555.6","6,555.6","6,166.7","6.30K","4.50%"
"11/04/2021","6,500.0","6,444.4","6,500.0","6,444.4","5.76K","0.86%"
"11/05/2021","6,555.6","6,138.9","6,555.6","6,111.1","19.44K","0.86%"
"11/09/2021","7,000.0","6,666.7","7,000.0","6,666.7","41.22K","6.78%"
"11/10/2021","7,472.2","7,000.0","7,472.2","7,000.0","19.98K","6.75%"
"11/11/2021","7,972.2","7,972.2","7,972.2","7,972.2","43.02K","6.69%"
"11/12/2021","8,527.8","8,527.8","8,527.8","8,527.8","5.58K","6.97%"
"11/15/2021","9,111.1","9,111.1","9,111.1","9,111.1","32.94K","6.84%"
"11/16/2021","9,722.2","9,722.2","9,722.2","9,722.2","19.62K","6.71%"
"11/17/2021","10,388.9","10,388.9","10,388.9","10,388.9","1.08K","6.86%"
"11/18/2021","11,111.1","11,111.1","11,111.1","11,111.1","42.66K","6.95%"
"11/19/2021","11,888.9","11,888.9","11,888.9","11,888.9","6.30K","7.00%"
"11/22/2021","12,694.5","12,694.5","12,694.5","12,694.5","25.02K","6.78%"
"11/23/2021","13,555.6","13,555.6","13,555.6","12,805.6","101.52K","6.78%"
"11/24/2021","14,500.0","14,500.0","14,500.0","14,500.0","14.40K","6.97%"
"11/25/2021","15,500.0","15,500.0","15,500.0","15,500.0","3.60K","6.90%"
"11/26/2021","16,583.3","16,583.3","16,583.3","16,583.3","9.90K","6.99%"
"11/29/2021","17,722.2","17,722.2","17,722.2","17,722.2","14.22K","6.87%"
"11/30/2021","17,777.8","18,944.5","18,944.5","17,777.8","98.28K","0.31%"
"12/01/2021","16,555.6","17,777.8","17,777.8","16,555.6","84.06K","-6.87%"
"12/02/2021","17,694.5","15,583.3","17,694.5","15,583.3","59.04K","6.88%"
"12/03/2021","16,472.2","16,472.2","16,666.7","16,472.2","61.02K","-6.91%"
"12/06/2021","15,333.3","16,472.2","16,472.2","15,333.3","3.06K","-6.91%"
"12/07/2021","15,000.0","14,277.8","15,333.3","14,277.8","27.90K","-2.17%"
"12/08/2021","16,027.8","14,000.0","16,027.8","14,000.0","10.44K","6.85%"
"12/09/2021","17,138.9","16,027.8","17,138.9","14,916.7","11.88K","6.93%"
"12/10/2021","17,500.0","18,333.3","18,333.3","17,500.0","2.16K","2.11%"
"12/13/2021","17,500.0","17,500.0","17,666.7","17,500.0","9.36K","0.00%"
"12/14/2021","17,500.0","17,222.2","17,500.0","17,222.2","9.00K","0.00%"
"12/15/2021","16,277.8","16,666.7","16,666.7","16,277.8","37.62K","-6.98%"
"12/16/2021","16,277.8","16,277.8","16,277.8","16,277.8","0.54K","0.00%"
"12/17/2021","16,277.8","15,277.8","16,277.8","15,277.8","7.56K","0.00%"
"12/20/2021","15,444.5","15,277.8","15,555.6","15,277.8","142.38K","-5.12%"
"12/21/2021","14,722.2","14,888.9","15,000.0","14,555.6","263.52K","-4.68%"
"12/22/2021","14,222.2","14,500.0","14,500.0","13,888.9","543.96K","-3.40%"
"12/23/2021","14,444.5","14,277.8","14,611.1","13,888.9","451.08K","1.56%"
"12/24/2021","15,444.5","14,555.6","15,444.5","14,555.6","1.04M","6.92%"
"12/27/2021","16,500.0","16,111.1","16,500.0","16,111.1","585.36K","6.83%"
"12/28/2021","17,638.9","17,638.9","17,638.9","17,638.9","342.36K","6.90%"
"12/29/2021","18,861.1","18,861.1","18,861.1","18,861.1","400.50K","6.93%"
"12/30/2021","20,166.7","20,166.7","20,166.7","20,166.7","302.76K","6.92%"
"12/31/2021","21,555.6","21,555.6","21,555.6","21,555.6","413.10K","6.89%"
