"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,240.0","5,160.0","5,240.0","5,160.0","4.00K","-0.76%"
"07/02/2021","5,140.0","5,200.0","5,200.0","5,000.0","16.50K","-1.91%"
"07/05/2021","5,250.0","5,140.0","5,290.0","5,130.0","5.70K","2.14%"
"07/06/2021","5,020.0","5,140.0","5,140.0","5,020.0","14.00K","-4.38%"
"07/07/2021","5,000.0","5,050.0","5,050.0","4,670.0","34.40K","-0.40%"
"07/08/2021","5,140.0","5,000.0","5,140.0","4,850.0","4.90K","2.80%"
"07/09/2021","5,000.0","4,900.0","5,000.0","4,800.0","5.90K","-2.72%"
"07/12/2021","4,650.0","4,650.0","4,980.0","4,650.0","19.40K","-7.00%"
"07/13/2021","4,650.0","4,650.0","4,650.0","4,500.0","5.10K","0.00%"
"07/14/2021","4,330.0","4,400.0","4,650.0","4,330.0","11.80K","-6.88%"
"07/15/2021","4,340.0","4,100.0","4,340.0","4,100.0","1.90K","0.23%"
"07/16/2021","4,390.0","4,340.0","4,390.0","4,340.0","4.40K","1.15%"
"07/19/2021","4,690.0","4,370.0","4,690.0","4,090.0","28.20K","6.83%"
"07/20/2021","4,990.0","4,840.0","4,990.0","4,400.0","17.20K","6.40%"
"07/21/2021","5,330.0","4,990.0","5,330.0","4,700.0","25.30K","6.81%"
"07/22/2021","5,700.0","5,250.0","5,700.0","5,110.0","63.30K","6.94%"
"07/23/2021","6,000.0","5,710.0","6,000.0","5,360.0","62.70K","5.26%"
"07/26/2021","6,420.0","5,580.0","6,420.0","5,580.0","113.10K","7.00%"
"07/27/2021","6,860.0","6,420.0","6,860.0","5,980.0","135.50K","6.85%"
"07/28/2021","7,330.0","6,700.0","7,330.0","6,390.0","208.80K","6.85%"
"07/29/2021","7,820.0","7,330.0","7,820.0","7,330.0","199.10K","6.68%"
"07/30/2021","8,300.0","7,820.0","8,300.0","7,500.0","106.80K","6.14%"
"08/02/2021","8,870.0","8,310.0","8,870.0","8,310.0","246.50K","6.87%"
"08/03/2021","9,490.0","9,300.0","9,490.0","9,200.0","350.00K","6.99%"
"08/04/2021","10,150.0","10,150.0","10,150.0","9,900.0","665.70K","6.95%"
"08/05/2021","9,600.0","10,800.0","10,800.0","9,440.0","602.00K","-5.42%"
"08/06/2021","8,930.0","8,930.0","9,340.0","8,930.0","207.30K","-6.98%"
"08/09/2021","8,310.0","8,310.0","8,310.0","8,310.0","77.00K","-6.94%"
"08/10/2021","8,890.0","7,730.0","8,890.0","7,730.0","443.80K","6.98%"
"08/11/2021","8,750.0","8,890.0","9,430.0","8,700.0","196.80K","-1.57%"
"08/12/2021","8,200.0","8,880.0","8,880.0","8,150.0","105.10K","-6.29%"
"08/13/2021","7,630.0","8,000.0","8,200.0","7,630.0","293.50K","-6.95%"
"08/16/2021","7,240.0","7,130.0","7,300.0","7,130.0","184.40K","-5.11%"
"08/17/2021","7,740.0","7,240.0","7,740.0","7,240.0","48.10K","6.91%"
"08/18/2021","8,000.0","8,150.0","8,150.0","7,800.0","137.80K","3.36%"
"08/19/2021","7,800.0","8,000.0","8,000.0","7,500.0","90.70K","-2.50%"
"08/20/2021","7,690.0","7,500.0","7,800.0","7,400.0","114.00K","-1.41%"
"08/23/2021","7,610.0","7,810.0","7,810.0","7,200.0","110.90K","-1.04%"
"08/24/2021","7,210.0","7,600.0","7,600.0","7,210.0","55.00K","-5.26%"
"08/25/2021","7,130.0","7,210.0","7,300.0","7,130.0","38.50K","-1.11%"
"08/26/2021","7,280.0","7,400.0","7,400.0","7,000.0","30.60K","2.10%"
"08/27/2021","7,050.0","7,060.0","7,300.0","7,000.0","60.50K","-3.16%"
"08/30/2021","7,350.0","7,100.0","7,410.0","7,100.0","55.10K","4.26%"
"08/31/2021","7,450.0","7,500.0","7,510.0","7,350.0","94.60K","1.36%"
"09/01/2021","7,450.0","7,450.0","7,450.0","7,330.0","40.20K","0.00%"
"09/06/2021","7,640.0","7,400.0","7,680.0","7,090.0","92.00K","2.55%"
"09/07/2021","7,640.0","7,780.0","7,800.0","7,400.0","79.30K","0.00%"
"09/08/2021","7,400.0","7,640.0","7,640.0","7,350.0","20.70K","-3.14%"
"09/09/2021","7,310.0","7,410.0","7,570.0","7,300.0","44.30K","-1.22%"
"09/10/2021","7,290.0","7,310.0","7,310.0","7,160.0","75.90K","-0.27%"
"09/13/2021","7,800.0","7,800.0","7,800.0","7,700.0","119.80K","7.00%"
"09/14/2021","8,340.0","8,340.0","8,340.0","8,340.0","125.20K","6.92%"
"09/15/2021","8,920.0","8,920.0","8,920.0","8,920.0","178.40K","6.95%"
"09/16/2021","8,300.0","9,540.0","9,540.0","8,300.0","829.00K","-6.95%"
"09/17/2021","7,720.0","7,720.0","8,100.0","7,720.0","326.50K","-6.99%"
"09/20/2021","7,240.0","8,100.0","8,260.0","7,240.0","329.50K","-6.22%"
"09/21/2021","7,300.0","7,400.0","7,700.0","7,230.0","519.20K","0.83%"
"09/22/2021","7,500.0","7,710.0","7,810.0","7,350.0","527.40K","2.74%"
"09/23/2021","7,500.0","7,810.0","7,900.0","7,410.0","234.60K","0.00%"
"09/24/2021","7,490.0","7,420.0","7,560.0","7,300.0","144.70K","-0.13%"
"09/27/2021","7,000.0","7,450.0","7,450.0","7,000.0","365.50K","-6.54%"
"09/28/2021","7,000.0","6,590.0","7,100.0","6,510.0","133.80K","0.00%"
"09/29/2021","6,930.0","7,000.0","7,000.0","6,810.0","101.60K","-1.00%"
"09/30/2021","7,090.0","6,950.0","7,090.0","6,860.0","142.50K","2.31%"
"10/01/2021","7,080.0","7,090.0","7,350.0","7,000.0","123.40K","-0.14%"
"10/04/2021","7,040.0","7,080.0","7,200.0","7,030.0","116.50K","-0.56%"
"10/05/2021","6,980.0","7,050.0","7,100.0","6,960.0","70.20K","-0.85%"
"10/06/2021","7,100.0","7,000.0","7,100.0","6,980.0","84.80K","1.72%"
"10/07/2021","7,200.0","7,120.0","7,300.0","7,120.0","102.00K","1.41%"
"10/08/2021","7,280.0","7,200.0","7,380.0","7,200.0","132.70K","1.11%"
"10/11/2021","7,160.0","7,320.0","7,370.0","7,150.0","95.60K","-1.65%"
"10/12/2021","7,100.0","7,050.0","7,150.0","7,050.0","56.60K","-0.84%"
"10/13/2021","7,090.0","7,080.0","7,140.0","7,070.0","77.70K","-0.14%"
"10/14/2021","7,580.0","7,270.0","7,580.0","7,270.0","226.40K","6.91%"
"10/15/2021","8,110.0","8,110.0","8,110.0","8,110.0","243.40K","6.99%"
"10/18/2021","7,980.0","8,110.0","8,130.0","7,550.0","464.70K","-1.60%"
"10/19/2021","8,180.0","7,600.0","8,490.0","7,600.0","368.10K","2.51%"
"10/20/2021","8,150.0","8,500.0","8,500.0","8,000.0","224.10K","-0.37%"
"10/21/2021","7,940.0","8,100.0","8,100.0","7,900.0","190.00K","-2.58%"
"10/22/2021","8,490.0","7,930.0","8,490.0","7,800.0","551.20K","6.93%"
"10/25/2021","8,490.0","8,800.0","8,800.0","8,400.0","155.70K","0.00%"
"10/26/2021","8,430.0","8,450.0","8,580.0","8,360.0","159.20K","-0.71%"
"10/27/2021","9,020.0","8,310.0","9,020.0","8,310.0","739.10K","7.00%"
"10/28/2021","9,030.0","9,280.0","9,280.0","9,000.0","353.40K","0.11%"
"10/29/2021","8,800.0","9,030.0","9,660.0","8,800.0","769.90K","-2.55%"
"11/01/2021","9,110.0","8,850.0","9,200.0","8,850.0","373.10K","3.52%"
"11/02/2021","9,100.0","9,110.0","9,500.0","9,060.0","271.20K","-0.11%"
"11/03/2021","8,490.0","9,390.0","9,390.0","8,480.0","437.10K","-6.70%"
"11/04/2021","8,000.0","8,000.0","8,190.0","7,980.0","450.30K","-5.77%"
"11/05/2021","8,000.0","8,100.0","8,100.0","7,900.0","271.40K","0.00%"
"11/08/2021","8,560.0","8,000.0","8,560.0","7,990.0","349.70K","7.00%"
"11/09/2021","8,800.0","9,150.0","9,150.0","8,780.0","350.50K","2.80%"
"11/10/2021","8,800.0","9,000.0","9,000.0","8,700.0","310.80K","0.00%"
"11/11/2021","8,870.0","8,800.0","8,900.0","8,310.0","386.00K","0.80%"
"11/12/2021","9,490.0","9,050.0","9,490.0","9,000.0","892.70K","6.99%"
"11/15/2021","8,830.0","10,150.0","10,150.0","8,830.0","772.60K","-6.95%"
"11/16/2021","9,440.0","9,440.0","9,440.0","9,380.0","798.30K","6.91%"
"11/17/2021","10,100.0","10,100.0","10,100.0","9,700.0","454.50K","6.99%"
"11/18/2021","10,800.0","10,800.0","10,800.0","10,000.0","1.71M","6.93%"
"11/19/2021","11,000.0","11,550.0","11,550.0","10,800.0","2.00M","1.85%"
"11/22/2021","10,250.0","11,200.0","11,200.0","10,250.0","507.20K","-6.82%"
"11/23/2021","10,250.0","9,580.0","10,500.0","9,540.0","734.00K","0.00%"
"11/24/2021","10,300.0","10,000.0","10,900.0","10,000.0","647.50K","0.49%"
"11/25/2021","11,000.0","10,300.0","11,000.0","10,300.0","494.70K","6.80%"
"11/26/2021","11,750.0","11,750.0","11,750.0","11,750.0","444.20K","6.82%"
"11/29/2021","12,550.0","12,000.0","12,550.0","10,950.0","1.64M","6.81%"
"11/30/2021","13,100.0","12,650.0","13,200.0","11,900.0","1.34M","4.38%"
"12/01/2021","13,500.0","13,200.0","14,000.0","13,200.0","1.81M","3.05%"
"12/02/2021","12,600.0","13,800.0","14,400.0","12,600.0","6.50M","-6.67%"
"12/03/2021","11,750.0","13,450.0","13,450.0","11,750.0","10.15M","-6.75%"
"12/06/2021","12,550.0","12,550.0","12,550.0","11,950.0","5.47M","6.81%"
"12/07/2021","13,100.0","13,300.0","13,350.0","11,900.0","2.59M","4.38%"
"12/08/2021","13,600.0","13,800.0","13,800.0","13,100.0","3.03M","3.82%"
"12/09/2021","14,100.0","13,600.0","14,200.0","13,100.0","1.41M","3.68%"
"12/10/2021","15,050.0","14,100.0","15,050.0","14,100.0","2.22M","6.74%"
"12/13/2021","15,950.0","16,100.0","16,100.0","15,050.0","2.92M","5.98%"
"12/14/2021","14,850.0","15,800.0","15,900.0","14,850.0","5.30M","-6.90%"
