"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,420.0","7,500.0","7,500.0","7,400.0","369.40K","-0.93%"
"07/02/2021","7,310.0","7,410.0","7,410.0","7,310.0","311.50K","-1.48%"
"07/05/2021","7,000.0","7,210.0","7,310.0","6,800.0","612.30K","-4.24%"
"07/06/2021","6,990.0","7,000.0","7,200.0","6,520.0","264.20K","-0.14%"
"07/07/2021","6,700.0","6,990.0","6,990.0","6,600.0","266.50K","-4.15%"
"07/08/2021","6,690.0","6,700.0","6,850.0","6,600.0","155.30K","-0.15%"
"07/09/2021","6,480.0","6,510.0","6,700.0","6,230.0","347.50K","-3.14%"
"07/12/2021","6,030.0","6,470.0","6,470.0","6,030.0","347.20K","-6.94%"
"07/13/2021","6,200.0","6,400.0","6,400.0","6,030.0","117.20K","2.82%"
"07/14/2021","6,160.0","6,450.0","6,450.0","6,000.0","159.80K","-0.65%"
"07/15/2021","6,350.0","6,380.0","6,380.0","6,160.0","108.00K","3.08%"
"07/16/2021","6,210.0","6,350.0","6,400.0","6,200.0","89.00K","-2.20%"
"07/19/2021","5,830.0","6,000.0","6,100.0","5,800.0","210.60K","-6.12%"
"07/20/2021","6,000.0","6,190.0","6,190.0","5,800.0","181.80K","2.92%"
"07/21/2021","6,070.0","6,000.0","6,100.0","5,940.0","119.00K","1.17%"
"07/22/2021","6,200.0","6,100.0","6,280.0","6,000.0","219.50K","2.14%"
"07/23/2021","6,150.0","6,200.0","6,350.0","6,050.0","201.00K","-0.81%"
"07/26/2021","6,060.0","5,910.0","6,100.0","5,910.0","177.60K","-1.46%"
"07/27/2021","6,100.0","6,050.0","6,110.0","6,030.0","129.20K","0.66%"
"07/28/2021","6,100.0","6,100.0","6,110.0","6,000.0","64.10K","0.00%"
"07/29/2021","6,100.0","6,010.0","6,140.0","6,010.0","110.60K","0.00%"
"07/30/2021","6,360.0","6,100.0","6,410.0","6,100.0","295.00K","4.26%"
"08/02/2021","6,300.0","6,390.0","6,400.0","6,300.0","154.50K","-0.94%"
"08/03/2021","6,340.0","6,350.0","6,350.0","6,210.0","107.00K","0.63%"
"08/04/2021","6,480.0","6,340.0","6,490.0","6,300.0","276.20K","2.21%"
"08/05/2021","6,770.0","6,400.0","6,770.0","6,400.0","337.50K","4.48%"
"08/06/2021","6,790.0","6,750.0","6,890.0","6,700.0","319.10K","0.30%"
"08/09/2021","7,040.0","6,700.0","7,100.0","6,600.0","334.30K","3.68%"
"08/10/2021","6,950.0","7,040.0","7,180.0","6,900.0","255.90K","-1.28%"
"08/11/2021","6,850.0","6,910.0","6,950.0","6,800.0","166.30K","-1.44%"
"08/12/2021","7,000.0","6,850.0","7,200.0","6,720.0","276.60K","2.19%"
"08/13/2021","6,930.0","7,000.0","7,080.0","6,800.0","128.60K","-1.00%"
"08/16/2021","6,990.0","6,950.0","7,000.0","6,800.0","265.00K","0.87%"
"08/17/2021","6,850.0","7,080.0","7,080.0","6,820.0","168.20K","-2.00%"
"08/18/2021","6,730.0","6,800.0","6,840.0","6,640.0","432.30K","-1.75%"
