"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","145,295","146,469","146,689","144,415","32.47K","-2.27%"
"07/02/2021","148,230","145,295","148,230","145,295","36.12K","2.02%"
"07/05/2021","146,029","147,864","148,084","146,029","48.64K","-1.48%"
"07/06/2021","142,066","146,469","146,763","142,066","45.77K","-2.71%"
"07/07/2021","140,159","141,993","141,993","138,984","85.93K","-1.34%"
"07/08/2021","139,792","140,159","141,626","137,223","55.16K","-0.26%"
"07/09/2021","135,022","138,691","138,691","132,894","50.73K","-3.41%"
"07/12/2021","126,216","132,087","132,087","125,629","90.63K","-6.52%"
"07/13/2021","126,216","125,189","128,417","124,015","32.86K","0.00%"
"07/14/2021","124,748","126,143","128,051","123,281","33.77K","-1.16%"
"07/15/2021","125,482","123,354","125,482","123,281","54.25K","0.59%"
"07/16/2021","124,015","125,482","126,363","124,015","18.26K","-1.17%"
"07/19/2021","120,933","122,767","123,648","120,346","38.60K","-2.49%"
"07/20/2021","122,620","119,465","122,620","119,465","18.26K","1.39%"
"07/21/2021","126,583","122,620","128,784","122,620","26.21K","3.23%"
"07/22/2021","126,510","127,684","127,684","124,969","33.90K","-0.06%"
"07/23/2021","123,648","126,876","126,876","123,648","41.21K","-2.26%"
"07/26/2021","123,281","123,648","123,648","121,813","22.69K","-0.30%"
"07/27/2021","125,702","123,281","126,876","123,281","35.99K","1.96%"
"07/28/2021","127,170","125,702","128,417","125,115","32.99K","1.17%"
"07/29/2021","126,876","127,243","127,684","125,849","20.47K","-0.23%"
"07/30/2021","126,950","127,684","127,684","125,482","21.78K","0.06%"
"08/02/2021","125,115","126,730","126,730","124,748","59.33K","-1.45%"
"08/03/2021","123,648","125,189","126,216","121,813","70.15K","-1.17%"
"08/04/2021","123,574","123,721","124,675","123,574","47.60K","-0.06%"
"08/05/2021","124,455","123,281","125,482","123,281","37.95K","0.71%"
"08/06/2021","124,382","124,528","125,262","124,015","38.86K","-0.06%"
"08/09/2021","124,015","124,382","124,748","123,648","45.25K","-0.30%"
"08/10/2021","129,151","124,015","129,151","123,648","92.19K","4.14%"
"08/11/2021","133,261","131,279","137,150","131,206","76.94K","3.18%"
"08/12/2021","131,059","132,160","134,141","129,225","39.38K","-1.65%"
"08/13/2021","130,399","129,371","131,059","127,757","44.21K","-0.50%"
"08/16/2021","128,417","129,885","130,472","128,051","54.38K","-1.52%"
"08/17/2021","128,417","128,491","129,225","128,271","40.55K","0.00%"
"08/18/2021","129,738","128,417","130,399","127,317","34.43K","1.03%"
"08/19/2021","130,986","129,738","130,986","129,738","40.68K","0.96%"
"08/20/2021","129,592","132,013","132,013","126,216","64.03K","-1.06%"
"08/23/2021","125,996","129,005","129,005","125,996","51.51K","-2.77%"
"08/24/2021","126,216","125,996","126,216","124,015","26.60K","0.17%"
"08/25/2021","124,088","124,088","125,996","123,648","46.55K","-1.69%"
"08/26/2021","125,482","124,015","125,849","124,015","22.69K","1.12%"
"08/27/2021","125,629","125,482","126,289","124,308","20.08K","0.12%"
"08/30/2021","128,344","125,482","129,078","125,482","36.64K","2.16%"
"08/31/2021","127,684","128,344","128,784","127,684","17.60K","-0.51%"
"09/01/2021","126,950","127,684","128,417","126,583","45.12K","-0.57%"
"09/06/2021","131,940","126,950","132,013","126,803","48.90K","3.93%"
"09/07/2021","130,252","131,940","131,940","130,252","12.78K","-1.28%"
"09/08/2021","129,885","129,885","130,325","129,151","16.69K","-0.28%"
"09/09/2021","132,820","128,564","133,554","128,564","58.68K","2.26%"
"09/10/2021","137,590","132,820","138,691","132,087","47.60K","3.59%"
"09/13/2021","143,387","139,351","143,681","138,544","83.06K","4.21%"
"09/14/2021","143,094","142,287","145,295","139,498","43.16K","-0.20%"
"09/15/2021","142,727","141,920","142,727","141,259","19.30K","-0.26%"
"09/16/2021","143,828","144,782","144,782","141,626","23.21K","0.77%"
"09/17/2021","146,763","143,461","146,763","140,966","64.68K","2.04%"
"09/20/2021","151,019","147,497","153,367","147,497","66.37K","2.90%"
"09/21/2021","149,625","148,230","149,625","143,094","67.68K","-0.92%"
"09/22/2021","148,964","149,625","150,432","146,029","11.61K","-0.44%"
"09/23/2021","146,763","150,432","150,432","146,029","20.86K","-1.48%"
"09/24/2021","145,295","146,029","146,763","144,561","29.99K","-1.00%"
"09/27/2021","144,635","146,763","150,432","143,241","36.77K","-0.45%"
"09/28/2021","144,194","141,112","144,488","141,112","25.17K","-0.30%"
"09/29/2021","147,497","143,241","148,230","143,094","23.34K","2.29%"
"09/30/2021","148,891","149,625","149,625","147,130","28.56K","0.95%"
"10/01/2021","154,835","149,918","156,302","146,763","115.79K","3.99%"
"10/04/2021","155,569","152,780","155,569","152,633","19.04K","0.47%"
"10/05/2021","154,835","155,055","155,348","153,294","9.91K","-0.47%"
"10/06/2021","154,761","154,028","157,036","149,111","22.56K","-0.05%"
"10/07/2021","153,441","154,835","154,835","153,367","17.47K","-0.85%"
"10/08/2021","153,734","153,734","155,569","153,734","31.95K","0.19%"
"10/11/2021","155,422","153,734","156,302","152,633","49.03K","1.10%"
"10/12/2021","153,807","155,348","155,422","153,734","32.21K","-1.04%"
"10/13/2021","151,900","154,688","154,761","151,900","18.13K","-1.24%"
"10/14/2021","151,826","154,101","154,101","150,725","32.21K","-0.05%"
"10/15/2021","154,101","151,900","154,101","150,579","12.65K","1.50%"
"10/18/2021","151,826","150,652","154,101","149,625","28.95K","-1.48%"
"10/19/2021","148,891","151,753","151,753","147,497","24.52K","-1.93%"
"10/20/2021","145,295","148,671","148,891","145,295","21.26K","-2.42%"
"10/21/2021","144,928","144,194","146,029","141,626","32.73K","-0.25%"
"10/22/2021","144,268","144,782","144,855","143,461","9.26K","-0.46%"
"10/25/2021","143,754","143,241","143,901","142,360","20.34K","-0.36%"
"10/26/2021","143,681","143,094","143,681","142,360","4.83K","-0.05%"
"10/27/2021","146,616","142,360","146,616","141,626","46.94K","2.04%"
"10/28/2021","146,689","146,763","148,230","145,002","11.74K","0.05%"
"10/29/2021","143,828","146,763","146,763","142,507","32.60K","-1.95%"
"11/01/2021","140,159","143,828","143,828","137,223","80.59K","-2.55%"
"11/02/2021","137,884","138,764","140,085","136,783","62.72K","-1.62%"
"11/03/2021","137,810","137,223","139,425","137,076","18.26K","-0.05%"
"11/04/2021","137,223","137,076","137,957","137,076","8.74K","-0.43%"
