"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,720.0","9,400.0","9,730.0","9,200.0","2.40K","0.73%"
"07/02/2021","9,690.0","9,700.0","9,700.0","9,350.0","3.10K","-0.31%"
"07/05/2021","9,420.0","9,570.0","9,700.0","9,300.0","11.80K","-2.79%"
"07/06/2021","10,050.0","9,430.0","10,050.0","9,430.0","216.90K","6.69%"
"07/07/2021","10,000.0","10,700.0","10,700.0","10,000.0","18.10K","-0.50%"
"07/08/2021","10,000.0","10,000.0","10,000.0","9,800.0","6.10K","0.00%"
"07/09/2021","9,990.0","9,530.0","10,000.0","9,300.0","37.80K","-0.10%"
"07/12/2021","9,400.0","9,400.0","9,500.0","9,300.0","48.50K","-5.91%"
"07/13/2021","9,800.0","8,750.0","9,800.0","8,750.0","11.90K","4.26%"
"07/14/2021","9,500.0","9,500.0","9,800.0","9,300.0","15.70K","-3.06%"
"07/15/2021","9,870.0","9,500.0","9,990.0","9,400.0","4.20K","3.89%"
"07/16/2021","9,410.0","9,600.0","9,800.0","9,410.0","7.90K","-4.66%"
"07/19/2021","9,500.0","9,400.0","9,500.0","9,350.0","6.00K","0.96%"
"07/20/2021","9,500.0","9,500.0","9,500.0","9,400.0","9.50K","0.00%"
"07/21/2021","9,700.0","9,300.0","9,800.0","9,300.0","6.80K","2.11%"
"07/22/2021","9,510.0","9,510.0","9,510.0","9,510.0","1.40K","-1.96%"
"07/23/2021","9,600.0","9,550.0","9,600.0","9,510.0","15.40K","0.95%"
"07/26/2021","10,250.0","9,620.0","10,250.0","9,620.0","135.30K","6.77%"
"07/27/2021","10,300.0","10,950.0","10,950.0","10,300.0","43.30K","0.49%"
"07/28/2021","10,750.0","10,100.0","10,750.0","10,100.0","46.10K","4.37%"
"07/29/2021","10,600.0","10,700.0","10,700.0","10,150.0","76.00K","-1.40%"
"07/30/2021","10,550.0","10,500.0","10,550.0","10,100.0","54.10K","-0.47%"
"08/02/2021","10,500.0","10,000.0","10,650.0","10,000.0","36.40K","-0.47%"
"08/03/2021","10,050.0","10,500.0","10,500.0","10,000.0","8.00K","-4.29%"
"08/04/2021","10,050.0","10,050.0","10,300.0","10,000.0","19.90K","0.00%"
"08/05/2021","10,300.0","10,050.0","10,300.0","10,050.0","23.20K","2.49%"
"08/06/2021","10,100.0","10,250.0","10,250.0","10,100.0","12.80K","-1.94%"
"08/09/2021","10,100.0","10,100.0","10,150.0","10,050.0","24.40K","0.00%"
"08/10/2021","10,350.0","10,100.0","10,350.0","10,050.0","26.70K","2.48%"
"08/11/2021","10,400.0","10,350.0","10,500.0","9,900.0","12.70K","0.48%"
"08/12/2021","10,400.0","10,400.0","10,500.0","10,000.0","9.90K","0.00%"
"08/13/2021","10,250.0","10,450.0","10,450.0","10,000.0","36.10K","-1.44%"
"08/16/2021","10,300.0","10,250.0","10,450.0","10,250.0","69.00K","0.49%"
"08/17/2021","10,300.0","10,300.0","10,500.0","10,200.0","13.50K","0.00%"
"08/18/2021","10,150.0","10,300.0","10,350.0","10,150.0","21.10K","-1.46%"
"08/19/2021","10,350.0","10,150.0","10,350.0","10,150.0","10.30K","1.97%"
"08/20/2021","10,300.0","10,350.0","10,350.0","10,150.0","15.00K","-0.48%"
"08/23/2021","10,200.0","10,150.0","10,250.0","10,000.0","20.30K","-0.97%"
"08/24/2021","10,300.0","10,000.0","10,700.0","10,000.0","29.40K","0.98%"
"08/25/2021","10,300.0","10,300.0","10,500.0","10,200.0","22.30K","0.00%"
"08/26/2021","10,350.0","10,500.0","10,500.0","10,350.0","14.70K","0.49%"
"08/27/2021","10,300.0","10,000.0","10,400.0","10,000.0","9.00K","-0.48%"
"08/30/2021","10,350.0","10,450.0","10,450.0","10,300.0","36.10K","0.49%"
"08/31/2021","10,350.0","10,350.0","10,450.0","10,300.0","29.60K","0.00%"
"09/01/2021","11,050.0","10,350.0","11,050.0","10,350.0","162.30K","6.76%"
"09/06/2021","11,800.0","11,800.0","11,800.0","11,700.0","236.40K","6.79%"
"09/07/2021","12,600.0","12,400.0","12,600.0","12,000.0","111.20K","6.78%"
"09/08/2021","13,450.0","13,000.0","13,450.0","12,550.0","189.30K","6.75%"
"09/09/2021","14,350.0","14,350.0","14,350.0","14,350.0","110.40K","6.69%"
"09/10/2021","15,300.0","15,350.0","15,350.0","15,000.0","338.60K","6.62%"
"09/13/2021","14,500.0","15,300.0","15,300.0","14,250.0","172.30K","-5.23%"
"09/14/2021","14,850.0","14,500.0","15,000.0","14,250.0","96.50K","2.41%"
"09/15/2021","14,650.0","14,200.0","15,500.0","14,100.0","41.60K","-1.35%"
"09/16/2021","13,700.0","14,200.0","14,500.0","13,650.0","112.20K","-6.48%"
"09/17/2021","12,750.0","13,000.0","13,200.0","12,750.0","171.60K","-6.93%"
"09/20/2021","13,600.0","12,700.0","13,600.0","12,150.0","40.90K","6.67%"
"09/21/2021","13,400.0","13,000.0","13,600.0","12,800.0","40.00K","-1.47%"
"09/22/2021","13,550.0","13,000.0","13,550.0","12,900.0","35.10K","1.12%"
"09/23/2021","13,500.0","13,300.0","13,550.0","13,000.0","77.60K","-0.37%"
"09/24/2021","13,000.0","12,900.0","13,150.0","12,800.0","18.70K","-3.70%"
"09/27/2021","12,400.0","13,000.0","13,000.0","12,350.0","36.60K","-4.62%"
"09/28/2021","12,200.0","12,300.0","12,300.0","11,700.0","59.80K","-1.61%"
"09/29/2021","12,850.0","11,800.0","12,900.0","11,400.0","27.70K","5.33%"
"09/30/2021","12,300.0","12,400.0","13,000.0","12,000.0","93.70K","-4.28%"
"10/01/2021","12,000.0","12,300.0","12,300.0","11,500.0","43.00K","-2.44%"
"10/04/2021","12,000.0","11,800.0","12,350.0","11,400.0","40.50K","0.00%"
"10/05/2021","11,800.0","12,000.0","12,000.0","11,400.0","30.40K","-1.67%"
"10/06/2021","12,400.0","11,500.0","12,600.0","11,500.0","76.20K","5.08%"
"10/07/2021","12,500.0","12,400.0","12,500.0","12,300.0","8.40K","0.81%"
"10/08/2021","12,000.0","12,500.0","12,500.0","11,900.0","9.10K","-4.00%"
"10/11/2021","12,100.0","12,000.0","12,200.0","11,950.0","57.50K","0.83%"
"10/12/2021","12,200.0","12,100.0","12,200.0","11,900.0","25.00K","0.83%"
"10/13/2021","12,100.0","12,300.0","12,300.0","11,500.0","14.70K","-0.82%"
"10/14/2021","12,150.0","12,100.0","12,200.0","11,800.0","45.60K","0.41%"
"10/15/2021","13,000.0","12,150.0","13,000.0","12,150.0","155.30K","7.00%"
"10/18/2021","13,900.0","13,800.0","13,900.0","13,500.0","174.40K","6.92%"
"10/19/2021","13,700.0","14,600.0","14,600.0","12,950.0","107.10K","-1.44%"
"10/20/2021","13,400.0","13,700.0","13,700.0","12,850.0","11.00K","-2.19%"
"10/21/2021","12,550.0","13,200.0","13,200.0","12,500.0","122.60K","-6.34%"
"10/22/2021","12,500.0","12,550.0","13,100.0","12,500.0","36.60K","-0.40%"
"10/25/2021","13,350.0","12,450.0","13,350.0","12,450.0","85.20K","6.80%"
"10/26/2021","13,300.0","13,600.0","13,800.0","12,800.0","120.60K","-0.37%"
"10/27/2021","12,450.0","13,250.0","13,300.0","12,450.0","231.40K","-6.39%"
"10/28/2021","12,550.0","12,650.0","13,000.0","11,900.0","380.80K","0.80%"
"10/29/2021","12,800.0","12,800.0","13,400.0","12,500.0","222.80K","1.99%"
"11/01/2021","12,850.0","12,800.0","13,000.0","12,650.0","144.40K","0.39%"
"11/02/2021","12,950.0","12,700.0","13,250.0","12,600.0","231.30K","0.78%"
"11/03/2021","12,700.0","13,000.0","13,000.0","12,600.0","122.30K","-1.93%"
"11/04/2021","12,850.0","12,500.0","13,000.0","12,450.0","75.60K","1.18%"
"11/05/2021","12,650.0","12,850.0","12,850.0","12,500.0","85.10K","-1.56%"
"11/08/2021","12,500.0","12,800.0","12,900.0","12,450.0","106.50K","-1.19%"
