"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","49,522.0","49,436.0","50,209.0","49,264.0","499.56K","-0.17%"
"07/02/2021","48,748.0","49,866.0","49,866.0","48,748.0","883.09K","-1.56%"
"07/05/2021","47,114.0","48,748.0","48,748.0","47,114.0","1.27M","-3.35%"
"07/06/2021","45,137.0","47,114.0","48,748.0","45,137.0","1.07M","-4.20%"
"07/07/2021","46,341.0","45,567.0","46,341.0","45,137.0","633.31K","2.67%"
"07/08/2021","45,567.0","46,341.0","46,427.0","45,567.0","425.04K","-1.67%"
"07/09/2021","45,481.0","44,793.0","45,825.0","44,621.0","908.62K","-0.19%"
"07/12/2021","44,965.0","45,567.0","45,567.0","42,988.0","1.56M","-1.13%"
"07/13/2021","44,621.0","45,395.0","45,395.0","44,363.0","472.31K","-0.77%"
"07/14/2021","43,933.0","44,277.0","44,621.0","43,761.0","595.70K","-1.54%"
"07/15/2021","44,019.0","43,933.0","44,707.0","43,847.0","409.29K","0.20%"
"07/16/2021","44,621.0","44,449.0","44,793.0","44,019.0","543.26K","1.37%"
"07/19/2021","43,675.0","43,847.0","44,621.0","43,417.0","609.04K","-2.12%"
"07/20/2021","44,449.0","43,503.0","44,535.0","43,503.0","542.34K","1.77%"
"07/21/2021","44,879.0","44,363.0","45,395.0","44,277.0","571.44K","0.97%"
"07/22/2021","45,395.0","44,879.0","45,653.0","44,793.0","319.24K","1.15%"
"07/23/2021","44,277.0","45,395.0","45,739.0","43,847.0","747.62K","-2.46%"
"07/26/2021","44,707.0","44,535.0","44,793.0","43,417.0","436.66K","0.97%"
"07/27/2021","45,395.0","44,449.0","45,997.0","44,449.0","530.61K","1.54%"
"07/28/2021","45,051.0","45,137.0","45,395.0","44,793.0","196.19K","-0.76%"
"07/29/2021","45,051.0","45,051.0","45,567.0","44,707.0","345.58K","0.00%"
"07/30/2021","47,286.0","45,653.0","47,286.0","45,051.0","2.22M","4.96%"
"08/02/2021","46,427.0","46,770.0","47,200.0","45,911.0","732.78K","-1.82%"
"08/03/2021","46,684.0","46,427.0","46,856.0","46,169.0","490.82K","0.55%"
"08/04/2021","46,427.0","46,684.0","46,856.0","46,341.0","442.29K","-0.55%"
"08/05/2021","46,427.0","45,997.0","46,512.0","45,997.0","309.70K","0.00%"
"08/06/2021","46,427.0","46,341.0","47,114.0","46,341.0","477.83K","0.00%"
"08/09/2021","48,060.0","46,427.0","48,060.0","45,997.0","1.21M","3.52%"
"08/10/2021","48,060.0","47,888.0","48,232.0","47,716.0","525.55K","0.00%"
"08/11/2021","48,490.0","48,060.0","49,006.0","47,630.0","911.49K","0.89%"
"08/12/2021","47,888.0","47,802.0","48,318.0","47,544.0","528.54K","-1.24%"
"08/13/2021","47,888.0","48,060.0","48,232.0","47,028.0","676.09K","0.00%"
"08/16/2021","48,576.0","48,146.0","49,780.0","48,060.0","1.38M","1.44%"
"08/17/2021","48,662.0","48,748.0","49,608.0","48,060.0","931.39K","0.18%"
"08/18/2021","52,015.0","48,834.0","52,015.0","48,060.0","3.80M","6.89%"
"08/19/2021","52,187.0","52,875.0","54,336.0","52,187.0","1.94M","0.33%"
"08/20/2021","52,703.0","52,531.0","54,594.0","50,725.0","2.57M","0.99%"
"08/23/2021","49,866.0","52,273.0","52,875.0","49,866.0","2.78M","-5.38%"
"08/24/2021","49,780.0","50,037.0","50,553.0","48,146.0","1.46M","-0.17%"
"08/25/2021","49,951.0","49,436.0","50,295.0","48,834.0","1.03M","0.34%"
"08/26/2021","53,390.0","50,467.0","53,390.0","50,123.0","2.97M","6.88%"
"08/27/2021","55,884.0","53,390.0","56,400.0","53,390.0","2.28M","4.67%"
"08/30/2021","55,884.0","56,744.0","57,173.0","55,454.0","1.19M","0.00%"
"08/31/2021","56,744.0","55,626.0","58,291.0","54,938.0","1.89M","1.54%"
"09/01/2021","57,173.0","56,142.0","57,947.0","55,970.0","1.19M","0.76%"
"09/06/2021","56,915.0","56,658.0","58,463.0","56,314.0","1.33M","-0.45%"
"09/07/2021","55,024.0","56,829.0","56,915.0","55,024.0","1.50M","-3.32%"
"09/08/2021","55,282.0","54,594.0","55,884.0","54,594.0","769.35K","0.47%"
"09/09/2021","56,744.0","55,282.0","56,744.0","55,282.0","688.51K","2.64%"
"09/10/2021","56,658.0","56,744.0","57,345.0","55,970.0","712.43K","-0.15%"
"09/13/2021","55,454.0","56,658.0","56,658.0","55,282.0","1.07M","-2.13%"
"09/14/2021","55,798.0","55,368.0","55,884.0","54,594.0","1.13M","0.62%"
"09/15/2021","55,884.0","55,454.0","56,314.0","54,766.0","766.94K","0.15%"
"09/16/2021","55,884.0","55,884.0","56,572.0","55,454.0","828.58K","0.00%"
"09/17/2021","57,517.0","55,884.0","58,893.0","55,884.0","2.66M","2.92%"
"09/20/2021","56,400.0","57,775.0","57,775.0","56,314.0","1.22M","-1.94%"
"09/21/2021","56,744.0","55,282.0","56,744.0","55,196.0","1.19M","0.61%"
"09/22/2021","58,463.0","56,658.0","58,463.0","55,884.0","1.24M","3.03%"
"09/23/2021","57,603.0","58,463.0","58,721.0","56,915.0","956.23K","-1.47%"
"09/24/2021","56,056.0","57,603.0","57,861.0","56,056.0","657.00K","-2.69%"
"09/27/2021","53,305.0","56,056.0","56,744.0","53,305.0","1.38M","-4.91%"
"09/28/2021","55,454.0","52,875.0","55,454.0","52,875.0","1.14M","4.03%"
"09/29/2021","55,970.0","55,024.0","56,314.0","55,024.0","769.35K","0.93%"
"09/30/2021","56,056.0","55,970.0","56,142.0","55,196.0","632.27K","0.15%"
"10/01/2021","56,658.0","55,970.0","57,001.0","55,454.0","959.91K","1.07%"
"10/04/2021","60,011.0","57,259.0","60,097.0","56,829.0","2.92M","5.92%"
"10/05/2021","60,011.0","60,097.0","60,354.0","59,581.0","1.13M","0.00%"
"10/06/2021","61,730.0","60,268.0","61,730.0","60,097.0","1.07M","2.86%"
"10/07/2021","61,300.0","62,160.0","62,160.0","61,128.0","658.84K","-0.70%"
"10/08/2021","60,612.0","61,902.0","61,902.0","59,925.0","835.13K","-1.12%"
"10/11/2021","60,612.0","60,183.0","60,870.0","60,183.0","718.06K","0.00%"
"10/12/2021","62,246.0","60,698.0","62,762.0","60,526.0","1.03M","2.70%"
"10/13/2021","62,762.0","62,246.0","63,450.0","62,246.0","819.61K","0.83%"
