"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","26,426.0","26,280.0","26,426.0","26,085.3","3.40K","-0.18%"
"07/02/2021","26,426.0","26,426.0","26,426.0","26,426.0","0.40K","0.00%"
"07/06/2021","26,572.0","26,085.0","26,572.0","26,085.3","0.80K","0.55%"
"07/07/2021","26,085.3","26,085.0","26,085.0","26,085.3","0.10K","-1.83%"
"07/08/2021","25,793.3","25,793.0","25,842.0","25,793.3","1.80K","-1.12%"
"07/09/2021","25,793.3","25,793.0","25,793.0","25,793.3","0.40K","0.00%"
"07/12/2021","25,404.0","25,501.0","25,501.0","25,404.0","0.80K","-1.51%"
"07/13/2021","26,474.7","26,475.0","26,475.0","26,474.7","0.10K","4.21%"
"07/16/2021","26,280.0","26,280.0","26,280.0","26,280.0","0.10K","-0.74%"
"07/19/2021","25,112.0","25,112.0","25,112.0","25,112.0","0.20K","-4.44%"
"07/20/2021","26,280.0","26,280.0","26,280.0","26,280.0","0.10K","4.65%"
"07/28/2021","26,280.0","25,404.0","26,280.0","25,404.0","2.40K","0.00%"
"07/29/2021","26,280.0","26,280.0","26,280.0","26,280.0","0.10K","0.00%"
"07/30/2021","26,669.3","26,280.0","26,669.0","26,280.0","3.10K","1.48%"
"08/02/2021","26,523.3","26,085.0","26,523.0","26,085.3","0.20K","-0.55%"
"08/03/2021","26,085.3","26,523.0","26,523.0","26,085.3","1.30K","-1.65%"
"08/04/2021","26,280.0","26,280.0","26,280.0","26,280.0","1.00K","0.75%"
"08/05/2021","26,280.0","26,280.0","26,280.0","26,280.0","2.00K","0.00%"
"08/11/2021","26,280.0","26,280.0","26,280.0","26,280.0","1.00K","0.00%"
"08/12/2021","26,280.0","26,280.0","26,280.0","26,280.0","0.90K","0.00%"
"08/13/2021","26,280.0","26,280.0","26,280.0","26,280.0","1.50K","0.00%"
"08/16/2021","26,718.0","26,280.0","26,767.0","26,280.0","8.50K","1.67%"
"08/17/2021","27,204.7","27,205.0","27,205.0","27,204.7","0.10K","1.82%"
"08/18/2021","26,766.7","27,205.0","27,253.0","26,620.7","36.60K","-1.61%"
"08/19/2021","26,864.0","26,961.0","27,205.0","26,864.0","56.60K","0.36%"
"08/20/2021","26,572.0","26,767.0","27,156.0","26,572.0","46.00K","-1.09%"
"08/23/2021","26,280.0","26,329.0","26,329.0","26,280.0","8.30K","-1.10%"
"08/24/2021","26,718.0","26,329.0","26,718.0","26,328.7","0.30K","1.67%"
"08/25/2021","26,718.0","26,718.0","26,718.0","26,718.0","0.10K","0.00%"
"08/27/2021","26,766.7","26,475.0","26,864.0","26,280.0","18.80K","0.18%"
"08/30/2021","26,961.3","27,253.0","27,253.0","26,766.7","1.30K","0.73%"
"08/31/2021","26,961.3","26,961.0","26,961.0","26,961.3","4.60K","0.00%"
