"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","164,080","165,841","165,841","162,710","157.00K","-0.83%"
"07/02/2021","165,548","165,646","165,646","162,710","104.00K","0.89%"
"07/05/2021","162,906","166,330","166,330","161,928","64.90K","-1.60%"
"07/06/2021","160,460","162,906","163,004","160,460","65.20K","-1.50%"
"07/07/2021","158,992","160,460","160,656","156,938","249.80K","-0.91%"
"07/08/2021","158,992","157,720","159,286","157,623","265.00K","0.00%"
"07/09/2021","156,546","159,482","159,482","156,546","58.30K","-1.54%"
"07/12/2021","155,372","156,546","156,546","150,676","105.80K","-0.75%"
"07/13/2021","153,611","154,589","155,079","152,730","83.70K","-1.13%"
"07/14/2021","156,546","153,611","158,405","153,611","158.20K","1.91%"
"07/15/2021","156,448","154,589","156,448","152,633","134.40K","-0.06%"
"07/16/2021","154,589","156,448","156,448","154,589","83.90K","-1.19%"
"07/19/2021","151,165","153,611","153,611","150,187","127.00K","-2.22%"
"07/20/2021","151,654","151,165","153,122","150,676","194.30K","0.32%"
"07/21/2021","153,415","153,122","154,100","152,633","110.50K","1.16%"
"07/22/2021","152,926","152,143","153,122","151,948","109.50K","-0.32%"
"07/23/2021","150,284","152,633","154,492","150,284","256.80K","-1.73%"
"07/26/2021","150,187","150,284","150,774","149,697","91.00K","-0.07%"
"07/27/2021","151,165","152,633","155,568","150,676","74.00K","0.65%"
"07/28/2021","151,165","151,361","152,633","151,165","38.50K","0.00%"
"07/29/2021","153,611","151,263","153,611","151,263","104.80K","1.62%"
"07/30/2021","155,568","155,959","156,546","152,633","501.30K","1.27%"
"08/02/2021","151,752","154,394","154,394","151,654","237.20K","-2.45%"
"08/03/2021","151,948","152,633","152,633","151,948","121.00K","0.13%"
"08/04/2021","153,905","152,633","154,589","152,633","50.20K","1.29%"
"08/05/2021","152,339","152,143","153,611","151,556","165.90K","-1.02%"
"08/06/2021","151,850","153,709","153,709","151,752","100.90K","-0.32%"
"08/09/2021","151,752","151,850","153,611","151,752","149.10K","-0.06%"
"08/10/2021","150,774","151,850","153,415","150,774","294.10K","-0.64%"
"08/11/2021","150,871","151,654","151,948","150,871","185.90K","0.06%"
"08/12/2021","149,795","150,774","150,871","149,795","212.00K","-0.71%"
"08/13/2021","148,523","149,795","149,795","148,328","181.20K","-0.85%"
"08/16/2021","148,328","148,523","149,208","148,132","198.60K","-0.13%"
"08/17/2021","142,359","148,328","148,328","141,870","558.20K","-4.02%"
"08/18/2021","142,848","142,653","145,784","142,653","344.80K","0.34%"
"08/19/2021","144,805","143,338","144,805","142,066","473.30K","1.37%"
"08/20/2021","139,913","144,512","144,512","139,913","347.10K","-3.38%"
"08/23/2021","136,978","139,913","139,913","136,978","301.50K","-2.10%"
"08/24/2021","139,326","137,956","139,815","136,782","194.30K","1.71%"
"08/25/2021","144,023","139,326","144,610","139,326","240.00K","3.37%"
"08/26/2021","144,414","143,925","144,707","143,338","144.90K","0.27%"
"08/27/2021","145,295","144,120","145,784","142,555","137.30K","0.61%"
"08/30/2021","144,023","145,295","146,273","143,827","117.80K","-0.88%"
"08/31/2021","146,762","144,023","146,762","143,338","162.70K","1.90%"
"09/01/2021","145,490","146,469","146,469","144,805","68.50K","-0.87%"
"09/06/2021","145,979","144,316","146,762","144,316","115.80K","0.34%"
"09/07/2021","145,490","146,273","147,545","145,295","128.90K","-0.34%"
"09/08/2021","146,664","145,588","146,664","145,099","99.90K","0.81%"
"09/09/2021","145,588","146,860","146,860","144,903","79.70K","-0.73%"
"09/10/2021","148,132","145,490","148,621","145,490","157.90K","1.75%"
"09/13/2021","158,014","153,122","158,405","152,143","950.00K","6.67%"
"09/14/2021","162,417","158,405","165,352","157,036","368.00K","2.79%"
"09/15/2021","162,417","162,417","162,417","155,079","239.70K","0.00%"
"09/16/2021","157,525","159,579","159,677","155,079","200.20K","-3.01%"
"09/17/2021","157,525","156,546","157,525","154,198","796.70K","0.00%"
"09/20/2021","154,883","158,503","158,503","154,883","103.50K","-1.68%"
"09/21/2021","154,589","154,687","156,448","152,633","112.10K","-0.19%"
"09/22/2021","154,589","155,079","156,057","154,589","91.50K","0.00%"
"09/23/2021","154,785","157,329","157,329","154,492","81.00K","0.13%"
"09/24/2021","156,546","156,253","156,546","154,785","82.10K","1.14%"
"09/27/2021","155,568","156,546","156,742","154,394","80.50K","-0.62%"
"09/28/2021","153,709","154,589","154,981","153,611","130.50K","-1.19%"
"09/29/2021","153,415","153,905","153,905","150,774","124.50K","-0.19%"
"09/30/2021","153,024","153,122","153,611","152,828","80.00K","-0.26%"
"10/01/2021","150,871","153,122","153,122","150,676","149.40K","-1.41%"
"10/04/2021","151,654","150,969","155,568","150,871","47.90K","0.52%"
"10/05/2021","157,036","154,981","157,427","151,752","151.60K","3.55%"
"10/06/2021","154,981","156,546","156,546","154,002","42.30K","-1.31%"
"10/07/2021","155,177","155,568","156,057","153,905","44.00K","0.13%"
"10/08/2021","159,188","155,177","159,775","154,100","147.70K","2.59%"
"10/11/2021","159,482","159,482","161,438","159,188","79.20K","0.18%"
"10/12/2021","159,482","160,949","161,341","158,503","55.70K","0.00%"
"10/13/2021","157,525","160,362","161,341","157,329","157.90K","-1.23%"
"10/14/2021","156,546","157,525","161,341","156,155","132.30K","-0.62%"
"10/15/2021","159,286","156,742","159,482","156,742","52.90K","1.75%"
"10/18/2021","156,546","157,525","158,503","155,764","210.80K","-1.72%"
"10/19/2021","155,079","156,644","156,644","152,633","248.20K","-0.94%"
"10/20/2021","151,850","155,079","156,840","151,752","403.60K","-2.08%"
"10/21/2021","148,719","152,828","155,079","148,719","224.70K","-2.06%"
"10/22/2021","153,122","151,165","153,122","151,067","51.80K","2.96%"
"10/25/2021","153,318","153,122","154,589","153,122","40.00K","0.13%"
"10/26/2021","152,046","153,513","154,492","152,046","73.20K","-0.83%"
"10/27/2021","156,448","153,905","156,448","152,633","120.60K","2.90%"
"10/28/2021","161,047","158,503","161,243","156,742","205.90K","2.94%"
"10/29/2021","157,036","161,047","161,047","157,036","222.20K","-2.49%"
"11/01/2021","158,503","157,231","159,482","157,231","135.00K","0.93%"
"11/02/2021","161,634","159,286","161,928","158,503","126.30K","1.98%"
"11/03/2021","168,874","161,634","169,070","160,460","344.20K","4.48%"
"11/04/2021","168,092","165,939","168,874","163,982","106.40K","-0.46%"
"11/05/2021","168,287","164,471","168,287","164,471","103.30K","0.12%"
"11/08/2021","169,951","168,287","170,146","166,526","139.90K","0.99%"
"11/09/2021","170,244","169,657","170,244","167,309","62.70K","0.17%"
"11/10/2021","170,244","170,244","170,244","167,309","37.60K","0.00%"
"11/11/2021","168,287","170,048","171,125","168,287","56.30K","-1.15%"
"11/12/2021","168,287","168,287","170,146","168,189","35.80K","0.00%"
"11/15/2021","166,330","168,189","169,266","166,330","29.30K","-1.16%"
"11/16/2021","166,917","167,309","167,309","162,906","47.00K","0.35%"
"11/17/2021","166,820","167,015","167,015","165,352","44.50K","-0.06%"
"11/18/2021","164,569","167,211","167,211","164,569","103.40K","-1.35%"
"11/19/2021","163,493","164,569","165,548","163,395","42.10K","-0.65%"
"11/22/2021","164,374","163,395","166,135","160,460","155.10K","0.54%"
"11/23/2021","164,374","164,471","166,135","163,689","30.60K","0.00%"
"11/24/2021","164,374","164,374","165,352","160,558","108.20K","0.00%"
"11/25/2021","161,438","164,374","164,374","161,438","100.60K","-1.79%"
"11/26/2021","156,742","162,025","162,025","156,546","211.80K","-2.91%"
"11/29/2021","152,730","156,546","156,546","152,730","184.30K","-2.56%"
"11/30/2021","150,676","152,926","156,546","150,676","359.30K","-1.35%"
"12/01/2021","153,122","154,589","154,589","151,263","52.00K","1.62%"
"12/02/2021","155,568","153,122","156,546","153,122","206.60K","1.60%"
"12/03/2021","153,611","155,568","155,568","153,611","102.10K","-1.26%"
"12/06/2021","148,328","153,415","153,415","148,328","121.60K","-3.44%"
"12/07/2021","149,697","148,523","151,165","148,523","196.40K","0.92%"
"12/08/2021","149,600","149,795","150,284","149,404","144.50K","-0.07%"
"12/09/2021","149,208","149,697","150,871","149,110","207.90K","-0.26%"
"12/10/2021","149,013","149,208","150,676","148,621","150.20K","-0.13%"
"12/13/2021","149,013","149,697","149,991","149,013","175.10K","0.00%"
"12/14/2021","149,502","149,013","150,676","148,719","126.40K","0.33%"
"12/15/2021","149,208","149,697","149,697","148,915","78.90K","-0.20%"
"12/16/2021","147,741","149,013","149,404","147,349","90.40K","-0.98%"
"12/17/2021","146,762","147,741","148,034","146,762","189.30K","-0.66%"
"12/20/2021","145,784","146,860","146,860","145,588","117.10K","-0.67%"
"12/21/2021","145,686","145,784","146,469","145,588","122.00K","-0.07%"
"12/22/2021","144,414","145,784","145,784","144,316","129.40K","-0.87%"
"12/23/2021","143,729","144,120","144,414","143,631","142.70K","-0.47%"
"12/24/2021","143,827","143,338","145,588","143,044","137.80K","0.07%"
"12/27/2021","144,707","144,120","147,741","144,023","78.30K","0.61%"
"12/28/2021","145,099","146,273","146,273","144,316","102.00K","0.27%"
"12/29/2021","145,099","145,099","145,099","144,512","50.30K","0.00%"
"12/30/2021","145,686","145,784","145,784","145,295","82.10K","0.40%"
"12/31/2021","147,741","145,686","155,666","145,686","276.60K","1.41%"
